tradeDate,nav,change,changePercent
2022-08-30,8.3097,-0.0191,-0.22932
2022-08-29,8.3288,0.0347,0.41837
2022-08-28,8.2941,0.0282,0.34116
2022-08-25,8.2659,0.0434,0.52782
2022-08-24,8.2225,0.0125,0.15225
2022-08-23,8.21,0.0266,0.32505
2022-08-22,8.1834,0.0406,0.4986
2022-08-21,8.1428,0.0364,0.44903
2022-08-18,8.1064,0.0001,0.00123
2022-08-17,8.1063,0.0017,0.02098
2022-08-16,8.1046,-0.0202,-0.24862
2022-08-15,8.1248,0.0488,0.60426
2022-08-14,8.076,0.0252,0.31301
2022-08-11,8.0508,0.0084,0.10445
2022-08-10,8.0424,-0.0003,-0.00373
2022-08-09,8.0427,0.0202,0.25179
2022-08-08,8.0225,-0.0283,-0.35152
2022-08-07,8.0508,0.0265,0.33025
2022-08-04,8.0243,-0.0409,-0.50712
2022-08-03,8.0652,-0.0177,-0.21898
2022-08-02,8.0829,-0.0148,-0.18277
2022-08-01,8.0977,-0.0135,-0.16644
2022-07-31,8.1112,0.0341,0.42218
2022-07-28,8.0771,0.0251,0.31172
2022-07-27,8.052,0.0118,0.14676
2022-07-26,8.0402,0.0026,0.03235
2022-07-25,8.0376,0.0225,0.28072
2022-07-24,8.0151,0.0252,0.3154
2022-07-21,7.9899,0.0297,0.37311
2022-07-20,7.9602,0.0051,0.06411
2022-07-19,7.9551,-0.0204,-0.25578
2022-07-18,7.9755,-0.0257,-0.3212
2022-07-17,8.0012,0.0114,0.14268
2022-07-14,7.9898,0.0013,0.01627
2022-07-13,7.9885,-0.0085,-0.10629
2022-07-12,7.997,-0.0228,-0.2843
2022-07-11,8.0198,-0.0302,-0.37516
2022-07-10,8.05,-0.0119,-0.14761
2022-07-07,8.0619,-0.024,-0.29681
2022-07-06,8.0859,-0.0362,-0.4457
2022-07-05,8.1221,-0.0282,-0.346
2022-07-04,8.1503,-0.031,-0.37891
2022-07-03,8.1813,-0.001,-0.01222
2022-06-30,8.1823,0.0025,0.03056
2022-06-29,8.1798,0.0138,0.16899
2022-06-28,8.166,-0.003,-0.03672
2022-06-27,8.169,-0.0013,-0.01591
2022-06-26,8.1703,-0.0445,-0.54171
2022-06-23,8.2148,-0.0338,-0.40977
2022-06-22,8.2486,-0.0426,-0.5138
2022-06-21,8.2912,,
2022-06-20,8.2878,-0.0187,-0.22512
2022-06-19,8.3065,-0.0011,-0.01324
2022-06-16,8.3076,0.006,0.07228
2022-06-15,8.3016,-0.0095,-0.1143
2022-06-14,8.3111,0.0265,0.31987
2022-06-13,8.2846,-0.0464,-0.55696
2022-06-12,8.331,-0.0447,-0.53369
