tradeDate,nav,change,changePercent
2022-08-30,8.2592,-0.0494,-0.59456
2022-08-29,8.3086,-0.0583,-0.69679
2022-08-28,8.3669,-0.0193,-0.23014
2022-08-25,8.3862,0.0046,0.05488
2022-08-24,8.3816,0.0144,0.1721
2022-08-23,8.3672,0.0235,0.28165
2022-08-22,8.3437,-0.0181,-0.21646
2022-08-21,8.3618,-0.0575,-0.68295
2022-08-18,8.4193,-0.0173,-0.20506
2022-08-17,8.4366,-0.0144,-0.17039
2022-08-16,8.451,-0.0424,-0.49921
2022-08-15,8.4934,-0.0293,-0.34379
2022-08-14,8.5227,0.0097,0.11394
2022-08-11,8.513,0.0025,0.02938
2022-08-10,8.5105,0.0332,0.39163
2022-08-09,8.4773,0.0249,0.29459
2022-08-08,8.4524,-0.0354,-0.41707
2022-08-07,8.4878,0.0124,0.14631
2022-08-04,8.4754,-0.0004,-0.00472
2022-08-03,8.4758,0.0112,0.13232
2022-08-02,8.4646,0.0038,0.04491
2022-08-01,8.4608,-0.012,-0.14163
2022-07-31,8.4728,0.0424,0.50294
2022-07-28,8.4304,0.0676,0.80834
2022-07-27,8.3628,0.0307,0.36845
2022-07-26,8.3321,0.0101,0.12137
2022-07-25,8.322,-0.017,-0.20386
2022-07-24,8.339,0.013,0.15614
2022-07-21,8.326,0.0417,0.50336
2022-07-20,8.2843,0.023,0.27841
2022-07-19,8.2613,0.081,0.99018
2022-07-18,8.1803,0.0314,0.38533
2022-07-17,8.1489,0.0388,0.47842
2022-07-14,8.1101,-0.0006,-0.0074
2022-07-13,8.1107,-0.01,-0.12314
2022-07-12,8.1207,-0.0087,-0.10702
2022-07-11,8.1294,0.0093,0.11453
2022-07-10,8.1201,0.0306,0.37827
2022-07-07,8.0895,0.0189,0.23418
2022-07-06,8.0706,0.0487,0.60709
2022-07-05,8.0219,0.0225,0.28127
2022-07-04,7.9994,0.0005,0.00625
2022-06-30,7.9989,0.0192,0.24061
2022-06-29,7.9797,-0.0417,-0.51986
2022-06-28,8.0214,-0.0654,-0.80873
2022-06-27,8.0868,-0.0398,-0.48975
2022-06-26,8.1266,0.0081,0.09977
2022-06-23,8.1185,0.0273,0.3374
2022-06-22,8.0912,-0.0041,-0.05065
2022-06-21,8.0953,,
2022-06-20,8.1126,0.0067,0.08266
2022-06-16,8.1059,0.0186,0.22999
2022-06-15,8.0873,-0.1047,-1.27808
2022-06-14,8.192,0.0169,0.20673
2022-06-13,8.1751,-0.0461,-0.56075
2022-06-12,8.2212,-0.1653,-1.97102
2022-06-09,8.3865,-0.0652,-0.77144
2022-06-08,8.4517,-0.0424,-0.49917
2022-06-07,8.4941,-0.0106,-0.12464
2022-06-06,8.5047,-0.0129,-0.15145
2022-06-05,8.5176,-0.0352,-0.41156
2022-06-01,8.5528,-0.0269,-0.31353
2022-05-31,8.5797,0.0068,0.07932
2022-05-30,8.5729,-0.0369,-0.42858
2022-05-26,8.6098,0.0387,0.45152
2022-05-25,8.5711,0.1239,1.46676
2022-05-24,8.4472,0.092,1.10111
2022-05-23,8.3552,0.0012,0.01436
2022-05-22,8.354,-0.0071,-0.08492
2022-05-19,8.3611,-0.0048,-0.05738
2022-05-18,8.3659,-0.0384,-0.45691
2022-05-17,8.4043,-0.012,-0.14258
2022-05-16,8.4163,-0.0611,-0.72074
2022-05-15,8.4774,-0.001,-0.01179
2022-05-12,8.4784,-0.0063,-0.07425
2022-05-11,8.4847,0.0347,0.41065
2022-05-10,8.45,0.0194,0.23011
2022-05-09,8.4306,0.0129,0.15325
2022-05-08,8.4177,-0.0579,-0.68314
2022-05-05,8.4756,-0.0571,-0.66919
2022-05-04,8.5327,0.0035,0.04104
2022-05-03,8.5292,0.0002,0.00234
2022-05-02,8.529,-0.0254,-0.29692
2022-04-28,8.5544,-0.0518,-0.60189
2022-04-27,8.6062,0.0302,0.35215
2022-04-26,8.576,-0.0263,-0.30573
2022-04-25,8.6023,0.007,0.08144
2022-04-24,8.5953,0.0059,0.06869
2022-04-21,8.5894,-0.0048,-0.05585
2022-04-20,8.5942,0.008,0.09317
2022-04-19,8.5862,0.0262,0.30607
2022-04-18,8.56,-0.0243,-0.28307
2022-04-17,8.5843,-0.0191,-0.22201
2022-04-13,8.6034,0.0035,0.0407
2022-04-12,8.5999,0.0086,0.1001
2022-04-11,8.5913,0.0042,0.04891
2022-04-10,8.5871,-0.0327,-0.37936
2022-04-07,8.6198,-0.0194,-0.22456
2022-04-06,8.6392,-0.0143,-0.16525
2022-04-05,8.6535,-0.0552,-0.63385
2022-03-31,8.7087,-0.0012,-0.01378
2022-03-30,8.7099,0.0019,0.02182
2022-03-29,8.708,0.0165,0.18984
2022-03-28,8.6915,0.0459,0.53091
2022-03-27,8.6456,-0.0021,-0.02428
2022-03-24,8.6477,-0.0056,-0.06472
2022-03-23,8.6533,0.0027,0.03121
2022-03-22,8.6506,0.0012,0.01387
2022-03-21,8.6494,-0.0075,-0.08664
2022-03-20,8.6569,-0.0059,-0.06811
2022-03-17,8.6628,0.0135,0.15608
2022-03-16,8.6493,0.0571,0.66456
2022-03-15,8.5922,0.0464,0.54296
2022-03-14,8.5458,-0.0477,-0.55507
2022-03-13,8.5935,-0.0388,-0.44947
2022-03-10,8.6323,-0.0026,-0.03011
2022-03-09,8.6349,-0.0239,-0.27602
2022-03-08,8.6588,0.0154,0.17817
2022-03-07,8.6434,-0.0236,-0.2723
2022-03-06,8.667,-0.0513,-0.58842
2022-03-03,8.7183,-0.0332,-0.37936
2022-03-02,8.7515,-0.0062,-0.07079
2022-03-01,8.7577,0.0049,0.05598
2022-02-28,8.7528,0.0183,0.20951
2022-02-24,8.7345,0.0566,0.65223
2022-02-23,8.6779,-0.0235,-0.27007
2022-02-22,8.7014,-0.0016,-0.01838
2022-02-21,8.703,-0.0444,-0.50758
2022-02-17,8.7474,-0.0052,-0.05941
2022-02-16,8.7526,-0.003,-0.03426
2022-02-15,8.7556,0.0141,0.1613
2022-02-14,8.7415,0.0104,0.11911
2022-02-13,8.7311,-0.0309,-0.35266
2022-02-10,8.762,-0.0507,-0.57531
2022-02-09,8.8127,-0.0363,-0.41022
2022-02-08,8.849,0.0286,0.32425
2022-02-07,8.8204,0.0123,0.13964
2022-02-06,8.8081,-0.0489,-0.55211
2022-01-27,8.857,-0.0315,-0.35439
2022-01-26,8.8885,-0.0213,-0.23906
2022-01-25,8.9098,0.0057,0.06402
2022-01-24,8.9041,-0.0103,-0.11554
2022-01-23,8.9144,-0.0248,-0.27743
2022-01-20,8.9392,-0.0218,-0.24328
2022-01-19,8.961,-0.0059,-0.0658
2022-01-18,8.9669,-0.0051,-0.05684
2022-01-17,8.972,-0.0648,-0.71707
2022-01-13,9.0368,-0.0164,-0.18115
2022-01-12,9.0532,-0.0041,-0.04527
2022-01-11,9.0573,0.0051,0.05634
2022-01-10,9.0522,0.0196,0.21699
2022-01-09,9.0326,-0.0141,-0.15586
2022-01-06,9.0467,-0.0188,-0.20738
2022-01-05,9.0655,-0.0093,-0.10248
2022-01-04,9.0748,-0.0098,-0.10787
2022-01-03,9.0846,-0.0061,-0.0671
2022-01-02,9.0907,-0.0026,-0.02859
2021-12-29,9.0933,-0.0005,-0.0055
2021-12-28,9.0938,-0.0048,-0.05276
2021-12-27,9.0986,0.0046,0.05058
2021-12-26,9.094,0.0155,0.17073
2021-12-22,9.0785,0.013,0.1434
2021-12-21,9.0655,0.0188,0.20781
2021-12-20,9.0467,0.0229,0.25377
2021-12-19,9.0238,-0.0084,-0.093
2021-12-16,9.0322,-0.0017,-0.01882
2021-12-15,9.0339,0.012,0.13301
2021-12-14,9.0219,-0.0341,-0.37655
2021-12-13,9.056,-0.0097,-0.107
2021-12-12,9.0657,-0.0039,-0.043
2021-12-09,9.0696,0.0032,0.0353
2021-12-08,9.0664,0.0103,0.11374
2021-12-07,9.0561,-0.0124,-0.13674
2021-12-06,9.0685,0.0365,0.40412
