tradeDate,nav,change,changePercent
2022-08-30,8.5778,-0.0117,-0.13621
2022-08-29,8.5895,0.0228,0.26615
2022-08-28,8.5667,0.0372,0.43613
2022-08-25,8.5295,0.0209,0.24563
2022-08-24,8.5086,-0.0121,-0.14201
2022-08-23,8.5207,0.0237,0.27892
2022-08-22,8.497,0.0364,0.43023
2022-08-21,8.4606,-0.0067,-0.07913
2022-08-18,8.4673,-0.0095,-0.11207
2022-08-17,8.4768,-0.0054,-0.06366
2022-08-16,8.4822,-0.0285,-0.33487
2022-08-15,8.5107,0.0028,0.03291
2022-08-14,8.5079,0.0113,0.13299
2022-08-11,8.4966,0.0113,0.13317
2022-08-10,8.4853,0.0221,0.26113
2022-08-09,8.4632,0.0173,0.20483
2022-08-08,8.4459,0.0005,0.00592
2022-08-07,8.4454,0.0274,0.32549
2022-08-04,8.418,-0.0054,-0.06411
2022-08-03,8.4234,0.0232,0.27618
2022-08-02,8.4002,0.0018,0.02143
2022-08-01,8.3984,0.0019,0.02263
2022-07-31,8.3965,0.042,0.50272
2022-07-28,8.3545,0.0352,0.42311
2022-07-27,8.3193,0.032,0.38613
2022-07-26,8.2873,0.0092,0.11114
2022-07-25,8.2781,-0.0012,-0.01449
2022-07-24,8.2793,0.0197,0.23851
2022-07-21,8.2596,0.038,0.4622
2022-07-20,8.2216,0.0142,0.17301
2022-07-19,8.2074,0.0136,0.16598
2022-07-18,8.1938,-0.0075,-0.09145
2022-07-17,8.2013,-0.0628,-0.75991
2022-07-14,8.2641,0.0098,0.11873
2022-07-13,8.2543,-0.0195,-0.23568
2022-07-12,8.2738,-0.0287,-0.34568
2022-07-11,8.3025,0.002,0.02409
2022-07-10,8.3005,0.0034,0.04098
2022-07-07,8.2971,-0.0046,-0.05541
2022-07-06,8.3017,-0.0159,-0.19116
2022-07-05,8.3176,-0.008,-0.09609
2022-07-04,8.3256,-0.0086,-0.10319
2022-06-30,8.3342,0.0213,0.25623
2022-06-29,8.3129,0.0009,0.01083
2022-06-28,8.312,-0.0131,-0.15736
2022-06-27,8.3251,-0.0022,-0.02642
2022-06-26,8.3273,-0.0263,-0.31483
2022-06-23,8.3536,-0.022,-0.26267
2022-06-22,8.3756,-0.0048,-0.05728
2022-06-21,8.3804,,
2022-06-20,8.3724,0.0039,0.0466
2022-06-16,8.3685,-0.0171,-0.20392
2022-06-15,8.3856,-0.0174,-0.20707
2022-06-14,8.403,0.0333,0.39786
2022-06-13,8.3697,-0.0329,-0.39155
2022-06-12,8.4026,-0.05,-0.59153
2022-06-09,8.4526,-0.0228,-0.26901
2022-06-08,8.4754,-0.0192,-0.22603
2022-06-07,8.4946,-0.0057,-0.06706
2022-06-06,8.5003,0.0257,0.30326
2022-06-05,8.4746,0.0066,0.07794
2022-06-01,8.468,0.0314,0.37219
2022-05-31,8.4366,0.0559,0.66701
2022-05-30,8.3807,-0.0898,-1.06015
2022-05-26,8.4705,-0.0388,-0.45597
2022-05-25,8.5093,0.0004,0.0047
2022-05-24,8.5089,-0.0066,-0.07751
2022-05-23,8.5155,0.0051,0.05993
2022-05-22,8.5104,0.0118,0.13885
2022-05-19,8.4986,-0.0128,-0.15039
2022-05-18,8.5114,0.0092,0.10821
2022-05-17,8.5022,0.001,0.01176
2022-05-16,8.5012,-0.043,-0.50327
2022-05-15,8.5442,-0.0005,-0.00585
2022-05-12,8.5447,-0.0147,-0.17174
2022-05-11,8.5594,0.0065,0.076
2022-05-10,8.5529,-0.0099,-0.11562
2022-05-09,8.5628,-0.0384,-0.44645
2022-05-08,8.6012,0.0058,0.06748
2022-05-05,8.5954,0.0156,0.18182
2022-05-04,8.5798,-0.0072,-0.08385
2022-05-03,8.587,0.0064,0.07459
2022-05-02,8.5806,0.0016,0.01865
2022-04-28,8.579,-0.0156,-0.18151
2022-04-27,8.5946,0.0347,0.40538
2022-04-26,8.5599,0.0087,0.10174
2022-04-25,8.5512,-0.0058,-0.06778
2022-04-24,8.557,0.0106,0.12403
2022-04-21,8.5464,0.0075,0.08783
2022-04-20,8.5389,-0.0333,-0.38847
2022-04-19,8.5722,-0.0621,-0.71922
2022-04-18,8.6343,-0.007,-0.08101
2022-04-17,8.6413,0.0512,0.59603
2022-04-13,8.5901,-0.0096,-0.11163
2022-04-12,8.5997,-0.0106,-0.12311
2022-04-11,8.6103,0.0129,0.15005
2022-04-10,8.5974,0.0078,0.09081
2022-04-07,8.5896,0.0161,0.18779
2022-04-06,8.5735,0.007,0.08171
2022-04-05,8.5665,0.0429,0.50331
2022-03-31,8.5236,0.006,0.07044
2022-03-30,8.5176,0.015,0.17642
2022-03-29,8.5026,-0.0153,-0.17962
2022-03-28,8.5179,0.0318,0.37473
2022-03-27,8.4861,0.071,0.84372
2022-03-24,8.4151,0.0134,0.15949
2022-03-23,8.4017,0.0004,0.00476
2022-03-22,8.4013,0.0163,0.19439
2022-03-21,8.385,0.006,0.07161
2022-03-20,8.379,0.0514,0.61722
2022-03-17,8.3276,-0.0309,-0.36968
2022-03-16,8.3585,0.0413,0.49656
2022-03-15,8.3172,0.045,0.54399
2022-03-14,8.2722,-0.0235,-0.28328
2022-03-13,8.2957,0.0015,0.01808
2022-03-10,8.2942,-0.014,-0.16851
2022-03-09,8.3082,-0.0287,-0.34425
2022-03-08,8.3369,-0.0141,-0.16884
2022-03-07,8.351,-0.0119,-0.1423
2022-03-06,8.3629,-0.0072,-0.08602
2022-03-03,8.3701,0.0163,0.19512
2022-03-02,8.3538,-0.0138,-0.16492
2022-03-01,8.3676,-0.0332,-0.3952
2022-02-28,8.4008,-0.0418,-0.49511
2022-02-24,8.4426,-0.0075,-0.08876
2022-02-23,8.4501,-0.0044,-0.05204
2022-02-22,8.4545,-0.0024,-0.02838
2022-02-21,8.4569,-0.0074,-0.08743
2022-02-17,8.4643,0.0218,0.25822
2022-02-16,8.4425,-0.0352,-0.41521
2022-02-15,8.4777,-0.0203,-0.23888
2022-02-14,8.498,-0.0174,-0.20434
2022-02-13,8.5154,-0.0291,-0.34057
2022-02-10,8.5445,0.0179,0.20993
2022-02-09,8.5266,0.016,0.188
2022-02-08,8.5106,0.0084,0.0988
2022-02-07,8.5022,-0.0219,-0.25692
2022-02-06,8.5241,-0.0418,-0.48798
2022-01-25,8.5659,-0.006,-0.07
2022-01-24,8.5719,0.0191,0.22332
2022-01-23,8.5528,0.007,0.08191
2022-01-20,8.5458,0.0405,0.47617
2022-01-19,8.5053,0.0092,0.10828
2022-01-18,8.4961,0.1133,1.35158
2022-01-17,8.3828,-0.0856,-1.01082
2022-01-13,8.4684,-0.0542,-0.63596
2022-01-12,8.5226,-0.0339,-0.39619
2022-01-11,8.5565,-0.0242,-0.28203
2022-01-10,8.5807,-0.0192,-0.22326
2022-01-09,8.5999,-0.0099,-0.11499
2022-01-06,8.6098,-0.007,-0.08124
2022-01-05,8.6168,-0.1041,-1.19368
2022-01-04,8.7209,-0.0116,-0.13284
2022-01-03,8.7325,-0.0124,-0.1418
2022-01-02,8.7449,-0.009,-0.10281
2021-12-29,8.7539,0.0104,0.11895
2021-12-28,8.7435,0.0079,0.09043
2021-12-27,8.7356,-0.006,-0.06864
2021-12-26,8.7416,-0.0197,-0.22485
2021-12-22,8.7613,0.0083,0.09482
2021-12-21,8.753,0.0045,0.05144
2021-12-20,8.7485,-0.0004,-0.00457
2021-12-19,8.7489,-0.0031,-0.03542
2021-12-16,8.752,-0.0185,-0.21093
2021-12-15,8.7705,0.0137,0.15645
2021-12-14,8.7568,-0.0297,-0.33802
2021-12-13,8.7865,-0.0632,-0.71415
2021-12-12,8.8497,-0.0145,-0.16358
2021-12-09,8.8642,0.0135,0.15253
2021-12-08,8.8507,0.0012,0.01356
2021-12-07,8.8495,0.0167,0.18907
2021-12-06,8.8328,0.0583,0.66443
2021-12-05,8.7745,0.0275,0.31439
2021-12-02,8.747,-0.0157,-0.17917
2021-12-01,8.7627,0.0033,0.03767
2021-11-30,8.7594,-0.0143,-0.16299
2021-11-29,8.7737,-0.0018,-0.02051
2021-11-28,8.7755,-0.0299,-0.33956
2021-11-25,8.8054,-0.0345,-0.39028
2021-11-23,8.8399,-0.0306,-0.34496
2021-11-22,8.8705,-0.0261,-0.29337
2021-11-21,8.8966,-0.0049,-0.05505
2021-11-18,8.9015,-0.0059,-0.06624
2021-11-17,8.9074,0.0163,0.18333
2021-11-16,8.8911,0.007,0.07879
2021-11-15,8.8841,-0.0163,-0.18314
2021-11-14,8.9004,0.0053,0.05958
2021-11-11,8.8951,0.1315,1.50052
2021-11-09,8.7636,0.0578,0.66393
2021-11-08,8.7058,-0.0716,-0.81573
2021-11-07,8.7774,-0.0475,-0.53825
2021-11-04,8.8249,-0.0668,-0.75126
2021-11-03,8.8917,-0.035,-0.39208
2021-11-02,8.9267,0.0124,0.1391
2021-11-01,8.9143,-0.008,-0.08966
2021-10-31,8.9223,-0.0302,-0.33734
2021-10-28,8.9525,-0.0122,-0.13609
2021-10-27,8.9647,-0.0093,-0.10363
2021-10-26,8.974,0.0011,0.01226
2021-10-25,8.9729,-0.0093,-0.10354
2021-10-24,8.9822,-0.0117,-0.13009
2021-10-21,8.9939,-0.003,-0.03334
2021-10-20,8.9969,-0.0152,-0.16866
2021-10-19,9.0121,-0.0056,-0.0621
2021-10-18,9.0177,-0.0734,-0.80738
2021-10-17,9.0911,0.0351,0.38759
2021-10-14,9.056,0.0078,0.0862
2021-10-13,9.0482,-0.0083,-0.09165
2021-10-12,9.0565,0.0021,0.02319
2021-10-11,9.0544,-0.0229,-0.25228
2021-10-07,9.0773,0.0114,0.12575
2021-10-06,9.0659,-0.0164,-0.18057
2021-10-05,9.0823,0.0107,0.11795
2021-10-04,9.0716,-0.0134,-0.1475
2021-10-03,9.085,0.0005,0.0055
2021-09-30,9.0845,0.004,0.04405
2021-09-29,9.0805,0.0217,0.23955
2021-09-28,9.0588,0.0111,0.12268
2021-09-27,9.0477,0.0083,0.09182
2021-09-26,9.0394,-0.0178,-0.19653
2021-09-23,9.0572,-0.0279,-0.3071
2021-09-22,9.0851,0.0096,0.10578
2021-09-21,9.0755,-0.0178,-0.19575
2021-09-16,9.0933,-0.0195,-0.21398
2021-09-15,9.1128,-0.016,-0.17527
2021-09-14,9.1288,-0.0045,-0.04927
2021-09-13,9.1333,-0.0022,-0.02408
2021-09-12,9.1355,0.0104,0.11397
2021-09-09,9.1251,-0.021,-0.22961
2021-09-08,9.1461,-0.0007,-0.00765
2021-09-07,9.1468,0.0234,0.25648
2021-09-06,9.1234,-0.0055,-0.06025
2021-09-02,9.1289,-0.0088,-0.0963
2021-09-01,9.1377,0.0007,0.00766
2021-08-31,9.137,-0.0067,-0.07327
2021-08-30,9.1437,-0.003,-0.0328
2021-08-29,9.1467,-0.0215,-0.23451
2021-08-26,9.1682,0.0041,0.04474
2021-08-25,9.1641,0.0162,0.17709
2021-08-24,9.1479,-0.0003,-0.00328
2021-08-23,9.1482,-0.0089,-0.09719
2021-08-22,9.1571,-0.0007,-0.00764
2021-08-19,9.1578,0.0152,0.16625
2021-08-18,9.1426,0.0679,0.74823
2021-08-17,9.0747,0.0104,0.11474
2021-08-16,9.0643,0.0137,0.15137
2021-08-15,9.0506,0.0171,0.1893
2021-08-12,9.0335,0.0182,0.20188
2021-08-11,9.0153,-0.004,-0.04435
2021-08-10,9.0193,0.0084,0.09322
2021-08-09,9.0109,0.0102,0.11332
2021-08-08,9.0007,0.0033,0.03668
2021-08-05,8.9974,0.0044,0.04893
2021-08-04,8.993,-0.0119,-0.13215
2021-08-03,9.0049,-0.019,-0.21055
2021-08-02,9.0239,0.0144,0.15983
2021-08-01,9.0095,-0.0001,-0.00111
2021-07-29,9.0096,-0.0093,-0.10312
2021-07-28,9.0189,-0.0186,-0.20581
2021-07-27,9.0375,-0.0223,-0.24614
2021-07-26,9.0598,-0.0257,-0.28287
2021-07-25,9.0855,0.0015,0.01651
2021-07-22,9.084,0.0005,0.0055
2021-07-21,9.0835,-0.0228,-0.25038
2021-07-20,9.1063,0.0042,0.04614
2021-07-19,9.1021,0.0063,0.06926
2021-07-18,9.0958,0.0169,0.18615
2021-07-15,9.0789,-0.0164,-0.18031
2021-07-14,9.0953,-0.009,-0.09885
2021-07-13,9.1043,0.0133,0.1463
2021-07-12,9.091,-0.0073,-0.08023
2021-07-11,9.0983,-0.02,-0.21934
2021-07-08,9.1183,0.0156,0.17138
2021-07-07,9.1027,0.0057,0.06266
2021-07-06,9.097,0.0293,0.32312
2021-07-05,9.0677,-0.0303,-0.33304
2021-07-01,9.098,0.0299,0.32973
2021-06-30,9.0681,0.0106,0.11703
2021-06-29,9.0575,-0.0226,-0.2489
2021-06-28,9.0801,-0.0041,-0.04513
2021-06-27,9.0842,0.0004,0.0044
2021-06-24,9.0838,-0.0313,-0.34339
2021-06-23,9.1151,-0.0027,-0.02961
2021-06-22,9.1178,0.0128,0.14058
2021-06-21,9.105,0.0024,0.02637
2021-06-20,9.1026,0.0481,0.53123
2021-06-17,9.0545,0.0174,0.19254
2021-06-16,9.0371,0.026,0.28853
2021-06-15,9.0111,0.0086,0.09553
2021-06-14,9.0025,0.0035,0.03889
2021-06-10,8.999,-0.0169,-0.18745
2021-06-09,9.0159,-0.0203,-0.22465
2021-06-08,9.0362,0.0182,0.20182
2021-06-07,9.018,0.0065,0.07213
2021-06-06,9.0115,0.008,0.08885
2021-06-03,9.0035,0.0249,0.27733
2021-06-02,8.9786,-0.0046,-0.05121
2021-06-01,8.9832,0.0314,0.35077
2021-05-31,8.9518,-0.0333,-0.37061
2021-05-27,8.9851,-0.0159,-0.17665
2021-05-26,9.001,0.002,0.02222
2021-05-25,8.999,-0.0134,-0.14868
2021-05-24,9.0124,-0.0135,-0.14957
2021-05-23,9.0259,0.0164,0.18203
2021-05-20,9.0095,-0.0179,-0.19829
2021-05-19,9.0274,0.002,0.02216
2021-05-18,9.0254,0.0027,0.02992
2021-05-17,9.0227,-0.0343,-0.37871
2021-05-16,9.057,-0.0007,-0.00773
2021-05-13,9.0577,0.0054,0.05965
2021-05-12,9.0523,0.0073,0.08071
2021-05-11,9.045,-0.0242,-0.26684
2021-05-10,9.0692,0.0411,0.45525
2021-05-09,9.0281,-0.0201,-0.22214
2021-05-06,9.0482,-0.0172,-0.18973
2021-05-05,9.0654,0.0158,0.17459
2021-05-04,9.0496,0.0087,0.09623
2021-05-03,9.0409,-0.0019,-0.02101
2021-05-02,9.0428,0.0217,0.24055
2021-04-28,9.0211,0.0064,0.071
2021-04-27,9.0147,0.0135,0.14998
2021-04-26,9.0012,-0.0259,-0.28691
2021-04-25,9.0271,-0.0672,-0.73892
2021-04-22,9.0943,-0.0119,-0.13068
2021-04-21,9.1062,-0.0067,-0.07352
2021-04-20,9.1129,-0.0246,-0.26922
2021-04-19,9.1375,-0.0993,-1.07505
2021-04-18,9.2368,0.0,0.0
2021-04-15,9.2368,0.0324,0.35201
2021-04-14,9.2044,0.021,0.22867
2021-04-13,9.1834,-0.0734,-0.79293
2021-04-12,9.2568,-0.0503,-0.54045
2021-04-11,9.3071,-0.0144,-0.15448
2021-04-08,9.3215,-0.0039,-0.04182
2021-04-07,9.3254,0.008,0.08586
2021-04-06,9.3174,-0.0317,-0.33907
2021-04-05,9.3491,-0.0275,-0.29328
2021-03-30,9.3766,0.0041,0.04374
2021-03-29,9.3725,-0.021,-0.22356
2021-03-28,9.3935,-0.017,-0.18065
2021-03-25,9.4105,-0.0099,-0.10509
2021-03-24,9.4204,0.0231,0.24582
2021-03-23,9.3973,0.0196,0.20901
2021-03-22,9.3777,-0.0011,-0.01173
2021-03-21,9.3788,-0.0168,-0.17881
2021-03-18,9.3956,0.0568,0.60822
2021-03-17,9.3388,0.0013,0.01392
2021-03-16,9.3375,0.0115,0.12331
2021-03-15,9.326,0.0404,0.43508
2021-03-11,9.2856,-0.0255,-0.27387
2021-03-10,9.3111,-0.0081,-0.08692
2021-03-09,9.3192,-0.0136,-0.14572
2021-03-08,9.3328,0.0285,0.30631
2021-03-07,9.3043,-0.0275,-0.29469
