tradeDate,nav,change,changePercent
2022-08-31,2.0108,-0.0135,-0.6669
2022-08-30,2.0243,-0.0145,-0.7112
2022-08-29,2.0388,0.0003,0.01472
2022-08-28,2.0385,-0.0157,-0.76429
2022-08-25,2.0542,-0.0001,-0.00487
2022-08-24,2.0543,0.0145,0.71085
2022-08-23,2.0398,-0.0065,-0.31765
2022-08-22,2.0463,-0.0016,-0.07813
2022-08-21,2.0479,-0.0129,-0.62597
2022-08-18,2.0608,-0.0178,-0.85635
2022-08-17,2.0786,0.0018,0.08667
2022-08-16,2.0768,-0.0147,-0.70284
2022-08-15,2.0915,-0.0054,-0.25752
2022-08-14,2.0969,0.0048,0.22943
2022-08-11,2.0921,0.0141,0.67854
2022-08-10,2.078,-0.0143,-0.68346
2022-08-09,2.0923,0.003,0.14359
2022-08-08,2.0893,-0.0094,-0.4479
2022-08-07,2.0987,0.0107,0.51245
2022-08-04,2.088,-0.0178,-0.84528
2022-08-03,2.1058,-0.0008,-0.03798
2022-08-02,2.1066,0.0106,0.50573
2022-08-01,2.096,-0.019,-0.89835
2022-07-31,2.115,0.0091,0.43212
2022-07-28,2.1059,0.0091,0.43399
2022-07-27,2.0968,0.0119,0.57077
2022-07-26,2.0849,0.0015,0.072
2022-07-25,2.0834,-0.001,-0.04798
2022-07-24,2.0844,-0.0138,-0.65771
2022-07-21,2.0982,0.0197,0.9478
2022-07-20,2.0785,0.0171,0.82953
2022-07-19,2.0614,0.0035,0.17008
2022-07-18,2.0579,-0.001,-0.04857
2022-07-17,2.0589,-0.0113,-0.54584
2022-07-14,2.0702,0.0088,0.42689
2022-07-13,2.0614,-0.0009,-0.04364
2022-07-12,2.0623,0.0029,0.14082
2022-07-11,2.0594,0.003,0.14589
2022-07-10,2.0564,0.0031,0.15098
2022-07-07,2.0533,-0.0032,-0.1556
2022-07-06,2.0565,-0.0044,-0.2135
2022-07-05,2.0609,-0.0069,-0.33369
2022-07-04,2.0678,0.0074,0.35915
2022-06-30,2.0604,0.0132,0.64478
2022-06-29,2.0472,0.0044,0.21539
2022-06-28,2.0428,0.0057,0.27981
2022-06-27,2.0371,0.0009,0.0442
2022-06-26,2.0362,-0.0106,-0.51788
2022-06-23,2.0468,-0.0005,-0.02442
2022-06-22,2.0473,0.0081,0.39721
2022-06-21,2.0392,0.0068,0.33458
2022-06-20,2.0324,-0.0069,-0.33835
2022-06-16,2.0393,-0.0001,-0.0049
2022-06-15,2.0394,0.0044,0.21622
2022-06-14,2.035,0.0162,0.80246
2022-06-13,2.0188,-0.0116,-0.57132
2022-06-12,2.0304,-0.03,-1.45603
2022-06-09,2.0604,-0.0115,-0.55505
2022-06-08,2.0719,-0.0089,-0.42772
2022-06-07,2.0808,-0.0063,-0.30185
2022-06-06,2.0871,0.0077,0.3703
2022-06-05,2.0794,-0.015,-0.7162
2022-06-01,2.0944,-0.0014,-0.0668
2022-05-31,2.0958,-0.0051,-0.24275
2022-05-30,2.1009,-0.0101,-0.47845
2022-05-26,2.111,0.0058,0.27551
2022-05-25,2.1052,0.0074,0.35275
2022-05-24,2.0978,0.0104,0.49823
2022-05-23,2.0874,0.0124,0.59759
2022-05-22,2.075,-0.0094,-0.45097
2022-05-19,2.0844,0.0051,0.24527
2022-05-18,2.0793,0.0011,0.05293
2022-05-17,2.0782,0.0092,0.44466
2022-05-16,2.069,-0.0125,-0.60053
2022-05-15,2.0815,-0.0004,-0.01921
2022-05-12,2.0819,-0.0083,-0.39709
2022-05-11,2.0902,0.0069,0.33121
2022-05-10,2.0833,0.0057,0.27436
2022-05-09,2.0776,0.0017,0.08189
2022-05-08,2.0759,0.0072,0.34804
2022-05-05,2.0687,-0.0117,-0.56239
2022-05-04,2.0804,-0.0176,-0.83889
2022-05-03,2.098,0.0048,0.22931
2022-05-02,2.0932,-0.0042,-0.20025
2022-04-28,2.0974,-0.012,-0.56888
2022-04-27,2.1094,-0.001,-0.04738
2022-04-26,2.1104,-0.0106,-0.49976
2022-04-25,2.121,0.0071,0.33587
2022-04-24,2.1139,0.0076,0.36082
2022-04-21,2.1063,-0.0062,-0.29349
2022-04-20,2.1125,-0.0116,-0.54611
2022-04-19,2.1241,0.0099,0.46826
2022-04-18,2.1142,-0.0099,-0.46608
2022-04-17,2.1241,-0.0055,-0.25826
2022-04-13,2.1296,-0.0111,-0.51852
2022-04-12,2.1407,0.0028,0.13097
2022-04-11,2.1379,0.0022,0.10301
2022-04-10,2.1357,-0.0201,-0.93237
2022-04-07,2.1558,-0.0078,-0.36051
2022-04-06,2.1636,-0.0047,-0.21676
