tradeDate,nav,change,changePercent
2022-08-30,9.485,-0.0343,-0.36032
2022-08-29,9.5193,-0.0071,-0.07453
2022-08-28,9.5264,-0.0394,-0.41188
2022-08-25,9.5658,-0.0044,-0.04598
2022-08-24,9.5702,0.0469,0.49248
2022-08-23,9.5233,-0.0315,-0.32968
2022-08-22,9.5548,-0.0057,-0.05962
2022-08-21,9.5605,-0.0429,-0.44672
2022-08-18,9.6034,-0.0696,-0.71953
2022-08-17,9.673,-0.0025,-0.02584
2022-08-16,9.6755,-0.0634,-0.651
2022-08-15,9.7389,-0.0117,-0.11999
2022-08-14,9.7506,0.0359,0.36954
2022-08-11,9.7147,0.0074,0.07623
2022-08-10,9.7073,-0.0434,-0.4451
2022-08-09,9.7507,0.0073,0.07492
2022-08-08,9.7434,-0.0125,-0.12813
2022-08-07,9.7559,0.0308,0.31671
2022-08-04,9.7251,-0.0689,-0.70349
2022-08-03,9.794,0.0238,0.2436
2022-08-02,9.7702,-0.0151,-0.15431
2022-08-01,9.7853,-0.03,-0.30565
2022-07-31,9.8153,0.0254,0.25945
2022-07-28,9.7899,0.0393,0.40305
2022-07-27,9.7506,0.0402,0.41399
2022-07-26,9.7104,0.0171,0.17641
2022-07-25,9.6933,0.0166,0.17155
2022-07-24,9.6767,-0.0084,-0.08673
2022-07-21,9.6851,0.0874,0.91063
2022-07-20,9.5977,0.0502,0.52579
2022-07-19,9.5475,0.0187,0.19625
2022-07-18,9.5288,-0.0241,-0.25228
2022-07-17,9.5529,-0.0132,-0.13799
2022-07-14,9.5661,0.0198,0.20741
2022-07-13,9.5463,-0.0324,-0.33825
2022-07-12,9.5787,-0.0018,-0.01879
2022-07-11,9.5805,0.0354,0.37087
2022-07-10,9.5451,0.0445,0.46839
2022-07-07,9.5006,-0.0224,-0.23522
2022-07-06,9.523,-0.0349,-0.36514
2022-07-05,9.5579,-0.0149,-0.15565
2022-07-04,9.5728,0.0469,0.49234
2022-07-03,9.5259,-0.0132,-0.13838
2022-06-30,9.5391,0.0377,0.39678
2022-06-29,9.5014,0.0316,0.33369
2022-06-28,9.4698,0.0445,0.47213
2022-06-27,9.4253,-0.0169,-0.17898
2022-06-26,9.4422,-0.031,-0.32724
2022-06-23,9.4732,-0.0222,-0.2338
2022-06-22,9.4954,0.0662,0.70207
2022-06-21,9.4292,0.0666,0.71134
2022-06-20,9.3626,-0.0346,-0.36819
2022-06-19,9.3972,-0.012,-0.12753
2022-06-16,9.4092,0.0226,0.24077
2022-06-15,9.3866,0.0022,0.02344
2022-06-14,9.3844,0.028,0.29926
2022-06-13,9.3564,-0.0564,-0.59918
2022-06-12,9.4128,-0.1498,-1.56652
2022-06-09,9.5626,-0.0757,-0.78541
2022-06-08,9.6383,-0.0278,-0.2876
2022-06-07,9.6661,-0.0288,-0.29706
2022-06-06,9.6949,0.0276,0.2855
2022-06-05,9.6673,-0.0642,-0.65971
2022-06-01,9.7315,-0.0178,-0.18258
2022-05-31,9.7493,-0.0122,-0.12498
2022-05-30,9.7615,-0.0489,-0.49845
2022-05-29,9.8104,-0.0142,-0.14454
2022-05-26,9.8246,0.0153,0.15597
2022-05-25,9.8093,0.0275,0.28113
2022-05-24,9.7818,0.029,0.29735
2022-05-23,9.7528,0.0427,0.43975
2022-05-22,9.7101,-0.0407,-0.4174
2022-05-19,9.7508,0.0041,0.04207
2022-05-18,9.7467,0.0043,0.04414
2022-05-17,9.7424,0.0253,0.26037
2022-05-16,9.7171,-0.0622,-0.63604
2022-05-15,9.7793,0.0123,0.12593
2022-05-12,9.767,-0.0606,-0.61663
2022-05-11,9.8276,0.0613,0.62767
2022-05-10,9.7663,0.0396,0.40713
2022-05-09,9.7267,0.0489,0.50528
2022-05-08,9.6778,-0.0006,-0.0062
2022-05-05,9.6784,-0.0476,-0.48941
2022-05-04,9.726,-0.0552,-0.56435
2022-05-03,9.7812,-0.0136,-0.13885
2022-05-02,9.7948,-0.0391,-0.3976
2022-04-28,9.8339,-0.0255,-0.25864
2022-04-27,9.8594,-0.0212,-0.21456
2022-04-26,9.8806,-0.0186,-0.18789
2022-04-25,9.8992,0.0178,0.18014
2022-04-24,9.8814,0.0336,0.34119
2022-04-21,9.8478,-0.0259,-0.26231
2022-04-20,9.8737,-0.0424,-0.42759
2022-04-19,9.9161,0.0355,0.35929
2022-04-18,9.8806,-0.0313,-0.31578
2022-04-17,9.9119,-0.024,-0.24155
2022-04-14,9.9359,0.0007,0.00705
2022-04-13,9.9352,-0.0472,-0.47283
2022-04-12,9.9824,0.0126,0.12638
2022-04-11,9.9698,0.0055,0.0552
2022-04-10,9.9643,-0.053,-0.52908
2022-04-07,10.0173,-0.0393,-0.39079
2022-04-06,10.0566,-0.0182,-0.18065
2022-04-05,10.0748,-0.1037,-1.01881
2022-03-31,10.1785,0.0012,0.01179
2022-03-30,10.1773,0.0233,0.22947
2022-03-29,10.154,0.0324,0.32011
2022-03-28,10.1216,0.0331,0.3281
2022-03-27,10.0885,-0.0017,-0.01685
2022-03-24,10.0902,-0.0517,-0.50977
2022-03-23,10.1419,0.0003,0.00296
2022-03-22,10.1416,0.0341,0.33737
2022-03-21,10.1075,-0.0427,-0.42068
2022-03-20,10.1502,-0.0528,-0.51749
2022-03-17,10.203,0.0369,0.36297
2022-03-16,10.1661,0.0233,0.22972
2022-03-15,10.1428,0.0133,0.1313
2022-03-14,10.1295,-0.0148,-0.14589
2022-03-13,10.1443,-0.0747,-0.73099
2022-03-10,10.219,0.0002,0.00196
2022-03-09,10.2188,-0.0466,-0.45395
2022-03-08,10.2654,-0.0247,-0.24004
2022-03-07,10.2901,-0.0846,-0.81545
2022-03-06,10.3747,-0.0608,-0.58263
2022-03-03,10.4355,0.033,0.31723
2022-03-02,10.4025,0.0033,0.03173
2022-03-01,10.3992,-0.079,-0.75395
2022-02-28,10.4782,0.1415,1.36891
2022-02-24,10.3367,0.0224,0.21717
2022-02-23,10.3143,-0.0414,-0.39978
2022-02-22,10.3557,-0.015,-0.14464
2022-02-21,10.3707,-0.0252,-0.2424
2022-02-20,10.3959,-0.0152,-0.146
2022-02-17,10.4111,0.0213,0.20501
2022-02-16,10.3898,0.0236,0.22766
2022-02-15,10.3662,0.0039,0.03764
2022-02-14,10.3623,-0.0314,-0.30211
2022-02-13,10.3937,-0.0406,-0.3891
2022-02-10,10.4343,-0.0084,-0.08044
2022-02-09,10.4427,-0.0562,-0.53529
2022-02-08,10.4989,0.0355,0.33928
2022-02-07,10.4634,-0.0217,-0.20696
2022-02-06,10.4851,-0.1637,-1.53726
2022-01-27,10.6488,-0.0258,-0.2417
2022-01-26,10.6746,0.0142,0.1332
2022-01-25,10.6604,-0.0189,-0.17698
2022-01-24,10.6793,-0.0342,-0.31922
2022-01-23,10.7135,-0.0224,-0.20865
2022-01-21,10.7359,0.0007,0.00652
2022-01-20,10.7352,0.0262,0.24465
2022-01-19,10.709,-0.0001,-0.00093
2022-01-18,10.7091,0.0125,0.11686
2022-01-17,10.6966,-0.0499,-0.46434
2022-01-16,10.7465,-0.0162,-0.15052
2022-01-13,10.7627,-0.0417,-0.38595
2022-01-12,10.8044,0.0135,0.12511
2022-01-11,10.7909,0.0104,0.09647
2022-01-10,10.7805,0.0205,0.19052
2022-01-09,10.76,-0.0125,-0.11604
2022-01-06,10.7725,-0.0155,-0.14368
2022-01-05,10.788,-0.0205,-0.18967
2022-01-04,10.8085,-0.0045,-0.04162
2022-01-03,10.813,-0.0265,-0.24448
2022-01-02,10.8395,-0.0398,-0.36583
2021-12-29,10.8793,0.0129,0.11871
2021-12-28,10.8664,-0.0211,-0.1938
2021-12-27,10.8875,0.003,0.02756
2021-12-26,10.8845,0.0029,0.02665
2021-12-23,10.8816,0.0131,0.12053
2021-12-22,10.8685,-0.0139,-0.12773
2021-12-21,10.8824,0.02,0.18412
2021-12-20,10.8624,-0.0234,-0.21496
2021-12-19,10.8858,-0.0216,-0.19803
2021-12-16,10.9074,0.0151,0.13863
2021-12-15,10.8923,0.008,0.0735
2021-12-14,10.8843,-0.0221,-0.20263
2021-12-13,10.9064,-0.0108,-0.09893
2021-12-12,10.9172,0.0378,0.34745
2021-12-09,10.8794,0.0009,0.00827
2021-12-08,10.8785,0.008,0.07359
2021-12-07,10.8705,-0.0231,-0.21205
2021-12-06,10.8936,0.0044,0.04041
2021-12-05,10.8892,-0.0273,-0.25008
2021-12-02,10.9165,0.0598,0.55081
2021-12-01,10.8567,0.0092,0.08481
2021-11-30,10.8475,0.0064,0.05903
2021-11-29,10.8411,0.0336,0.3109
2021-11-28,10.8075,-0.0261,-0.24092
2021-11-25,10.8336,0.0334,0.30925
2021-11-24,10.8002,-0.0024,-0.02222
2021-11-23,10.8026,0.0029,0.02685
2021-11-22,10.7997,-0.0389,-0.3589
2021-11-21,10.8386,-0.0488,-0.44822
2021-11-18,10.8874,0.0281,0.25876
2021-11-17,10.8593,0.0227,0.20948
2021-11-16,10.8366,0.0061,0.05632
2021-11-15,10.8305,-0.016,-0.14751
2021-11-14,10.8465,-0.0312,-0.28683
2021-11-11,10.8777,-0.0163,-0.14962
2021-11-10,10.894,-0.0147,-0.13475
2021-11-09,10.9087,-0.062,-0.56514
2021-11-08,10.9707,0.0296,0.27054
2021-11-07,10.9411,-0.0039,-0.03563
2021-11-04,10.945,0.0537,0.49305
2021-11-03,10.8913,0.0411,0.37879
2021-11-02,10.8502,-0.0123,-0.11323
2021-11-01,10.8625,0.0182,0.16783
2021-10-31,10.8443,-0.0157,-0.14457
2021-10-28,10.86,-0.018,-0.16547
2021-10-27,10.878,-0.007,-0.06431
2021-10-26,10.885,0.0621,0.57378
2021-10-25,10.8229,0.0205,0.18977
2021-10-24,10.8024,0.0089,0.08246
2021-10-21,10.7935,0.0122,0.11316
2021-10-20,10.7813,-0.0177,-0.1639
2021-10-19,10.799,-0.0049,-0.04535
2021-10-18,10.8039,-0.0313,-0.28887
2021-10-17,10.8352,0.0071,0.06557
2021-10-14,10.8281,-0.0149,-0.13742
2021-10-13,10.843,0.0299,0.27652
2021-10-12,10.8131,0.0298,0.27635
2021-10-11,10.7833,0.0065,0.06031
2021-10-07,10.7768,-0.027,-0.24991
2021-10-06,10.8038,-0.0228,-0.21059
2021-10-05,10.8266,-0.0057,-0.05262
2021-10-04,10.8323,-0.0372,-0.34224
2021-10-03,10.8695,-0.0023,-0.02116
2021-09-30,10.8718,0.0211,0.19446
2021-09-29,10.8507,-0.0129,-0.11875
2021-09-28,10.8636,0.004,0.03683
2021-09-27,10.8596,-0.0483,-0.4428
2021-09-26,10.9079,-0.0051,-0.04673
2021-09-23,10.913,-0.0274,-0.25045
2021-09-22,10.9404,-0.0445,-0.4051
2021-09-21,10.9849,0.0354,0.3233
2021-09-16,10.9495,-0.0225,-0.20507
2021-09-15,10.972,-0.0092,-0.08378
2021-09-14,10.9812,-0.0113,-0.1028
2021-09-13,10.9925,0.0303,0.2764
2021-09-12,10.9622,0.0169,0.1544
2021-09-09,10.9453,-0.0196,-0.17875
2021-09-08,10.9649,0.0293,0.26793
2021-09-07,10.9356,0.0193,0.1768
2021-09-06,10.9163,-0.0237,-0.21664
2021-09-02,10.94,-0.0256,-0.23346
2021-09-01,10.9656,0.0114,0.10407
2021-08-31,10.9542,0.0042,0.03836
2021-08-30,10.95,-0.016,-0.14591
2021-08-29,10.966,0.0137,0.12509
2021-08-26,10.9523,0.0255,0.23337
2021-08-25,10.9268,0.0113,0.10352
2021-08-24,10.9155,-0.0318,-0.29048
2021-08-23,10.9473,-0.0008,-0.00731
2021-08-22,10.9481,0.0027,0.02467
2021-08-19,10.9454,0.0056,0.05119
2021-08-18,10.9398,0.0135,0.12356
2021-08-17,10.9263,0.012,0.10995
2021-08-16,10.9143,0.0025,0.02291
2021-08-15,10.9118,0.0161,0.14776
2021-08-12,10.8957,0.0367,0.33797
2021-08-11,10.859,-0.0024,-0.0221
2021-08-10,10.8614,-0.0029,-0.02669
2021-08-09,10.8643,-0.0041,-0.03772
2021-08-08,10.8684,-0.0127,-0.11672
2021-08-05,10.8811,-0.0447,-0.40912
2021-08-04,10.9258,-0.0005,-0.00458
2021-08-03,10.9263,0.0044,0.04029
2021-08-02,10.9219,-0.0014,-0.01282
2021-08-01,10.9233,0.028,0.25699
2021-07-29,10.8953,0.0107,0.0983
2021-07-28,10.8846,0.0077,0.07079
2021-07-27,10.8769,-0.013,-0.11938
2021-07-26,10.8899,0.0191,0.1757
2021-07-25,10.8708,-0.001,-0.0092
2021-07-22,10.8718,-0.009,-0.08271
2021-07-21,10.8808,0.0164,0.15095
2021-07-20,10.8644,-0.0261,-0.23966
2021-07-19,10.8905,-0.0193,-0.17691
2021-07-18,10.9098,0.0504,0.46411
2021-07-15,10.8594,-0.0033,-0.03038
2021-07-14,10.8627,0.0231,0.21311
2021-07-13,10.8396,0.0255,0.2358
2021-07-12,10.8141,-0.0223,-0.20579
2021-07-11,10.8364,-0.0001,-0.00092
2021-07-08,10.8365,-0.0347,-0.31919
2021-07-07,10.8712,0.0116,0.10682
2021-07-06,10.8596,0.0315,0.29091
2021-07-05,10.8281,0.0339,0.31406
2021-07-01,10.7942,0.0303,0.2815
2021-06-30,10.7639,-0.0119,-0.11043
2021-06-29,10.7758,0.023,0.2139
2021-06-28,10.7528,0.0027,0.02512
2021-06-27,10.7501,0.0362,0.33788
2021-06-24,10.7139,-0.0303,-0.28201
2021-06-23,10.7442,0.0086,0.08011
2021-06-22,10.7356,0.0057,0.05312
2021-06-21,10.7299,-0.0005,-0.00466
2021-06-20,10.7304,-0.0313,-0.29085
2021-06-17,10.7617,0.0285,0.26553
2021-06-16,10.7332,0.041,0.38346
2021-06-15,10.6922,-0.011,-0.10277
2021-06-14,10.7032,-0.0193,-0.18
2021-06-10,10.7225,0.0167,0.15599
2021-06-09,10.7058,0.0095,0.08882
2021-06-08,10.6963,0.026,0.24367
2021-06-07,10.6703,0.027,0.25368
2021-06-06,10.6433,-0.0062,-0.05822
2021-06-03,10.6495,0.0419,0.395
2021-06-02,10.6076,-0.0091,-0.08571
2021-06-01,10.6167,0.0231,0.21806
2021-05-31,10.5936,-0.0011,-0.01038
2021-05-27,10.5947,0.0127,0.12002
2021-05-26,10.582,-0.0214,-0.20182
2021-05-25,10.6034,0.0096,0.09062
2021-05-24,10.5938,0.0248,0.23465
2021-05-23,10.569,0.0203,0.19244
2021-05-20,10.5487,0.0123,0.11674
2021-05-19,10.5364,0.0202,0.19208
2021-05-18,10.5162,-0.0248,-0.23527
2021-05-17,10.541,-0.0104,-0.09857
2021-05-16,10.5514,0.0013,0.01232
2021-05-13,10.5501,0.0192,0.18232
2021-05-12,10.5309,0.004,0.038
2021-05-11,10.5269,-0.0399,-0.3776
2021-05-10,10.5668,-0.0356,-0.33577
2021-05-09,10.6024,-0.018,-0.16949
2021-05-06,10.6204,-0.0083,-0.07809
2021-05-05,10.6287,0.0099,0.09323
2021-05-04,10.6188,0.0058,0.05465
2021-05-03,10.613,0.0179,0.16895
2021-05-02,10.5951,0.019,0.17965
2021-04-28,10.5761,-0.01,-0.09446
2021-04-27,10.5861,-0.0064,-0.06042
2021-04-26,10.5925,-0.0224,-0.21102
2021-04-25,10.6149,0.0007,0.00659
2021-04-22,10.6142,-0.0022,-0.02072
2021-04-21,10.6164,0.0143,0.13488
2021-04-20,10.6021,-0.0004,-0.00377
2021-04-19,10.6025,0.0059,0.05568
2021-04-18,10.5966,0.0018,0.01699
2021-04-15,10.5948,-0.0134,-0.12632
2021-04-14,10.6082,0.0528,0.50022
2021-04-13,10.5554,-0.0123,-0.11639
2021-04-12,10.5677,-0.0029,-0.02743
2021-04-11,10.5706,-0.0131,-0.12378
2021-04-08,10.5837,-0.0071,-0.06704
2021-04-07,10.5908,0.0189,0.17878
2021-04-06,10.5719,0.0049,0.04637
2021-04-05,10.567,0.0173,0.16399
2021-03-31,10.5497,0.0468,0.44559
2021-03-30,10.5029,0.0073,0.06955
2021-03-29,10.4956,0.007,0.06674
2021-03-28,10.4886,-0.0179,-0.17037
2021-03-25,10.5065,-0.0045,-0.04281
2021-03-24,10.511,-0.0009,-0.00856
2021-03-23,10.5119,0.0207,0.19731
2021-03-22,10.4912,0.0245,0.23408
2021-03-21,10.4667,0.0386,0.37015
2021-03-18,10.4281,0.0109,0.10463
2021-03-17,10.4172,-0.0284,-0.27188
2021-03-16,10.4456,-0.0246,-0.23495
2021-03-15,10.4702,-0.0016,-0.01528
2021-03-14,10.4718,0.0107,0.10228
