tradeDate,nav,change,changePercent
2022-08-30,9.0636,-0.0442,-0.4853
2022-08-29,9.1078,-0.0441,-0.48187
2022-08-28,9.1519,-0.0478,-0.51958
2022-08-25,9.1997,-0.0108,-0.11726
2022-08-24,9.2105,0.0251,0.27326
2022-08-23,9.1854,0.0052,0.05664
2022-08-22,9.1802,-0.0151,-0.16421
2022-08-21,9.1953,-0.0766,-0.82615
2022-08-18,9.2719,-0.0592,-0.63444
2022-08-17,9.3311,-0.0307,-0.32793
2022-08-16,9.3618,-0.0549,-0.58301
2022-08-15,9.4167,-0.0011,-0.01168
2022-08-14,9.4178,0.0061,0.06481
2022-08-11,9.4117,-0.0037,-0.0393
2022-08-10,9.4154,0.0482,0.51456
2022-08-09,9.3672,0.0337,0.36106
2022-08-08,9.3335,-0.0417,-0.44479
2022-08-07,9.3752,0.0213,0.22771
2022-08-04,9.3539,-0.0255,-0.27187
2022-08-03,9.3794,0.0389,0.41647
2022-08-02,9.3405,-0.0005,-0.00535
2022-08-01,9.341,-0.0091,-0.09733
2022-07-31,9.3501,0.037,0.39729
2022-07-28,9.3131,0.0744,0.80531
2022-07-27,9.2387,0.0626,0.68221
2022-07-26,9.1761,0.0191,0.20858
2022-07-25,9.157,-0.0252,-0.27444
2022-07-24,9.1822,0.0226,0.24674
2022-07-21,9.1596,0.0553,0.60741
2022-07-20,9.1043,0.0409,0.45127
2022-07-19,9.0634,0.0758,0.84338
2022-07-18,8.9876,0.0399,0.44592
2022-07-17,8.9477,0.0392,0.44003
2022-07-14,8.9085,0.0024,0.02695
2022-07-13,8.9061,-0.0379,-0.42375
2022-07-12,8.944,,
2022-07-11,8.9471,-0.0119,-0.13283
2022-07-10,8.959,-0.0038,-0.0424
2022-07-07,8.9628,0.0159,0.17772
2022-07-06,8.9469,0.0168,0.18813
2022-07-05,8.9301,-0.0123,-0.13755
2022-07-04,8.9424,-0.0233,-0.25988
2022-06-30,8.9657,0.0058,0.06473
2022-06-29,8.9599,-0.05,-0.55495
2022-06-28,9.0099,-0.0769,-0.84628
2022-06-27,9.0868,-0.043,-0.47099
2022-06-26,9.1298,0.0005,0.00548
2022-06-23,9.1293,0.016,0.17557
2022-06-22,9.1133,-0.0088,-0.09647
2022-06-21,9.1221,,
2022-06-20,9.1421,0.009,0.09854
2022-06-19,9.1331,-0.0052,-0.0569
2022-06-16,9.1383,-0.0181,-0.19768
2022-06-15,9.1564,-0.0585,-0.63484
2022-06-14,9.2149,0.0265,0.28841
2022-06-13,9.1884,-0.0553,-0.59825
2022-06-12,9.2437,-0.1987,-2.10434
2022-06-09,9.4424,-0.092,-0.96493
2022-06-08,9.5344,-0.0453,-0.47287
2022-06-07,9.5797,-0.0061,-0.06364
2022-06-06,9.5858,-0.0236,-0.24559
2022-06-05,9.6094,-0.0328,-0.34017
2022-06-01,9.6422,0.0149,0.15477
2022-05-31,9.6273,-0.0083,-0.08614
2022-05-30,9.6356,0.0024,0.02491
2022-05-26,9.6332,0.0534,0.55742
2022-05-25,9.5798,0.0992,1.04635
2022-05-24,9.4806,0.0382,0.40456
2022-05-23,9.4424,-0.0075,-0.07937
2022-05-22,9.4499,0.0125,0.13245
2022-05-19,9.4374,0.0036,0.03816
2022-05-18,9.4338,-0.0236,-0.24954
2022-05-17,9.4574,-0.055,-0.57819
2022-05-16,9.5124,0.0042,0.04417
2022-05-15,9.5082,-0.0003,-0.00316
2022-05-12,9.5085,0.0175,0.18439
2022-05-11,9.491,-0.0376,-0.3946
2022-05-10,9.5286,0.0123,0.12925
2022-05-09,9.5163,0.0021,0.02207
2022-05-08,9.5142,-0.0856,-0.89169
2022-05-05,9.5998,-0.0643,-0.66535
2022-05-04,9.6641,-0.0238,-0.24567
2022-05-03,9.6879,-0.0078,-0.08045
2022-05-02,9.6957,-0.0522,-0.5355
2022-04-28,9.7479,-0.0449,-0.4585
2022-04-27,9.7928,-0.0212,-0.21602
2022-04-26,9.814,-0.0455,-0.46148
2022-04-25,9.8595,-0.0069,-0.06993
2022-04-24,9.8664,-0.0495,-0.4992
2022-04-21,9.9159,-0.0461,-0.46276
2022-04-20,9.962,-0.0139,-0.13934
2022-04-19,9.9759,0.0141,0.14154
2022-04-18,9.9618,-0.0393,-0.39296
2022-04-13,10.0011,-0.0063,-0.06295
2022-04-12,10.0074,0.0045,0.04499
2022-04-11,10.0029,-0.005,-0.04996
2022-04-10,10.0079,-0.0649,-0.64431
2022-04-07,10.0728,-0.0225,-0.22288
2022-04-06,10.0953,-0.02,-0.19772
2022-04-05,10.1153,-0.0466,-0.45858
2022-03-31,10.1619,-0.0189,-0.18564
2022-03-30,10.1808,0.0012,0.01179
2022-03-29,10.1796,0.0377,0.37173
2022-03-28,10.1419,0.0647,0.64204
2022-03-27,10.0772,0.0006,0.00595
2022-03-24,10.0766,-0.0074,-0.07338
2022-03-23,10.084,-0.0021,-0.02082
2022-03-22,10.0861,0.0043,0.04265
2022-03-21,10.0818,-0.0151,-0.14955
2022-03-20,10.0969,0.0115,0.11403
2022-03-17,10.0854,0.0175,0.17382
2022-03-16,10.0679,0.0851,0.85247
2022-03-15,9.9828,0.0493,0.4963
2022-03-14,9.9335,-0.0301,-0.3021
2022-03-13,9.9636,-0.048,-0.47944
2022-03-10,10.0116,-0.0189,-0.18843
2022-03-09,10.0305,-0.0322,-0.31999
2022-03-08,10.0627,0.0266,0.26504
2022-03-07,10.0361,-0.0343,-0.3406
2022-03-06,10.0704,-0.0787,-0.77544
2022-03-03,10.1491,-0.0486,-0.47658
2022-03-02,10.1977,-0.0175,-0.17131
2022-03-01,10.2152,-0.0094,-0.09194
2022-02-28,10.2246,-0.0316,-0.30811
2022-02-24,10.2562,0.0395,0.38662
2022-02-23,10.2167,-0.1141,-1.10446
2022-02-22,10.3308,-0.0123,-0.11892
2022-02-21,10.3431,-0.0199,-0.19203
2022-02-20,10.363,-0.0088,-0.08485
2022-02-17,10.3718,-0.0163,-0.15691
2022-02-16,10.3881,-0.0062,-0.05965
2022-02-15,10.3943,0.0038,0.03657
2022-02-14,10.3905,0.0162,0.15616
2022-02-13,10.3743,-0.0628,-0.6017
2022-02-10,10.4371,-0.0429,-0.40935
2022-02-09,10.48,-0.0314,-0.29872
2022-02-08,10.5114,0.0348,0.33217
2022-02-07,10.4766,-0.0005,-0.00477
2022-02-06,10.4771,-0.0252,-0.23995
2022-01-27,10.5023,-0.0549,-0.52002
2022-01-26,10.5572,-0.0438,-0.41317
2022-01-25,10.601,0.0132,0.12467
2022-01-24,10.5878,-0.0149,-0.14053
2022-01-23,10.6027,-0.0288,-0.27089
2022-01-20,10.6315,-0.0087,-0.08177
2022-01-19,10.6402,0.0002,0.00188
2022-01-18,10.64,0.0262,0.24685
2022-01-17,10.6138,-0.0487,-0.45674
2022-01-16,10.6625,-0.0149,-0.13955
2022-01-13,10.6774,-0.0395,-0.36858
2022-01-12,10.7169,-0.0126,-0.11743
2022-01-11,10.7295,0.0196,0.18301
2022-01-10,10.7099,0.0098,0.09159
2022-01-09,10.7001,-0.0371,-0.34553
2022-01-06,10.7372,-0.0014,-0.01304
2022-01-05,10.7386,-0.0407,-0.37758
2022-01-04,10.7793,-0.0034,-0.03153
2022-01-03,10.7827,-0.0007,-0.00649
2022-01-02,10.7834,-0.0062,-0.05746
2021-12-29,10.7896,0.0045,0.04172
2021-12-28,10.7851,0.0047,0.0436
2021-12-27,10.7804,0.0046,0.04269
2021-12-26,10.7758,0.0043,0.03992
2021-12-22,10.7715,0.0106,0.0985
2021-12-21,10.7609,0.0201,0.18714
2021-12-20,10.7408,0.0195,0.18188
2021-12-19,10.7213,-0.0101,-0.09412
2021-12-16,10.7314,-0.0214,-0.19902
2021-12-15,10.7528,0.0193,0.17981
2021-12-14,10.7335,-0.0005,-0.00466
2021-12-13,10.734,-0.0148,-0.13769
2021-12-12,10.7488,-0.0041,-0.03813
2021-12-09,10.7529,0.0096,0.08936
2021-12-08,10.7433,0.0006,0.00559
2021-12-07,10.7427,0.0133,0.12396
2021-12-06,10.7294,0.0402,0.37608
2021-12-05,10.6892,0.0146,0.13677
2021-12-02,10.6746,0.0107,0.10034
2021-12-01,10.6639,0.0034,0.03189
2021-11-30,10.6605,0.0211,0.19832
2021-11-29,10.6394,-0.007,-0.06575
2021-11-28,10.6464,-0.0134,-0.12571
2021-11-25,10.6598,-0.0393,-0.36732
2021-11-23,10.6991,-0.0199,-0.18565
2021-11-22,10.719,-0.0326,-0.30321
2021-11-21,10.7516,-0.0101,-0.09385
2021-11-18,10.7617,-0.0193,-0.17902
2021-11-17,10.781,0.0123,0.11422
2021-11-16,10.7687,-0.0058,-0.05383
2021-11-15,10.7745,-0.0114,-0.10569
2021-11-14,10.7859,-0.0035,-0.03244
2021-11-11,10.7894,0.0018,0.01669
2021-11-10,10.7876,-0.0045,-0.0417
2021-11-09,10.7921,-0.0288,-0.26615
2021-11-08,10.8209,-0.0102,-0.09417
2021-11-07,10.8311,0.0077,0.07114
2021-11-04,10.8234,0.0191,0.17678
2021-11-03,10.8043,0.0086,0.07966
2021-11-02,10.7957,0.0061,0.05654
2021-11-01,10.7896,-0.0016,-0.01483
2021-10-31,10.7912,-0.0036,-0.03335
2021-10-28,10.7948,-0.0255,-0.23567
2021-10-27,10.8203,0.0159,0.14716
2021-10-26,10.8044,0.0058,0.05371
2021-10-25,10.7986,0.0059,0.05467
2021-10-24,10.7927,-0.0108,-0.09997
2021-10-21,10.8035,-0.0119,-0.11003
2021-10-20,10.8154,-0.0115,-0.10622
2021-10-19,10.8269,0.0019,0.01755
2021-10-18,10.825,0.0101,0.09339
2021-10-17,10.8149,0.0034,0.03145
2021-10-14,10.8115,0.0146,0.13522
2021-10-13,10.7969,0.0309,0.28701
2021-10-12,10.766,0.0155,0.14418
2021-10-11,10.7505,-0.0413,-0.3827
2021-10-07,10.7918,-0.0002,-0.00185
2021-10-06,10.792,0.0098,0.09089
2021-10-05,10.7822,-0.0337,-0.31158
2021-10-04,10.8159,-0.0174,-0.16062
2021-10-03,10.8333,0.003,0.0277
2021-09-30,10.8303,-0.0067,-0.06183
2021-09-29,10.837,-0.007,-0.06455
2021-09-28,10.844,-0.0078,-0.07188
2021-09-27,10.8518,-0.0204,-0.18763
2021-09-26,10.8722,-0.0107,-0.09832
2021-09-23,10.8829,-0.0136,-0.12481
2021-09-22,10.8965,0.009,0.08266
2021-09-21,10.8875,-0.03,-0.27479
2021-09-16,10.9175,-0.0163,-0.14908
2021-09-15,10.9338,-0.0116,-0.10598
2021-09-14,10.9454,0.0044,0.04022
2021-09-13,10.941,0.0037,0.03383
2021-09-12,10.9373,0.0067,0.0613
2021-09-09,10.9306,-0.0007,-0.0064
2021-09-08,10.9313,0.0081,0.07415
2021-09-07,10.9232,0.0021,0.01923
2021-09-06,10.9211,-0.0029,-0.02655
2021-09-02,10.924,0.0015,0.01373
2021-09-01,10.9225,0.0107,0.09806
2021-08-31,10.9118,0.0115,0.1055
2021-08-30,10.9003,0.0107,0.09826
2021-08-29,10.8896,0.0108,0.09928
2021-08-26,10.8788,0.014,0.12886
2021-08-25,10.8648,-0.0003,-0.00276
2021-08-24,10.8651,0.0124,0.11426
2021-08-23,10.8527,0.0101,0.09315
2021-08-22,10.8426,0.0148,0.13669
2021-08-19,10.8278,-0.0017,-0.0157
2021-08-18,10.8295,-0.018,-0.16594
2021-08-17,10.8475,-0.0004,-0.00369
2021-08-16,10.8479,-0.0133,-0.12245
2021-08-15,10.8612,-0.0021,-0.01933
2021-08-12,10.8633,0.0102,0.09398
2021-08-11,10.8531,0.0031,0.02857
2021-08-10,10.85,-0.0061,-0.05619
2021-08-09,10.8561,-0.0022,-0.02026
2021-08-08,10.8583,-0.0117,-0.10764
2021-08-05,10.87,-0.0106,-0.09742
2021-08-04,10.8806,-0.0016,-0.0147
2021-08-03,10.8822,0.0011,0.01011
2021-08-02,10.8811,-0.0041,-0.03767
2021-08-01,10.8852,0.0074,0.06803
2021-07-29,10.8778,-0.0086,-0.079
2021-07-28,10.8864,0.014,0.12877
2021-07-27,10.8724,0.0011,0.01012
2021-07-26,10.8713,-0.0097,-0.08915
2021-07-25,10.881,0.0008,0.00735
2021-07-22,10.8802,0.005,0.04598
2021-07-21,10.8752,0.005,0.046
2021-07-20,10.8702,0.0165,0.15202
2021-07-19,10.8537,0.0034,0.03134
2021-07-18,10.8503,-0.0377,-0.34625
2021-07-15,10.888,-0.0045,-0.04131
2021-07-14,10.8925,-0.0092,-0.08439
2021-07-13,10.9017,0.0017,0.0156
2021-07-12,10.9,-0.0131,-0.12004
2021-07-11,10.9131,0.0017,0.01558
2021-07-08,10.9114,0.0066,0.06052
2021-07-07,10.9048,-0.0083,-0.07606
2021-07-06,10.9131,0.0029,0.02658
2021-07-05,10.9102,0.0052,0.04768
2021-07-01,10.905,0.0063,0.05781
2021-06-30,10.8987,-0.0004,-0.00367
2021-06-29,10.8991,0.0046,0.04222
2021-06-28,10.8945,0.0003,0.00275
2021-06-27,10.8942,0.0049,0.045
2021-06-24,10.8893,0.0052,0.04778
2021-06-23,10.8841,0.0013,0.01195
2021-06-22,10.8828,0.0053,0.04872
2021-06-21,10.8775,0.0021,0.01931
2021-06-20,10.8754,0.0112,0.10309
