tradeDate,nav,change,changePercent
2022-08-30,6.4061,-0.0386,-0.59894
2022-08-29,6.4447,-0.0428,-0.65973
2022-08-28,6.4875,-0.0424,-0.64932
2022-08-25,6.5299,-0.0058,-0.08874
2022-08-24,6.5357,0.0353,0.54304
2022-08-23,6.5004,0.0329,0.5087
2022-08-22,6.4675,0.0446,0.69439
2022-08-21,6.4229,-0.0913,-1.40155
2022-08-18,6.5142,-0.0766,-1.16223
2022-08-17,6.5908,-0.0007,-0.01062
2022-08-16,6.5915,-0.0745,-1.11761
2022-08-15,6.666,-0.0578,-0.85963
2022-08-14,6.7238,-0.0436,-0.64427
2022-08-11,6.7674,-0.027,-0.39739
2022-08-10,6.7944,0.1006,1.50288
2022-08-09,6.6938,0.0295,0.44266
2022-08-08,6.6643,0.034,0.5128
2022-08-07,6.6303,0.0777,1.18579
2022-08-04,6.5526,0.0085,0.12989
2022-08-03,6.5441,0.0612,0.94402
2022-08-02,6.4829,-0.0006,-0.00925
2022-08-01,6.4835,-0.0168,-0.25845
2022-07-31,6.5003,-0.0237,-0.36327
2022-07-28,6.524,0.0774,1.20063
2022-07-27,6.4466,0.0989,1.55804
2022-07-26,6.3477,-0.0233,-0.36572
2022-07-25,6.371,-0.0549,-0.85436
2022-07-24,6.4259,0.0233,0.36391
2022-07-21,6.4026,0.0441,0.69356
2022-07-20,6.3585,0.0551,0.87413
2022-07-19,6.3034,0.0994,1.60219
2022-07-18,6.204,0.0163,0.26343
2022-07-17,6.1877,0.0794,1.29987
2022-07-14,6.1083,-0.0056,-0.09159
2022-07-13,6.1139,-0.0861,-1.38871
2022-07-12,6.2,-0.0983,-1.56074
2022-07-11,6.2983,-0.0685,-1.07589
2022-07-10,6.3668,-0.0353,-0.55138
2022-07-07,6.4021,-0.0019,-0.02967
2022-07-06,6.404,-0.0194,-0.30202
2022-07-05,6.4234,-0.0454,-0.70183
2022-07-04,6.4688,-0.0183,-0.2821
2022-07-03,6.4871,0.0064,0.09875
2022-06-30,6.4807,0.0039,0.06021
2022-06-29,6.4768,-0.0331,-0.50846
2022-06-28,6.5099,-0.041,-0.62587
2022-06-27,6.5509,-0.0796,-1.20051
2022-06-26,6.6305,-0.0115,-0.17314
2022-06-23,6.642,0.019,0.28688
2022-06-22,6.623,0.0122,0.18455
2022-06-21,6.6108,-0.0421,-0.63281
2022-06-20,6.6529,-0.0018,-0.02705
2022-06-19,6.6547,-0.0028,-0.04206
2022-06-16,6.6575,0.0023,0.03456
2022-06-15,6.6552,-0.0606,-0.90235
2022-06-14,6.7158,0.0201,0.30019
2022-06-13,6.6957,0.0036,0.05379
2022-06-12,6.6921,-0.1749,-2.54696
2022-06-09,6.867,-0.0802,-1.15442
2022-06-08,6.9472,-0.0755,-1.07509
2022-06-07,7.0227,-0.0384,-0.54382
2022-06-06,7.0611,-0.0379,-0.53388
2022-06-05,7.099,-0.0113,-0.15892
2022-06-01,7.1103,-0.0031,-0.04358
2022-05-31,7.1134,-0.0799,-1.11076
2022-05-30,7.1933,-0.0326,-0.45115
2022-05-29,7.2259,0.0121,0.16773
2022-05-26,7.2138,0.0483,0.67406
2022-05-25,7.1655,0.0584,0.82171
2022-05-24,7.1071,0.0471,0.66714
2022-05-23,7.06,-0.0022,-0.03115
2022-05-22,7.0622,0.0277,0.39377
2022-05-19,7.0345,0.0218,0.31086
2022-05-18,7.0127,-0.0695,-0.98133
2022-05-17,7.0822,-0.0224,-0.31529
2022-05-16,7.1046,-0.0024,-0.03377
2022-05-15,7.107,-0.0142,-0.1994
2022-05-12,7.1212,-0.0042,-0.05894
2022-05-11,7.1254,-0.0217,-0.30362
2022-05-10,7.1471,0.0144,0.20189
2022-05-09,7.1327,0.0043,0.06032
2022-05-08,7.1284,-0.0868,-1.20302
2022-05-05,7.2152,-0.073,-1.00162
2022-05-04,7.2882,0.0008,0.01098
2022-05-03,7.2874,0.0269,0.3705
2022-05-02,7.2605,-0.1287,-1.74173
2022-04-28,7.3892,-0.0281,-0.37884
2022-04-27,7.4173,-0.028,-0.37608
2022-04-26,7.4453,-0.0302,-0.40399
2022-04-25,7.4755,0.0035,0.04684
2022-04-24,7.472,-0.0481,-0.63962
2022-04-21,7.5201,-0.0753,-0.99139
2022-04-20,7.5954,-0.0098,-0.12886
2022-04-19,7.6052,0.004,0.05262
2022-04-18,7.6012,-0.0256,-0.33566
2022-04-17,7.6268,-0.0057,-0.07468
2022-04-14,7.6325,0.0039,0.05112
2022-04-13,7.6286,-0.0243,-0.31753
2022-04-12,7.6529,0.0011,0.01438
