tradeDate,nav,change,changePercent
2022-08-31,20.22,-0.15,-0.73638
2022-08-30,20.37,-0.1,-0.48852
2022-08-29,20.47,0.02,0.0978
2022-08-28,20.45,-0.26,-1.25543
2022-08-25,20.71,0.07,0.33915
2022-08-24,20.64,0.23,1.1269
2022-08-23,20.41,-0.52,-2.48447
2022-08-22,20.93,-0.09,-0.42816
2022-08-21,21.02,0.17,0.81535
2022-08-18,20.85,-0.36,-1.69731
2022-08-17,21.21,-0.23,-1.07276
2022-08-16,21.44,0.22,1.03676
2022-08-15,21.22,-0.12,-0.56232
2022-08-14,21.34,-0.12,-0.55918
2022-08-11,21.46,-0.04,-0.18605
2022-08-10,21.5,0.48,2.28354
2022-08-09,21.02,-0.24,-1.12888
2022-08-08,21.26,0.09,0.42513
2022-08-07,21.17,-0.02,-0.09438
2022-08-04,21.19,0.33,1.58198
2022-08-03,20.86,0.12,0.57859
2022-08-02,20.74,-0.2,-0.95511
2022-08-01,20.94,-0.54,-2.51397
2022-07-31,21.48,0.1,0.46773
2022-07-28,21.38,-0.12,-0.55814
2022-07-27,21.5,0.02,0.09311
2022-07-26,21.48,-0.06,-0.27855
2022-07-25,21.54,0.13,0.60719
2022-07-24,21.41,-0.11,-0.51115
2022-07-21,21.52,0.03,0.1396
2022-07-20,21.49,-0.33,-1.51237
2022-07-19,21.82,-0.02,-0.09158
2022-07-18,21.84,-0.12,-0.54645
2022-07-17,21.96,0.34,1.57262
2022-07-14,21.62,-0.26,-1.1883
2022-07-13,21.88,-0.21,-0.95066
2022-07-12,22.09,,
2022-07-11,21.94,-0.24,-1.08206
2022-07-10,22.18,-0.39,-1.72796
2022-07-07,22.57,-0.15,-0.66021
2022-07-06,22.72,0.17,0.75388
2022-07-05,22.55,-0.3,-1.31291
2022-07-04,22.85,-0.17,-0.73849
2022-07-03,23.02,0.11,0.48014
2022-06-29,22.91,0.31,1.37168
2022-06-28,22.6,-0.53,-2.2914
2022-06-27,23.13,0.24,1.04849
2022-06-26,22.89,0.24,1.0596
2022-06-23,22.65,0.28,1.25168
2022-06-22,22.37,0.39,1.77434
2022-06-21,21.98,-0.44,-1.96253
2022-06-20,22.42,-0.05,-0.22252
2022-06-19,22.47,0.1,0.44703
2022-06-16,22.37,0.31,1.40526
2022-06-15,22.06,-0.17,-0.76473
2022-06-14,22.23,0.27,1.22951
2022-06-13,21.96,0.24,1.10497
2022-06-12,21.72,-0.31,-1.40717
2022-06-09,22.03,0.27,1.24081
2022-06-08,21.76,-0.12,-0.54845
2022-06-07,21.88,0.08,0.36697
2022-06-06,21.8,-0.05,-0.22883
2022-06-05,21.85,0.5,2.34192
2022-06-01,21.35,0.07,0.32895
2022-05-31,21.28,-0.06,-0.28116
2022-05-30,21.34,0.28,1.32953
2022-05-29,21.06,0.31,1.49398
2022-05-26,20.75,0.06,0.29
2022-05-25,20.69,-0.12,-0.57665
2022-05-24,20.81,0.12,0.57999
2022-05-23,20.69,-0.56,-2.63529
2022-05-22,21.25,0.01,0.04708
2022-05-19,21.24,0.52,2.50965
2022-05-18,20.72,0.11,0.53372
2022-05-17,20.61,-0.11,-0.53089
2022-05-16,20.72,0.4,1.9685
2022-05-15,20.32,-0.1,-0.48972
2022-05-12,20.42,0.3,1.49105
2022-05-11,20.12,-0.28,-1.37255
2022-05-10,20.4,0.24,1.19048
2022-05-09,20.16,-0.11,-0.54267
2022-05-05,20.27,-0.68,-3.24582
2022-05-04,20.95,-0.09,-0.42776
2022-04-28,21.04,0.55,2.68424
2022-04-27,20.49,-0.01,-0.04878
2022-04-26,20.5,0.52,2.6026
2022-04-25,19.98,-0.03,-0.14993
2022-04-24,20.01,-1.3,-6.10042
2022-04-21,21.31,-0.02,-0.09376
2022-04-20,21.33,-0.52,-2.37986
2022-04-19,21.85,-0.53,-2.36819
2022-04-18,22.38,-0.43,-1.88514
2022-04-13,22.81,0.29,1.28774
