tradeDate,nav,change,changePercent
2022-08-31,7.8735,-0.0434,-0.54819
2022-08-30,7.9169,-0.0052,-0.06564
2022-08-29,7.9221,0.0147,0.1859
2022-08-28,7.9074,-0.047,-0.59087
2022-08-25,7.9544,0.0188,0.23691
2022-08-24,7.9356,0.0565,0.71709
2022-08-23,7.8791,0.0025,0.03174
2022-08-22,7.8766,-0.0072,-0.09133
2022-08-21,7.8838,-0.0158,-0.20001
2022-08-18,7.8996,-0.023,-0.29031
2022-08-17,7.9226,-0.0097,-0.12228
2022-08-16,7.9323,-0.0191,-0.24021
2022-08-15,7.9514,0.0426,0.53864
2022-08-14,7.9088,0.0228,0.28912
2022-08-11,7.886,0.0107,0.13587
2022-08-10,7.8753,0.0533,0.68141
2022-08-09,7.822,-0.0137,-0.17484
2022-08-07,7.8357,-0.0312,-0.3966
2022-08-04,7.8669,0.0022,0.02797
2022-08-03,7.8647,0.0091,0.11584
2022-08-02,7.8556,-0.014,-0.1779
2022-08-01,7.8696,-0.0201,-0.25476
2022-07-31,7.8897,0.0126,0.15996
2022-07-28,7.8771,0.0099,0.12584
2022-07-27,7.8672,0.0191,0.24337
2022-07-26,7.8481,-0.0026,-0.03312
2022-07-25,7.8507,0.0273,0.34895
2022-07-24,7.8234,0.005,0.06395
2022-07-21,7.8184,0.0375,0.48195
2022-07-20,7.7809,0.0213,0.2745
2022-07-19,7.7596,0.0234,0.30247
2022-07-18,7.7362,-0.0421,-0.54125
2022-07-17,7.7783,0.0242,0.31209
2022-07-14,7.7541,-0.0114,-0.1468
2022-07-13,7.7655,0.0071,0.09151
2022-07-12,7.7584,-0.0037,-0.04767
2022-07-11,7.7621,-0.0959,-1.22041
2022-07-07,7.858,-0.0168,-0.21334
2022-07-06,7.8748,0.0148,0.1883
2022-07-05,7.86,-0.025,-0.31706
2022-07-04,7.885,0.0038,0.04822
2022-07-03,7.8812,-0.0257,-0.32503
2022-06-29,7.9069,-0.0237,-0.29884
2022-06-28,7.9306,-0.0435,-0.54552
2022-06-27,7.9741,-0.0209,-0.26141
2022-06-26,7.995,0.0185,0.23193
2022-06-23,7.9765,0.0336,0.42302
2022-06-22,7.9429,0.0106,0.13363
2022-06-21,7.9323,-0.051,-0.63883
2022-06-20,7.9833,0.0283,0.35575
2022-06-19,7.955,-0.0056,-0.07035
2022-06-16,7.9606,0.0074,0.09304
2022-06-15,7.9532,-0.027,-0.33834
2022-06-14,7.9802,0.0324,0.40766
2022-06-13,7.9478,-0.0357,-0.44717
2022-06-12,7.9835,-0.1507,-1.85267
2022-06-09,8.1342,-0.0371,-0.45403
2022-06-08,8.1713,-0.0206,-0.25147
2022-06-07,8.1919,0.0057,0.06963
2022-06-06,8.1862,-0.0158,-0.19264
2022-06-05,8.202,0.0274,0.33518
2022-06-01,8.1746,-0.0073,-0.08922
2022-05-31,8.1819,-0.0069,-0.08426
2022-05-30,8.1888,0.0182,0.22275
2022-05-29,8.1706,0.03,0.36852
2022-05-26,8.1406,0.0495,0.61178
2022-05-25,8.0911,-0.0036,-0.04447
2022-05-24,8.0947,0.0079,0.09769
2022-05-23,8.0868,-0.0528,-0.64868
2022-05-22,8.1396,-0.0094,-0.11535
2022-05-19,8.149,0.0513,0.63351
2022-05-18,8.0977,-0.0211,-0.25989
2022-05-17,8.1188,-0.0059,-0.07262
2022-05-16,8.1247,0.0548,0.67907
2022-05-12,8.0699,0.0317,0.39437
2022-05-11,8.0382,-0.0655,-0.80827
2022-05-10,8.1037,-0.0132,-0.16262
2022-05-09,8.1169,-0.058,-0.70949
2022-05-05,8.1749,-0.1117,-1.34796
2022-05-04,8.2866,0.0002,0.00241
2022-05-03,8.2864,-0.0237,-0.2852
2022-04-28,8.3101,0.0556,0.67357
2022-04-27,8.2545,0.05,0.60942
2022-04-26,8.2045,-0.0055,-0.06699
2022-04-25,8.21,-0.0035,-0.04261
2022-04-24,8.2135,-0.0578,-0.6988
2022-04-21,8.2713,-0.0475,-0.571
2022-04-20,8.3188,-0.0305,-0.3653
2022-04-19,8.3493,-0.0126,-0.15068
2022-04-18,8.3619,-0.0659,-0.78194
2022-04-13,8.4278,-0.0003,-0.00356
2022-04-12,8.4281,0.019,0.22595
2022-04-11,8.4091,-0.0163,-0.19346
2022-04-10,8.4254,-0.1117,-1.30841
2022-04-07,8.5371,-0.0067,-0.07842
2022-04-06,8.5438,-0.0447,-0.52046
2022-04-05,8.5885,0.002,0.02329
2022-03-31,8.5865,-0.0214,-0.24861
2022-03-30,8.6079,0.0028,0.03254
2022-03-29,8.6051,0.0782,0.9171
2022-03-28,8.5269,0.0332,0.39088
2022-03-27,8.4937,0.0014,0.01649
2022-03-24,8.4923,-0.0237,-0.2783
2022-03-23,8.516,-0.0198,-0.23196
2022-03-22,8.5358,0.0411,0.48383
2022-03-21,8.4947,0.0028,0.03297
2022-03-20,8.4919,0.0132,0.15568
2022-03-17,8.4787,-0.0048,-0.05658
2022-03-16,8.4835,0.1665,2.00192
2022-03-15,8.317,0.1205,1.47014
2022-03-14,8.1965,-0.1429,-1.71355
2022-03-13,8.3394,-0.0785,-0.93254
2022-03-10,8.4179,-0.0751,-0.88426
2022-03-09,8.493,0.028,0.33077
2022-03-08,8.465,-0.0082,-0.09678
2022-03-07,8.4732,-0.0564,-0.66123
2022-03-06,8.5296,-0.1247,-1.4409
2022-03-03,8.6543,-0.0598,-0.68624
2022-03-02,8.7141,-0.0422,-0.48194
2022-03-01,8.7563,-0.0507,-0.57568
2022-02-28,8.807,0.0,0.0
2022-02-24,8.807,-0.0151,-0.17116
2022-02-23,8.8221,-0.0849,-0.95318
2022-02-22,8.907,-0.0053,-0.05947
2022-02-21,8.9123,-0.0392,-0.43792
2022-02-20,8.9515,-0.0244,-0.27184
2022-02-17,8.9759,-0.0137,-0.1524
2022-02-16,8.9896,-0.0012,-0.01335
2022-02-15,8.9908,0.0246,0.27436
2022-02-14,8.9662,-0.0277,-0.30799
2022-02-13,8.9939,-0.068,-0.75039
2022-02-10,9.0619,-0.0565,-0.61963
2022-02-09,9.1184,0.0275,0.3025
2022-02-08,9.0909,0.0564,0.62427
2022-02-07,9.0345,-0.0332,-0.36613
2022-02-06,9.0677,-0.1053,-1.14793
2022-01-25,9.173,0.0057,0.06218
2022-01-24,9.1673,-0.0445,-0.48308
2022-01-23,9.2118,-0.013,-0.14092
2022-01-20,9.2248,0.0093,0.10092
2022-01-19,9.2155,0.0659,0.72025
2022-01-18,9.1496,0.0263,0.28827
2022-01-17,9.1233,-0.044,-0.47997
2022-01-16,9.1673,-0.0232,-0.25243
2022-01-13,9.1905,-0.0626,-0.67653
2022-01-12,9.2531,-0.045,-0.48397
2022-01-11,9.2981,0.0229,0.24689
2022-01-10,9.2752,0.0021,0.02265
2022-01-09,9.2731,-0.0081,-0.08727
2022-01-06,9.2812,-0.0157,-0.16887
2022-01-05,9.2969,-0.0593,-0.6338
2022-01-04,9.3562,-0.0456,-0.48501
2022-01-03,9.4018,-0.0233,-0.24721
2022-01-02,9.4251,0.007,0.07432
2021-12-29,9.4181,0.0078,0.08289
2021-12-28,9.4103,-0.0205,-0.21737
2021-12-27,9.4308,-0.0007,-0.00742
2021-12-26,9.4315,-0.0078,-0.08263
2021-12-22,9.4393,0.0177,0.18787
2021-12-21,9.4216,0.0116,0.12327
2021-12-20,9.41,0.0283,0.30165
