tradeDate,nav,change,changePercent
2022-08-30,4.9622,-0.0171,-0.34342
2022-08-29,4.9793,-0.0068,-0.13638
2022-08-28,4.9861,-0.0086,-0.17218
2022-08-25,4.9947,0.0055,0.11024
2022-08-24,4.9892,0.0211,0.42471
2022-08-23,4.9681,-0.0111,-0.22293
2022-08-22,4.9792,0.0355,0.71809
2022-08-21,4.9437,-0.0247,-0.49714
2022-08-18,4.9684,-0.0304,-0.60815
2022-08-17,4.9988,-0.0334,-0.66373
2022-08-16,5.0322,-0.036,-0.71031
2022-08-15,5.0682,-0.0283,-0.55528
2022-08-14,5.0965,-0.0195,-0.38116
2022-08-11,5.116,0.0089,0.17427
2022-08-10,5.1071,0.0181,0.35567
2022-08-09,5.089,0.0337,0.66663
2022-08-08,5.0553,-0.0111,-0.21909
2022-08-07,5.0664,0.027,0.53578
2022-08-04,5.0394,-0.0404,-0.79531
2022-08-03,5.0798,0.0281,0.55625
2022-08-02,5.0517,0.0007,0.01386
2022-08-01,5.051,-0.013,-0.25671
2022-07-31,5.064,-0.0963,-1.86617
2022-07-28,5.1603,0.0575,1.12683
2022-07-27,5.1028,0.0477,0.9436
2022-07-26,5.0551,0.0124,0.2459
2022-07-25,5.0427,0.0002,0.00397
2022-07-24,5.0425,0.0307,0.61255
2022-07-21,5.0118,-0.0174,-0.34598
2022-07-20,5.0292,-0.0185,-0.3665
2022-07-19,5.0477,-0.0056,-0.11082
2022-07-18,5.0533,0.0315,0.62727
2022-07-17,5.0218,0.0493,0.99145
2022-07-14,4.9725,0.062,1.2626
2022-07-13,4.9105,,
2022-07-12,4.977,0.0088,0.17713
2022-07-11,4.9682,-0.0411,-0.82047
2022-07-10,5.0093,-0.0708,-1.39367
2022-07-07,5.0801,-0.0054,-0.10618
2022-07-06,5.0855,0.0181,0.35719
2022-07-05,5.0674,-0.0405,-0.79289
2022-07-04,5.1079,-0.0362,-0.70372
2022-06-30,5.1441,-0.1207,-2.29258
2022-06-29,5.2648,-0.0089,-0.16876
2022-06-28,5.2737,-0.0175,-0.33074
2022-06-27,5.2912,-0.0363,-0.68137
2022-06-26,5.3275,0.0067,0.12592
2022-06-23,5.3208,-0.0125,-0.23438
2022-06-22,5.3333,-0.0143,-0.26741
2022-06-21,5.3476,,
2022-06-20,5.3861,-0.0274,-0.50614
2022-06-16,5.4135,-0.0215,-0.39558
2022-06-15,5.435,-0.0422,-0.77047
2022-06-14,5.4772,0.0158,0.2893
2022-06-13,5.4614,0.0006,0.01099
2022-06-12,5.4608,-0.0934,-1.68161
2022-06-09,5.5542,-0.0696,-1.2376
2022-06-08,5.6238,-0.0484,-0.85328
2022-06-07,5.6722,-0.0248,-0.43532
2022-06-06,5.697,-0.0367,-0.64008
2022-06-05,5.7337,-0.0163,-0.28348
2022-06-01,5.75,0.0314,0.54909
2022-05-31,5.7186,-0.1217,-2.0838
2022-05-30,5.8403,0.0501,0.86526
2022-05-26,5.7902,0.0179,0.3101
2022-05-25,5.7723,0.0299,0.52069
2022-05-24,5.7424,0.0215,0.37581
2022-05-23,5.7209,-0.0112,-0.19539
2022-05-22,5.7321,0.0252,0.44157
2022-05-19,5.7069,0.0526,0.93027
2022-05-18,5.6543,0.0164,0.29089
2022-05-17,5.6379,-0.0269,-0.47486
2022-05-16,5.6648,0.0406,0.72188
2022-05-15,5.6242,0.0042,0.07473
2022-05-12,5.62,0.0083,0.14791
2022-05-11,5.6117,-0.0298,-0.52823
2022-05-10,5.6415,-0.0068,-0.12039
2022-05-09,5.6483,0.0081,0.14361
2022-05-08,5.6402,-0.063,-1.10464
2022-05-05,5.7032,-0.0176,-0.30765
2022-05-04,5.7208,-0.0356,-0.61844
2022-05-03,5.7564,0.0057,0.09912
2022-05-02,5.7507,-0.1271,-2.16237
2022-04-28,5.8778,-0.0001,-0.0017
2022-04-27,5.8779,-0.0325,-0.54988
2022-04-26,5.9104,-0.0085,-0.14361
2022-04-25,5.9189,-0.006,-0.10127
2022-04-24,5.9249,-0.0591,-0.98763
2022-04-21,5.984,-0.0782,-1.28996
2022-04-20,6.0622,-0.0169,-0.278
2022-04-19,6.0791,0.0097,0.15982
2022-04-18,6.0694,-0.0151,-0.24817
2022-04-17,6.0845,0.009,0.14814
2022-04-13,6.0755,-0.0146,-0.23973
2022-04-12,6.0901,0.0031,0.05093
2022-04-11,6.087,0.0157,0.25859
2022-04-10,6.0713,-0.0126,-0.2071
2022-04-07,6.0839,-0.0205,-0.33582
2022-04-06,6.1044,-0.0178,-0.29075
2022-04-05,6.1222,-0.0087,-0.1419
2022-03-31,6.1309,-0.0801,-1.28965
2022-03-30,6.211,0.0228,0.36844
2022-03-29,6.1882,-0.0002,-0.00323
2022-03-28,6.1884,0.0218,0.35352
2022-03-27,6.1666,0.0141,0.22918
2022-03-24,6.1525,0.032,0.52283
2022-03-23,6.1205,0.0016,0.02615
2022-03-22,6.1189,-0.016,-0.2608
2022-03-21,6.1349,-0.0158,-0.25688
2022-03-20,6.1507,0.0442,0.72382
2022-03-17,6.1065,0.0005,0.00819
2022-03-16,6.106,0.0004,0.00655
2022-03-15,6.1056,0.0601,0.99413
2022-03-14,6.0455,-0.0539,-0.88369
2022-03-13,6.0994,-0.0085,-0.13916
2022-03-10,6.1079,-0.0058,-0.09487
2022-03-09,6.1137,-0.0002,-0.00327
2022-03-08,6.1139,0.0286,0.46999
2022-03-07,6.0853,0.0258,0.42578
2022-03-06,6.0595,-0.0712,-1.16137
2022-03-03,6.1307,-0.089,-1.43094
2022-03-02,6.2197,-0.0002,-0.00322
2022-03-01,6.2199,0.0071,0.11428
2022-02-28,6.2128,-0.2346,-3.63868
2022-02-24,6.4474,0.0451,0.70443
2022-02-23,6.4023,-0.1015,-1.56063
2022-02-22,6.5038,-0.005,-0.07682
2022-02-21,6.5088,-0.0133,-0.20392
2022-02-17,6.5221,-0.0178,-0.27218
2022-02-16,6.5399,-0.0557,-0.8445
2022-02-15,6.5956,0.0093,0.1412
2022-02-14,6.5863,0.0427,0.65255
2022-02-13,6.5436,-0.0022,-0.03361
2022-02-10,6.5458,-0.0204,-0.31068
2022-02-09,6.5662,0.0064,0.09756
2022-02-08,6.5598,0.0173,0.26442
2022-02-07,6.5425,-0.0132,-0.20135
2022-02-06,6.5557,-0.0698,-1.05351
2022-01-27,6.6255,0.0039,0.0589
2022-01-26,6.6216,-0.0042,-0.06339
2022-01-25,6.6258,0.005,0.07552
2022-01-24,6.6208,0.0125,0.18916
2022-01-23,6.6083,-0.0149,-0.22497
2022-01-20,6.6232,0.0103,0.15576
2022-01-19,6.6129,0.015,0.22735
2022-01-18,6.5979,0.0346,0.52717
2022-01-17,6.5633,-0.0407,-0.61629
2022-01-13,6.604,-0.0196,-0.29591
2022-01-12,6.6236,0.0025,0.03776
2022-01-11,6.6211,0.003,0.04533
2022-01-10,6.6181,0.0254,0.38527
2022-01-09,6.5927,-0.0067,-0.10152
2022-01-06,6.5994,0.0178,0.27045
2022-01-05,6.5816,-0.0063,-0.09563
2022-01-04,6.5879,0.0029,0.04404
2022-01-03,6.585,-0.1091,-1.62979
2022-01-02,6.6941,-0.0021,-0.03136
2021-12-29,6.6962,0.0024,0.03585
2021-12-28,6.6938,-0.0032,-0.04778
2021-12-27,6.697,0.016,0.23949
2021-12-26,6.681,0.0202,0.30327
2021-12-22,6.6608,0.0154,0.23174
2021-12-21,6.6454,0.0188,0.28371
2021-12-20,6.6266,0.0138,0.20869
2021-12-19,6.6128,-0.0385,-0.57883
2021-12-16,6.6513,0.0097,0.14605
2021-12-15,6.6416,-0.0049,-0.07372
2021-12-14,6.6465,-0.0371,-0.55509
2021-12-13,6.6836,-0.0174,-0.25966
2021-12-12,6.701,-0.004,-0.05966
2021-12-09,6.705,0.0014,0.02088
2021-12-08,6.7036,0.0036,0.05373
2021-12-07,6.7,0.0211,0.31592
2021-12-06,6.6789,0.0228,0.34254
2021-12-05,6.6561,-0.013,-0.19493
2021-12-02,6.6691,-0.0007,-0.0105
2021-12-01,6.6698,0.0175,0.26307
2021-11-30,6.6523,-0.0951,-1.40943
2021-11-29,6.7474,0.0073,0.10831
2021-11-28,6.7401,-0.004,-0.05931
2021-11-25,6.7441,-0.0174,-0.25734
2021-11-23,6.7615,-0.0092,-0.13588
2021-11-22,6.7707,-0.0145,-0.2137
2021-11-21,6.7852,0.0046,0.06784
2021-11-18,6.7806,0.0111,0.16397
2021-11-17,6.7695,-0.0037,-0.05463
2021-11-16,6.7732,-0.0162,-0.23861
2021-11-15,6.7894,-0.0072,-0.10594
2021-11-14,6.7966,0.004,0.05889
2021-11-11,6.7926,-0.0155,-0.22767
2021-11-10,6.8081,0.0015,0.02204
2021-11-09,6.8066,0.0118,0.17366
2021-11-08,6.7948,0.0409,0.60558
2021-11-07,6.7539,0.0244,0.36258
2021-11-04,6.7295,0.0063,0.09371
2021-11-03,6.7232,-0.006,-0.08916
2021-11-02,6.7292,-0.0016,-0.02377
2021-11-01,6.7308,0.0014,0.0208
2021-10-31,6.7294,-0.1172,-1.7118
2021-10-28,6.8466,-0.0028,-0.04088
2021-10-27,6.8494,-0.0132,-0.19235
2021-10-26,6.8626,-0.0717,-1.03399
2021-10-25,6.9343,0.0082,0.11839
2021-10-24,6.9261,0.0178,0.25766
2021-10-21,6.9083,0.0102,0.14787
2021-10-20,6.8981,-0.0251,-0.36255
2021-10-19,6.9232,-0.0061,-0.08803
2021-10-18,6.9293,-0.0033,-0.0476
2021-10-17,6.9326,-0.0157,-0.22595
2021-10-14,6.9483,0.0113,0.16289
2021-10-13,6.937,0.0039,0.05625
2021-10-12,6.9331,-0.0005,-0.00721
2021-10-11,6.9336,-0.0004,-0.00577
2021-10-07,6.934,-0.0163,-0.23452
2021-10-06,6.9503,0.0178,0.25676
2021-10-05,6.9325,-0.0027,-0.03893
2021-10-04,6.9352,-0.0014,-0.02018
2021-10-03,6.9366,-0.0072,-0.10369
2021-09-30,6.9438,-0.091,-1.29357
2021-09-29,7.0348,-0.0008,-0.01137
2021-09-28,7.0356,0.0044,0.06258
2021-09-27,7.0312,-0.0175,-0.24827
2021-09-26,7.0487,-0.0095,-0.1346
2021-09-23,7.0582,-0.0176,-0.24874
2021-09-22,7.0758,-0.0088,-0.12421
2021-09-21,7.0846,0.0035,0.04943
2021-09-16,7.0811,-0.0152,-0.2142
2021-09-15,7.0963,-0.0124,-0.17443
2021-09-14,7.1087,0.0202,0.28497
2021-09-13,7.0885,0.0012,0.01693
2021-09-12,7.0873,0.0191,0.27022
2021-09-09,7.0682,0.0056,0.07929
2021-09-08,7.0626,0.0055,0.07794
2021-09-07,7.0571,-0.0403,-0.56781
2021-09-06,7.0974,-0.0264,-0.37059
2021-09-02,7.1238,-0.0095,-0.13318
2021-09-01,7.1333,-0.0352,-0.49104
2021-08-31,7.1685,-0.1089,-1.49641
2021-08-30,7.2774,0.039,0.53879
2021-08-29,7.2384,0.0253,0.35075
2021-08-26,7.2131,0.0272,0.37852
2021-08-25,7.1859,-0.0102,-0.14174
2021-08-24,7.1961,-0.0013,-0.01806
2021-08-23,7.1974,0.0333,0.46482
2021-08-22,7.1641,0.0125,0.17479
2021-08-19,7.1516,-0.0049,-0.06847
2021-08-18,7.1565,-0.0046,-0.06424
2021-08-17,7.1611,0.0066,0.09225
2021-08-16,7.1545,-0.0176,-0.2454
