tradeDate,nav,change,changePercent
2022-08-30,9.6612,0.0157,0.16277
2022-08-29,9.6455,-0.0004,-0.00415
2022-08-28,9.6459,-0.0246,-0.25438
2022-08-25,9.6705,0.0161,0.16676
2022-08-24,9.6544,0.0266,0.27628
2022-08-23,9.6278,0.0268,0.27914
2022-08-22,9.601,0.0071,0.07401
2022-08-21,9.5939,-0.0119,-0.12388
2022-08-18,9.6058,0.0027,0.02812
2022-08-17,9.6031,0.0076,0.0792
2022-08-16,9.5955,-0.0187,-0.1945
2022-08-15,9.6142,0.0349,0.36433
2022-08-14,9.5793,0.021,0.2197
2022-08-11,9.5583,0.0181,0.18972
2022-08-10,9.5402,0.0161,0.16904
2022-08-09,9.5241,-0.0021,-0.02204
2022-08-08,9.5262,-0.0555,-0.57923
2022-08-07,9.5817,0.0086,0.08984
2022-08-04,9.5731,-0.0141,-0.14707
2022-08-03,9.5872,0.0017,0.01774
2022-08-02,9.5855,0.0142,0.14836
2022-08-01,9.5713,-0.0229,-0.23869
2022-07-31,9.5942,0.0078,0.08137
2022-07-28,9.5864,0.0179,0.18707
2022-07-27,9.5685,0.0379,0.39767
2022-07-26,9.5306,0.0229,0.24086
2022-07-25,9.5077,0.004,0.04209
2022-07-24,9.5037,0.0224,0.23625
2022-07-21,9.4813,0.0124,0.13096
2022-07-20,9.4689,0.0418,0.4434
2022-07-19,9.4271,0.0242,0.25737
2022-07-18,9.4029,-0.0412,-0.43625
2022-07-17,9.4441,-0.0042,-0.04445
2022-07-14,9.4483,-0.0058,-0.06135
2022-07-13,9.4541,-0.0118,-0.12466
2022-07-12,9.4659,-0.028,-0.29493
2022-07-11,9.4939,-0.0457,-0.47906
2022-07-10,9.5396,-0.0217,-0.22696
2022-07-07,9.5613,-0.0067,-0.07003
2022-07-06,9.568,-0.0117,-0.12213
2022-07-05,9.5797,-0.0523,-0.54298
2022-07-04,9.632,-0.0122,-0.1265
2022-06-30,9.6442,0.0093,0.09652
2022-06-29,9.6349,-0.0096,-0.09954
2022-06-28,9.6445,-0.0337,-0.34821
2022-06-27,9.6782,-0.0195,-0.20108
2022-06-26,9.6977,0.006,0.06191
2022-06-23,9.6917,0.0107,0.11053
2022-06-22,9.681,0.0023,0.02376
2022-06-21,9.6787,,
2022-06-20,9.667,-0.0182,-0.18792
2022-06-16,9.6852,-0.0249,-0.25643
2022-06-15,9.7101,-0.0296,-0.30391
2022-06-14,9.7397,0.0343,0.35341
2022-06-13,9.7054,-0.0327,-0.33579
2022-06-12,9.7381,-0.0993,-1.00941
2022-06-09,9.8374,-0.0378,-0.38278
2022-06-08,9.8752,-0.0185,-0.18699
2022-06-07,9.8937,-0.011,-0.11106
2022-06-06,9.9047,-0.002,-0.02019
2022-06-05,9.9067,-0.0128,-0.12904
2022-06-01,9.9195,0.0012,0.0121
2022-05-31,9.9183,0.0017,0.01714
2022-05-30,9.9166,-0.0065,-0.0655
2022-05-26,9.9231,0.0086,0.08674
2022-05-25,9.9145,0.0307,0.31061
2022-05-24,9.8838,0.012,0.12156
2022-05-23,9.8718,0.0006,0.00608
2022-05-22,9.8712,0.014,0.14203
2022-05-19,9.8572,0.017,0.17276
2022-05-18,9.8402,0.0043,0.04372
2022-05-17,9.8359,-0.0141,-0.14315
2022-05-16,9.85,-0.0159,-0.16116
2022-05-15,9.8659,-0.0005,-0.00507
2022-05-12,9.8664,-0.0054,-0.0547
2022-05-11,9.8718,-0.0376,-0.37944
2022-05-10,9.9094,-0.0051,-0.05144
2022-05-09,9.9145,-0.0279,-0.28062
2022-05-08,9.9424,-0.0135,-0.1356
2022-05-05,9.9559,-0.035,-0.35032
2022-05-04,9.9909,-0.0213,-0.21274
2022-05-03,10.0122,0.0203,0.20316
2022-05-02,9.9919,-0.0137,-0.13692
2022-04-28,10.0056,0.005,0.05
2022-04-27,10.0006,-0.0029,-0.02899
2022-04-26,10.0035,-0.0207,-0.2065
2022-04-25,10.0242,0.0035,0.03493
2022-04-24,10.0207,-0.0179,-0.17831
2022-04-21,10.0386,-0.016,-0.15913
2022-04-20,10.0546,-0.0313,-0.31033
2022-04-19,10.0859,-0.0041,-0.04063
2022-04-18,10.09,-0.0302,-0.29841
2022-04-17,10.1202,0.0034,0.03361
2022-04-13,10.1168,0.0052,0.05143
2022-04-12,10.1116,0.015,0.14856
2022-04-11,10.0966,-0.0175,-0.17303
2022-04-10,10.1141,-0.0352,-0.34682
2022-04-07,10.1493,-0.0119,-0.11711
