tradeDate,nav,change,changePercent
2022-08-30,8.9407,0.0043,0.04812
2022-08-29,8.9364,0.0009,0.01007
2022-08-28,8.9355,-0.0112,-0.12519
2022-08-25,8.9467,0.0018,0.02012
2022-08-24,8.9449,0.0161,0.18032
2022-08-23,8.9288,0.0031,0.03473
2022-08-22,8.9257,0.0021,0.02353
2022-08-21,8.9236,0.0001,0.00112
2022-08-18,8.9235,-0.0017,-0.01905
2022-08-17,8.9252,-0.0014,-0.01568
2022-08-16,8.9266,0.0001,0.00112
2022-08-15,8.9265,0.0049,0.05492
2022-08-14,8.9216,0.0015,0.01682
2022-08-11,8.9201,0.0028,0.0314
2022-08-10,8.9173,0.0169,0.18988
2022-08-09,8.9004,0.0049,0.05508
2022-08-07,8.8955,-0.0017,-0.01911
2022-08-04,8.8972,-0.0012,-0.01349
2022-08-03,8.8984,-0.0013,-0.01461
2022-08-02,8.8997,-0.0049,-0.05503
2022-08-01,8.9046,-0.007,-0.07855
2022-07-31,8.9116,0.0095,0.10672
2022-07-28,8.9021,0.0127,0.14287
2022-07-27,8.8894,0.0092,0.1036
2022-07-26,8.8802,0.0063,0.07099
2022-07-25,8.8739,0.0054,0.06089
2022-07-24,8.8685,0.0145,0.16377
2022-07-21,8.854,0.0017,0.0192
2022-07-20,8.8523,0.0035,0.03955
2022-07-19,8.8488,-0.0011,-0.01243
2022-07-18,8.8499,-0.0131,-0.14781
2022-07-17,8.863,0.0025,0.02822
2022-07-14,8.8605,-0.0017,-0.01918
2022-07-13,8.8622,-0.0051,-0.05751
2022-07-12,8.8673,-0.0055,-0.06199
2022-07-11,8.8728,-0.0205,-0.23051
2022-07-07,8.8933,-0.2544,-2.78103
2022-07-06,9.1477,-0.0131,-0.143
2022-07-05,9.1608,-0.0151,-0.16456
2022-07-04,9.1759,-0.0098,-0.10669
2022-07-03,9.1857,0.0032,0.03485
2022-06-30,9.1825,0.0057,0.06211
2022-06-29,9.1768,-0.005,-0.05446
2022-06-28,9.1818,-0.0112,-0.12183
2022-06-27,9.193,-0.0021,-0.02284
2022-06-26,9.1951,0.0069,0.0751
2022-06-23,9.1882,0.0109,0.11877
2022-06-22,9.1773,0.004,0.0436
2022-06-21,9.1733,,
2022-06-20,9.1727,-0.0359,-0.38985
2022-06-19,9.2086,0.0067,0.07281
2022-06-16,9.2019,-0.009,-0.09771
2022-06-15,9.2109,-0.0102,-0.11062
2022-06-14,9.2211,0.0118,0.12813
2022-06-13,9.2093,-0.0006,-0.00651
2022-06-12,9.2099,-0.0203,-0.21993
2022-06-09,9.2302,-0.0183,-0.19787
2022-06-08,9.2485,0.002,0.02163
2022-06-07,9.2465,0.0036,0.03895
2022-06-06,9.2429,0.0008,0.00866
2022-06-05,9.2421,0.0084,0.09097
2022-06-01,9.2337,0.0048,0.05201
2022-05-31,9.2289,-0.0041,-0.04441
2022-05-30,9.233,0.0123,0.1334
2022-05-29,9.2207,0.0115,0.12488
2022-05-26,9.2092,-0.0229,-0.24805
2022-05-25,9.2321,-0.0277,-0.29914
2022-05-24,9.2598,-0.0017,-0.01836
2022-05-23,9.2615,-0.0044,-0.04749
2022-05-22,9.2659,0.0176,0.19031
2022-05-19,9.2483,0.0157,0.17005
2022-05-18,9.2326,0.0025,0.02709
2022-05-17,9.2301,-0.0023,-0.02491
2022-05-16,9.2324,0.0294,0.31946
2022-05-12,9.203,0.0053,0.05762
2022-05-11,9.1977,-0.0248,-0.26891
2022-05-10,9.2225,0.0,0.0
2022-05-09,9.2225,-0.0035,-0.03794
2022-05-08,9.226,-0.0077,-0.08339
2022-05-05,9.2337,-0.0164,-0.1773
2022-05-04,9.2501,0.0038,0.0411
2022-05-03,9.2463,-0.001,-0.01081
2022-04-28,9.2473,0.0101,0.10934
2022-04-27,9.2372,-0.0076,-0.08221
2022-04-26,9.2448,-0.0834,-0.89406
2022-04-25,9.3282,0.0115,0.12343
2022-04-24,9.3167,-0.0175,-0.18748
2022-04-21,9.3342,-0.0158,-0.16898
2022-04-20,9.35,-0.0151,-0.16124
2022-04-19,9.3651,-0.0129,-0.13756
2022-04-18,9.378,-0.0087,-0.09268
2022-04-17,9.3867,-0.0015,-0.01598
2022-04-14,9.3882,0.0019,0.02024
2022-04-13,9.3863,0.0027,0.02877
2022-04-12,9.3836,0.0027,0.02878
2022-04-11,9.3809,-0.0069,-0.0735
2022-04-10,9.3878,-0.0392,-0.41583
2022-04-07,9.427,-0.0065,-0.0689
2022-04-06,9.4335,0.0048,0.05091
2022-04-05,9.4287,0.1854,2.00578
2022-03-31,9.2433,0.009,0.09746
2022-03-30,9.2343,0.0049,0.05309
2022-03-29,9.2294,0.0346,0.3763
2022-03-28,9.1948,0.0654,0.71637
2022-03-27,9.1294,0.0298,0.32749
2022-03-24,9.0996,0.0135,0.14858
2022-03-23,9.0861,-0.0082,-0.09017
2022-03-22,9.0943,0.0544,0.60178
2022-03-21,9.0399,0.0233,0.25841
2022-03-20,9.0166,0.0241,0.268
2022-03-17,8.9925,0.0198,0.22067
2022-03-16,8.9727,0.1138,1.28458
2022-03-15,8.8589,0.0325,0.36821
2022-03-14,8.8264,-0.033,-0.37249
2022-03-13,8.8594,-0.1276,-1.41983
2022-03-10,8.987,-0.0481,-0.53237
2022-03-09,9.0351,0.0345,0.38331
2022-03-08,9.0006,-0.0096,-0.10655
2022-03-07,9.0102,-0.0651,-0.71733
2022-03-06,9.0753,-0.0571,-0.62525
2022-03-03,9.1324,-0.0107,-0.11703
2022-03-02,9.1431,-0.0167,-0.18232
2022-03-01,9.1598,-0.0382,-0.41531
2022-02-28,9.198,-0.4781,-4.94104
2022-02-24,9.6761,-0.0396,-0.40759
2022-02-23,9.7157,-0.0595,-0.60868
2022-02-22,9.7752,-0.0041,-0.04193
2022-02-21,9.7793,-0.0162,-0.16538
2022-02-20,9.7955,0.0028,0.02859
2022-02-17,9.7927,0.0103,0.10529
2022-02-16,9.7824,0.0007,0.00716
2022-02-15,9.7817,-0.0044,-0.04496
2022-02-14,9.7861,-0.0103,-0.10514
2022-02-13,9.7964,-0.0288,-0.29312
2022-02-10,9.8252,-0.0638,-0.64516
2022-02-09,9.889,0.005,0.05059
2022-02-08,9.884,0.0087,0.0881
2022-02-07,9.8753,-0.0038,-0.03847
2022-02-06,9.8791,-0.0104,-0.10516
2022-01-27,9.8895,-0.0099,-0.10001
2022-01-26,9.8994,-0.0159,-0.16036
2022-01-25,9.9153,0.0019,0.01917
2022-01-24,9.9134,0.0179,0.18089
2022-01-23,9.8955,0.0104,0.10521
2022-01-20,9.8851,0.0283,0.28711
2022-01-19,9.8568,0.0117,0.11884
2022-01-18,9.8451,0.0362,0.36905
2022-01-17,9.8089,-0.0297,-0.30187
2022-01-16,9.8386,0.0046,0.04678
2022-01-13,9.834,-0.0299,-0.30313
2022-01-12,9.8639,-0.0501,-0.50535
2022-01-11,9.914,-0.031,-0.31171
2022-01-10,9.945,-0.0196,-0.1967
2022-01-09,9.9646,-0.0088,-0.08823
2022-01-06,9.9734,-0.0161,-0.16117
2022-01-05,9.9895,-0.0334,-0.33324
2022-01-04,10.0229,-0.0079,-0.07876
2022-01-03,10.0308,-0.0136,-0.1354
2022-01-02,10.0444,-0.004,-0.03981
2021-12-29,10.0484,-0.0004,-0.00398
2021-12-28,10.0488,0.0024,0.02389
2021-12-27,10.0464,0.0018,0.01792
2021-12-26,10.0446,0.0002,0.00199
2021-12-23,10.0444,0.0008,0.00797
2021-12-22,10.0436,0.0028,0.02789
2021-12-21,10.0408,-0.0003,-0.00299
2021-12-20,10.0411,0.0079,0.07874
2021-12-19,10.0332,-0.0144,-0.14332
2021-12-16,10.0476,-0.0062,-0.06167
2021-12-15,10.0538,-0.0018,-0.0179
2021-12-14,10.0556,-0.0153,-0.15192
2021-12-13,10.0709,-0.0111,-0.1101
2021-12-12,10.082,0.0003,0.00298
2021-12-09,10.0817,0.0081,0.08041
2021-12-08,10.0736,0.0131,0.13021
2021-12-07,10.0605,0.0109,0.10846
2021-12-06,10.0496,0.0165,0.16446
2021-12-05,10.0331,0.0008,0.00797
2021-12-02,10.0323,-0.0049,-0.04882
2021-12-01,10.0372,0.0106,0.10572
2021-11-30,10.0266,-0.0129,-0.12849
2021-11-29,10.0395,-0.0052,-0.05177
2021-11-28,10.0447,-0.0122,-0.12131
