tradeDate,nav,change,changePercent
2022-08-31,7.5401,-0.0174,-0.23023
2022-08-30,7.5575,0.0037,0.04898
2022-08-29,7.5538,-0.0042,-0.05557
2022-08-28,7.558,-0.0201,-0.26524
2022-08-25,7.5781,0.0094,0.1242
2022-08-24,7.5687,0.0142,0.18797
2022-08-23,7.5545,0.0034,0.04503
2022-08-22,7.5511,0.02,0.26557
2022-08-21,7.5311,-0.0352,-0.46522
2022-08-18,7.5663,-0.0283,-0.37263
2022-08-17,7.5946,-0.0061,-0.08026
2022-08-16,7.6007,-0.0193,-0.25328
2022-08-15,7.62,0.0033,0.04333
2022-08-14,7.6167,-0.0013,-0.01706
2022-08-11,7.618,0.009,0.11828
2022-08-10,7.609,0.0038,0.04997
2022-08-09,7.6052,0.0129,0.16991
2022-08-08,7.5923,-0.0001,-0.00132
2022-08-07,7.5924,0.0177,0.23367
2022-08-04,7.5747,-0.0065,-0.08574
2022-08-03,7.5812,0.0095,0.12547
2022-08-02,7.5717,0.0087,0.11503
2022-08-01,7.563,-0.0104,-0.13732
2022-07-31,7.5734,0.0249,0.32987
2022-07-28,7.5485,0.0335,0.44578
2022-07-27,7.515,0.0385,0.51495
2022-07-26,7.4765,0.0104,0.1393
2022-07-25,7.4661,0.0093,0.12472
2022-07-24,7.4568,0.02,0.26893
2022-07-21,7.4368,0.0239,0.32241
2022-07-20,7.4129,0.0293,0.39683
2022-07-19,7.3836,0.0151,0.20493
2022-07-18,7.3685,-0.0124,-0.168
2022-07-17,7.3809,-0.0047,-0.06364
2022-07-14,7.3856,0.0005,0.00677
2022-07-13,7.3851,-0.0275,-0.37099
2022-07-12,7.4126,-0.0298,-0.40041
2022-07-11,7.4424,-0.0431,-0.57578
2022-07-10,7.4855,-0.0147,-0.19599
2022-07-07,7.5002,-0.0095,-0.1265
2022-07-06,7.5097,-0.0115,-0.1529
2022-07-05,7.5212,-0.1233,-1.61292
2022-07-04,7.6445,-0.0229,-0.29867
2022-06-30,7.6674,0.0109,0.14236
2022-06-29,7.6565,-0.0127,-0.1656
2022-06-28,7.6692,-0.0167,-0.21728
2022-06-27,7.6859,-0.0224,-0.2906
2022-06-26,7.7083,-0.0025,-0.03242
2022-06-23,7.7108,0.0024,0.03113
2022-06-22,7.7084,-0.0072,-0.09332
2022-06-21,7.7156,-0.0072,-0.09323
2022-06-20,7.7228,-0.0127,-0.16418
2022-06-16,7.7355,-0.0126,-0.16262
2022-06-15,7.7481,-0.0104,-0.13405
2022-06-14,7.7585,0.0187,0.24161
2022-06-13,7.7398,-0.0355,-0.45657
2022-06-12,7.7753,-0.0814,-1.03606
2022-06-09,7.8567,-0.0377,-0.47755
2022-06-08,7.8944,-0.0102,-0.12904
2022-06-07,7.9046,-0.0046,-0.05816
2022-06-06,7.9092,0.0002,0.00253
2022-06-05,7.909,-0.0034,-0.04297
2022-06-01,7.9124,0.0061,0.07715
2022-05-31,7.9063,-0.0019,-0.02403
2022-05-30,7.9082,0.0017,0.0215
2022-05-26,7.9065,0.0109,0.13805
2022-05-25,7.8956,0.0188,0.23868
2022-05-24,7.8768,0.0245,0.31201
2022-05-23,7.8523,0.0135,0.17222
2022-05-22,7.8388,0.0009,0.01148
2022-05-19,7.8379,0.0025,0.03191
2022-05-18,7.8354,-0.0095,-0.1211
2022-05-17,7.8449,-0.0036,-0.04587
2022-05-16,7.8485,-0.0155,-0.1971
2022-05-15,7.864,0.0029,0.03689
2022-05-12,7.8611,0.0013,0.01654
2022-05-11,7.8598,-0.0144,-0.18288
2022-05-10,7.8742,-0.0004,-0.00508
2022-05-09,7.8746,-0.0132,-0.16735
2022-05-08,7.8878,-0.017,-0.21506
2022-05-05,7.9048,-0.019,-0.23978
2022-05-04,7.9238,-0.015,-0.18895
2022-05-03,7.9388,0.0159,0.20068
2022-05-02,7.9229,-0.0161,-0.2028
2022-04-28,7.939,-0.0145,-0.18231
2022-04-27,7.9535,0.001,0.01257
2022-04-26,7.9525,-0.0159,-0.19954
2022-04-25,7.9684,0.0059,0.0741
2022-04-24,7.9625,-0.0116,-0.14547
2022-04-21,7.9741,-0.0064,-0.0802
2022-04-20,7.9805,-0.0163,-0.20383
2022-04-19,7.9968,0.0087,0.10891
2022-04-18,7.9881,-0.0226,-0.28212
2022-04-17,8.0107,0.0045,0.05621
2022-04-13,8.0062,-0.0053,-0.06615
2022-04-12,8.0115,0.0015,0.01873
2022-04-11,8.01,-0.0018,-0.02247
2022-04-10,8.0118,-0.018,-0.22416
2022-04-07,8.0298,-0.0111,-0.13804
2022-04-06,8.0409,-0.0051,-0.06339
2022-04-05,8.046,-0.0759,-0.93451
2022-03-31,8.1219,-0.0105,-0.12911
2022-03-30,8.1324,-0.0005,-0.00615
2022-03-29,8.1329,0.0202,0.24899
2022-03-28,8.1127,0.0247,0.30539
2022-03-27,8.088,0.0103,0.12751
2022-03-24,8.0777,-0.0032,-0.0396
2022-03-23,8.0809,-0.0175,-0.21609
2022-03-22,8.0984,0.0255,0.31587
2022-03-21,8.0729,-0.0025,-0.03096
2022-03-20,8.0754,0.0035,0.04336
2022-03-17,8.0719,0.0177,0.21976
2022-03-16,8.0542,0.0619,0.7745
2022-03-15,7.9923,0.0258,0.32386
2022-03-14,7.9665,-0.0188,-0.23543
2022-03-13,7.9853,-0.0315,-0.39292
2022-03-10,8.0168,-0.013,-0.1619
2022-03-09,8.0298,-0.0008,-0.00996
2022-03-08,8.0306,-0.0128,-0.15914
2022-03-07,8.0434,-0.036,-0.44558
2022-03-06,8.0794,-0.0309,-0.381
2022-03-03,8.1103,-0.0596,-0.72951
2022-03-02,8.1699,-0.0193,-0.23568
2022-03-01,8.1892,-0.0682,-0.82593
2022-02-28,8.2574,-0.1124,-1.34292
2022-02-24,8.3698,0.0009,0.01075
2022-02-23,8.3689,-0.1843,-2.15475
2022-02-22,8.5532,-0.0327,-0.38086
2022-02-21,8.5859,-0.026,-0.30191
2022-02-17,8.6119,-0.0014,-0.01625
2022-02-16,8.6133,-0.0111,-0.1287
2022-02-15,8.6244,0.0091,0.10563
2022-02-14,8.6153,-0.0066,-0.07655
2022-02-13,8.6219,-0.0364,-0.42041
2022-02-10,8.6583,0.0133,0.15385
2022-02-09,8.645,-0.0165,-0.1905
2022-02-08,8.6615,0.0114,0.13179
2022-02-07,8.6501,-0.007,-0.08086
2022-02-06,8.6571,-0.0254,-0.29254
2022-01-27,8.6825,-0.0103,-0.11849
2022-01-26,8.6928,0.0035,0.04028
2022-01-25,8.6893,-0.0054,-0.06211
2022-01-24,8.6947,-0.0078,-0.08963
2022-01-23,8.7025,-0.0134,-0.15374
2022-01-20,8.7159,0.0126,0.14477
2022-01-19,8.7033,0.0083,0.09546
2022-01-18,8.695,0.0393,0.45404
2022-01-17,8.6557,-0.0467,-0.53663
2022-01-13,8.7024,-0.0356,-0.40742
2022-01-12,8.738,-0.0248,-0.28301
2022-01-11,8.7628,-0.0086,-0.09805
2022-01-10,8.7714,-0.005,-0.05697
2022-01-09,8.7764,-0.0132,-0.15018
2022-01-06,8.7896,-0.0083,-0.09434
2022-01-05,8.7979,-0.0195,-0.22115
2022-01-04,8.8174,-0.1016,-1.13914
2022-01-03,8.919,0.0006,0.00673
2022-01-02,8.9184,-0.0028,-0.03139
2021-12-29,8.9212,0.002,0.02242
2021-12-28,8.9192,0.0008,0.00897
2021-12-27,8.9184,-0.0005,-0.00561
2021-12-26,8.9189,0.0102,0.11449
2021-12-22,8.9087,0.004,0.04492
2021-12-21,8.9047,0.0048,0.05393
2021-12-20,8.8999,0.0016,0.01798
2021-12-19,8.8983,-0.0137,-0.15373
2021-12-16,8.912,-0.0129,-0.14454
2021-12-15,8.9249,0.0049,0.05493
2021-12-14,8.92,-0.0132,-0.14776
2021-12-13,8.9332,-0.022,-0.24567
2021-12-12,8.9552,0.0001,0.00112
2021-12-09,8.9551,0.0103,0.11515
2021-12-08,8.9448,0.0126,0.14106
