tradeDate,nav,change,changePercent
2022-08-31,10.85,0.08,0.7428
2022-08-30,10.77,-0.06,-0.55402
2022-08-29,10.83,-0.05,-0.45956
2022-08-28,10.88,0.05,0.46168
2022-08-25,10.83,-0.24,-2.16802
2022-08-24,11.07,0.05,0.45372
2022-08-23,11.02,0.07,0.63927
2022-08-22,10.95,-0.17,-1.52878
2022-08-21,11.12,-0.03,-0.26906
2022-08-18,11.15,0.09,0.81374
2022-08-17,11.06,0.0,0.0
2022-08-16,11.06,-0.09,-0.80717
2022-08-15,11.15,-0.07,-0.62389
2022-08-14,11.22,0.19,1.72257
2022-08-11,11.03,0.16,1.47194
2022-08-10,10.87,-0.02,-0.18365
2022-08-09,10.89,0.02,0.18399
2022-08-08,10.87,0.04,0.36934
2022-08-07,10.83,0.0,0.0
2022-08-04,10.83,0.08,0.74419
2022-08-03,10.75,0.01,0.09311
2022-08-02,10.74,0.04,0.37383
2022-08-01,10.7,-0.05,-0.46512
2022-07-31,10.75,-0.03,-0.27829
2022-07-28,10.78,0.0,0.0
2022-07-27,10.78,0.01,0.09285
2022-07-26,10.77,0.01,0.09294
2022-07-25,10.76,0.06,0.56075
2022-07-24,10.7,0.06,0.56391
2022-07-21,10.64,0.0,0.0
2022-07-20,10.64,0.03,0.28275
2022-07-19,10.61,-0.13,-1.21043
2022-07-18,10.74,0.19,1.80095
2022-07-17,10.55,-0.16,-1.49393
2022-07-14,10.71,0.26,2.48804
2022-07-13,10.45,0.01,0.09579
2022-07-12,10.44,-0.1,-0.94877
2022-07-11,10.54,-0.06,-0.56604
2022-07-10,10.6,0.04,0.37879
2022-07-07,10.56,0.07,0.6673
2022-07-06,10.49,-0.01,-0.09524
2022-07-05,10.5,0.08,0.76775
2022-07-04,10.42,-0.07,-0.6673
2022-06-30,10.49,0.13,1.25483
2022-06-29,10.36,-0.08,-0.76628
2022-06-28,10.44,0.12,1.16279
2022-06-27,10.32,-0.13,-1.24402
2022-06-26,10.45,0.08,0.77146
2022-06-23,10.37,0.14,1.36852
2022-06-22,10.23,0.13,1.28713
2022-06-21,10.1,0.14,1.40562
2022-06-20,9.96,0.21,2.15385
2022-06-16,9.75,0.02,0.20555
2022-06-15,9.73,-0.08,-0.81549
2022-06-14,9.81,-0.04,-0.40609
2022-06-13,9.85,-0.13,-1.30261
2022-06-12,9.98,-0.22,-2.15686
2022-06-09,10.2,-0.04,-0.39063
2022-06-08,10.24,-0.21,-2.00957
2022-06-07,10.45,-0.05,-0.47619
2022-06-06,10.5,0.11,1.05871
2022-06-05,10.39,-0.11,-1.04762
2022-06-01,10.5,-0.02,-0.19011
2022-05-31,10.52,-0.1,-0.94162
2022-05-30,10.62,-0.21,-1.93906
2022-05-26,10.83,0.05,0.46382
2022-05-25,10.78,0.05,0.46598
2022-05-24,10.73,0.08,0.75117
2022-05-23,10.65,0.05,0.4717
2022-05-22,10.6,0.07,0.66477
2022-05-19,10.53,0.06,0.57307
2022-05-18,10.47,-0.08,-0.75829
2022-05-17,10.55,-0.26,-2.40518
2022-05-16,10.81,0.05,0.46468
2022-05-15,10.76,0.1,0.93809
2022-05-12,10.66,0.04,0.37665
2022-05-11,10.62,0.11,1.04662
2022-05-10,10.51,0.0,0.0
2022-05-09,10.51,0.02,0.19066
2022-05-08,10.49,-0.27,-2.50929
2022-05-05,10.76,0.0,0.0
2022-05-04,10.76,-0.06,-0.55453
2022-05-03,10.82,0.2,1.88324
2022-05-02,10.62,-0.04,-0.37523
2022-04-28,10.66,-0.26,-2.38095
2022-04-27,10.92,0.19,1.77074
2022-04-26,10.73,-0.06,-0.55607
2022-04-25,10.79,-0.17,-1.55109
2022-04-24,10.96,0.14,1.2939
2022-04-21,10.82,-0.44,-3.90764
2022-04-20,11.26,-0.09,-0.79295
2022-04-19,11.35,0.27,2.43682
2022-04-18,11.08,0.21,1.93192
2022-04-17,10.87,-0.13,-1.18182
2022-04-13,11.0,-0.02,-0.18149
2022-04-12,11.02,0.08,0.73126
2022-04-11,10.94,-0.07,-0.63579
2022-04-10,11.01,-0.17,-1.52057
2022-04-07,11.18,0.1,0.90253
2022-04-06,11.08,0.14,1.27971
2022-04-05,10.94,0.05,0.45914
2022-03-31,10.89,0.14,1.30233
2022-03-30,10.75,-0.13,-1.19485
2022-03-29,10.88,-0.01,-0.09183
2022-03-28,10.89,0.03,0.27624
2022-03-27,10.86,0.07,0.64875
2022-03-24,10.79,0.09,0.84112
2022-03-23,10.7,0.13,1.2299
2022-03-22,10.57,-0.2,-1.85701
2022-03-21,10.77,0.01,0.09294
2022-03-20,10.76,-0.01,-0.09285
2022-03-17,10.77,0.03,0.27933
2022-03-16,10.74,0.12,1.12994
2022-03-15,10.62,0.09,0.8547
2022-03-14,10.53,0.17,1.64093
2022-03-13,10.36,0.05,0.48497
2022-03-10,10.31,-0.05,-0.48263
2022-03-09,10.36,0.02,0.19342
2022-03-08,10.34,0.17,1.67158
2022-03-07,10.17,-0.23,-2.21154
2022-03-06,10.4,-0.2,-1.88679
2022-03-03,10.6,0.06,0.56926
2022-03-02,10.54,0.04,0.38095
2022-03-01,10.5,0.15,1.44928
2022-02-28,10.35,-0.12,-1.14613
2022-02-24,10.47,0.25,2.44618
2022-02-23,10.22,0.06,0.59055
2022-02-22,10.16,-0.05,-0.48972
2022-02-21,10.21,-0.02,-0.1955
2022-02-17,10.23,-0.12,-1.15942
2022-02-16,10.35,-0.17,-1.61597
2022-02-15,10.52,0.05,0.47755
2022-02-14,10.47,0.08,0.76997
