tradeDate,nav,change,changePercent
2022-08-30,9.3052,-0.0121,-0.12987
2022-08-29,9.3173,0.0062,0.06659
2022-08-28,9.3111,-0.0327,-0.34996
2022-08-25,9.3438,0.0182,0.19516
2022-08-24,9.3256,0.0256,0.27527
2022-08-23,9.3,0.0065,0.06994
2022-08-22,9.2935,0.0087,0.0937
2022-08-21,9.2848,-0.0169,-0.18169
2022-08-18,9.3017,-0.0046,-0.04943
2022-08-17,9.3063,0.0093,0.10003
2022-08-16,9.297,-0.0119,-0.12783
2022-08-15,9.3089,0.0221,0.23797
2022-08-14,9.2868,0.0405,0.43801
2022-08-11,9.2463,0.0535,0.58198
2022-08-10,9.1928,0.0251,0.27379
2022-08-09,9.1677,-0.0276,-0.30015
2022-08-08,9.1953,-0.07,-0.75551
2022-08-07,9.2653,0.0339,0.36722
2022-08-04,9.2314,-0.0224,-0.24206
2022-08-03,9.2538,0.004,0.04324
2022-08-02,9.2498,0.0063,0.06816
2022-08-01,9.2435,-0.0235,-0.25359
2022-07-31,9.267,0.0084,0.09073
2022-07-28,9.2586,0.0186,0.2013
2022-07-27,9.24,0.0323,0.35079
2022-07-26,9.2077,0.0162,0.17625
2022-07-25,9.1915,0.0085,0.09256
2022-07-24,9.183,0.017,0.18547
2022-07-21,9.166,0.0148,0.16173
2022-07-20,9.1512,0.0237,0.25965
2022-07-19,9.1275,0.0051,0.05591
2022-07-18,9.1224,-0.0373,-0.40722
2022-07-17,9.1597,-0.0178,-0.19395
2022-07-14,9.1775,-0.0073,-0.07948
2022-07-13,9.1848,-0.0236,-0.25629
2022-07-12,9.2084,-0.0061,-0.0662
2022-07-11,9.2145,-0.0441,-0.47631
2022-07-10,9.2586,-0.0177,-0.19081
2022-07-07,9.2763,-0.0156,-0.16789
2022-07-06,9.2919,-0.004,-0.04303
2022-07-05,9.2959,-0.0277,-0.2971
2022-07-04,9.3236,-0.0121,-0.12961
2022-06-30,9.3357,-0.0195,-0.20844
2022-06-29,9.3552,-0.0107,-0.11424
2022-06-28,9.3659,-0.0121,-0.12903
2022-06-27,9.378,-0.0138,-0.14694
2022-06-26,9.3918,0.0014,0.01491
2022-06-23,9.3904,-0.005,-0.05322
2022-06-22,9.3954,0.0004,0.00426
2022-06-21,9.395,,
2022-06-20,9.3837,0.0044,0.04691
2022-06-16,9.3793,-0.0195,-0.20747
2022-06-15,9.3988,-0.0156,-0.1657
2022-06-14,9.4144,0.0328,0.34962
2022-06-13,9.3816,-0.0293,-0.31134
2022-06-12,9.4109,-0.0688,-0.72576
2022-06-09,9.4797,-0.0532,-0.55807
2022-06-08,9.5329,-0.0128,-0.13409
2022-06-07,9.5457,-0.0061,-0.06386
2022-06-06,9.5518,0.007,0.07334
2022-06-05,9.5448,-0.016,-0.16735
2022-06-01,9.5608,0.008,0.08375
2022-05-31,9.5528,0.0062,0.06494
2022-05-30,9.5466,0.0035,0.03668
2022-05-26,9.5431,0.0019,0.01991
2022-05-25,9.5412,0.0183,0.19217
2022-05-24,9.5229,-0.0198,-0.20749
2022-05-23,9.5427,0.0023,0.02411
2022-05-22,9.5404,0.0153,0.16063
2022-05-19,9.5251,0.004,0.04201
2022-05-18,9.5211,0.0219,0.23055
2022-05-17,9.4992,-0.0052,-0.05471
