tradeDate,nav,change,changePercent
2022-09-01,11.31,-0.02,-0.17652
2022-08-31,11.33,-0.21,-1.81976
2022-08-30,11.54,0.04,0.34783
2022-08-29,11.5,0.05,0.43668
2022-08-28,11.45,-0.19,-1.6323
2022-08-25,11.64,0.04,0.34483
2022-08-24,11.6,0.05,0.4329
2022-08-23,11.55,-0.02,-0.17286
2022-08-22,11.57,-0.12,-1.02652
2022-08-21,11.69,-0.07,-0.59524
2022-08-18,11.76,0.03,0.25575
2022-08-17,11.73,-0.02,-0.17021
2022-08-16,11.75,-0.02,-0.16992
2022-08-15,11.77,-0.01,-0.08489
2022-08-14,11.78,0.08,0.68376
2022-08-11,11.7,0.04,0.34305
2022-08-10,11.66,0.11,0.95238
2022-08-09,11.55,-0.06,-0.5168
2022-08-08,11.61,-0.01,-0.08606
2022-08-07,11.62,0.02,0.17241
2022-08-04,11.6,0.14,1.22164
2022-08-03,11.46,-0.01,-0.08718
2022-08-02,11.47,0.04,0.34996
2022-08-01,11.43,-0.12,-1.03896
2022-07-31,11.55,-0.05,-0.43103
2022-07-28,11.6,0.05,0.4329
2022-07-27,11.55,-0.03,-0.25907
2022-07-26,11.58,0.13,1.13537
2022-07-25,11.45,-0.1,-0.8658
2022-07-24,11.55,-0.02,-0.17286
2022-07-21,11.57,-0.06,-0.51591
2022-07-20,11.63,0.17,1.48342
2022-07-19,11.46,0.09,0.79156
2022-07-18,11.37,-0.02,-0.17559
2022-07-17,11.39,0.13,1.15453
2022-07-14,11.26,0.11,0.98655
2022-07-13,11.15,0.14,1.27157
2022-07-12,11.01,0.17,1.56827
2022-07-11,10.84,-0.2,-1.81159
2022-07-10,11.04,-0.05,-0.45086
2022-07-07,11.09,0.1,0.90992
2022-07-06,10.99,0.21,1.94805
2022-07-05,10.78,-0.27,-2.44344
2022-07-04,11.05,0.02,0.18132
2022-07-03,11.03,-0.09,-0.80935
2022-06-30,11.12,-0.3,-2.62697
2022-06-29,11.42,-0.25,-2.14225
2022-06-28,11.67,-0.13,-1.10169
2022-06-27,11.8,-0.13,-1.08969
2022-06-26,11.93,0.21,1.79181
2022-06-23,11.72,0.01,0.0854
2022-06-22,11.71,-0.18,-1.51388
2022-06-21,11.89,-0.36,-2.93878
2022-06-20,12.25,0.23,1.91348
2022-06-19,12.02,-0.24,-1.95759
2022-06-16,12.26,-0.18,-1.44695
2022-06-15,12.44,-0.17,-1.34814
2022-06-14,12.61,-0.11,-0.86478
2022-06-13,12.72,-0.01,-0.07855
2022-06-12,12.73,-0.34,-2.60138
2022-06-09,13.07,-0.08,-0.60837
2022-06-08,13.15,0.01,0.0761
2022-06-07,13.14,0.11,0.84421
2022-06-06,13.03,-0.09,-0.68598
2022-06-05,13.12,0.06,0.45942
2022-06-01,13.06,-0.06,-0.45732
2022-05-31,13.12,-0.04,-0.30395
2022-05-30,13.16,0.1,0.7657
2022-05-29,13.06,0.21,1.63424
2022-05-26,12.85,0.15,1.1811
2022-05-25,12.7,-0.1,-0.78125
2022-05-24,12.8,0.11,0.86682
2022-05-23,12.69,-0.16,-1.24514
2022-05-22,12.85,-0.02,-0.1554
2022-05-19,12.87,0.03,0.23364
2022-05-18,12.84,-0.1,-0.7728
2022-05-17,12.94,0.1,0.77882
2022-05-16,12.84,0.11,0.8641
2022-05-15,12.73,-0.03,-0.23511
2022-05-12,12.76,0.17,1.35028
2022-05-11,12.59,-0.18,-1.40955
2022-05-10,12.77,-0.08,-0.62257
2022-05-09,12.85,0.07,0.54773
2022-05-08,12.78,-0.19,-1.46492
2022-05-05,12.97,-0.23,-1.74242
2022-05-04,13.2,0.13,0.99464
2022-05-03,13.07,0.06,0.46118
2022-05-02,13.01,-0.01,-0.0768
2022-04-28,13.02,0.11,0.85205
2022-04-27,12.91,0.07,0.54517
2022-04-26,12.84,-0.15,-1.15473
2022-04-25,12.99,-0.05,-0.38344
2022-04-24,13.04,-0.38,-2.83159
2022-04-21,13.42,-0.15,-1.10538
2022-04-20,13.57,0.01,0.07375
2022-04-19,13.56,0.07,0.5189
2022-04-18,13.49,0.07,0.52161
2022-04-17,13.42,-0.05,-0.3712
2022-04-14,13.47,-0.24,-1.75055
2022-04-13,13.71,-0.05,-0.36337
2022-04-12,13.76,0.19,1.40015
2022-04-11,13.57,-0.06,-0.44021
