tradeDate,nav,change,changePercent
2022-09-01,18.66,,
2022-08-31,18.54,-0.26,-1.38298
2022-08-30,18.8,,
2022-08-29,18.92,-0.04,-0.21097
2022-08-28,18.96,,
2022-08-25,19.32,0.09,0.46802
2022-08-24,19.23,0.12,0.62794
2022-08-23,19.11,-0.07,-0.36496
2022-08-22,19.18,-0.01,-0.05211
2022-08-21,19.19,-0.21,-1.08247
2022-08-18,19.4,-0.16,-0.818
2022-08-17,19.56,-0.04,-0.20408
2022-08-16,19.6,-0.09,-0.45708
2022-08-15,19.69,0.06,0.30565
2022-08-11,19.63,-0.05,-0.25407
2022-08-10,19.68,0.15,0.76805
2022-08-09,19.53,0.2,1.03466
2022-08-08,19.33,-0.13,-0.66804
2022-08-07,19.46,0.16,0.82902
2022-08-04,19.3,-0.07,-0.36138
2022-08-03,19.37,0.09,0.4668
2022-08-02,19.28,0.0,0.0
2022-08-01,19.28,-0.07,-0.36176
2022-07-31,19.35,0.11,0.57173
2022-07-28,19.24,0.2,1.05042
2022-07-27,19.04,0.17,0.9009
2022-07-26,18.87,0.03,0.15924
2022-07-25,18.84,-0.06,-0.31746
2022-07-24,18.9,-0.05,-0.26385
2022-07-21,18.95,0.19,1.01279
2022-07-20,18.76,0.07,0.37453
2022-07-19,18.69,0.1,0.53792
2022-07-18,18.59,0.03,0.16164
2022-07-17,18.56,0.24,1.31004
2022-07-14,18.32,0.22,1.21547
2022-07-13,18.1,-0.16,-0.87623
2022-07-12,18.26,-0.15,-0.81477
2022-07-11,18.41,-0.05,-0.27086
2022-07-10,18.46,-0.07,-0.37777
2022-07-07,18.53,-0.06,-0.32275
2022-07-06,18.59,0.15,0.81345
2022-07-05,18.44,0.14,0.76503
2022-07-04,18.3,-0.25,-1.34771
2022-07-03,18.55,0.05,0.27027
2022-06-30,18.5,0.13,0.70768
2022-06-29,18.37,-0.27,-1.4485
2022-06-28,18.64,-0.29,-1.53196
2022-06-27,18.93,0.1,0.53107
