tradeDate,nav,change,changePercent
2022-09-01,10.44,-0.02,-0.1912
2022-08-31,10.46,-0.05,-0.47574
2022-08-30,10.51,-0.05,-0.47348
2022-08-29,10.56,0.0,0.0
2022-08-28,10.56,-0.05,-0.47125
2022-08-25,10.61,-0.14,-1.30233
2022-08-24,10.75,0.03,0.27985
2022-08-23,10.72,,
2022-08-22,10.73,-0.03,-0.27881
2022-08-21,10.76,-0.11,-1.01196
2022-08-18,10.87,-0.08,-0.73059
2022-08-17,10.95,-0.01,-0.09124
2022-08-16,10.96,-0.07,-0.63463
2022-08-15,11.03,-0.02,-0.181
2022-08-11,11.05,0.04,0.36331
2022-08-10,11.01,-0.03,-0.27174
2022-08-09,11.04,0.14,1.2844
2022-08-08,10.9,-0.04,-0.36563
2022-08-07,10.94,0.02,0.18315
2022-08-04,10.92,-0.05,-0.45579
2022-08-03,10.97,0.03,0.27422
2022-08-02,10.94,0.03,0.27498
2022-08-01,10.91,-0.06,-0.54695
2022-07-31,10.97,-0.02,-0.18198
2022-07-28,10.99,0.05,0.45704
2022-07-27,10.94,0.06,0.55147
2022-07-26,10.88,0.13,1.2093
2022-07-25,10.75,-0.09,-0.83026
2022-07-24,10.84,-0.05,-0.45914
2022-07-21,10.89,0.03,0.27624
2022-07-20,10.86,0.06,0.55556
2022-07-19,10.8,0.02,0.18553
2022-07-18,10.78,0.11,1.03093
2022-07-17,10.67,0.01,0.09381
2022-07-14,10.66,0.08,0.75614
2022-07-13,10.58,,
2022-07-12,10.65,-0.02,-0.18744
2022-07-11,10.67,-0.02,-0.18709
2022-07-10,10.69,-0.06,-0.55814
2022-07-07,10.75,-0.01,-0.09294
2022-07-06,10.76,0.05,0.46685
2022-07-05,10.71,0.02,0.18709
2022-07-04,10.69,-0.06,-0.55814
2022-06-30,10.75,0.03,0.27985
2022-06-29,10.72,-0.03,-0.27907
2022-06-28,10.75,-0.04,-0.37071
2022-06-27,10.79,-0.07,-0.64457
2022-06-26,10.86,-0.06,-0.54945
2022-06-23,10.92,0.18,1.67598
2022-06-21,10.74,0.01,0.0932
2022-06-20,10.73,0.02,0.18674
2022-06-16,10.71,0.03,0.2809
2022-06-15,10.68,-0.09,-0.83565
2022-06-14,10.77,0.07,0.65421
2022-06-13,10.7,-0.06,-0.55762
2022-06-12,10.76,-0.19,-1.73516
2022-06-09,10.95,-0.13,-1.17329
2022-06-08,11.08,-0.12,-1.07143
2022-06-07,11.2,-0.06,-0.53286
2022-06-06,11.26,0.0,0.0
2022-06-02,11.26,-0.07,-0.61783
2022-06-01,11.33,0.09,0.80071
2022-05-31,11.24,-0.07,-0.61892
2022-05-30,11.31,-0.05,-0.44014
2022-05-26,11.36,0.15,1.33809
2022-05-24,11.21,-0.01,-0.08913
2022-05-23,11.22,-0.04,-0.35524
2022-05-22,11.26,0.08,0.71556
2022-05-19,11.18,0.06,0.53957
2022-05-18,11.12,0.01,0.09001
2022-05-17,11.11,-0.09,-0.80357
2022-05-16,11.2,0.07,0.62893
2022-05-15,11.13,0.0,0.0
2022-05-12,11.13,0.03,0.27027
2022-05-11,11.1,-0.06,-0.53763
2022-05-10,11.16,0.03,0.26954
2022-05-09,11.13,-0.06,-0.53619
2022-05-05,11.19,-0.09,-0.79787
2022-05-04,11.28,-0.12,-1.05263
2022-05-03,11.4,0.08,0.70671
2022-05-02,11.32,-0.01,-0.08826
2022-05-01,11.33,-0.03,-0.26408
2022-04-28,11.36,-0.09,-0.78603
2022-04-27,11.45,0.06,0.52678
2022-04-26,11.39,-0.04,-0.34996
2022-04-25,11.43,-0.11,-0.95321
2022-04-24,11.54,0.03,0.26064
2022-04-21,11.51,-0.09,-0.77586
2022-04-20,11.6,-0.06,-0.51458
2022-04-19,11.66,0.05,0.43066
2022-04-18,11.61,-0.03,-0.25773
2022-04-13,11.64,-0.02,-0.17153
2022-04-12,11.66,0.02,0.17182
2022-04-11,11.64,-0.05,-0.42772
2022-04-10,11.69,-0.06,-0.51064
2022-04-07,11.75,0.03,0.25597
2022-04-06,11.72,-0.01,-0.08525
2022-04-05,11.73,-0.09,-0.76142
2022-04-04,11.82,-0.05,-0.42123
2022-04-03,11.87,0.06,0.50804
2022-03-31,11.81,0.03,0.25467
2022-03-30,11.78,-0.09,-0.75821
2022-03-29,11.87,-0.04,-0.33585
2022-03-28,11.91,0.14,1.18946
2022-03-27,11.77,-0.01,-0.08489
2022-03-24,11.78,0.0,0.0
2022-03-23,11.78,0.03,0.25532
2022-03-22,11.75,-0.09,-0.76014
2022-03-21,11.84,0.03,0.25402
2022-03-20,11.81,-0.09,-0.7563
2022-03-17,11.9,0.03,0.25274
2022-03-16,11.87,0.07,0.59322
2022-03-15,11.8,0.14,1.20069
2022-03-14,11.66,0.03,0.25795
2022-03-13,11.63,0.0,0.0
2022-03-10,11.63,-0.06,-0.51326
2022-03-09,11.69,-0.07,-0.59524
2022-03-08,11.76,0.22,1.90641
2022-03-07,11.54,-0.05,-0.43141
2022-03-06,11.59,-0.15,-1.27768
2022-03-03,11.74,-0.12,-1.0118
2022-03-02,11.86,-0.09,-0.75314
2022-03-01,11.95,0.03,0.25168
2022-02-28,11.92,-0.08,-0.66667
2022-02-27,12.0,0.03,0.25063
2022-02-24,11.97,0.1,0.84246
2022-02-23,11.87,-0.01,-0.08418
2022-02-22,11.88,-0.05,-0.41911
2022-02-21,11.93,-0.05,-0.41736
2022-02-17,11.98,-0.04,-0.33278
2022-02-16,12.02,-0.06,-0.49669
2022-02-15,12.08,0.05,0.41563
2022-02-14,12.03,0.07,0.58528
2022-02-13,11.96,-0.02,-0.16694
2022-02-10,11.98,-0.08,-0.66335
2022-02-09,12.06,-0.09,-0.74074
2022-02-08,12.15,0.08,0.6628
2022-02-07,12.07,-0.02,-0.16543
2022-02-06,12.09,-0.05,-0.41186
2022-02-03,12.14,-0.03,-0.24651
2022-02-02,12.17,-0.07,-0.5719
2022-02-01,12.24,0.09,0.74074
2022-01-31,12.15,0.02,0.16488
2022-01-30,12.13,0.08,0.6639
2022-01-27,12.05,0.06,0.50042
2022-01-26,11.99,-0.06,-0.49793
2022-01-25,12.05,-0.01,-0.08292
2022-01-24,12.06,-0.07,-0.57708
2022-01-23,12.13,-0.01,-0.08237
2022-01-20,12.14,-0.04,-0.32841
2022-01-19,12.18,-0.03,-0.2457
2022-01-18,12.21,0.01,0.08197
2022-01-17,12.2,-0.1,-0.81301
2022-01-13,12.3,-0.02,-0.16234
2022-01-12,12.32,-0.05,-0.4042
2022-01-11,12.37,0.05,0.40584
2022-01-10,12.32,0.04,0.32573
2022-01-09,12.28,-0.03,-0.2437
2022-01-06,12.31,-0.02,-0.16221
2022-01-05,12.33,-0.05,-0.40388
2022-01-04,12.38,-0.08,-0.64205
2022-01-03,12.46,0.0,0.0
2022-01-02,12.46,-0.01,-0.08019
2021-12-30,12.47,0.01,0.08026
2021-12-29,12.46,-0.03,-0.24019
2021-12-28,12.49,0.01,0.08013
2021-12-27,12.48,0.03,0.24096
2021-12-26,12.45,0.01,0.08039
2021-12-22,12.44,0.02,0.16103
2021-12-21,12.42,0.03,0.24213
2021-12-20,12.39,0.07,0.56818
2021-12-19,12.32,-0.05,-0.4042
2021-12-16,12.37,-0.04,-0.32232
2021-12-15,12.41,0.02,0.16142
2021-12-14,12.39,0.06,0.48662
2021-12-13,12.33,-0.05,-0.40388
2021-12-12,12.38,-0.03,-0.24174
2021-12-09,12.41,0.05,0.40453
2021-12-08,12.36,-0.04,-0.32258
2021-12-07,12.4,0.0,0.0
2021-12-06,12.4,0.08,0.64935
2021-12-05,12.32,0.05,0.4075
2021-12-02,12.27,0.01,0.08157
2021-12-01,12.26,0.04,0.32733
2021-11-30,12.22,-0.04,-0.32626
2021-11-29,12.26,-0.07,-0.56772
2021-11-28,12.33,0.03,0.2439
2021-11-25,12.3,-0.09,-0.72639
2021-11-23,12.39,0.01,0.08078
2021-11-22,12.38,-0.04,-0.32206
2021-11-21,12.42,-0.09,-0.71942
2021-11-18,12.51,-0.04,-0.31873
2021-11-17,12.55,0.02,0.15962
2021-11-16,12.53,0.03,0.24
2021-11-15,12.5,-0.02,-0.15974
2021-11-14,12.52,-0.01,-0.07981
2021-11-11,12.53,0.03,0.24
2021-11-10,12.5,-0.02,-0.15974
2021-11-09,12.52,-0.08,-0.63492
2021-11-08,12.6,0.01,0.07943
2021-11-07,12.59,-0.01,-0.07937
2021-11-04,12.6,0.02,0.15898
2021-11-03,12.58,0.01,0.07955
2021-11-02,12.57,0.04,0.31923
2021-11-01,12.53,0.02,0.15987
2021-10-28,12.51,-0.08,-0.63542
2021-10-27,12.59,0.06,0.47885
2021-10-26,12.53,0.01,0.07987
2021-10-25,12.52,0.01,0.07994
2021-10-24,12.51,-0.04,-0.31873
2021-10-21,12.55,0.02,0.15962
2021-10-20,12.53,0.0,0.0
2021-10-19,12.53,-0.01,-0.07974
2021-10-18,12.54,0.02,0.15974
2021-10-17,12.52,0.01,0.07994
2021-10-14,12.51,0.02,0.16013
2021-10-13,12.49,0.08,0.64464
2021-10-12,12.41,0.07,0.56726
2021-10-11,12.34,-0.02,-0.16181
2021-10-10,12.36,-0.02,-0.16155
2021-10-07,12.38,-0.02,-0.16129
2021-10-06,12.4,0.06,0.48622
2021-10-05,12.34,-0.01,-0.08097
2021-10-04,12.35,0.01,0.08104
2021-10-03,12.34,-0.08,-0.64412
2021-09-30,12.42,0.05,0.4042
2021-09-29,12.37,-0.06,-0.4827
2021-09-28,12.43,-0.01,-0.08039
2021-09-27,12.44,-0.16,-1.26984
2021-09-26,12.6,-0.03,-0.23753
2021-09-23,12.63,-0.02,-0.1581
2021-09-22,12.65,0.04,0.31721
2021-09-21,12.61,0.01,0.07937
2021-09-20,12.6,0.02,0.15898
2021-09-19,12.58,-0.04,-0.31696
2021-09-16,12.62,-0.04,-0.31596
2021-09-15,12.66,-0.03,-0.23641
2021-09-14,12.69,-0.01,-0.07874
2021-09-13,12.7,-0.03,-0.23566
2021-09-12,12.73,0.01,0.07862
2021-09-09,12.72,-0.03,-0.23529
2021-09-08,12.75,0.01,0.07849
2021-09-07,12.74,-0.01,-0.07843
2021-09-06,12.75,-0.03,-0.23474
2021-09-02,12.78,0.02,0.15674
2021-09-01,12.76,0.0,0.0
2021-08-31,12.76,0.03,0.23566
2021-08-30,12.73,-0.01,-0.07849
2021-08-29,12.74,0.01,0.07855
2021-08-26,12.73,0.05,0.39432
2021-08-25,12.68,-0.02,-0.15748
2021-08-24,12.7,-0.02,-0.15723
2021-08-23,12.72,0.01,0.07868
2021-08-22,12.71,0.03,0.23659
2021-08-19,12.68,0.04,0.31646
2021-08-18,12.64,0.0,0.0
2021-08-17,12.64,-0.03,-0.23678
2021-08-16,12.67,-0.04,-0.31471
2021-08-15,12.71,0.0,0.0
2021-08-12,12.71,0.06,0.47431
2021-08-11,12.65,-0.01,-0.07899
2021-08-10,12.66,0.05,0.39651
2021-08-09,12.61,-0.02,-0.15835
2021-08-08,12.63,-0.02,-0.1581
2021-08-05,12.65,-0.07,-0.55031
2021-08-04,12.72,0.02,0.15748
2021-08-03,12.7,-0.03,-0.23566
2021-08-02,12.73,0.02,0.15736
2021-08-01,12.71,0.04,0.31571
2021-07-29,12.67,-0.02,-0.1576
2021-07-28,12.69,0.01,0.07886
2021-07-27,12.68,0.02,0.15798
2021-07-26,12.66,0.0,0.0
2021-07-25,12.66,-0.02,-0.15773
2021-07-22,12.68,0.02,0.15798
2021-07-21,12.66,0.03,0.23753
2021-07-20,12.63,0.05,0.39746
2021-07-19,12.58,0.02,0.15924
2021-07-18,12.56,-0.06,-0.47544
2021-07-15,12.62,-0.02,-0.15823
2021-07-14,12.64,-0.04,-0.31546
2021-07-13,12.68,0.03,0.23715
2021-07-12,12.65,-0.02,-0.15785
2021-07-11,12.67,0.02,0.1581
2021-07-08,12.65,0.06,0.47657
2021-07-07,12.59,-0.03,-0.23772
2021-07-06,12.62,0.04,0.31797
2021-07-05,12.58,0.01,0.07955
2021-07-01,12.57,0.08,0.64051
2021-06-30,12.49,0.0,0.0
2021-06-29,12.49,-0.02,-0.15987
2021-06-28,12.51,-0.03,-0.23923
2021-06-27,12.54,-0.02,-0.15924
2021-06-24,12.56,0.01,0.07968
2021-06-23,12.55,0.01,0.07974
2021-06-21,12.54,0.04,0.32
2021-06-20,12.5,0.04,0.32103
2021-06-17,12.46,-0.05,-0.39968
2021-06-16,12.51,-0.03,-0.23923
2021-06-15,12.54,-0.05,-0.39714
2021-06-14,12.59,0.01,0.07949
2021-06-13,12.58,0.01,0.07955
2021-06-10,12.57,-0.01,-0.07949
2021-06-09,12.58,0.01,0.07955
2021-06-08,12.57,0.0,0.0
2021-06-07,12.57,0.01,0.07962
2021-06-06,12.56,-0.01,-0.07955
2021-06-03,12.57,0.07,0.56
2021-06-02,12.5,-0.03,-0.23943
2021-06-01,12.53,0.01,0.07987
2021-05-31,12.52,-0.03,-0.23904
2021-05-30,12.55,0.0,0.0
2021-05-27,12.55,0.0,0.0
2021-05-26,12.55,-0.01,-0.07962
2021-05-25,12.56,0.0,0.0
2021-05-24,12.56,0.05,0.39968
2021-05-20,12.51,0.0,0.0
2021-05-19,12.51,0.07,0.5627
2021-05-18,12.44,-0.01,-0.08032
2021-05-17,12.45,0.02,0.1609
2021-05-16,12.43,0.0,0.0
2021-05-13,12.43,0.13,1.05691
2021-05-11,12.3,-0.08,-0.6462
2021-05-10,12.38,-0.08,-0.64205
2021-05-09,12.46,-0.02,-0.16026
2021-05-06,12.48,0.06,0.48309
2021-05-05,12.42,0.04,0.3231
2021-05-04,12.38,0.02,0.16181
2021-05-03,12.36,-0.06,-0.48309
2021-05-02,12.42,0.05,0.4042
2021-04-29,12.37,-0.05,-0.40258
2021-04-28,12.42,-0.01,-0.08045
2021-04-27,12.43,0.01,0.08052
2021-04-26,12.42,-0.02,-0.16077
2021-04-25,12.44,-0.03,-0.24058
2021-04-22,12.47,0.01,0.08026
2021-04-21,12.46,0.0,0.0
2021-04-20,12.46,0.02,0.16077
2021-04-19,12.44,-0.05,-0.40032
2021-04-18,12.49,0.01,0.08013
2021-04-15,12.48,0.02,0.16051
2021-04-14,12.46,0.06,0.48387
