tradeDate,nav,change,changePercent
2022-09-01,15.5675,-0.0331,-0.21217
2022-08-31,15.6006,-0.076,-0.4848
2022-08-30,15.6766,,
2022-08-29,15.7929,-0.0215,-0.13595
2022-08-28,15.8144,-0.0906,-0.56963
2022-08-25,15.905,0.0318,0.20034
2022-08-24,15.8732,-0.1079,-0.67517
2022-08-23,15.9811,0.0048,0.03004
2022-08-22,15.9763,-0.0893,-0.55585
2022-08-21,16.0656,-0.0891,-0.55154
2022-08-18,16.1547,-0.0516,-0.31839
2022-08-17,16.2063,-0.0478,-0.29408
2022-08-16,16.2541,-0.0618,-0.37877
2022-08-15,16.3159,,
2022-08-14,16.2941,0.0165,0.10137
2022-08-11,16.2776,0.0281,0.17293
2022-08-10,16.2495,0.1197,0.7421
2022-08-09,16.1298,-0.0214,-0.1325
2022-08-08,16.1512,0.0078,0.04832
2022-08-07,16.1434,-0.016,-0.09901
2022-08-04,16.1594,0.0383,0.23758
2022-08-03,16.1211,0.0493,0.30675
2022-08-02,16.0718,0.0207,0.12896
2022-08-01,16.0511,0.0363,0.22667
2022-07-31,16.0148,0.1056,0.66377
2022-07-28,15.9092,0.0995,0.62936
2022-07-27,15.8097,-0.0662,-0.41698
2022-07-26,15.8759,-0.0308,-0.19363
2022-07-25,15.9067,0.0109,0.06857
2022-07-24,15.8958,0.067,0.42328
2022-07-21,15.8288,0.0808,0.51308
2022-07-20,15.748,0.0848,0.5414
2022-07-19,15.6632,0.103,0.66195
2022-07-18,15.5602,0.0354,0.22802
2022-07-17,15.5248,0.0936,0.60656
2022-07-14,15.4312,-0.0157,-0.10164
2022-07-13,15.4469,,
2022-07-12,15.4962,0.0254,0.16418
2022-07-11,15.4708,-0.0002,-0.00129
2022-07-10,15.471,0.0292,0.1891
2022-07-07,15.4418,0.1075,0.70104
2022-07-06,15.3343,0.0563,0.3685
2022-07-05,15.278,-0.0237,-0.15488
2022-07-04,15.3017,-0.0203,-0.13249
2022-07-03,15.322,0.0353,0.23092
2022-06-30,15.2867,-0.0288,-0.18804
2022-06-29,15.3155,-0.2847,-1.82498
2022-06-28,15.6002,-0.119,-0.75704
2022-06-27,15.7192,-0.0211,-0.13405
2022-06-26,15.7403,0.0513,0.32698
2022-06-23,15.689,0.0069,0.044
2022-06-22,15.6821,,
2022-06-21,15.7023,-0.0097,-0.06174
2022-06-20,15.712,-0.0245,-0.15569
2022-06-19,15.7365,0.0033,0.02097
2022-06-16,15.7332,-0.066,-0.41774
2022-06-15,15.7992,0.0081,0.05129
2022-06-14,15.7911,-0.0208,-0.13155
2022-06-13,15.8119,-0.2499,-1.55587
2022-06-12,16.0618,-0.2976,-1.81914
2022-06-09,16.3594,-0.0681,-0.41455
2022-06-08,16.4275,-0.0465,-0.28226
2022-06-07,16.474,-0.0166,-0.10066
2022-06-06,16.4906,-0.0721,-0.43532
2022-06-05,16.5627,-0.0147,-0.08867
2022-06-02,16.5774,-0.0119,-0.07173
2022-06-01,16.5893,-0.0137,-0.08252
2022-05-31,16.603,0.0083,0.05002
2022-05-30,16.5947,-0.0269,-0.16184
2022-05-29,16.6216,0.1042,0.63085
2022-05-26,16.5174,0.1515,0.92571
2022-05-25,16.3659,0.0514,0.31506
2022-05-24,16.3145,0.0456,0.28029
2022-05-23,16.2689,-0.0146,-0.08966
2022-05-22,16.2835,-0.0032,-0.01965
2022-05-19,16.2867,0.0368,0.22646
2022-05-18,16.2499,-0.1128,-0.68937
2022-05-17,16.3627,-0.0284,-0.17326
2022-05-16,16.3911,-0.0206,-0.12552
2022-05-15,16.4117,0.0128,0.07805
2022-05-12,16.3989,-0.0157,-0.09565
2022-05-11,16.4146,-0.0563,-0.34181
2022-05-10,16.4709,0.0697,0.42497
2022-05-09,16.4012,-0.0471,-0.28635
2022-05-08,16.4483,-0.1846,-1.10985
2022-05-05,16.6329,-0.1476,-0.87959
2022-05-04,16.7805,0.0435,0.2599
2022-05-03,16.737,0.0507,0.30384
2022-05-02,16.6863,-0.0803,-0.47893
2022-05-01,16.7666,-0.1074,-0.63648
2022-04-28,16.874,-0.0541,-0.31959
2022-04-27,16.9281,-0.1465,-0.858
2022-04-26,17.0746,-0.049,-0.28615
2022-04-25,17.1236,0.0101,0.05902
2022-04-24,17.1135,-0.1113,-0.64616
2022-04-21,17.2248,-0.0607,-0.35116
2022-04-20,17.2855,0.0346,0.20057
2022-04-19,17.2509,0.0046,0.02667
2022-04-18,17.2463,-0.0624,-0.36051
2022-04-13,17.3087,0.0199,0.1151
2022-04-12,17.2888,0.0145,0.08394
2022-04-11,17.2743,-0.0684,-0.3944
2022-04-10,17.3427,-0.0824,-0.47288
2022-04-07,17.4251,-0.0261,-0.14956
2022-04-06,17.4512,-0.0942,-0.53689
2022-04-05,17.5454,-0.0551,-0.31306
2022-04-04,17.6005,0.0253,0.14395
2022-04-03,17.5752,-0.0039,-0.02219
2022-03-31,17.5791,0.0074,0.04211
2022-03-30,17.5717,-0.1067,-0.60356
2022-03-29,17.6784,0.0926,0.52656
2022-03-28,17.5858,0.0445,0.25369
2022-03-27,17.5413,-0.0432,-0.24567
2022-03-24,17.5845,0.0318,0.18117
2022-03-23,17.5527,-0.0056,-0.03189
2022-03-22,17.5583,-0.0037,-0.02107
2022-03-21,17.562,-0.068,-0.38571
2022-03-20,17.63,0.0425,0.24165
2022-03-17,17.5875,0.0463,0.26395
2022-03-16,17.5412,0.11,0.63105
2022-03-15,17.4312,0.0878,0.50624
2022-03-14,17.3434,-0.107,-0.61317
2022-03-13,17.4504,-0.095,-0.54145
2022-03-10,17.5454,-0.0321,-0.18262
2022-03-09,17.5775,-0.0035,-0.01991
2022-03-08,17.581,-0.0043,-0.02445
2022-03-07,17.5853,-0.0614,-0.34794
2022-03-06,17.6467,-0.1091,-0.61445
2022-03-03,17.7558,-0.0584,-0.32783
2022-03-02,17.8142,0.0061,0.03425
2022-03-01,17.8081,-0.0103,-0.05781
2022-02-28,17.8184,0.0516,0.29043
2022-02-27,17.7668,0.0378,0.21321
2022-02-24,17.729,0.0921,0.5222
2022-02-23,17.6369,-0.2682,-1.4979
2022-02-22,17.9051,0.0246,0.13758
2022-02-21,17.8805,-0.023,-0.12847
2022-02-20,17.9035,-0.0051,-0.02848
2022-02-17,17.9086,-0.0206,-0.1149
2022-02-16,17.9292,0.0072,0.04017
2022-02-15,17.922,0.0238,0.13297
2022-02-14,17.8982,-0.0311,-0.17346
2022-02-13,17.9293,-0.1075,-0.596
2022-02-10,18.0368,-0.1146,-0.63136
2022-02-09,18.1514,-0.0025,-0.01377
2022-02-08,18.1539,0.0425,0.23466
2022-02-07,18.1114,0.007,0.03866
2022-02-06,18.1044,-0.1001,-0.54986
2022-02-03,18.2045,-0.1018,-0.55609
2022-02-02,18.3063,-0.0328,-0.17885
2022-02-01,18.3391,0.0699,0.38261
2022-01-31,18.2692,0.0339,0.1859
2022-01-30,18.2353,-0.0263,-0.14402
2022-01-27,18.2616,-0.0991,-0.53974
2022-01-26,18.3607,-0.2125,-1.14412
2022-01-25,18.5732,0.0443,0.23909
2022-01-24,18.5289,-0.0452,-0.24335
2022-01-23,18.5741,-0.0477,-0.25615
2022-01-20,18.6218,-0.012,-0.0644
2022-01-19,18.6338,-0.0276,-0.1479
2022-01-18,18.6614,-0.0242,-0.12951
2022-01-17,18.6856,-0.0473,-0.2525
2022-01-16,18.7329,-0.0016,-0.00854
2022-01-13,18.7345,-0.0339,-0.18062
2022-01-12,18.7684,0.0236,0.1259
2022-01-11,18.7448,0.0404,0.21599
2022-01-10,18.7044,-0.0072,-0.03848
2022-01-09,18.7116,-0.0372,-0.19841
2022-01-06,18.7488,-0.0143,-0.07621
2022-01-05,18.7631,-0.0587,-0.31187
2022-01-04,18.8218,-0.005,-0.02656
2022-01-03,18.8268,-0.0193,-0.10241
2022-01-02,18.8461,0.0078,0.04141
2021-12-30,18.8383,-0.0045,-0.02388
2021-12-29,18.8428,0.0,0.0
2021-12-28,18.8428,0.0133,0.07063
2021-12-27,18.8295,0.0276,0.14679
2021-12-26,18.8019,0.0254,0.13528
2021-12-22,18.7765,0.0247,0.13172
2021-12-21,18.7518,0.0348,0.18593
2021-12-20,18.717,0.0192,0.10269
2021-12-19,18.6978,-0.0196,-0.10472
2021-12-16,18.7174,-0.0032,-0.01709
2021-12-15,18.7206,-0.1195,-0.63429
2021-12-14,18.8401,-0.0043,-0.02282
2021-12-13,18.8444,-0.0199,-0.10549
2021-12-12,18.8643,0.0073,0.03871
2021-12-09,18.857,-0.0117,-0.06201
2021-12-08,18.8687,-0.0073,-0.03867
2021-12-07,18.876,0.0525,0.27891
2021-12-06,18.8235,0.0753,0.40164
