tradeDate,nav,change,changePercent
2022-09-01,14.63,-0.08,-0.54385
2022-08-31,14.71,-0.25,-1.67112
2022-08-30,14.96,-0.03,-0.20013
2022-08-29,14.99,0.18,1.2154
2022-08-28,14.81,-0.41,-2.69382
2022-08-25,15.22,0.05,0.3296
2022-08-24,15.17,0.09,0.59682
2022-08-23,15.08,-0.11,-0.72416
2022-08-22,15.19,-0.22,-1.42764
2022-08-21,15.41,-0.11,-0.70876
2022-08-18,15.52,-0.01,-0.06439
2022-08-17,15.53,-0.19,-1.20865
2022-08-16,15.72,0.19,1.22344
2022-08-15,15.53,0.07,0.45278
2022-08-14,15.46,0.06,0.38961
2022-08-11,15.4,0.39,2.59827
2022-08-09,15.01,-0.17,-1.11989
2022-08-08,15.18,-0.05,-0.3283
2022-08-07,15.23,-0.13,-0.84635
2022-08-04,15.36,0.19,1.25247
2022-08-03,15.17,0.07,0.46358
2022-08-02,15.1,0.18,1.20643
2022-08-01,14.92,-0.3,-1.97109
2022-07-31,15.22,0.31,2.07914
2022-07-28,14.91,0.0,0.0
2022-07-27,14.91,0.08,0.53945
2022-07-26,14.83,-0.01,-0.06739
2022-07-25,14.84,-0.03,-0.20175
2022-07-24,14.87,-0.18,-1.19601
2022-07-21,15.05,0.14,0.93897
2022-07-20,14.91,0.06,0.40404
2022-07-19,14.85,0.45,3.125
2022-07-18,14.4,0.0,0.0
2022-07-14,14.4,0.12,0.84034
2022-07-13,14.28,0.05,0.35137
2022-07-12,14.23,0.03,0.21127
2022-07-11,14.2,-0.27,-1.86593
2022-07-10,14.47,0.09,0.62587
2022-07-07,14.38,0.06,0.41899
2022-07-06,14.32,0.26,1.84922
2022-07-05,14.06,0.06,0.42857
2022-07-04,14.0,0.19,1.37581
2022-07-03,13.81,0.21,1.54412
2022-06-30,13.6,-0.13,-0.94683
2022-06-29,13.73,-0.21,-1.50646
2022-06-28,13.94,-0.13,-0.92395
2022-06-27,14.07,0.04,0.2851
2022-06-26,14.03,0.29,2.11063
2022-06-23,13.74,0.3,2.23214
2022-06-22,13.44,,
2022-06-21,13.48,-0.08,-0.58997
2022-06-20,13.56,0.32,2.41692
2022-06-19,13.24,-0.17,-1.26771
2022-06-16,13.41,0.06,0.44944
2022-06-15,13.35,-0.33,-2.41228
2022-06-14,13.68,-0.23,-1.65349
2022-06-13,13.91,-0.26,-1.83486
2022-06-12,14.17,-0.49,-3.34243
2022-06-09,14.66,-0.27,-1.80844
2022-06-08,14.93,0.02,0.13414
2022-06-07,14.91,0.19,1.29076
2022-06-06,14.72,-0.02,-0.13569
2022-06-05,14.74,0.04,0.27211
2022-06-02,14.7,0.13,0.89224
2022-06-01,14.57,-0.17,-1.15332
2022-05-31,14.74,0.12,0.82079
2022-05-30,14.62,-0.09,-0.61183
2022-05-29,14.71,0.46,3.22807
2022-05-26,14.25,0.1,0.70671
2022-05-25,14.15,-0.11,-0.77139
2022-05-24,14.26,-0.01,-0.07008
2022-05-23,14.27,-0.23,-1.58621
2022-05-22,14.5,0.26,1.82584
2022-05-19,14.24,0.19,1.35231
2022-05-18,14.05,-0.3,-2.09059
2022-05-17,14.35,0.17,1.19887
2022-05-16,14.18,0.02,0.14124
2022-05-15,14.16,0.11,0.78292
2022-05-12,14.05,0.45,3.30882
