tradeDate,nav,change,changePercent
2022-09-04,14.75,-0.18,-1.20563
2022-09-01,14.93,0.13,0.87838
2022-08-31,14.8,-0.36,-2.37467
2022-08-30,15.16,,
2022-08-29,15.28,0.03,0.19672
2022-08-28,15.25,-0.4,-2.55591
2022-08-25,15.65,0.05,0.32051
2022-08-24,15.6,0.17,1.10175
2022-08-23,15.43,-0.14,-0.89917
2022-08-22,15.57,,
2022-08-21,15.76,-0.21,-1.31497
2022-08-18,15.97,-0.32,-1.9644
2022-08-17,16.29,0.04,0.24615
2022-08-16,16.25,,
2022-08-15,16.41,0.04,0.24435
2022-08-11,16.37,-0.01,-0.06105
2022-08-10,16.38,0.17,1.04874
2022-08-09,16.21,0.31,1.94969
2022-08-08,15.9,-0.07,-0.43832
2022-08-07,15.97,0.26,1.655
2022-08-04,15.71,-0.18,-1.13279
2022-08-03,15.89,-0.11,-0.6875
2022-08-02,16.0,0.01,0.06254
2022-08-01,15.99,-0.12,-0.74488
2022-07-31,16.11,0.06,0.37383
2022-07-28,16.05,0.3,1.90476
2022-07-27,15.75,0.22,1.41661
2022-07-26,15.53,-0.01,-0.06435
2022-07-25,15.54,0.0,0.0
2022-07-24,15.54,-0.04,-0.25674
2022-07-21,15.58,0.34,2.23097
2022-07-20,15.24,0.01,0.06566
2022-07-19,15.23,0.15,0.99469
2022-07-18,15.08,0.05,0.33267
2022-07-17,15.03,0.23,1.55405
2022-07-14,14.8,,
2022-07-13,14.68,,
2022-07-12,14.79,-0.19,-1.26836
2022-07-11,14.98,0.08,0.53691
2022-07-10,14.9,-0.12,-0.79893
2022-07-07,15.02,-0.14,-0.92348
2022-07-06,15.16,0.01,0.06601
2022-07-05,15.15,0.33,2.22672
2022-07-04,14.82,-0.31,-2.04891
2022-07-03,15.13,0.08,0.53156
2022-06-30,15.05,0.13,0.87131
2022-06-29,14.92,-0.17,-1.12657
2022-06-28,15.09,-0.52,-3.3312
2022-06-27,15.61,0.24,1.56148
2022-06-26,15.37,0.09,0.58901
2022-06-23,15.28,0.43,2.89562
2022-06-21,14.85,-0.1,-0.6689
2022-06-20,14.95,0.21,1.42469
2022-06-19,14.74,-0.1,-0.67385
2022-06-16,14.84,0.15,1.0211
2022-06-15,14.69,-0.11,-0.74324
2022-06-14,14.8,0.11,0.74881
2022-06-13,14.69,-0.38,-2.52157
2022-06-12,15.07,-0.5,-3.2113
2022-06-09,15.57,-0.58,-3.59133
2022-06-08,16.15,-0.28,-1.7042
2022-06-07,16.43,0.17,1.04551
2022-06-06,16.26,-0.19,-1.15502
2022-06-02,16.45,0.1,0.61162
2022-06-01,16.35,-0.13,-0.78883
2022-05-31,16.48,-0.09,-0.54315
2022-05-30,16.57,-0.16,-0.95637
2022-05-29,16.73,0.19,1.14873
2022-05-26,16.54,0.35,2.16183
2022-05-24,16.19,0.14,0.87227
2022-05-23,16.05,-0.01,-0.06227
2022-05-22,16.06,-0.03,-0.18645
2022-05-19,16.09,0.1,0.62539
2022-05-18,15.99,-0.23,-1.418
2022-05-17,16.22,-0.07,-0.42971
2022-05-16,16.29,0.06,0.36969
2022-05-15,16.23,0.2,1.24766
2022-05-12,16.03,0.26,1.6487
2022-05-11,15.77,-0.36,-2.23187
2022-05-10,16.13,-0.1,-0.61614
2022-05-09,16.23,-0.5,-2.98864
2022-05-05,16.73,-0.62,-3.57349
2022-05-04,17.35,0.13,0.75494
2022-05-03,17.22,0.02,0.11628
2022-05-02,17.2,-0.24,-1.37615
2022-05-01,17.44,-0.61,-3.3795
2022-04-28,18.05,0.06,0.33352
2022-04-27,17.99,-0.15,-0.8269
2022-04-26,18.14,-0.18,-0.98253
2022-04-25,18.32,0.14,0.77008
2022-04-24,18.18,-0.34,-1.83585
2022-04-21,18.52,-0.4,-2.11416
2022-04-20,18.92,0.19,1.01442
2022-04-19,18.73,0.26,1.40769
2022-04-18,18.47,-0.08,-0.43127
2022-04-13,18.55,0.17,0.92492
2022-04-12,18.38,0.0,0.0
2022-04-11,18.38,-0.13,-0.70232
2022-04-10,18.51,-0.03,-0.16181
2022-04-07,18.54,-0.05,-0.26896
2022-04-06,18.59,-0.1,-0.53505
2022-04-05,18.69,-0.29,-1.52792
2022-04-04,18.98,0.04,0.21119
2022-04-03,18.94,0.11,0.58417
2022-03-31,18.83,-0.14,-0.73801
2022-03-30,18.97,-0.02,-0.10532
2022-03-29,18.99,0.21,1.11821
2022-03-28,18.78,0.33,1.78862
2022-03-27,18.45,0.04,0.21727
2022-03-24,18.41,0.14,0.76628
2022-03-23,18.27,-0.02,-0.10935
2022-03-22,18.29,-0.2,-1.08167
2022-03-21,18.49,0.08,0.43455
2022-03-20,18.41,-0.07,-0.37879
2022-03-17,18.48,0.15,0.81833
2022-03-16,18.33,0.3,1.66389
2022-03-15,18.03,0.34,1.92199
2022-03-14,17.69,-0.22,-1.22836
2022-03-13,17.91,-0.18,-0.99502
2022-03-10,18.09,0.14,0.77994
2022-03-09,17.95,0.0,0.0
2022-03-08,17.95,0.33,1.87287
2022-03-07,17.62,-0.29,-1.61921
2022-03-06,17.91,0.05,0.27996
2022-03-03,17.86,-0.22,-1.21681
2022-03-02,18.08,0.13,0.72423
2022-03-01,17.95,0.05,0.27933
2022-02-28,17.9,-0.16,-0.88594
2022-02-27,18.06,0.18,1.00671
2022-02-24,17.88,0.45,2.58176
2022-02-23,17.43,-0.56,-3.11284
2022-02-22,17.99,0.06,0.33463
2022-02-21,17.93,-0.02,-0.11142
2022-02-20,17.95,-0.22,-1.21079
2022-02-17,18.17,0.08,0.44223
2022-02-16,18.09,-0.09,-0.49505
2022-02-15,18.18,0.16,0.8879
2022-02-14,18.02,-0.01,-0.05546
2022-02-13,18.03,-0.22,-1.20548
2022-02-10,18.25,-0.24,-1.298
2022-02-09,18.49,0.14,0.76294
2022-02-08,18.35,0.3,1.66205
2022-02-07,18.05,-0.19,-1.04167
2022-02-06,18.24,0.0,0.0
2022-02-03,18.24,-0.22,-1.19177
2022-02-02,18.46,-0.06,-0.32397
2022-02-01,18.52,0.12,0.65217
2022-01-31,18.4,0.12,0.65646
2022-01-30,18.28,0.55,3.10209
2022-01-27,17.73,-0.5,-2.74273
2022-01-26,18.23,-0.22,-1.19241
2022-01-25,18.45,0.39,2.15947
2022-01-24,18.06,0.01,0.0554
2022-01-23,18.05,-0.45,-2.43243
2022-01-20,18.5,-0.27,-1.43847
2022-01-19,18.77,-0.12,-0.63526
2022-01-18,18.89,0.15,0.80043
2022-01-17,18.74,-0.22,-1.16034
2022-01-16,18.96,-0.06,-0.31546
2022-01-13,19.02,-0.17,-0.88588
