tradeDate,nav,change,changePercent
2022-09-01,9.97,-0.2,-1.96657
2022-08-31,10.17,-0.15,-1.45349
2022-08-30,10.32,0.22,2.17822
2022-08-29,10.1,,
2022-08-28,10.38,-0.12,-1.14286
2022-08-25,10.5,-0.05,-0.47393
2022-08-24,10.55,0.44,4.35213
2022-08-23,10.11,-0.01,-0.09881
2022-08-22,10.12,0.0,0.0
2022-08-21,10.12,0.05,0.49652
2022-08-18,10.07,-0.18,-1.7561
2022-08-17,10.25,-0.12,-1.15718
2022-08-16,10.37,-0.02,-0.19249
2022-08-15,10.39,-0.11,-1.04762
2022-08-14,10.5,-0.04,-0.37951
2022-08-11,10.54,0.01,0.09497
2022-08-10,10.53,0.23,2.23301
2022-08-09,10.3,-0.03,-0.29042
2022-08-08,10.33,-0.07,-0.67308
2022-08-07,10.4,-0.09,-0.85796
2022-08-04,10.49,-0.09,-0.85066
2022-08-03,10.58,0.18,1.73077
2022-08-02,10.4,0.08,0.77519
2022-08-01,10.32,-0.06,-0.57803
2022-07-31,10.38,-0.08,-0.76482
2022-07-28,10.46,-0.36,-3.32717
2022-07-27,10.82,-0.09,-0.82493
2022-07-26,10.91,0.1,0.92507
2022-07-25,10.81,-0.05,-0.46041
2022-07-24,10.86,0.03,0.27701
2022-07-21,10.83,-0.27,-2.43243
2022-07-20,11.1,0.1,0.90909
2022-07-19,11.0,-0.07,-0.63234
2022-07-18,11.07,0.12,1.09589
2022-07-17,10.95,0.09,0.82873
2022-07-14,10.86,,
2022-07-13,10.96,-0.1,-0.90416
2022-07-12,11.06,0.01,0.0905
2022-07-11,11.05,-0.09,-0.8079
2022-07-10,11.14,-0.54,-4.62329
2022-07-07,11.68,-0.12,-1.01695
2022-07-06,11.8,0.25,2.1645
2022-07-05,11.55,-0.13,-1.11301
2022-07-04,11.68,-0.1,-0.8489
2022-07-03,11.78,0.06,0.51195
2022-06-30,11.72,0.0,0.0
2022-06-29,11.72,0.06,0.51458
2022-06-28,11.66,-0.11,-0.93458
2022-06-27,11.77,-0.06,-0.50719
2022-06-26,11.83,0.06,0.50977
2022-06-23,11.77,0.43,3.79189
2022-06-22,11.34,,
2022-06-21,11.16,-0.13,-1.15146
2022-06-20,11.29,0.13,1.16487
2022-06-19,11.16,0.24,2.1978
2022-06-16,10.92,0.25,2.34302
2022-06-15,10.67,-0.4,-3.61337
2022-06-14,11.07,0.3,2.78552
2022-06-13,10.77,0.27,2.57143
2022-06-12,10.5,-0.51,-4.63215
2022-06-09,11.01,0.02,0.18198
2022-06-08,10.99,-0.49,-4.26829
2022-06-07,11.48,0.37,3.33033
2022-06-06,11.11,0.18,1.64684
2022-06-05,10.93,0.4,3.79867
2022-06-02,10.53,-0.18,-1.68067
2022-06-01,10.71,0.3,2.88184
2022-05-31,10.41,-0.09,-0.85714
2022-05-30,10.5,0.23,2.23953
2022-05-29,10.27,0.19,1.88492
2022-05-26,10.08,0.03,0.29851
2022-05-25,10.05,0.32,3.2888
2022-05-24,9.73,0.06,0.62048
2022-05-23,9.67,-0.46,-4.54097
2022-05-22,10.13,0.04,0.39643
2022-05-19,10.09,-0.01,-0.09901
2022-05-18,10.1,0.21,2.12336
2022-05-17,9.89,-0.27,-2.65748
2022-05-16,10.16,0.36,3.67347
2022-05-15,9.8,-0.02,-0.20367
2022-05-12,9.82,0.41,4.35707
2022-05-11,9.41,-0.01,-0.10616
2022-05-10,9.42,0.06,0.64103
2022-05-09,9.36,0.12,1.2987
2022-05-08,9.24,-0.37,-3.85016
2022-05-05,9.61,-0.35,-3.51406
2022-05-04,9.96,-0.56,-5.32319
2022-05-03,10.52,0.04,0.38168
2022-05-02,10.48,0.09,0.86622
2022-05-01,10.39,0.07,0.67829
2022-04-28,10.32,0.37,3.71859
2022-04-27,9.95,0.11,1.11789
2022-04-26,9.84,0.35,3.68809
2022-04-25,9.49,-0.2,-2.06398
2022-04-24,9.69,-0.22,-2.21998
2022-04-21,9.91,0.1,1.01937
2022-04-20,9.81,-0.4,-3.91773
2022-04-19,10.21,-0.32,-3.03894
2022-04-18,10.53,-0.2,-1.86393
2022-04-17,10.73,-0.04,-0.3714
2022-04-13,10.77,0.0,0.0
2022-04-12,10.77,0.12,1.12676
2022-04-11,10.65,0.06,0.56657
2022-04-10,10.59,-0.34,-3.1107
