tradeDate,nav,change,changePercent
2022-09-01,71.4759,-0.1338,-0.18685
2022-08-31,71.6097,-0.3038,-0.42245
2022-08-30,71.9135,,
2022-08-29,72.3041,-0.0728,-0.10058
2022-08-28,72.3769,-0.2845,-0.39154
2022-08-25,72.6614,0.0904,0.12457
2022-08-24,72.571,-0.2241,-0.30785
2022-08-23,72.7951,0.2949,0.40676
2022-08-22,72.5002,-0.1586,-0.21828
2022-08-21,72.6588,-0.5372,-0.73392
2022-08-18,73.196,0.0562,0.07684
2022-08-17,73.1398,-0.1148,-0.15671
2022-08-16,73.2546,-0.4874,-0.66095
2022-08-15,73.742,,
2022-08-14,73.8897,0.2289,0.31075
2022-08-11,73.6608,-0.0946,-0.12826
2022-08-10,73.7554,0.9054,1.24283
2022-08-09,72.85,0.0512,0.07033
2022-08-08,72.7988,0.4317,0.59654
2022-08-07,72.3671,0.196,0.27158
2022-08-04,72.1711,0.114,0.15821
2022-08-03,72.0571,0.4756,0.66442
2022-08-02,71.5815,-0.3692,-0.51313
2022-08-01,71.9507,0.1828,0.25471
2022-07-31,71.7679,0.3678,0.51513
2022-07-28,71.4001,0.7888,1.1171
2022-07-27,70.6113,0.1253,0.17777
2022-07-26,70.486,-0.2325,-0.32877
2022-07-25,70.7185,0.2431,0.34494
2022-07-24,70.4754,0.3879,0.55345
2022-07-21,70.0875,0.4453,0.63941
2022-07-20,69.6422,0.2488,0.35854
2022-07-19,69.3934,0.3565,0.51639
2022-07-18,69.0369,-0.0624,-0.0903
2022-07-17,69.0993,0.1716,0.24896
2022-07-14,68.9277,-0.1241,-0.17972
2022-07-13,69.0518,-0.7652,-1.09601
2022-07-12,69.817,-0.0962,-0.1376
2022-07-11,69.9132,-0.3234,-0.46044
2022-07-10,70.2366,-0.2767,-0.39241
2022-07-07,70.5133,-0.0118,-0.01673
2022-07-06,70.5251,-0.4022,-0.56706
2022-07-05,70.9273,-0.2987,-0.41937
2022-07-04,71.226,-0.2108,-0.29509
2022-07-03,71.4368,-0.0061,-0.00854
2022-06-30,71.4429,0.5079,0.71601
2022-06-29,70.935,-0.5855,-0.81865
2022-06-28,71.5205,-0.3363,-0.46801
2022-06-27,71.8568,-0.4259,-0.58921
2022-06-26,72.2827,-0.0474,-0.06553
2022-06-23,72.3301,0.0187,0.02586
2022-06-22,72.3114,,
2022-06-21,72.346,-0.1345,-0.18557
2022-06-20,72.4805,-0.192,-0.2642
2022-06-19,72.6725,0.0188,0.02588
2022-06-16,72.6537,-0.0239,-0.03288
2022-06-15,72.6776,-0.1099,-0.15099
2022-06-14,72.7875,-0.1019,-0.1398
2022-06-13,72.8894,-0.5758,-0.78377
2022-06-12,73.4652,-1.1555,-1.5485
2022-06-09,74.6207,-0.6338,-0.84221
2022-06-08,75.2545,-0.1949,-0.25832
2022-06-07,75.4494,-0.0465,-0.06159
2022-06-06,75.4959,-0.4169,-0.54918
2022-06-05,75.9128,0.013,0.01713
2022-06-02,75.8998,0.0552,0.07278
2022-06-01,75.8446,-0.0688,-0.09063
2022-05-31,75.9134,-0.0564,-0.07424
2022-05-30,75.9698,-0.2671,-0.35036
2022-05-29,76.2369,0.3469,0.45711
2022-05-26,75.89,0.4107,0.54412
2022-05-25,75.4793,-0.0054,-0.00715
2022-05-24,75.4847,0.1815,0.24103
2022-05-23,75.3032,0.1384,0.18413
2022-05-22,75.1648,0.2836,0.37873
2022-05-19,74.8812,0.2123,0.28432
2022-05-18,74.6689,-0.076,-0.10168
2022-05-17,74.7449,-0.2054,-0.27405
2022-05-16,74.9503,0.1385,0.18513
2022-05-15,74.8118,0.0254,0.03396
2022-05-12,74.7864,-0.0175,-0.02339
2022-05-11,74.8039,0.0444,0.05939
2022-05-10,74.7595,0.0153,0.02047
2022-05-09,74.7442,-0.2619,-0.34917
2022-05-08,75.0061,-0.5757,-0.76169
2022-05-05,75.5818,-0.8271,-1.08247
2022-05-04,76.4089,0.1316,0.17253
2022-05-03,76.2773,0.3423,0.45078
2022-05-02,75.935,-0.2759,-0.36202
2022-05-01,76.2109,-0.388,-0.50653
2022-04-28,76.5989,0.0025,0.00326
2022-04-27,76.5964,-0.6658,-0.86174
2022-04-26,77.2622,-0.3991,-0.5139
2022-04-25,77.6613,-0.121,-0.15556
2022-04-24,77.7823,-0.5637,-0.7195
2022-04-21,78.346,-0.5896,-0.74694
2022-04-20,78.9356,0.0368,0.04664
2022-04-19,78.8988,-0.2417,-0.30541
2022-04-18,79.1405,-0.3709,-0.46647
2022-04-13,79.5114,-0.0634,-0.07967
2022-04-12,79.5748,-0.0417,-0.05238
2022-04-11,79.6165,-0.2708,-0.33898
2022-04-10,79.8873,-0.3613,-0.45023
2022-04-07,80.2486,-0.2939,-0.3649
2022-04-06,80.5425,-0.1738,-0.21532
2022-04-05,80.7163,-0.659,-0.80983
2022-04-04,81.3753,0.0634,0.07797
2022-04-03,81.3119,-0.0308,-0.03786
2022-03-31,81.3427,0.2651,0.32697
2022-03-30,81.0776,-0.2187,-0.26902
2022-03-29,81.2963,0.4497,0.55624
2022-03-28,80.8466,0.5292,0.65889
2022-03-27,80.3174,-0.1074,-0.13354
2022-03-24,80.4248,0.3546,0.44286
2022-03-23,80.0702,-0.035,-0.04369
2022-03-22,80.1052,-0.0873,-0.10886
2022-03-21,80.1925,-0.2636,-0.32763
2022-03-20,80.4561,0.1399,0.17419
2022-03-17,80.3162,0.2246,0.28043
2022-03-16,80.0916,0.5736,0.72135
2022-03-15,79.518,0.2703,0.34108
2022-03-14,79.2477,-0.398,-0.49971
2022-03-13,79.6457,-0.3185,-0.3983
2022-03-10,79.9642,0.0903,0.11305
2022-03-09,79.8739,-0.0063,-0.00789
2022-03-08,79.8802,-0.0276,-0.03454
2022-03-07,79.9078,-0.5467,-0.67951
2022-03-06,80.4545,-0.6588,-0.8122
2022-03-03,81.1133,-0.4245,-0.52062
2022-03-02,81.5378,-0.2351,-0.2875
2022-03-01,81.7729,-0.4167,-0.507
2022-02-28,82.1896,-1.4281,-1.70789
2022-02-27,83.6177,-1.0176,-1.20234
2022-02-24,84.6353,0.4516,0.53645
2022-02-23,84.1837,-2.975,-3.41331
2022-02-22,87.1587,-0.232,-0.26547
2022-02-21,87.3907,-0.3457,-0.39402
2022-02-20,87.7364,-0.2968,-0.33715
2022-02-17,88.0332,-0.0967,-0.10972
2022-02-16,88.1299,-0.069,-0.07823
2022-02-15,88.1989,0.1886,0.21429
2022-02-14,88.0103,0.1306,0.14861
2022-02-13,87.8797,-0.4341,-0.49154
2022-02-10,88.3138,-0.3466,-0.39093
2022-02-09,88.6604,0.0743,0.08387
2022-02-08,88.5861,0.1715,0.19397
2022-02-07,88.4146,-0.0851,-0.09616
2022-02-06,88.4997,-0.2468,-0.2781
2022-02-03,88.7465,-0.2371,-0.26645
2022-02-02,88.9836,-0.0407,-0.04572
2022-02-01,89.0243,0.2105,0.23701
2022-01-31,88.8138,0.361,0.40813
2022-01-30,88.4528,0.1259,0.14254
2022-01-27,88.3269,-0.0732,-0.08281
2022-01-26,88.4001,-0.568,-0.63843
2022-01-25,88.9681,0.2352,0.26507
2022-01-24,88.7329,-0.3898,-0.43737
2022-01-23,89.1227,-0.32,-0.35777
2022-01-20,89.4427,0.1352,0.15139
2022-01-19,89.3075,0.253,0.2841
2022-01-18,89.0545,0.0335,0.03763
2022-01-17,89.021,-0.2562,-0.28697
2022-01-16,89.2772,-0.3091,-0.34503
2022-01-13,89.5863,-0.3667,-0.40766
2022-01-12,89.953,-0.0833,-0.09252
2022-01-11,90.0363,0.1273,0.14159
2022-01-10,89.909,-0.0191,-0.02124
2022-01-09,89.9281,-0.2154,-0.23895
2022-01-06,90.1435,0.0779,0.08649
2022-01-05,90.0656,-0.7594,-0.83611
2022-01-04,90.825,0.2487,0.27458
2022-01-03,90.5763,-0.3577,-0.39336
2022-01-02,90.934,-0.0454,-0.0499
2021-12-30,90.9794,0.0818,0.08999
2021-12-29,90.8976,0.0237,0.02608
2021-12-28,90.8739,-0.0044,-0.00484
2021-12-27,90.8783,0.0351,0.03864
2021-12-26,90.8432,0.1179,0.12995
2021-12-22,90.7253,0.1791,0.1978
2021-12-21,90.5462,0.0885,0.09784
2021-12-20,90.4577,-0.1113,-0.12289
2021-12-19,90.569,-0.1643,-0.18108
2021-12-16,90.7333,-0.0604,-0.06652
2021-12-15,90.7937,-0.3539,-0.38827
2021-12-14,91.1476,-0.2826,-0.30909
2021-12-13,91.4302,-0.0148,-0.01618
2021-12-12,91.445,0.0145,0.01586
2021-12-09,91.4305,-0.036,-0.03936
2021-12-08,91.4665,-0.2924,-0.31866
2021-12-07,91.7589,0.7291,0.80095
2021-12-06,91.0298,0.1941,0.21368
2021-12-05,90.8357,0.057,0.06279
2021-12-02,90.7787,0.1849,0.2041
2021-12-01,90.5938,-0.0287,-0.03167
2021-11-30,90.6225,0.4394,0.48723
2021-11-29,90.1831,0.1887,0.20968
2021-11-28,89.9944,-0.1613,-0.17891
2021-11-25,90.1557,-0.4178,-0.46128
2021-11-24,90.5735,-0.0536,-0.05914
2021-11-23,90.6271,-0.1946,-0.21427
2021-11-22,90.8217,-0.7704,-0.84112
2021-11-21,91.5921,-0.19,-0.20701
2021-11-18,91.7821,-0.0405,-0.04411
2021-11-17,91.8226,-0.5776,-0.62511
2021-11-16,92.4002,-0.2274,-0.2455
2021-11-15,92.6276,-0.2979,-0.32058
2021-11-14,92.9255,0.0349,0.03757
2021-11-11,92.8906,-0.1344,-0.14448
2021-11-10,93.025,-0.2952,-0.31633
2021-11-09,93.3202,-0.3636,-0.38811
2021-11-08,93.6838,0.4845,0.51985
2021-11-07,93.1993,0.3001,0.32304
2021-11-04,92.8992,0.247,0.26659
2021-11-03,92.6522,0.1835,0.19845
2021-11-02,92.4687,-0.0754,-0.08147
2021-11-01,92.5441,-0.1134,-0.12239
2021-10-31,92.6575,-0.2458,-0.26458
2021-10-28,92.9033,-0.2034,-0.21846
2021-10-27,93.1067,-0.5029,-0.53723
2021-10-26,93.6096,-0.0381,-0.04068
2021-10-25,93.6477,0.2196,0.23505
2021-10-24,93.4281,-0.0506,-0.05413
2021-10-21,93.4787,-0.1605,-0.1714
2021-10-20,93.6392,-0.2637,-0.28082
2021-10-19,93.9029,-0.0662,-0.07045
2021-10-18,93.9691,0.0582,0.06197
2021-10-17,93.9109,-0.1742,-0.18515
2021-10-14,94.0851,0.2066,0.22007
2021-10-13,93.8785,0.4791,0.51296
2021-10-12,93.3994,0.1007,0.10793
2021-10-11,93.2987,-0.1389,-0.14866
2021-10-10,93.4376,-0.2368,-0.25279
2021-10-07,93.6744,-0.0389,-0.04151
2021-10-06,93.7133,0.0262,0.02797
2021-10-05,93.6871,-0.0715,-0.07626
2021-10-04,93.7586,-0.2546,-0.27081
2021-10-03,94.0132,-0.2938,-0.31154
2021-09-30,94.307,0.2269,0.24118
2021-09-29,94.0801,-0.5659,-0.59791
2021-09-28,94.646,-0.0709,-0.07485
2021-09-27,94.7169,-0.4486,-0.47139
2021-09-26,95.1655,-0.3269,-0.34233
2021-09-23,95.4924,-0.5163,-0.53776
