tradeDate,nav,change,changePercent
2022-09-01,10.47,-0.01,-0.09542
2022-08-31,10.48,-0.09,-0.85147
2022-08-30,10.57,0.02,0.18957
2022-08-29,10.55,0.01,0.09488
2022-08-28,10.54,-0.07,-0.65975
2022-08-25,10.61,-0.05,-0.46904
2022-08-24,10.66,0.03,0.28222
2022-08-23,10.63,-0.02,-0.18779
2022-08-22,10.65,0.04,0.377
2022-08-21,10.61,-0.07,-0.65543
2022-08-18,10.68,-0.06,-0.55866
2022-08-17,10.74,-0.07,-0.64755
2022-08-16,10.81,-0.02,-0.18467
2022-08-15,10.83,0.02,0.18501
2022-08-14,10.81,-0.09,-0.82569
2022-08-11,10.9,0.03,0.27599
2022-08-10,10.87,-0.01,-0.09191
2022-08-09,10.88,0.07,0.64755
2022-08-08,10.81,0.02,0.18536
2022-08-07,10.79,0.0,0.0
2022-08-04,10.79,-0.02,-0.18501
2022-08-03,10.81,0.03,0.27829
2022-08-02,10.78,0.0,0.0
2022-08-01,10.78,-0.02,-0.18519
2022-07-31,10.8,0.02,0.18553
2022-07-28,10.78,0.04,0.37244
2022-07-27,10.74,0.06,0.5618
2022-07-26,10.68,0.03,0.28169
2022-07-25,10.65,-0.01,-0.09381
2022-07-24,10.66,0.02,0.18797
2022-07-21,10.64,0.02,0.18832
2022-07-20,10.62,0.01,0.09425
2022-07-19,10.61,-0.03,-0.28195
2022-07-18,10.64,0.04,0.37736
2022-07-17,10.6,-0.01,-0.09425
2022-07-14,10.61,0.01,0.09434
2022-07-13,10.6,-0.05,-0.46948
2022-07-12,10.65,0.0,0.0
2022-07-11,10.65,0.01,0.09398
2022-07-10,10.64,-0.09,-0.83877
2022-07-07,10.73,0.02,0.18674
2022-07-06,10.71,0.03,0.2809
2022-07-05,10.68,0.02,0.18762
2022-07-04,10.66,-0.07,-0.65238
2022-07-03,10.73,0.0,0.0
2022-06-30,10.73,-0.03,-0.27881
2022-06-29,10.76,0.02,0.18622
2022-06-28,10.74,-0.04,-0.37106
2022-06-27,10.78,-0.03,-0.27752
2022-06-26,10.81,0.0,0.0
2022-06-23,10.81,0.04,0.3714
2022-06-22,10.77,,
2022-06-21,10.77,-0.03,-0.27778
2022-06-20,10.8,0.0,0.0
2022-06-19,10.8,0.02,0.18553
2022-06-16,10.78,-0.05,-0.46168
2022-06-15,10.83,0.0,0.0
2022-06-14,10.83,0.04,0.37071
2022-06-13,10.79,-0.01,-0.09259
2022-06-12,10.8,-0.09,-0.82645
2022-06-09,10.89,-0.07,-0.63869
2022-06-08,10.96,-0.04,-0.36364
2022-06-07,11.0,-0.03,-0.27199
2022-06-06,11.03,0.0,0.0
2022-06-05,11.03,-0.02,-0.181
2022-06-02,11.05,-0.03,-0.27076
2022-06-01,11.08,0.04,0.36232
2022-05-31,11.04,-0.02,-0.18083
2022-05-30,11.06,-0.03,-0.27051
2022-05-29,11.09,0.05,0.4529
2022-05-26,11.04,0.07,0.6381
2022-05-25,10.97,0.0,0.0
2022-05-24,10.97,-0.03,-0.27273
2022-05-23,11.0,0.01,0.09099
2022-05-22,10.99,0.07,0.64103
2022-05-19,10.92,0.0,0.0
2022-05-18,10.92,0.08,0.73801
2022-05-17,10.84,-0.07,-0.64161
2022-05-16,10.91,0.09,0.83179
2022-05-15,10.82,-0.03,-0.2765
2022-05-12,10.85,0.04,0.37003
2022-05-11,10.81,-0.08,-0.73462
2022-05-10,10.89,-0.01,-0.09174
2022-05-09,10.9,0.0,0.0
2022-05-08,10.9,-0.07,-0.6381
2022-05-05,10.97,-0.08,-0.72398
2022-05-04,11.05,-0.09,-0.8079
2022-05-03,11.14,0.06,0.54152
2022-05-02,11.08,0.02,0.18083
2022-05-01,11.06,-0.03,-0.27051
2022-04-28,11.09,0.04,0.36199
2022-04-27,11.05,-0.06,-0.54005
2022-04-26,11.11,-0.03,-0.2693
2022-04-25,11.14,-0.03,-0.26858
2022-04-24,11.17,-0.06,-0.53428
2022-04-21,11.23,-0.06,-0.53144
2022-04-20,11.29,-0.04,-0.35305
2022-04-19,11.33,0.02,0.17683
2022-04-18,11.31,-0.04,-0.35242
2022-04-17,11.35,-0.03,-0.26362
2022-04-13,11.38,-0.01,-0.0878
2022-04-12,11.39,0.01,0.08787
2022-04-11,11.38,0.02,0.17606
2022-04-10,11.36,-0.05,-0.43821
