tradeDate,nav,change,changePercent
2022-09-01,25.05,0.01,0.03994
2022-08-31,25.04,-0.07,-0.27877
2022-08-30,25.11,-0.04,-0.15905
2022-08-29,25.15,-0.1,-0.39604
2022-08-25,25.25,-0.05,-0.19763
2022-08-24,25.3,0.06,0.23772
2022-08-23,25.24,0.01,0.03964
2022-08-22,25.23,-0.05,-0.19778
2022-08-21,25.28,-0.08,-0.31546
2022-08-18,25.36,-0.06,-0.23603
2022-08-17,25.42,0.01,0.03935
2022-08-16,25.41,-0.07,-0.27473
2022-08-15,25.48,0.03,0.11788
2022-08-11,25.45,0.04,0.15742
2022-08-10,25.41,-0.01,-0.03934
2022-08-09,25.42,0.01,0.03935
2022-08-08,25.39,,
2022-08-07,25.41,0.03,0.1182
2022-08-04,25.38,-0.05,-0.19662
2022-08-03,25.43,0.02,0.07871
2022-08-02,25.41,0.07,0.27624
2022-08-01,25.34,-0.07,-0.27548
2022-07-31,25.41,-0.01,-0.03934
2022-07-28,25.42,0.03,0.11816
2022-07-27,25.39,0.16,0.63417
2022-07-26,25.23,0.08,0.31809
2022-07-25,25.15,0.0,0.0
2022-07-24,25.15,,
2022-07-21,25.15,0.08,0.31911
2022-07-20,25.07,0.08,0.32013
2022-07-19,24.99,0.0,0.0
2022-07-18,24.99,0.04,0.16032
2022-07-17,24.95,-0.02,-0.0801
2022-07-14,24.97,0.01,0.04006
2022-07-13,24.96,-0.1,-0.39904
2022-07-12,25.06,0.01,0.03992
2022-07-11,25.05,-0.05,-0.1992
2022-07-10,25.1,-0.01,-0.03982
2022-07-07,25.11,-0.01,-0.03981
2022-07-06,25.12,0.05,0.19944
2022-07-05,25.07,-0.01,-0.03987
2022-07-04,25.08,-0.01,-0.03986
2022-07-03,25.09,-0.02,-0.07965
2022-06-30,25.11,0.07,0.27955
2022-06-29,25.04,-0.04,-0.15949
2022-06-28,25.08,-0.01,-0.03986
2022-06-27,25.09,-0.06,-0.23857
2022-06-26,25.15,0.0,0.0
2022-06-23,25.15,0.09,0.35914
2022-06-21,25.06,-0.02,-0.07974
2022-06-20,25.08,0.02,0.07981
2022-06-19,25.06,-0.01,-0.03989
2022-06-16,25.07,0.03,0.11981
2022-06-15,25.04,-0.18,-0.71372
