tradeDate,nav,change,changePercent
2022-09-04,10.35,-0.01,-0.09653
2022-09-01,10.36,-0.02,-0.19268
2022-08-31,10.38,-0.22,-2.07547
2022-08-30,10.6,,
2022-08-29,10.59,-0.02,-0.1885
2022-08-28,10.61,-0.18,-1.66821
2022-08-25,10.79,0.08,0.74697
2022-08-24,10.71,0.19,1.80608
2022-08-23,10.52,0.0,0.0
2022-08-22,10.52,0.01,0.09515
2022-08-21,10.51,-0.12,-1.12888
2022-08-18,10.63,-0.12,-1.11628
2022-08-17,10.75,-0.08,-0.73869
2022-08-16,10.83,-0.02,-0.18433
2022-08-15,10.85,0.04,0.37003
2022-08-11,10.81,0.01,0.09259
2022-08-10,10.8,0.19,1.79076
2022-08-09,10.61,-0.05,-0.46904
2022-08-08,10.66,-0.03,-0.28064
2022-08-07,10.69,0.07,0.65913
2022-08-04,10.62,0.08,0.75901
2022-08-03,10.54,0.12,1.15163
2022-08-02,10.42,0.04,0.38536
2022-08-01,10.38,-0.11,-1.04862
2022-07-31,10.49,0.02,0.19102
2022-07-28,10.47,-0.01,-0.09542
2022-07-27,10.48,0.09,0.86622
2022-07-26,10.39,-0.01,-0.09615
2022-07-25,10.4,0.01,0.09625
2022-07-24,10.39,-0.04,-0.38351
2022-07-21,10.43,0.02,0.19212
2022-07-20,10.41,0.03,0.28902
2022-07-19,10.38,0.05,0.48403
2022-07-18,10.33,-0.03,-0.28958
2022-07-17,10.36,0.26,2.57426
2022-07-14,10.1,-0.07,-0.6883
2022-07-13,10.17,-0.08,-0.78049
2022-07-12,10.25,0.01,0.09766
2022-07-11,10.24,-0.12,-1.1583
2022-07-10,10.36,-0.19,-1.80095
2022-07-07,10.55,0.05,0.47619
2022-07-06,10.5,0.18,1.74419
2022-07-05,10.32,-0.09,-0.86455
2022-07-04,10.41,-0.11,-1.04563
2022-07-03,10.52,0.07,0.66986
2022-06-30,10.45,-0.06,-0.57088
2022-06-29,10.51,-0.15,-1.40713
2022-06-28,10.66,-0.17,-1.56971
2022-06-27,10.83,0.11,1.02612
2022-06-26,10.72,0.12,1.13208
2022-06-23,10.6,0.15,1.43541
2022-06-21,10.45,-0.2,-1.87793
2022-06-20,10.65,0.17,1.62214
2022-06-19,10.48,-0.11,-1.03872
2022-06-16,10.59,-0.03,-0.28249
2022-06-15,10.62,-0.13,-1.2093
2022-06-14,10.75,0.0,0.0
2022-06-13,10.75,0.08,0.74977
2022-06-12,10.67,-0.41,-3.70036
2022-06-09,11.08,-0.2,-1.77305
2022-06-08,11.28,-0.08,-0.70423
2022-06-07,11.36,0.14,1.24777
2022-06-06,11.22,-0.06,-0.53191
2022-06-02,11.28,0.03,0.26667
2022-06-01,11.25,-0.13,-1.14236
2022-05-31,11.38,-0.07,-0.61135
2022-05-30,11.45,0.09,0.79225
2022-05-29,11.36,0.15,1.33809
2022-05-26,11.21,0.28,2.56176
2022-05-24,10.93,-0.01,-0.09141
2022-05-23,10.94,-0.11,-0.99548
2022-05-22,11.05,-0.02,-0.18067
2022-05-19,11.07,0.19,1.74632
2022-05-18,10.88,-0.2,-1.80505
2022-05-17,11.08,-0.02,-0.18018
2022-05-16,11.1,0.23,2.11592
2022-05-15,10.87,0.07,0.64815
2022-05-12,10.8,0.24,2.27273
2022-05-11,10.56,-0.3,-2.76243
2022-05-10,10.86,0.05,0.46253
2022-05-09,10.81,-0.19,-1.72727
2022-05-05,11.0,-0.36,-3.16901
2022-05-04,11.36,0.02,0.17637
2022-05-03,11.34,-0.06,-0.52632
2022-05-02,11.4,0.01,0.0878
2022-05-01,11.39,-0.13,-1.12847
2022-04-28,11.52,0.27,2.4
2022-04-27,11.25,0.05,0.44643
2022-04-26,11.2,-0.02,-0.17825
2022-04-25,11.22,0.0,0.0
2022-04-24,11.22,-0.37,-3.19241
2022-04-21,11.59,-0.14,-1.19352
2022-04-20,11.73,-0.07,-0.59322
2022-04-19,11.8,0.0,0.0
2022-04-18,11.8,-0.18,-1.5025
2022-04-13,11.98,-0.02,-0.16667
2022-04-12,12.0,0.0,0.0
2022-04-11,12.0,0.07,0.58676
2022-04-10,11.93,-0.14,-1.1599
2022-04-07,12.07,-0.05,-0.41254
2022-04-06,12.12,-0.11,-0.89943
2022-04-05,12.23,-0.25,-2.00321
2022-04-04,12.48,-0.03,-0.23981
2022-04-03,12.51,0.09,0.72464
2022-03-31,12.42,0.09,0.72993
2022-03-30,12.33,-0.09,-0.72464
2022-03-29,12.42,0.16,1.30506
2022-03-28,12.26,0.19,1.57415
2022-03-27,12.07,-0.05,-0.41254
2022-03-24,12.12,-0.03,-0.24691
2022-03-23,12.15,-0.07,-0.57283
2022-03-22,12.22,0.11,0.90834
2022-03-21,12.11,0.19,1.59396
2022-03-20,11.92,-0.08,-0.66667
2022-03-17,12.0,0.05,0.41841
2022-03-16,11.95,0.29,2.48714
2022-03-15,11.66,0.52,4.66786
2022-03-14,11.14,-0.24,-2.10896
2022-03-13,11.38,-0.3,-2.56849
2022-03-10,11.68,-0.15,-1.26796
2022-03-09,11.83,0.09,0.76661
2022-03-08,11.74,0.17,1.46932
2022-03-07,11.57,-0.2,-1.69924
2022-03-06,11.77,-0.39,-3.20724
2022-03-03,12.16,-0.38,-3.0303
2022-03-02,12.54,-0.01,-0.07968
2022-03-01,12.55,-0.21,-1.64577
2022-02-28,12.76,-0.11,-0.8547
2022-02-27,12.87,-0.33,-2.5
2022-02-24,13.2,0.29,2.24632
2022-02-23,12.91,-0.99,-7.1223
2022-02-22,13.9,-0.05,-0.35842
2022-02-21,13.95,-0.14,-0.99361
2022-02-20,14.09,-0.23,-1.60615
2022-02-17,14.32,-0.15,-1.03663
2022-02-16,14.47,-0.08,-0.54983
2022-02-15,14.55,0.17,1.1822
2022-02-14,14.38,0.16,1.12518
2022-02-13,14.22,-0.29,-1.99862
2022-02-10,14.51,-0.13,-0.88798
2022-02-09,14.64,0.13,0.89593
2022-02-08,14.51,0.27,1.89607
2022-02-07,14.24,-0.02,-0.14025
2022-02-06,14.26,0.01,0.07018
2022-02-03,14.25,0.09,0.63559
2022-02-02,14.16,-0.11,-0.77085
2022-02-01,14.27,0.01,0.07013
2022-01-31,14.26,0.15,1.06308
2022-01-30,14.11,0.21,1.51079
2022-01-27,13.9,-0.04,-0.28694
2022-01-26,13.94,-0.18,-1.27479
2022-01-25,14.12,0.15,1.07373
2022-01-24,13.97,-0.07,-0.49858
2022-01-23,14.04,-0.27,-1.88679
2022-01-20,14.31,-0.1,-0.69396
2022-01-19,14.41,0.13,0.91036
2022-01-18,14.28,-0.01,-0.06998
2022-01-17,14.29,-0.19,-1.31215
2022-01-16,14.48,-0.02,-0.13793
2022-01-13,14.5,-0.06,-0.41209
2022-01-12,14.56,-0.07,-0.47847
2022-01-11,14.63,0.33,2.30769
2022-01-10,14.3,0.11,0.77519
2022-01-09,14.19,0.01,0.07052
2022-01-06,14.18,0.17,1.21342
2022-01-05,14.01,-0.19,-1.33803
2022-01-04,14.2,-0.18,-1.25174
2022-01-03,14.38,0.01,0.06959
2022-01-02,14.37,0.03,0.20921
2021-12-30,14.34,0.11,0.77301
2021-12-29,14.23,0.07,0.49435
2021-12-28,14.16,-0.11,-0.77085
2021-12-27,14.27,0.03,0.21067
2021-12-26,14.24,0.06,0.42313
2021-12-22,14.18,0.06,0.42493
2021-12-21,14.12,0.1,0.71327
2021-12-20,14.02,0.15,1.08147
2021-12-19,13.87,-0.31,-2.18618
2021-12-16,14.18,-0.17,-1.18467
2021-12-15,14.35,0.12,0.84329
2021-12-14,14.23,-0.08,-0.55905
2021-12-13,14.31,-0.16,-1.10574
2021-12-12,14.47,-0.04,-0.27567
2021-12-09,14.51,-0.15,-1.02319
2021-12-08,14.66,0.09,0.61771
2021-12-07,14.57,0.08,0.5521
2021-12-06,14.49,0.25,1.75562
