tradeDate,nav,change,changePercent
2022-09-01,10.93,-0.05,-0.45537
2022-08-31,10.98,-0.07,-0.63348
2022-08-30,11.05,-0.04,-0.36069
2022-08-29,11.09,,
2022-08-28,11.14,-0.03,-0.26858
2022-08-25,11.17,-0.27,-2.36014
2022-08-24,11.44,0.16,1.41844
2022-08-23,11.28,0.0,0.0
2022-08-22,11.28,0.03,0.26667
2022-08-21,11.25,-0.22,-1.91805
2022-08-18,11.47,-0.12,-1.03538
2022-08-17,11.59,0.0,0.0
2022-08-16,11.59,-0.14,-1.19352
2022-08-15,11.73,0.03,0.25641
2022-08-14,11.7,-0.06,-0.5102
2022-08-11,11.76,0.11,0.94421
2022-08-10,11.65,0.07,0.60449
2022-08-09,11.58,0.21,1.84697
2022-08-08,11.37,-0.08,-0.69869
2022-08-07,11.45,0.01,0.08741
2022-08-04,11.44,-0.03,-0.26155
2022-08-03,11.47,-0.02,-0.17406
2022-08-02,11.49,0.11,0.96661
2022-08-01,11.38,-0.08,-0.69808
2022-07-31,11.46,0.0,0.0
2022-07-28,11.46,0.04,0.35026
2022-07-27,11.42,-0.01,-0.08749
2022-07-26,11.43,0.18,1.6
2022-07-25,11.25,-0.11,-0.96831
2022-07-24,11.36,0.03,0.26478
2022-07-21,11.33,-0.08,-0.70114
2022-07-20,11.41,0.06,0.52863
2022-07-19,11.35,0.0,0.0
2022-07-18,11.35,0.29,2.62206
2022-07-17,11.06,0.05,0.45413
2022-07-14,11.01,0.18,1.66205
2022-07-13,10.83,,
2022-07-12,10.97,-0.03,-0.27273
2022-07-11,11.0,-0.02,-0.18149
2022-07-10,11.02,-0.21,-1.86999
2022-07-07,11.23,-0.01,-0.08897
2022-07-06,11.24,0.16,1.44404
2022-07-05,11.08,-0.06,-0.5386
2022-07-04,11.14,-0.08,-0.71301
2022-07-03,11.22,-0.02,-0.17794
2022-06-30,11.24,0.02,0.17825
2022-06-29,11.22,-0.11,-0.97087
2022-06-28,11.33,-0.08,-0.70114
2022-06-27,11.41,-0.07,-0.60976
2022-06-26,11.48,-0.01,-0.08703
2022-06-23,11.49,0.27,2.40642
2022-06-22,11.22,,
2022-06-21,11.26,-0.09,-0.79295
2022-06-20,11.35,-0.01,-0.08803
