tradeDate,nav,change,changePercent
2022-09-04,9.66,-0.16,-1.62933
2022-09-01,9.82,-0.12,-1.20724
2022-08-31,9.94,,
2022-08-30,10.07,,
2022-08-29,10.07,-0.03,-0.29703
2022-08-28,10.1,,
2022-08-25,10.18,0.12,1.19284
2022-08-24,10.06,0.43,4.46521
2022-08-23,9.63,-0.13,-1.33197
2022-08-22,9.76,-0.04,-0.40816
2022-08-21,9.8,-0.01,-0.10194
2022-08-18,9.81,-0.08,-0.8089
2022-08-17,9.89,-0.09,-0.9018
2022-08-16,9.98,0.04,0.40241
2022-08-15,9.94,-0.11,-1.09453
2022-08-11,10.05,0.03,0.2994
2022-08-10,10.02,0.27,2.76923
2022-08-09,9.75,,
2022-08-08,9.97,-0.07,-0.69721
2022-08-07,10.04,-0.15,-1.47203
2022-08-04,10.19,0.05,0.4931
2022-08-03,10.14,0.23,2.32089
2022-08-02,9.91,0.09,0.9165
2022-08-01,9.82,-0.3,-2.96443
2022-07-31,10.12,0.02,0.19802
2022-07-28,10.1,-0.33,-3.16395
2022-07-27,10.43,-0.01,-0.09579
2022-07-26,10.44,-0.12,-1.13636
2022-07-25,10.56,0.12,1.14943
2022-07-24,10.44,-0.15,-1.41643
2022-07-21,10.59,0.05,0.47438
2022-07-20,10.54,-0.08,-0.7533
2022-07-19,10.62,0.13,1.23928
2022-07-18,10.49,-0.1,-0.94429
2022-07-17,10.59,0.22,2.1215
2022-07-14,10.37,-0.25,-2.35405
2022-07-13,10.62,0.08,0.75901
2022-07-12,10.54,-0.01,-0.09479
2022-07-11,10.55,-0.25,-2.31481
2022-07-10,10.8,-0.38,-3.39893
2022-07-07,11.18,0.08,0.72072
2022-07-06,11.1,-0.02,-0.17986
2022-07-05,11.12,-0.14,-1.24334
2022-07-04,11.26,-0.04,-0.35398
2022-07-03,11.3,0.16,1.43627
2022-06-30,11.14,-0.07,-0.62444
2022-06-29,11.21,-0.03,-0.2669
2022-06-28,11.24,-0.29,-2.51518
2022-06-27,11.53,0.11,0.96322
2022-06-26,11.42,0.29,2.60557
2022-06-23,11.13,0.53,5.0
2022-06-21,10.6,-0.28,-2.57353
2022-06-20,10.88,0.2,1.87266
2022-06-19,10.68,0.01,0.09372
2022-06-16,10.67,0.23,2.20307
2022-06-15,10.44,-0.27,-2.52101
2022-06-14,10.71,0.18,1.7094
2022-06-13,10.53,-0.05,-0.47259
2022-06-12,10.58,-0.4,-3.64299
2022-06-09,10.98,-0.06,-0.54348
2022-06-08,11.04,0.0,0.0
2022-06-07,11.04,0.37,3.46767
2022-06-06,10.67,0.25,2.39923
2022-06-02,10.42,0.07,0.67633
2022-06-01,10.35,-0.08,-0.76702
2022-05-31,10.43,-0.09,-0.85551
2022-05-30,10.52,0.3,2.93542
2022-05-29,10.22,0.28,2.8169
2022-05-26,9.94,0.3,3.11203
2022-05-24,9.64,-0.04,-0.41322
2022-05-23,9.68,-0.27,-2.71357
2022-05-22,9.95,-0.13,-1.28968
2022-05-19,10.08,0.35,3.59712
2022-05-18,9.73,-0.22,-2.21106
2022-05-17,9.95,-0.03,-0.3006
2022-05-16,9.98,0.39,4.06674
2022-05-15,9.59,0.07,0.73529
2022-05-12,9.52,0.23,2.47578
2022-05-11,9.29,-0.27,-2.82427
2022-05-10,9.56,0.16,1.70213
2022-05-09,9.4,-0.29,-2.99278
2022-05-05,9.69,-0.44,-4.34353
2022-05-04,10.13,0.01,0.09881
2022-05-03,10.12,-0.13,-1.26829
2022-05-02,10.25,0.14,1.38477
2022-05-01,10.11,-0.22,-2.12972
2022-04-28,10.33,0.6,6.1665
2022-04-27,9.73,0.2,2.09864
2022-04-26,9.53,0.11,1.16773
2022-04-25,9.42,0.12,1.29032
2022-04-24,9.3,-0.42,-4.32099
2022-04-21,9.72,-0.11,-1.11902
2022-04-20,9.83,-0.26,-2.57681
2022-04-19,10.09,-0.1,-0.98135
2022-04-18,10.19,-0.32,-3.04472
2022-04-13,10.51,0.16,1.54589
2022-04-12,10.35,-0.02,-0.19286
2022-04-11,10.37,0.12,1.17073
2022-04-10,10.25,-0.37,-3.48399
2022-04-07,10.62,-0.07,-0.65482
2022-04-06,10.69,-0.18,-1.65593
2022-04-05,10.87,-0.24,-2.16022
2022-04-04,11.11,0.01,0.09009
2022-04-03,11.1,0.14,1.27737
2022-03-31,10.96,0.17,1.57553
2022-03-30,10.79,-0.13,-1.19048
2022-03-29,10.92,0.24,2.24719
2022-03-28,10.68,0.09,0.84986
2022-03-27,10.59,0.02,0.18921
2022-03-24,10.57,-0.37,-3.38208
2022-03-23,10.94,-0.13,-1.17435
2022-03-22,11.07,0.27,2.5
2022-03-21,10.8,0.13,1.21837
2022-03-20,10.67,0.0,0.0
2022-03-17,10.67,-0.18,-1.65899
2022-03-16,10.85,1.0,10.15228
2022-03-15,9.85,0.92,10.30235
2022-03-14,8.93,-0.66,-6.88217
2022-03-13,9.59,-0.82,-7.87704
2022-03-10,10.41,-0.34,-3.16279
2022-03-09,10.75,0.15,1.41509
2022-03-08,10.6,-0.03,-0.28222
2022-03-07,10.63,-0.25,-2.29779
2022-03-06,10.88,-0.53,-4.64505
2022-03-03,11.41,-0.34,-2.89362
2022-03-02,11.75,-0.06,-0.50804
2022-03-01,11.81,-0.14,-1.17155
2022-02-28,11.95,0.03,0.25168
2022-02-27,11.92,0.02,0.16807
2022-02-24,11.9,0.08,0.67682
2022-02-23,11.82,-0.42,-3.43137
2022-02-22,12.24,0.0,0.0
2022-02-21,12.24,-0.19,-1.52856
2022-02-20,12.43,-0.2,-1.58353
2022-02-17,12.63,-0.21,-1.63551
2022-02-16,12.84,0.05,0.39093
2022-02-15,12.79,0.13,1.02686
2022-02-14,12.66,0.11,0.87649
2022-02-13,12.55,-0.26,-2.02966
2022-02-10,12.81,-0.1,-0.77459
2022-02-09,12.91,0.15,1.17555
2022-02-08,12.76,0.29,2.32558
2022-02-07,12.47,-0.2,-1.57853
2022-02-06,12.67,0.03,0.23734
2022-02-03,12.64,0.15,1.20096
2022-02-02,12.49,-0.14,-1.10847
2022-02-01,12.63,0.09,0.7177
2022-01-31,12.54,0.22,1.78571
2022-01-30,12.32,0.22,1.81818
2022-01-27,12.1,-0.27,-2.1827
2022-01-26,12.37,-0.43,-3.35938
2022-01-25,12.8,0.08,0.62893
2022-01-24,12.72,-0.3,-2.30415
2022-01-23,13.02,-0.26,-1.95783
2022-01-20,13.28,0.05,0.37793
2022-01-19,13.23,0.36,2.7972
2022-01-18,12.87,0.0,0.0
2022-01-17,12.87,-0.02,-0.15516
2022-01-16,12.89,-0.02,-0.15492
2022-01-13,12.91,-0.16,-1.22418
2022-01-12,13.07,-0.08,-0.60837
2022-01-11,13.15,0.38,2.97572
2022-01-10,12.77,-0.05,-0.39002
2022-01-09,12.82,0.19,1.50435
2022-01-06,12.63,0.25,2.01939
2022-01-05,12.38,-0.05,-0.40225
2022-01-04,12.43,-0.35,-2.73865
2022-01-03,12.78,-0.14,-1.08359
2021-12-30,12.92,0.36,2.86624
2021-12-29,12.56,-0.01,-0.07955
2021-12-28,12.57,-0.29,-2.25505
2021-12-22,12.86,0.02,0.15576
2021-12-21,12.84,0.21,1.66271
2021-12-20,12.63,0.09,0.7177
2021-12-19,12.54,-0.29,-2.26033
2021-12-16,12.83,-0.29,-2.21037
2021-12-15,13.12,0.01,0.07628
2021-12-14,13.11,-0.23,-1.72414
2021-12-13,13.34,-0.22,-1.62242
2021-12-12,13.56,0.04,0.29586
2021-12-09,13.52,-0.16,-1.16959
2021-12-08,13.68,0.17,1.25833
2021-12-07,13.51,0.17,1.27436
2021-12-06,13.34,0.38,2.9321
2021-12-05,12.96,-0.45,-3.3557
2021-12-02,13.41,-0.1,-0.74019
2021-12-01,13.51,-0.02,-0.14782
2021-11-30,13.53,0.06,0.44543
2021-11-29,13.47,-0.27,-1.96507
2021-11-28,13.74,-0.14,-1.00865
2021-11-25,13.88,-0.32,-2.25352
2021-11-24,14.2,0.04,0.28249
2021-11-23,14.16,-0.03,-0.21142
2021-11-22,14.19,-0.22,-1.52672
2021-11-21,14.41,-0.07,-0.48343
2021-11-18,14.48,-0.1,-0.68587
2021-11-17,14.58,-0.3,-2.01613
2021-11-16,14.88,0.03,0.20202
2021-11-15,14.85,0.11,0.74627
2021-11-14,14.74,0.05,0.34037
2021-11-11,14.69,0.24,1.6609
2021-11-10,14.45,0.18,1.26139
2021-11-09,14.27,0.08,0.56378
2021-11-08,14.19,0.12,0.85288
2021-11-07,14.07,-0.13,-0.91549
2021-11-04,14.2,-0.21,-1.45732
2021-11-03,14.41,0.16,1.12281
2021-11-02,14.25,-0.1,-0.69686
2021-11-01,14.35,-0.14,-0.96618
2021-10-28,14.49,0.02,0.13822
2021-10-27,14.47,-0.04,-0.27567
2021-10-26,14.51,-0.38,-2.55205
2021-10-25,14.89,-0.04,-0.26792
2021-10-24,14.93,-0.02,-0.13378
2021-10-21,14.95,0.07,0.47043
2021-10-20,14.88,-0.04,-0.2681
2021-10-19,14.92,0.2,1.3587
2021-10-18,14.72,0.2,1.37741
2021-10-17,14.52,0.04,0.27624
2021-10-14,14.48,0.05,0.3465
2021-10-13,14.43,0.17,1.19215
2021-10-12,14.26,-0.01,-0.07008
2021-10-11,14.27,-0.24,-1.65403
2021-10-10,14.51,0.28,1.96767
2021-10-07,14.23,0.33,2.3741
2021-10-06,13.9,0.51,3.80881
2021-10-05,13.39,-0.18,-1.32646
2021-10-04,13.57,-0.13,-0.94891
2021-10-03,13.7,-0.18,-1.29683
2021-09-30,13.88,-0.02,-0.14388
2021-09-29,13.9,-0.12,-0.85592
2021-09-28,14.02,-0.1,-0.70822
2021-09-27,14.12,0.18,1.29125
2021-09-26,13.94,-0.05,-0.3574
2021-09-23,13.99,-0.03,-0.21398
2021-09-22,14.02,0.18,1.30058
2021-09-21,13.84,-0.03,-0.21629
2021-09-20,13.87,-0.07,-0.50215
2021-09-19,13.94,-0.29,-2.03795
2021-09-16,14.23,0.19,1.35328
2021-09-15,14.04,-0.19,-1.33521
2021-09-14,14.23,-0.33,-2.26648
2021-09-13,14.56,-0.08,-0.54645
2021-09-12,14.64,-0.26,-1.74497
2021-09-09,14.9,0.1,0.67568
2021-09-08,14.8,-0.39,-2.56748
2021-09-07,15.19,0.12,0.79628
2021-09-06,15.07,0.07,0.46667
2021-09-05,15.0,0.25,1.69492
2021-09-02,14.75,-0.14,-0.94023
2021-09-01,14.89,0.17,1.15489
2021-08-31,14.72,0.26,1.79806
2021-08-30,14.46,0.14,0.97765
2021-08-29,14.32,-0.08,-0.55556
2021-08-26,14.4,-0.01,-0.0694
2021-08-25,14.41,-0.2,-1.36893
2021-08-24,14.61,0.35,2.45442
2021-08-23,14.26,0.53,3.86016
2021-08-22,13.73,0.21,1.55325
2021-08-19,13.52,-0.46,-3.29041
2021-08-18,13.98,-0.14,-0.9915
2021-08-17,14.12,-0.1,-0.70323
2021-08-16,14.22,-0.44,-3.00136
2021-08-15,14.66,-0.27,-1.80844
2021-08-12,14.93,-0.13,-0.86321
2021-08-11,15.06,-0.14,-0.92105
2021-08-10,15.2,-0.11,-0.71848
2021-08-09,15.31,0.34,2.27121
2021-08-08,14.97,0.04,0.26792
2021-08-05,14.93,-0.07,-0.46667
2021-08-04,15.0,-0.13,-0.85922
2021-08-03,15.13,-0.01,-0.06605
2021-08-02,15.14,0.05,0.33135
2021-08-01,15.09,0.21,1.41129
2021-07-29,14.88,-0.13,-0.86609
2021-07-28,15.01,0.91,6.4539
2021-07-27,14.1,0.14,1.00287
2021-07-26,13.96,-1.14,-7.54967
2021-07-25,15.1,-1.12,-6.90506
2021-07-22,16.22,-0.19,-1.15783
2021-07-21,16.41,0.18,1.10906
2021-07-20,16.23,0.01,0.06165
2021-07-19,16.22,-0.15,-0.91631
2021-07-18,16.37,-0.27,-1.6226
2021-07-15,16.64,-0.04,-0.23981
2021-07-14,16.68,0.05,0.30066
2021-07-13,16.63,0.1,0.60496
2021-07-12,16.53,0.12,0.73126
2021-07-11,16.41,0.31,1.92547
2021-07-08,16.1,0.02,0.12438
2021-07-07,16.08,-0.5,-3.01568
2021-07-06,16.58,-0.12,-0.71856
2021-07-05,16.7,-0.11,-0.65437
2021-07-04,16.81,-0.2,-1.17578
2021-07-01,17.01,-0.49,-2.8
2021-06-30,17.5,0.04,0.2291
2021-06-29,17.46,0.04,0.22962
2021-06-28,17.42,-0.09,-0.51399
2021-06-27,17.51,0.16,0.92219
2021-06-24,17.35,0.35,2.05882
2021-06-23,17.0,0.24,1.43198
2021-06-21,16.76,-0.08,-0.47506
2021-06-20,16.84,-0.14,-0.8245
2021-06-17,16.98,0.23,1.37313
2021-06-16,16.75,-0.02,-0.11926
2021-06-15,16.77,-0.37,-2.15869
2021-06-14,17.14,0.0,0.0
2021-06-13,17.14,-0.06,-0.34884
2021-06-10,17.2,0.09,0.52601
2021-06-09,17.11,0.04,0.23433
2021-06-08,17.07,0.01,0.05862
2021-06-07,17.06,-0.12,-0.69849
2021-06-06,17.18,-0.07,-0.4058
2021-06-03,17.25,-0.19,-1.08945
2021-06-02,17.44,-0.28,-1.58014
2021-06-01,17.72,0.06,0.33975
2021-05-31,17.66,0.17,0.97198
2021-05-30,17.49,0.32,1.86372
2021-05-27,17.17,-0.11,-0.63657
2021-05-26,17.28,0.07,0.40674
2021-05-25,17.21,0.26,1.53392
2021-05-24,16.95,-0.02,-0.11786
2021-05-20,16.97,0.15,0.8918
2021-05-19,16.82,0.2,1.20337
2021-05-18,16.62,-0.07,-0.41941
2021-05-17,16.69,0.18,1.09025
2021-05-16,16.51,0.44,2.73802
2021-05-13,16.07,-0.52,-3.13442
2021-05-11,16.59,0.17,1.03532
2021-05-10,16.42,-0.35,-2.08706
2021-05-09,16.77,-0.07,-0.41568
2021-05-06,16.84,-0.11,-0.64897
2021-05-05,16.95,-0.15,-0.87719
2021-05-04,17.1,-0.15,-0.86957
2021-05-03,17.25,-0.08,-0.46163
2021-05-02,17.33,-0.19,-1.08447
2021-04-29,17.52,-0.27,-1.51771
2021-04-28,17.79,0.13,0.73613
2021-04-27,17.66,0.11,0.62678
2021-04-26,17.55,-0.01,-0.05695
2021-04-25,17.56,-0.08,-0.45351
2021-04-22,17.64,0.27,1.5544
2021-04-21,17.37,0.17,0.98837
2021-04-20,17.2,-0.15,-0.86455
2021-04-19,17.35,-0.01,-0.0576
2021-04-18,17.36,0.26,1.52047
2021-04-15,17.1,0.05,0.29326
2021-04-14,17.05,-0.08,-0.46702
2021-04-13,17.13,0.22,1.30101
2021-04-12,16.91,-0.09,-0.52941
2021-04-11,17.0,-0.4,-2.29885
2021-04-08,17.4,-0.13,-0.74159
2021-04-07,17.53,-0.2,-1.12803
2021-04-06,17.73,0.07,0.39638
2021-04-05,17.66,0.01,0.05666
2021-03-31,17.65,0.26,1.49511
2021-03-30,17.39,-0.07,-0.40092
2021-03-29,17.46,0.15,0.86655
2021-03-28,17.31,-0.18,-1.02916
2021-03-25,17.49,0.29,1.68605
2021-03-24,17.2,-0.36,-2.05011
2021-03-23,17.56,-0.44,-2.44444
2021-03-22,18.0,-0.27,-1.47783
2021-03-21,18.27,0.12,0.66116
2021-03-18,18.15,-0.38,-2.05073
2021-03-17,18.53,0.13,0.70652
2021-03-16,18.4,0.01,0.05438
2021-03-15,18.39,0.14,0.76712
2021-03-14,18.25,-0.32,-1.72321
2021-03-11,18.57,0.06,0.32415
2021-03-10,18.51,0.13,0.70729
2021-03-09,18.38,0.48,2.68156
2021-03-08,17.9,-0.41,-2.23921
2021-03-07,18.31,-0.5,-2.65816
2021-03-04,18.81,-0.39,-2.03125
2021-03-03,19.2,-0.62,-3.12815
2021-03-02,19.82,0.22,1.12245
2021-03-01,19.6,0.08,0.40984
2021-02-28,19.52,0.31,1.61374
2021-02-25,19.21,-0.76,-3.80571
2021-02-24,19.97,0.1,0.50327
2021-02-23,19.87,-0.36,-1.77954
2021-02-22,20.23,-0.29,-1.41326
2021-02-21,20.52,-0.54,-2.5641
2021-02-18,21.06,-0.11,-0.5196
2021-02-17,21.17,-0.37,-1.71773
2021-02-16,21.54,0.13,0.60719
2021-02-15,21.41,-0.01,-0.04669
2021-02-14,21.42,0.19,0.89496
2021-02-11,21.23,0.07,0.33081
2021-02-10,21.16,0.14,0.66603
2021-02-09,21.02,0.47,2.2871
2021-02-08,20.55,0.14,0.68594
2021-02-07,20.41,0.27,1.34062
2021-02-04,20.14,0.1,0.499
2021-02-03,20.04,-0.1,-0.49652
2021-02-02,20.14,0.21,1.05369
2021-02-01,19.93,0.47,2.41521
2021-01-31,19.46,0.12,0.62048
2021-01-28,19.34,0.0,0.0
2021-01-27,19.34,-0.56,-2.81407
2021-01-26,19.9,-0.12,-0.5994
2021-01-25,20.02,-0.23,-1.1358
