tradeDate,nav,change,changePercent
2022-09-01,84.987,-0.0511,-0.06009
2022-08-31,85.0381,-0.5301,-0.61951
2022-08-30,85.5682,-0.4374,-0.50857
2022-08-29,86.0056,-0.3219,-0.37288
2022-08-25,86.3275,0.2825,0.32832
2022-08-24,86.045,-0.0033,-0.00384
2022-08-23,86.0483,-0.0179,-0.0208
2022-08-22,86.0662,-0.2226,-0.25797
2022-08-21,86.2888,-0.5181,-0.59684
2022-08-18,86.8069,-0.6726,-0.76887
2022-08-17,87.4795,-0.0069,-0.00789
2022-08-16,87.4864,-0.4771,-0.54238
2022-08-15,87.9635,-0.3773,-0.4271
2022-08-14,88.3408,0.3422,0.38887
2022-08-11,87.9986,-0.3588,-0.40608
2022-08-10,88.3574,0.0936,0.10605
2022-08-09,88.2638,0.2478,0.28154
2022-08-08,88.016,0.0922,0.10486
2022-08-07,87.9238,-0.4766,-0.53914
2022-08-04,88.4004,0.2447,0.27758
2022-08-03,88.1557,0.2002,0.22762
2022-08-02,87.9555,-0.6538,-0.73785
2022-08-01,88.6093,0.7514,0.85524
2022-07-28,87.8579,0.6358,0.72894
2022-07-27,87.2221,0.2151,0.24722
2022-07-26,87.007,0.1461,0.1682
2022-07-25,86.8609,-0.8203,-0.93555
2022-07-24,87.6812,0.821,0.9452
2022-07-21,86.8602,0.5561,0.64435
2022-07-20,86.3041,0.2076,0.24112
2022-07-19,86.0965,0.209,0.24334
2022-07-18,85.8875,-0.19,-0.22073
2022-07-17,86.0775,0.1318,0.15335
2022-07-14,85.9457,-0.3377,-0.39138
2022-07-13,86.2834,-0.0971,-0.11241
2022-07-12,86.3805,-0.181,-0.2091
2022-07-11,86.5615,0.063,0.07283
2022-07-10,86.4985,0.1774,0.20551
2022-07-07,86.3211,-0.263,-0.30375
2022-07-06,86.5841,-0.4048,-0.46535
2022-07-05,86.9889,-0.0693,-0.0796
2022-07-04,87.0582,0.3673,0.42369
2022-06-30,86.6909,0.5374,0.62377
2022-06-29,86.1535,-0.0453,-0.05255
2022-06-28,86.1988,-0.2904,-0.33576
2022-06-27,86.4892,-0.3335,-0.38412
2022-06-26,86.8227,-0.1182,-0.13595
2022-06-23,86.9409,0.0977,0.1125
2022-06-22,86.8432,,
2022-06-21,86.8063,0.0421,0.04852
2022-06-20,86.7642,-0.0848,-0.09764
2022-06-16,86.849,0.0281,0.03237
2022-06-15,86.8209,-0.1673,-0.19232
2022-06-14,86.9882,-0.0994,-0.11414
2022-06-13,87.0876,-0.4964,-0.56677
2022-06-12,87.584,-0.9174,-1.03659
2022-06-09,88.5014,-0.4586,-0.51551
2022-06-08,88.96,-0.2641,-0.296
2022-06-07,89.2241,-0.1292,-0.14459
