tradeDate,nav,change,changePercent
2022-09-01,9.64,-0.04,-0.41322
2022-08-31,9.68,-0.07,-0.71795
2022-08-30,9.75,-0.04,-0.40858
2022-08-29,9.79,-0.04,-0.40692
2022-08-28,9.83,-0.03,-0.30426
2022-08-25,9.86,-0.23,-2.27948
2022-08-24,10.09,0.14,1.40704
2022-08-23,9.95,-0.01,-0.1004
2022-08-22,9.96,0.04,0.40323
2022-08-21,9.92,-0.2,-1.97628
2022-08-18,10.12,-0.11,-1.07527
2022-08-17,10.23,0.0,0.0
2022-08-16,10.23,-0.12,-1.15942
2022-08-15,10.35,0.02,0.19361
2022-08-14,10.33,-0.05,-0.4817
2022-08-11,10.38,0.09,0.87464
2022-08-10,10.29,0.07,0.68493
2022-08-09,10.22,0.18,1.79283
2022-08-08,10.04,-0.07,-0.69238
2022-08-07,10.11,0.01,0.09901
2022-08-04,10.1,-0.03,-0.29615
2022-08-03,10.13,-0.02,-0.19704
2022-08-02,10.15,0.1,0.99502
2022-08-01,10.05,-0.07,-0.6917
2022-07-31,10.12,-0.01,-0.09872
2022-07-28,10.13,0.04,0.39643
2022-07-27,10.09,-0.01,-0.09901
2022-07-26,10.1,0.16,1.60966
2022-07-25,9.94,-0.1,-0.99602
2022-07-24,10.04,0.03,0.2997
2022-07-21,10.01,-0.07,-0.69444
2022-07-20,10.08,0.05,0.4985
2022-07-19,10.03,0.0,0.0
2022-07-18,10.03,0.26,2.66121
2022-07-17,9.77,0.04,0.4111
2022-07-14,9.73,0.16,1.67189
2022-07-13,9.57,-0.12,-1.23839
2022-07-12,9.69,-0.03,-0.30864
2022-07-11,9.72,-0.02,-0.20534
2022-07-10,9.74,-0.19,-1.91339
2022-07-07,9.93,-0.1,-0.99701
2022-07-06,10.03,0.14,1.41557
2022-07-05,9.89,-0.05,-0.50302
2022-07-04,9.94,-0.07,-0.6993
2022-07-03,10.01,-0.03,-0.2988
2022-06-30,10.04,0.02,0.1996
2022-06-29,10.02,-0.09,-0.89021
2022-06-28,10.11,-0.07,-0.68762
2022-06-27,10.18,-0.07,-0.68293
2022-06-26,10.25,-0.01,-0.09747
2022-06-23,10.26,0.24,2.39521
2022-06-22,10.02,,
2022-06-21,10.06,-0.07,-0.69102
2022-06-20,10.13,-0.02,-0.19704
2022-06-19,10.15,0.08,0.79444
2022-06-16,10.07,0.02,0.199
2022-06-15,10.05,-0.27,-2.61628
2022-06-14,10.32,0.12,1.17647
2022-06-13,10.2,0.01,0.09814
2022-06-12,10.19,-0.32,-3.04472
2022-06-09,10.51,-0.23,-2.14153
2022-06-08,10.74,-0.2,-1.82815
2022-06-07,10.94,-0.05,-0.45496
2022-06-06,10.99,0.03,0.27372
2022-06-05,10.96,0.03,0.27447
2022-06-02,10.93,-0.11,-0.99638
2022-06-01,11.04,0.13,1.19157
2022-05-31,10.91,-0.09,-0.81818
2022-05-30,11.0,-0.07,-0.63234
2022-05-29,11.07,0.08,0.72793
2022-05-26,10.99,0.12,1.10396
2022-05-25,10.87,0.16,1.49393
2022-05-24,10.71,0.05,0.46904
2022-05-23,10.66,-0.09,-0.83721
