tradeDate,nav,change,changePercent
2022-09-01,1301.0322,-1.6714,-0.1283
2022-08-31,1302.7036,-3.7486,-0.28693
2022-08-30,1306.4522,,
2022-08-29,1307.4068,-2.5621,-0.19558
2022-08-28,1309.9689,-4.067,-0.3095
2022-08-25,1314.0359,3.1096,0.23721
2022-08-24,1310.9263,-10.2845,-0.77841
2022-08-23,1321.2108,-0.3578,-0.02707
2022-08-22,1321.5686,-4.7462,-0.35785
2022-08-21,1326.3148,-4.0277,-0.30276
2022-08-18,1330.3425,-2.1119,-0.1585
2022-08-17,1332.4544,-1.4741,-0.11051
2022-08-16,1333.9285,-0.8591,-0.06436
2022-08-15,1334.7876,,
2022-08-14,1332.9125,2.1619,0.16246
2022-08-11,1330.7506,1.1596,0.08721
2022-08-10,1329.591,2.9759,0.22432
2022-08-09,1326.6151,0.6577,0.0496
2022-08-08,1325.9574,-0.3395,-0.0256
2022-08-07,1326.2969,-0.444,-0.03347
2022-08-04,1326.7409,0.7842,0.05914
2022-08-03,1325.9567,-0.1208,-0.00911
2022-08-02,1326.0775,-2.0698,-0.15584
2022-08-01,1328.1473,4.2489,0.32094
2022-07-31,1323.8984,2.1364,0.16163
2022-07-28,1321.762,6.9954,0.53206
2022-07-27,1314.7666,-5.5431,-0.41983
2022-07-26,1320.3097,0.6896,0.05226
2022-07-25,1319.6201,1.3288,0.1008
2022-07-24,1318.2913,1.1832,0.08983
2022-07-21,1317.1081,3.9331,0.29951
2022-07-20,1313.175,0.8059,0.06141
2022-07-19,1312.3691,3.8533,0.29448
2022-07-18,1308.5158,0.5566,0.04255
2022-07-17,1307.9592,2.8897,0.22142
2022-07-14,1305.0695,-0.4185,-0.03206
2022-07-13,1305.488,-0.778,-0.05956
2022-07-12,1306.266,-4.5567,-0.34762
2022-07-11,1310.8227,-3.561,-0.27093
2022-07-10,1314.3837,-0.0465,-0.00354
2022-07-07,1314.4302,1.7744,0.13518
2022-07-06,1312.6558,0.507,0.03864
2022-07-05,1312.1488,0.3135,0.0239
2022-07-04,1311.8353,0.8502,0.06485
2022-07-03,1310.9851,1.0982,0.08384
2022-06-30,1309.8869,-0.4846,-0.03698
2022-06-29,1310.3715,-13.761,-1.03925
2022-06-28,1324.1325,-4.3995,-0.33115
2022-06-27,1328.532,1.5889,0.11974
2022-06-26,1326.9431,3.85,0.29098
2022-06-23,1323.0931,4.5059,0.34172
2022-06-22,1318.5872,,
2022-06-21,1317.9093,-0.1166,-0.00885
2022-06-20,1318.0259,1.1138,0.08458
2022-06-19,1316.9121,-2.05,-0.15543
2022-06-16,1318.9621,0.7029,0.05332
2022-06-15,1318.2592,-0.9968,-0.07556
2022-06-14,1319.256,-4.0709,-0.30763
2022-06-13,1323.3269,-10.5862,-0.79362
2022-06-12,1333.9131,-10.514,-0.78204
2022-06-09,1344.4271,-5.7618,-0.42674
2022-06-08,1350.1889,-1.5802,-0.1169
2022-06-07,1351.7691,-0.3032,-0.02242
2022-06-06,1352.0723,-0.4859,-0.03592
2022-06-05,1352.5582,-0.8011,-0.05919
2022-06-02,1353.3593,1.316,0.09733
2022-06-01,1352.0433,-2.9949,-0.22102
2022-05-31,1355.0382,-0.3866,-0.02852
2022-05-30,1355.4248,-1.8911,-0.13933
2022-05-29,1357.3159,8.6108,0.63845
2022-05-26,1348.7051,2.7152,0.20173
2022-05-25,1345.9899,-8.0668,-0.59575
2022-05-24,1354.0567,0.8747,0.06464
2022-05-23,1353.182,0.5622,0.04156
2022-05-22,1352.6198,3.8345,0.28429
2022-05-19,1348.7853,3.7577,0.27938
2022-05-18,1345.0276,-5.9629,-0.44137
2022-05-17,1350.9905,1.0118,0.07495
2022-05-16,1349.9787,3.2175,0.23891
2022-05-15,1346.7612,1.774,0.1319
2022-05-12,1344.9872,8.3538,0.62499
2022-05-11,1336.6334,-5.6181,-0.41856
2022-05-10,1342.2515,-2.6706,-0.19857
2022-05-09,1344.9221,-5.4622,-0.40449
2022-05-08,1350.3843,-7.7379,-0.56975
2022-05-05,1358.1222,-6.2492,-0.45803
2022-05-04,1364.3714,4.2002,0.3088
2022-05-03,1360.1712,-0.9072,-0.06665
2022-05-02,1361.0784,-0.4046,-0.02972
2022-05-01,1361.483,-1.8051,-0.13241
2022-04-28,1363.2881,-2.1792,-0.15959
2022-04-27,1365.4673,-7.717,-0.56198
2022-04-26,1373.1843,-2.2465,-0.16333
2022-04-25,1375.4308,-3.1897,-0.23137
2022-04-24,1378.6205,-9.2261,-0.66478
2022-04-21,1387.8466,-9.3297,-0.66775
2022-04-20,1397.1763,2.6813,0.19228
2022-04-19,1394.495,-3.6666,-0.26224
2022-04-18,1398.1616,-2.6232,-0.18727
2022-04-13,1400.7848,0.6798,0.04855
2022-04-12,1400.105,0.09,0.00643
2022-04-11,1400.015,-6.2591,-0.44508
2022-04-10,1406.2741,-3.5543,-0.25211
2022-04-07,1409.8284,-1.3261,-0.09397
2022-04-06,1411.1545,-5.5796,-0.39384
2022-04-05,1416.7341,-6.4704,-0.45464
2022-04-04,1423.2045,2.435,0.17139
2022-04-03,1420.7695,0.0539,0.00379
2022-03-31,1420.7156,-1.6658,-0.11711
2022-03-30,1422.3814,-8.718,-0.60918
2022-03-29,1431.0994,3.7325,0.2615
2022-03-28,1427.3669,2.3814,0.16712
2022-03-27,1424.9855,-1.023,-0.07174
2022-03-24,1426.0085,-1.1096,-0.07775
2022-03-23,1427.1181,-0.6722,-0.04708
2022-03-22,1427.7903,-1.9023,-0.13306
2022-03-21,1429.6926,1.5857,0.11104
2022-03-20,1428.1069,3.5301,0.2478
2022-03-17,1424.5768,4.702,0.33116
