tradeDate,nav,change,changePercent
2022-09-01,3552.51,-45.64,-1.26843
2022-08-31,3598.15,-21.92,-0.60551
2022-08-30,3620.07,-16.06,-0.44168
2022-08-29,3636.13,-9.66,-0.26496
2022-08-28,3645.79,-13.82,-0.37764
2022-08-25,3659.61,0.25,0.00683
2022-08-24,3659.36,11.65,0.31938
2022-08-23,3647.71,1.06,0.02907
2022-08-22,3646.65,-3.14,-0.08603
2022-08-21,3649.79,-24.76,-0.67382
2022-08-18,3674.55,-16.74,-0.4535
2022-08-17,3691.29,0.83,0.02249
2022-08-16,3690.46,-17.92,-0.48323
2022-08-15,3708.38,-4.44,-0.11959
2022-08-14,3712.82,4.57,0.12324
2022-08-11,3708.25,2.42,0.0653
2022-08-10,3705.83,10.46,0.28306
2022-08-09,3695.37,2.57,0.06959
2022-08-08,3692.8,-1.78,-0.04818
2022-08-07,3694.58,11.58,0.31442
2022-08-04,3683.0,-15.09,-0.40805
2022-08-03,3698.09,11.96,0.32446
2022-08-02,3686.13,5.86,0.15923
2022-08-01,3680.27,-59.13,-1.58127
2022-07-31,3739.4,17.53,0.471
2022-07-28,3721.87,17.5,0.47242
2022-07-27,3704.37,21.57,0.5857
2022-07-26,3682.8,-7.94,-0.21513
2022-07-25,3690.74,2.61,0.07077
2022-07-24,3688.13,2.38,0.06457
2022-07-21,3685.75,18.98,0.51762
2022-07-20,3666.77,13.14,0.35964
2022-07-19,3653.63,17.29,0.47548
2022-07-18,3636.34,1.2,0.03301
2022-07-17,3635.14,2.85,0.07846
2022-07-14,3632.29,0.29,0.00798
2022-07-13,3632.0,,
2022-07-12,3642.38,3.25,0.08931
2022-07-11,3639.13,-0.15,-0.00412
2022-07-10,3639.28,9.64,0.26559
2022-07-07,3629.64,1.22,0.03362
2022-07-06,3628.42,10.09,0.27886
2022-07-05,3618.33,-12.32,-0.33933
2022-07-04,3630.65,-3.45,-0.09493
2022-07-03,3634.1,-53.94,-1.46257
2022-06-30,3688.04,5.68,0.15425
2022-06-29,3682.36,-9.74,-0.26381
2022-06-28,3692.1,-11.13,-0.30055
2022-06-27,3703.23,-6.89,-0.18571
2022-06-26,3710.12,-2.87,-0.0773
2022-06-23,3712.99,-4.27,-0.11487
2022-06-22,3717.26,,
2022-06-21,3715.38,2.41,0.06491
2022-06-20,3712.97,-9.52,-0.25574
2022-06-19,3722.49,-1.79,-0.04806
2022-06-16,3724.28,-2.98,-0.07995
2022-06-15,3727.26,-8.48,-0.227
2022-06-14,3735.74,10.61,0.28482
2022-06-13,3725.13,-11.85,-0.3171
2022-06-12,3736.98,-60.2,-1.58539
2022-06-09,3797.18,-24.0,-0.62808
2022-06-08,3821.18,-10.71,-0.2795
2022-06-07,3831.89,-5.86,-0.15269
2022-06-06,3837.75,0.28,0.0073
2022-06-05,3837.47,-9.09,-0.23632
2022-06-02,3846.56,-2.91,-0.07559
2022-06-01,3849.47,-56.17,-1.43818
2022-05-31,3905.64,-8.54,-0.21818
2022-05-30,3914.18,-4.37,-0.11152
2022-05-29,3918.55,118.45,3.11702
2022-05-26,3800.1,-108.48,-2.77543
2022-05-25,3908.58,20.45,0.52596
2022-05-24,3888.13,10.12,0.26096
2022-05-23,3878.01,11.34,0.29328
2022-05-22,3866.67,-6.93,-0.1789
2022-05-19,3873.6,7.43,0.19218
2022-05-18,3866.17,-7.71,-0.19903
2022-05-17,3873.88,1.14,0.02944
2022-05-16,3872.74,-7.26,-0.18711
2022-05-15,3880.0,-0.13,-0.00335
2022-05-12,3880.13,-3.97,-0.10221
2022-05-11,3884.1,-0.18,-0.00463
2022-05-10,3884.28,10.14,0.26174
2022-05-09,3874.14,-1.25,-0.03225
2022-05-08,3875.39,-17.68,-0.45414
2022-05-05,3893.07,-20.89,-0.53373
2022-05-04,3913.96,-6.84,-0.17445
2022-05-03,3920.8,3.52,0.08986
2022-05-02,3917.28,-54.64,-1.37566
2022-05-01,3971.92,-15.11,-0.37898
2022-04-28,3987.03,-15.39,-0.38452
2022-04-27,4002.42,-6.91,-0.17235
2022-04-26,4009.33,-14.38,-0.35738
2022-04-25,4023.71,2.12,0.05272
2022-04-24,4021.59,-6.4,-0.15889
2022-04-21,4027.99,-15.78,-0.39023
2022-04-20,4043.77,-3.96,-0.09783
2022-04-19,4047.73,8.11,0.20076
2022-04-18,4039.62,-21.26,-0.52353
2022-04-13,4060.88,-1.35,-0.03323
2022-04-12,4062.23,1.33,0.03275
2022-04-11,4060.9,-2.26,-0.05562
2022-04-10,4063.16,-22.82,-0.5585
2022-04-07,4085.98,-12.8,-0.31229
2022-04-06,4098.78,-7.2,-0.17535
2022-04-05,4105.98,-20.76,-0.50306
2022-04-04,4126.74,-16.1,-0.38862
2022-04-03,4142.84,-48.36,-1.15385
2022-03-31,4191.2,-2.87,-0.06843
2022-03-30,4194.07,11.78,0.28166
2022-03-29,4182.29,8.15,0.19525
2022-03-28,4174.14,18.67,0.44929
2022-03-27,4155.47,2.32,0.05586
2022-03-24,4153.15,-6.08,-0.14618
2022-03-23,4159.23,-4.09,-0.09824
2022-03-22,4163.32,6.95,0.16721
2022-03-21,4156.37,-11.54,-0.27688
2022-03-20,4167.91,-8.84,-0.21165
2022-03-17,4176.75,6.07,0.14554
2022-03-16,4170.68,18.72,0.45087
2022-03-15,4151.96,13.27,0.32063
2022-03-14,4138.69,8.14,0.19707
2022-03-13,4130.55,-21.77,-0.52429
2022-03-10,4152.32,-1.72,-0.04141
2022-03-09,4154.04,-10.74,-0.25788
2022-03-08,4164.78,5.36,0.12886
2022-03-07,4159.42,-18.73,-0.44828
2022-03-06,4178.15,-34.89,-0.82814
2022-03-03,4213.04,-11.79,-0.27906
2022-03-02,4224.83,-0.51,-0.01207
2022-03-01,4225.34,-74.27,-1.72737
2022-02-28,4299.61,2.83,0.06586
2022-02-27,4296.78,-2.51,-0.05838
2022-02-24,4299.29,13.4,0.31265
2022-02-23,4285.89,-32.79,-0.75926
2022-02-22,4318.68,-12.27,-0.28331
2022-02-21,4330.95,-11.91,-0.27424
2022-02-20,4342.86,0.8,0.01842
2022-02-17,4342.06,-1.35,-0.03108
2022-02-16,4343.41,-1.73,-0.03981
2022-02-15,4345.14,5.57,0.12835
2022-02-14,4339.57,2.45,0.05649
2022-02-13,4337.12,-21.0,-0.48186
2022-02-10,4358.12,-6.31,-0.14458
2022-02-09,4364.43,-14.28,-0.32612
2022-02-08,4378.71,12.92,0.29594
2022-02-07,4365.79,-13.19,-0.30121
2022-02-06,4378.98,3.1,0.07084
2022-02-03,4375.88,-37.13,-0.84138
2022-02-02,4413.01,-17.43,-0.39341
2022-02-01,4430.44,-49.51,-1.10515
2022-01-31,4479.95,7.13,0.15941
2022-01-30,4472.82,-0.32,-0.00715
2022-01-27,4473.14,-9.72,-0.21683
2022-01-26,4482.86,5.36,0.11971
2022-01-25,4477.5,-5.36,-0.11957
2022-01-24,4482.86,-2.64,-0.05886
2022-01-23,4485.5,-15.38,-0.34171
2022-01-20,4500.88,0.16,0.00355
2022-01-19,4500.72,6.84,0.15221
2022-01-18,4493.88,5.51,0.12276
2022-01-17,4488.37,-20.3,-0.45024
2022-01-16,4508.67,-2.42,-0.05365
2022-01-13,4511.09,-15.57,-0.34396
2022-01-12,4526.66,1.51,0.03337
2022-01-11,4525.15,7.38,0.16335
2022-01-10,4517.77,-2.36,-0.05221
2022-01-09,4520.13,-8.23,-0.18174
2022-01-06,4528.36,-6.46,-0.14245
2022-01-05,4534.82,-9.0,-0.19807
2022-01-04,4543.82,-5.2,-0.11431
2022-01-03,4549.02,-56.45,-1.22572
2022-01-02,4605.47,-14.83,-0.32097
2021-12-30,4620.3,1.88,0.04071
2021-12-29,4618.42,7.0,0.1518
2021-12-28,4611.42,-3.09,-0.06696
2021-12-27,4614.51,1.86,0.04032
2021-12-26,4612.65,6.41,0.13916
2021-12-23,4606.24,1.37,0.02975
2021-12-22,4604.87,-0.45,-0.00977
2021-12-21,4605.32,8.75,0.19036
2021-12-20,4596.57,11.62,0.25344
2021-12-19,4584.95,-16.88,-0.36681
2021-12-16,4601.83,1.2,0.02608
2021-12-15,4600.63,5.19,0.11294
2021-12-14,4595.44,1.34,0.02917
2021-12-13,4594.1,-9.22,-0.20029
2021-12-12,4603.32,3.69,0.08022
2021-12-09,4599.63,-2.06,-0.04477
2021-12-08,4601.69,6.37,0.13862
2021-12-07,4595.32,-4.99,-0.10847
2021-12-06,4600.31,11.8,0.25716
2021-12-05,4588.51,-3.97,-0.08645
2021-12-02,4592.48,13.21,0.28847
2021-12-01,4579.27,-52.64,-1.13646
2021-11-30,4631.91,6.2,0.13403
2021-11-29,4625.71,3.84,0.08308
2021-11-28,4621.87,0.79,0.0171
2021-11-25,4621.08,-4.72,-0.10204
2021-11-24,4625.8,0.0,0.0
2021-11-23,4625.8,1.74,0.03763
2021-11-22,4624.06,-21.46,-0.46195
2021-11-21,4645.52,-10.74,-0.23066
2021-11-18,4656.26,5.68,0.12214
2021-11-17,4650.58,5.0,0.10763
2021-11-16,4645.58,0.16,0.00344
2021-11-15,4645.42,-3.88,-0.08345
2021-11-14,4649.3,-6.39,-0.13725
2021-11-11,4655.69,3.64,0.07825
2021-11-10,4652.05,-8.94,-0.1918
2021-11-09,4660.99,-14.24,-0.30458
2021-11-08,4675.23,7.31,0.1566
2021-11-07,4667.92,-0.37,-0.00793
2021-11-04,4668.29,15.23,0.32731
2021-11-03,4653.06,14.49,0.31238
2021-11-02,4638.57,-2.03,-0.04374
2021-11-01,4640.6,-52.77,-1.12435
2021-10-31,4693.37,-6.95,-0.14786
2021-10-28,4700.32,-2.65,-0.05635
2021-10-27,4702.97,0.4,0.00851
2021-10-26,4702.57,10.78,0.22976
2021-10-25,4691.79,6.06,0.12933
2021-10-24,4685.73,0.52,0.0111
2021-10-21,4685.21,1.85,0.0395
2021-10-20,4683.36,-5.94,-0.12667
2021-10-19,4689.3,0.39,0.00832
2021-10-18,4688.91,-1.92,-0.04093
2021-10-17,4690.83,-0.42,-0.00895
2021-10-14,4691.25,0.36,0.00767
2021-10-13,4690.89,10.91,0.23312
2021-10-12,4679.98,5.93,0.12687
2021-10-11,4674.05,-6.17,-0.13183
2021-10-10,4680.22,-2.52,-0.05381
2021-10-07,4682.74,-6.99,-0.14905
2021-10-06,4689.73,0.16,0.00341
2021-10-05,4689.57,-6.82,-0.14522
2021-10-04,4696.39,-9.1,-0.19339
2021-10-03,4705.49,-55.09,-1.15721
2021-09-30,4760.58,-3.28,-0.06885
2021-09-29,4763.86,-3.38,-0.0709
2021-09-28,4767.24,4.53,0.09511
2021-09-27,4762.71,-17.43,-0.36463
2021-09-26,4780.14,-5.89,-0.12307
2021-09-23,4786.03,-8.67,-0.18082
2021-09-22,4794.7,-10.96,-0.22806
2021-09-21,4805.66,5.42,0.11291
2021-09-20,4800.24,2.68,0.05586
2021-09-19,4797.56,-4.93,-0.10266
2021-09-16,4802.49,-5.36,-0.11148
2021-09-15,4807.85,-1.88,-0.03909
2021-09-14,4809.73,0.47,0.00977
2021-09-13,4809.26,5.94,0.12366
2021-09-12,4803.32,5.55,0.11568
2021-09-09,4797.77,-1.74,-0.03625
2021-09-08,4799.51,9.92,0.20712
2021-09-07,4789.59,3.91,0.0817
2021-09-06,4785.68,-9.2,-0.19187
2021-09-05,4794.88,0.68,0.01418
2021-09-02,4794.2,3.81,0.07953
2021-09-01,4790.39,-56.75,-1.17079
2021-08-31,4847.14,0.68,0.01403
2021-08-30,4846.46,0.82,0.01692
2021-08-29,4845.64,6.53,0.13494
2021-08-26,4839.11,8.81,0.18239
2021-08-25,4830.3,4.31,0.08931
2021-08-24,4825.99,-1.8,-0.03728
2021-08-23,4827.79,0.89,0.01844
2021-08-22,4826.9,4.24,0.08792
2021-08-19,4822.66,1.49,0.03091
2021-08-18,4821.17,1.36,0.02822
2021-08-17,4819.81,2.7,0.05605
2021-08-16,4817.11,-1.2,-0.0249
2021-08-15,4818.31,1.2,0.02491
2021-08-12,4817.11,8.47,0.17614
2021-08-11,4808.64,3.01,0.06263
2021-08-10,4805.63,-1.36,-0.02829
2021-08-09,4806.99,-1.74,-0.03618
2021-08-08,4808.73,-3.97,-0.08249
2021-08-05,4812.7,-10.51,-0.2179
2021-08-04,4823.21,0.7,0.01452
2021-08-03,4822.51,3.79,0.07865
2021-08-02,4818.72,-49.34,-1.01355
2021-08-01,4868.06,-0.91,-0.01869
2021-07-29,4868.97,-8.31,-0.17038
2021-07-28,4877.28,16.3,0.33532
2021-07-27,4860.98,1.57,0.03231
2021-07-26,4859.41,-0.08,-0.00165
