tradeDate,nav,change,changePercent
2022-09-01,39.82,0.15,0.37812
2022-08-31,39.67,-0.49,-1.22012
2022-08-30,40.16,-0.1,-0.24839
2022-08-29,40.26,0.01,0.02484
2022-08-28,40.25,-0.12,-0.29725
2022-08-25,40.37,-0.06,-0.1484
2022-08-24,40.43,0.19,0.47217
2022-08-23,40.24,-0.15,-0.37138
2022-08-22,40.39,-0.01,-0.02475
2022-08-21,40.4,-0.12,-0.29615
2022-08-18,40.52,-0.27,-0.66193
2022-08-17,40.79,0.05,0.12273
2022-08-16,40.74,-0.07,-0.17153
2022-08-15,40.81,-0.09,-0.22005
2022-08-11,40.9,0.24,0.59026
2022-08-10,40.66,-0.37,-0.90178
2022-08-09,41.03,0.1,0.24432
2022-08-08,40.93,-0.08,-0.19507
2022-08-07,41.01,0.15,0.36711
2022-08-04,40.86,-0.39,-0.94545
2022-08-03,41.25,0.1,0.24301
2022-08-02,41.15,0.11,0.26803
2022-08-01,41.04,-0.29,-0.70167
2022-07-31,41.33,-0.09,-0.21729
2022-07-28,41.42,0.12,0.29056
2022-07-27,41.3,0.12,0.2914
2022-07-26,41.18,0.15,0.36559
2022-07-25,41.03,0.03,0.07317
2022-07-24,41.0,-0.06,-0.14613
2022-07-21,41.06,0.28,0.68661
2022-07-20,40.78,0.19,0.4681
2022-07-19,40.59,0.03,0.07396
2022-07-18,40.56,-0.09,-0.2214
2022-07-17,40.65,-0.1,-0.2454
2022-07-14,40.75,0.11,0.27067
2022-07-13,40.64,-0.11,-0.26994
2022-07-12,40.75,0.1,0.246
2022-07-11,40.65,0.09,0.22189
2022-07-10,40.56,0.18,0.44577
2022-07-07,40.38,-0.22,-0.54187
2022-07-06,40.6,-0.14,-0.34364
2022-07-05,40.74,-0.27,-0.65838
2022-07-04,41.01,0.15,0.36711
2022-07-03,40.86,-0.03,-0.07337
2022-06-30,40.89,-0.01,-0.02445
2022-06-29,40.9,0.12,0.29426
2022-06-28,40.78,0.27,0.6665
2022-06-27,40.51,0.03,0.07411
2022-06-26,40.48,-0.18,-0.4427
2022-06-23,40.66,0.04,0.09847
