tradeDate,nav,change,changePercent
2022-09-01,10.25,0.01,0.09766
2022-08-31,10.24,-0.06,-0.58252
2022-08-30,10.3,-0.12,-1.15163
2022-08-29,10.42,-0.06,-0.57252
2022-08-28,10.48,-0.06,-0.56926
2022-08-25,10.54,-0.11,-1.03286
2022-08-24,10.65,0.07,0.66163
2022-08-23,10.58,0.0,0.0
2022-08-22,10.58,-0.03,-0.28275
2022-08-21,10.61,-0.12,-1.11836
2022-08-18,10.73,-0.08,-0.74006
2022-08-17,10.81,0.01,0.09259
2022-08-16,10.8,-0.08,-0.73529
2022-08-15,10.88,0.0,0.0
2022-08-11,10.88,0.06,0.55453
2022-08-10,10.82,0.01,0.09251
2022-08-09,10.81,0.1,0.93371
2022-08-08,10.71,-0.04,-0.37209
2022-08-07,10.75,0.04,0.37348
2022-08-04,10.71,-0.04,-0.37209
2022-08-03,10.75,0.02,0.18639
2022-08-02,10.73,0.06,0.56232
2022-08-01,10.67,-0.04,-0.37348
2022-07-31,10.71,0.01,0.09346
2022-07-28,10.7,-0.02,-0.18657
2022-07-27,10.72,0.08,0.75188
2022-07-26,10.64,0.08,0.75758
2022-07-25,10.56,-0.02,-0.18904
2022-07-24,10.58,0.01,0.09461
2022-07-21,10.57,0.02,0.18957
2022-07-20,10.55,0.07,0.66794
2022-07-19,10.48,0.04,0.38314
2022-07-18,10.44,0.08,0.7722
2022-07-17,10.36,0.02,0.19342
2022-07-14,10.34,,
2022-07-13,10.25,-0.06,-0.58196
2022-07-12,10.31,-0.03,-0.29014
2022-07-11,10.34,-0.03,-0.2893
2022-07-10,10.37,-0.03,-0.28846
2022-07-07,10.4,0.01,0.09625
2022-07-06,10.39,0.06,0.58083
2022-07-05,10.33,-0.02,-0.19324
2022-07-04,10.35,-0.02,-0.19286
2022-06-30,10.37,0.04,0.38722
2022-06-29,10.33,-0.11,-1.05364
2022-06-28,10.44,-0.02,-0.1912
2022-06-27,10.46,-0.09,-0.85308
2022-06-26,10.55,0.01,0.09488
2022-06-23,10.54,0.15,1.4437
2022-06-21,10.39,-0.01,-0.09615
2022-06-20,10.4,0.04,0.3861
2022-06-16,10.36,0.0,0.0
2022-06-15,10.36,-0.15,-1.42721
2022-06-14,10.51,0.1,0.96061
2022-06-13,10.41,-0.06,-0.57307
2022-06-12,10.47,-0.3,-2.78552
2022-06-09,10.77,-0.17,-1.55393
2022-06-08,10.94,-0.09,-0.81596
2022-06-07,11.03,-0.04,-0.36134
2022-06-06,11.07,0.01,0.09042
2022-06-02,11.06,-0.03,-0.27051
2022-06-01,11.09,0.04,0.36199
2022-05-31,11.05,-0.04,-0.36069
2022-05-30,11.09,-0.09,-0.80501
2022-05-26,11.18,0.17,1.54405
2022-05-24,11.01,0.06,0.54795
2022-05-23,10.95,0.0,0.0
2022-05-22,10.95,0.04,0.36664
2022-05-19,10.91,0.03,0.27574
2022-05-18,10.88,-0.01,-0.09183
2022-05-17,10.89,-0.09,-0.81967
2022-05-16,10.98,0.03,0.27397
2022-05-15,10.95,0.02,0.18298
2022-05-12,10.93,0.06,0.55198
2022-05-11,10.87,-0.01,-0.09191
2022-05-10,10.88,-0.02,-0.18349
2022-05-09,10.9,-0.14,-1.26812
2022-05-05,11.04,-0.08,-0.71942
2022-05-04,11.12,-0.14,-1.24334
2022-05-03,11.26,0.08,0.71556
2022-05-02,11.18,0.04,0.35907
2022-05-01,11.14,-0.04,-0.35778
2022-04-28,11.18,-0.18,-1.58451
2022-04-27,11.36,0.05,0.44209
2022-04-26,11.31,0.0,0.0
2022-04-25,11.31,-0.09,-0.78947
2022-04-24,11.4,0.0,0.0
2022-04-21,11.4,-0.14,-1.21317
2022-04-20,11.54,-0.08,-0.68847
2022-04-19,11.62,0.04,0.34542
2022-04-18,11.58,0.0,0.0
2022-04-13,11.58,-0.04,-0.34423
2022-04-12,11.62,0.05,0.43215
2022-04-11,11.57,-0.02,-0.17256
2022-04-10,11.59,-0.09,-0.77055
2022-04-07,11.68,-0.02,-0.17094
2022-04-06,11.7,-0.01,-0.0854
2022-04-05,11.71,-0.07,-0.59423
2022-04-04,11.78,-0.06,-0.50676
2022-04-03,11.84,0.04,0.33898
2022-03-31,11.8,0.0,0.0
2022-03-30,11.8,-0.11,-0.92359
2022-03-29,11.91,-0.01,-0.08389
2022-03-28,11.92,0.11,0.93141
2022-03-27,11.81,0.03,0.25467
2022-03-24,11.78,-0.01,-0.08482
2022-03-23,11.79,0.01,0.08489
2022-03-22,11.78,-0.04,-0.33841
2022-03-21,11.82,0.03,0.25445
2022-03-20,11.79,-0.06,-0.50633
2022-03-17,11.85,0.05,0.42373
2022-03-16,11.8,0.08,0.68259
2022-03-15,11.72,0.14,1.20898
2022-03-14,11.58,0.03,0.25974
2022-03-13,11.55,-0.06,-0.5168
2022-03-10,11.61,-0.04,-0.34335
2022-03-09,11.65,-0.04,-0.34217
2022-03-08,11.69,0.14,1.21212
2022-03-07,11.55,-0.04,-0.34513
2022-03-06,11.59,-0.16,-1.3617
2022-03-03,11.75,-0.1,-0.84388
2022-03-02,11.85,-0.04,-0.33642
2022-03-01,11.89,0.01,0.08418
2022-02-28,11.88,-0.03,-0.25189
2022-02-27,11.91,-0.12,-0.99751
2022-02-24,12.03,0.12,1.00756
2022-02-23,11.91,-0.05,-0.41806
2022-02-22,11.96,-0.09,-0.74689
2022-02-21,12.05,-0.07,-0.57756
2022-02-17,12.12,-0.03,-0.24691
2022-02-16,12.15,-0.08,-0.65413
2022-02-15,12.23,0.02,0.1638
2022-02-14,12.21,0.06,0.49383
2022-02-13,12.15,-0.07,-0.57283
2022-02-10,12.22,-0.09,-0.73111
2022-02-09,12.31,-0.1,-0.8058
2022-02-08,12.41,0.07,0.56726
2022-02-07,12.34,0.01,0.0811
2022-02-06,12.33,-0.02,-0.16194
2022-02-03,12.35,-0.03,-0.24233
2022-02-02,12.38,-0.11,-0.8807
2022-02-01,12.49,0.05,0.40193
2022-01-31,12.44,0.03,0.24174
2022-01-30,12.41,0.0,0.0
2022-01-27,12.41,0.08,0.64882
2022-01-26,12.33,-0.03,-0.24272
2022-01-25,12.36,0.0,0.0
2022-01-24,12.36,-0.06,-0.48309
2022-01-23,12.42,-0.04,-0.32103
2022-01-20,12.46,-0.07,-0.55866
2022-01-19,12.53,-0.03,-0.23885
2022-01-18,12.56,-0.02,-0.15898
2022-01-17,12.58,-0.11,-0.86682
2022-01-13,12.69,-0.04,-0.31422
2022-01-12,12.73,-0.05,-0.39124
2022-01-11,12.78,0.03,0.23529
2022-01-10,12.75,0.06,0.47281
2022-01-09,12.69,-0.04,-0.31422
2022-01-06,12.73,-0.03,-0.23511
2022-01-05,12.76,-0.03,-0.23456
2022-01-04,12.79,-0.1,-0.7758
2022-01-03,12.89,0.0,0.0
2022-01-02,12.89,-0.02,-0.15492
2021-12-30,12.91,-0.08,-0.61586
2021-12-29,12.99,0.0,0.0
2021-12-28,12.99,0.0,0.0
2021-12-27,12.99,0.01,0.07704
2021-12-26,12.98,0.05,0.3867
2021-12-22,12.93,0.03,0.23256
2021-12-21,12.9,0.06,0.46729
2021-12-20,12.84,0.09,0.70588
2021-12-19,12.75,-0.09,-0.70093
2021-12-16,12.84,-0.03,-0.2331
2021-12-15,12.87,0.0,0.0
2021-12-14,12.87,0.06,0.46838
2021-12-13,12.81,-0.06,-0.4662
2021-12-12,12.87,-0.02,-0.15516
2021-12-09,12.89,0.03,0.23328
2021-12-08,12.86,-0.03,-0.23274
2021-12-07,12.89,0.01,0.07764
2021-12-06,12.88,0.1,0.78247
2021-12-05,12.78,0.06,0.4717
2021-12-02,12.72,-0.01,-0.07855
2021-12-01,12.73,0.06,0.47356
2021-11-30,12.67,-0.03,-0.23622
2021-11-29,12.7,-0.17,-1.3209
2021-11-28,12.87,0.06,0.46838
2021-11-25,12.81,-0.14,-1.08108
2021-11-23,12.95,0.01,0.07728
2021-11-22,12.94,-0.04,-0.30817
2021-11-21,12.98,-0.06,-0.46012
2021-11-18,13.04,-0.02,-0.15314
2021-11-17,13.06,-0.01,-0.07651
2021-11-16,13.07,-0.01,-0.07645
2021-11-15,13.08,0.0,0.0
2021-11-14,13.08,-0.01,-0.07639
2021-11-11,13.09,0.01,0.07645
2021-11-10,13.08,0.01,0.07651
2021-11-09,13.07,-0.06,-0.45697
2021-11-08,13.13,0.02,0.15256
2021-11-07,13.11,0.0,0.0
2021-11-04,13.11,0.04,0.30604
2021-11-03,13.07,0.04,0.30698
2021-11-02,13.03,0.01,0.0768
2021-11-01,13.02,0.02,0.15385
2021-10-28,13.0,-0.1,-0.76336
2021-10-27,13.1,0.03,0.22953
2021-10-26,13.07,-0.01,-0.07645
2021-10-25,13.08,-0.01,-0.07639
2021-10-24,13.09,0.01,0.07645
2021-10-21,13.08,0.0,0.0
2021-10-20,13.08,0.0,0.0
2021-10-19,13.08,0.02,0.15314
2021-10-18,13.06,0.01,0.07663
2021-10-17,13.05,0.01,0.07669
2021-10-14,13.04,0.02,0.15361
2021-10-13,13.02,0.09,0.69606
2021-10-12,12.93,0.04,0.31032
2021-10-11,12.89,-0.01,-0.07752
2021-10-10,12.9,-0.04,-0.30912
2021-10-07,12.94,-0.02,-0.15432
2021-10-06,12.96,0.05,0.3873
2021-10-05,12.91,-0.02,-0.15468
2021-10-04,12.93,0.03,0.23256
2021-10-03,12.9,-0.06,-0.46296
2021-09-30,12.96,0.03,0.23202
2021-09-29,12.93,-0.13,-0.99541
2021-09-28,13.06,0.02,0.15337
2021-09-27,13.04,-0.12,-0.91185
2021-09-26,13.16,-0.03,-0.22745
