tradeDate,nav,change,changePercent
2022-09-04,49.4,-0.15,-0.30272
2022-09-01,49.55,-0.23,-0.46203
2022-08-31,49.78,,
2022-08-30,50.47,,
2022-08-29,50.42,0.22,0.43825
2022-08-28,50.2,-0.87,-1.70354
2022-08-25,51.07,0.27,0.5315
2022-08-24,50.8,0.89,1.78321
2022-08-23,49.91,,
2022-08-22,49.83,-0.04,-0.08021
2022-08-21,49.87,-0.6,-1.18883
2022-08-18,50.47,-0.24,-0.47328
2022-08-17,50.71,-0.34,-0.66601
2022-08-16,51.05,0.09,0.17661
2022-08-15,50.96,0.0,0.0
2022-08-11,50.96,0.17,0.33471
2022-08-10,50.79,0.96,1.92655
2022-08-09,49.83,-0.58,-1.15057
2022-08-08,50.41,0.07,0.13905
2022-08-07,50.34,-0.23,-0.45482
2022-08-04,50.57,0.55,1.09956
2022-08-03,50.02,0.42,0.84677
2022-08-02,49.6,0.23,0.46587
2022-08-01,49.37,-0.78,-1.55533
2022-07-31,50.15,-0.12,-0.23871
2022-07-28,50.27,-0.1,-0.19853
2022-07-27,50.37,0.21,0.41866
2022-07-26,50.16,-0.16,-0.31797
2022-07-25,50.32,0.35,0.70042
2022-07-24,49.97,-0.11,-0.21965
2022-07-21,50.08,-0.12,-0.23904
2022-07-20,50.2,0.06,0.11966
2022-07-19,50.14,0.54,1.08871
2022-07-18,49.6,-0.14,-0.28146
2022-07-17,49.74,0.84,1.71779
2022-07-14,48.9,-0.44,-0.89177
2022-07-13,49.34,-0.05,-0.10124
2022-07-12,49.39,0.19,0.38618
2022-07-11,49.2,-0.85,-1.6983
2022-07-10,50.05,-0.6,-1.1846
2022-07-07,50.65,0.37,0.73588
2022-07-06,50.28,0.47,0.94359
2022-07-05,49.81,-0.69,-1.36634
2022-07-04,50.5,-0.06,-0.11867
2022-07-03,50.56,0.07,0.13864
2022-06-30,50.49,-0.36,-0.70796
2022-06-29,50.85,-0.23,-0.45027
2022-06-28,51.08,-0.86,-1.65576
2022-06-27,51.94,0.19,0.36715
2022-06-26,51.75,0.93,1.82999
2022-06-23,50.82,0.89,1.7825
2022-06-21,49.93,-0.94,-1.84785
2022-06-20,50.87,0.51,1.01271
2022-06-19,50.36,-0.23,-0.45464
2022-06-16,50.59,0.32,0.63656
2022-06-15,50.27,-0.73,-1.43137
2022-06-14,51.0,0.1,0.19646
2022-06-13,50.9,-0.36,-0.7023
2022-06-12,51.26,-1.77,-3.33773
2022-06-09,53.03,-0.48,-0.89703
2022-06-08,53.51,-0.15,-0.27954
2022-06-07,53.66,0.67,1.26439
2022-06-06,52.99,-0.32,-0.60026
2022-06-02,53.31,0.23,0.43331
2022-06-01,53.08,-0.49,-0.91469
2022-05-31,53.57,-0.22,-0.409
2022-05-30,53.79,0.44,0.82474
2022-05-29,53.35,1.13,2.16392
2022-05-26,52.22,1.07,2.09189
2022-05-24,51.15,0.11,0.21552
2022-05-23,51.04,-0.43,-0.83544
2022-05-22,51.47,-0.03,-0.05825
2022-05-19,51.5,0.97,1.91965
2022-05-18,50.53,-1.16,-2.24415
2022-05-17,51.69,0.3,0.58377
2022-05-16,51.39,1.18,2.35013
2022-05-15,50.21,0.28,0.56079
2022-05-12,49.93,0.99,2.02289
2022-05-11,48.94,-1.2,-2.3933
2022-05-10,50.14,0.02,0.0399
2022-05-09,50.12,-1.28,-2.49027
2022-05-05,51.4,-1.54,-2.90895
2022-05-04,52.94,0.28,0.53171
2022-05-03,52.66,-0.05,-0.09486
2022-05-02,52.71,0.1,0.19008
2022-05-01,52.61,-0.62,-1.16476
2022-04-28,53.23,1.38,2.66152
2022-04-27,51.85,0.74,1.44786
2022-04-26,51.11,-0.52,-1.00717
2022-04-25,51.63,0.45,0.87925
2022-04-24,51.18,-1.49,-2.82893
2022-04-21,52.67,-0.37,-0.69759
2022-04-20,53.04,-0.36,-0.67416
2022-04-19,53.4,-0.11,-0.20557
2022-04-18,53.51,-0.97,-1.78047
2022-04-13,54.48,0.23,0.42396
2022-04-12,54.25,0.35,0.64935
2022-04-11,53.9,-0.1,-0.18519
2022-04-10,54.0,-0.63,-1.15321
2022-04-07,54.63,0.08,0.14665
2022-04-06,54.55,-0.88,-1.58759
2022-04-05,55.43,-0.81,-1.44026
2022-04-04,56.24,0.16,0.28531
2022-04-03,56.08,0.69,1.24571
2022-03-31,55.39,0.35,0.6359
2022-03-30,55.04,-0.23,-0.41614
2022-03-29,55.27,0.75,1.37564
2022-03-28,54.52,0.19,0.34971
2022-03-27,54.33,0.13,0.23985
2022-03-24,54.2,-0.59,-1.07684
2022-03-23,54.79,-0.33,-0.59869
2022-03-22,55.12,0.49,0.89694
2022-03-21,54.63,0.85,1.58051
2022-03-20,53.78,-0.35,-0.64659
2022-03-17,54.13,0.08,0.14801
2022-03-16,54.05,2.1,4.04235
2022-03-15,51.95,2.6,5.26849
2022-03-14,49.35,-1.8,-3.51906
2022-03-13,51.15,-1.6,-3.03318
2022-03-10,52.75,-0.39,-0.73391
2022-03-09,53.14,0.75,1.43157
2022-03-08,52.39,0.27,0.51804
2022-03-07,52.12,-0.93,-1.75306
2022-03-06,53.05,-1.66,-3.03418
2022-03-03,54.71,-1.0,-1.79501
2022-03-02,55.71,0.27,0.48701
2022-03-01,55.44,-1.33,-2.34279
2022-02-28,56.77,-0.16,-0.28105
2022-02-27,56.93,-0.52,-0.90513
2022-02-24,57.45,0.2,0.34934
2022-02-23,57.25,-3.07,-5.08952
2022-02-22,60.32,0.07,0.11618
2022-02-21,60.25,-1.24,-2.01659
2022-02-20,61.49,-0.84,-1.34767
2022-02-17,62.33,-0.47,-0.74841
2022-02-16,62.8,0.07,0.11159
2022-02-15,62.73,0.61,0.98197
2022-02-14,62.12,0.42,0.68071
2022-02-13,61.7,-1.16,-1.84537
2022-02-10,62.86,-0.35,-0.55371
2022-02-09,63.21,0.81,1.29808
2022-02-08,62.4,1.34,2.19456
2022-02-07,61.06,0.21,0.34511
2022-02-06,60.85,-0.09,-0.14769
2022-02-03,60.94,0.49,0.81059
2022-02-02,60.45,-0.78,-1.27389
2022-02-01,61.23,0.48,0.79012
2022-01-31,60.75,0.59,0.98072
2022-01-30,60.16,0.67,1.12624
2022-01-27,59.49,0.0,0.0
2022-01-26,59.49,-1.01,-1.66942
2022-01-25,60.5,0.52,0.86696
2022-01-24,59.98,-0.82,-1.34868
2022-01-23,60.8,-1.18,-1.90384
2022-01-20,61.98,-0.15,-0.24143
2022-01-19,62.13,0.49,0.79494
2022-01-18,61.64,-0.03,-0.04865
2022-01-17,61.67,-0.58,-0.93173
2022-01-16,62.25,-0.11,-0.1764
2022-01-13,62.36,-0.62,-0.98444
2022-01-12,62.98,0.16,0.2547
2022-01-11,62.82,1.06,1.71632
2022-01-10,61.76,0.09,0.14594
2022-01-09,61.67,0.54,0.88336
2022-01-06,61.13,0.64,1.05803
2022-01-05,60.49,-0.3,-0.4935
2022-01-04,60.79,-0.37,-0.60497
2022-01-03,61.16,0.49,0.80765
2021-12-30,60.67,0.87,1.45485
2021-12-29,59.8,-0.33,-0.54881
2021-12-28,60.13,0.06,0.09988
2021-12-22,60.07,0.68,1.14497
2021-12-21,59.39,0.45,0.76349
2021-12-20,58.94,0.25,0.42597
2021-12-19,58.69,-1.03,-1.72472
2021-12-16,59.72,-0.38,-0.63228
2021-12-15,60.1,0.18,0.3004
2021-12-14,59.92,-0.01,-0.01669
2021-12-13,59.93,-0.7,-1.15454
2021-12-12,60.63,-0.15,-0.24679
2021-12-09,60.78,-0.46,-0.75114
2021-12-08,61.24,0.4,0.65746
2021-12-07,60.84,0.17,0.2802
2021-12-06,60.67,1.06,1.77823
2021-12-05,59.61,-0.93,-1.53617
2021-12-02,60.54,-0.03,-0.04953
2021-12-01,60.57,0.32,0.53112
2021-11-30,60.25,0.61,1.0228
2021-11-29,59.64,-0.75,-1.24193
2021-11-28,60.39,-0.09,-0.14881
2021-11-25,60.48,-1.44,-2.32558
2021-11-24,61.92,0.04,0.06464
2021-11-23,61.88,-0.1,-0.16134
2021-11-22,61.98,-0.73,-1.16409
2021-11-21,62.71,0.0,0.0
2021-11-18,62.71,-0.34,-0.53925
2021-11-17,63.05,-0.65,-1.02041
2021-11-16,63.7,-0.09,-0.14109
2021-11-15,63.79,-0.11,-0.17214
2021-11-14,63.9,0.31,0.4875
2021-11-11,63.59,0.3,0.47401
2021-11-10,63.29,-0.04,-0.06316
2021-11-09,63.33,-0.1,-0.15765
2021-11-08,63.43,0.33,0.52298
2021-11-07,63.1,0.26,0.41375
2021-11-04,62.84,-0.37,-0.58535
2021-11-03,63.21,0.51,0.8134
2021-11-02,62.7,-0.35,-0.55511
2021-11-01,63.05,0.08,0.12704
2021-10-28,62.97,-0.34,-0.53704
2021-10-27,63.31,-0.65,-1.01626
2021-10-26,63.96,-0.72,-1.11317
2021-10-25,64.68,0.31,0.48159
2021-10-24,64.37,-0.09,-0.13962
2021-10-21,64.46,-0.12,-0.18582
2021-10-20,64.58,0.13,0.20171
2021-10-19,64.45,0.25,0.38941
2021-10-18,64.2,0.7,1.10236
2021-10-17,63.5,0.0,0.0
2021-10-14,63.5,0.37,0.58609
2021-10-13,63.13,0.61,0.97569
2021-10-12,62.52,0.24,0.38536
2021-10-11,62.28,-0.59,-0.93844
2021-10-10,62.87,0.5,0.80167
2021-10-07,62.37,0.49,0.79186
2021-10-06,61.88,1.31,2.16279
2021-10-05,60.57,-0.04,-0.066
2021-10-04,60.61,-0.29,-0.47619
2021-10-03,60.9,0.26,0.42876
2021-09-30,60.64,-0.27,-0.44328
2021-09-29,60.91,-0.27,-0.44132
2021-09-28,61.18,-0.52,-0.84279
2021-09-27,61.7,0.36,0.58689
2021-09-26,61.34,-0.01,-0.0163
2021-09-23,61.35,-0.08,-0.13023
2021-09-22,61.43,0.6,0.98636
2021-09-21,60.83,0.07,0.11521
2021-09-20,60.76,0.22,0.3634
2021-09-19,60.54,-1.38,-2.22868
2021-09-16,61.92,0.24,0.38911
2021-09-15,61.68,-0.42,-0.67633
2021-09-14,62.1,-0.26,-0.41693
2021-09-13,62.36,0.15,0.24112
2021-09-12,62.21,-0.4,-0.63888
2021-09-09,62.61,0.41,0.65916
2021-09-08,62.2,-1.11,-1.75328
2021-09-07,63.31,0.04,0.06322
2021-09-06,63.27,-0.18,-0.28369
2021-09-05,63.45,0.19,0.30035
2021-09-02,63.26,0.03,0.04745
2021-09-01,63.23,0.22,0.34915
2021-08-31,63.01,0.44,0.70321
2021-08-30,62.57,0.97,1.57468
2021-08-29,61.6,0.47,0.76885
2021-08-26,61.13,0.01,0.01636
2021-08-25,61.12,-0.3,-0.48844
2021-08-24,61.42,0.79,1.30299
2021-08-23,60.63,1.34,2.26008
2021-08-22,59.29,0.58,0.98791
2021-08-19,58.71,-0.8,-1.34431
2021-08-18,59.51,-1.24,-2.04115
2021-08-17,60.75,0.2,0.33031
2021-08-16,60.55,-0.79,-1.2879
2021-08-15,61.34,-0.23,-0.37356
2021-08-12,61.57,-0.48,-0.77357
