tradeDate,nav,change,changePercent
2022-09-01,18.71,0.22,1.18983
2022-08-31,18.49,-0.49,-2.58166
2022-08-30,18.98,,
2022-08-29,19.04,0.01,0.05255
2022-08-28,19.03,-0.48,-2.46028
2022-08-25,19.51,-0.1,-0.50994
2022-08-24,19.61,0.04,0.20439
2022-08-23,19.57,0.14,0.72054
2022-08-22,19.43,-0.16,-0.81674
2022-08-21,19.59,-0.27,-1.35952
2022-08-18,19.86,-0.1,-0.501
2022-08-17,19.96,-0.06,-0.2997
2022-08-16,20.02,-0.05,-0.24913
2022-08-15,20.07,-0.03,-0.14925
2022-08-11,20.1,0.0,0.0
2022-08-10,20.1,0.23,1.15752
2022-08-09,19.87,0.12,0.60759
2022-08-08,19.75,-0.31,-1.54536
2022-08-07,20.06,0.23,1.15986
2022-08-04,19.83,-0.39,-1.92878
2022-08-03,20.22,0.15,0.74738
2022-08-02,20.07,0.12,0.6015
2022-08-01,19.95,-0.13,-0.64741
2022-07-31,20.08,0.02,0.0997
2022-07-28,20.06,0.55,2.81907
2022-07-27,19.51,0.13,0.67079
2022-07-26,19.38,0.17,0.88496
2022-07-25,19.21,-0.05,-0.25961
2022-07-24,19.26,-0.11,-0.56789
2022-07-21,19.37,0.05,0.2588
2022-07-20,19.32,0.36,1.89873
2022-07-19,18.96,0.1,0.53022
2022-07-18,18.86,0.09,0.47949
2022-07-17,18.77,0.34,1.84482
2022-07-14,18.43,0.32,1.76698
2022-07-13,18.11,-0.13,-0.71272
2022-07-12,18.24,-0.13,-0.70768
2022-07-11,18.37,-0.08,-0.4336
2022-07-10,18.45,0.04,0.21727
2022-07-07,18.41,-0.03,-0.16269
2022-07-06,18.44,0.29,1.5978
2022-07-05,18.15,0.26,1.45333
2022-07-04,17.89,-0.22,-1.2148
2022-07-03,18.11,-0.02,-0.11031
2022-06-30,18.13,0.2,1.11545
2022-06-29,17.93,-0.36,-1.96829
2022-06-28,18.29,-0.27,-1.45474
2022-06-27,18.56,0.14,0.76004
2022-06-26,18.42,0.07,0.38147
2022-06-23,18.35,0.46,2.57127
2022-06-21,17.89,-0.2,-1.10558
2022-06-20,18.09,0.25,1.40135
2022-06-19,17.84,-0.09,-0.50195
2022-06-16,17.93,0.15,0.84364
2022-06-15,17.78,-0.52,-2.84153
2022-06-14,18.3,0.05,0.27397
2022-06-13,18.25,-0.16,-0.86909
2022-06-12,18.41,-0.59,-3.10526
2022-06-09,19.0,-0.55,-2.8133
2022-06-08,19.55,-0.24,-1.21273
2022-06-07,19.79,0.06,0.30411
2022-06-06,19.73,-0.08,-0.40384
2022-06-02,19.81,0.06,0.3038
2022-06-01,19.75,-0.06,-0.30288
2022-05-31,19.81,-0.07,-0.35211
2022-05-30,19.88,-0.22,-1.09453
2022-05-29,20.1,0.41,2.08228
2022-05-26,19.69,0.67,3.52261
2022-05-24,19.02,-0.2,-1.04058
2022-05-23,19.22,0.0,0.0
2022-05-22,19.22,-0.02,-0.10395
2022-05-19,19.24,0.48,2.55864
2022-05-18,18.76,-0.35,-1.8315
2022-05-17,19.11,-0.25,-1.29132
2022-05-16,19.36,0.27,1.41435
2022-05-15,19.09,-0.06,-0.31332
2022-05-12,19.15,0.66,3.5695
2022-05-11,18.49,-0.26,-1.38667
2022-05-10,18.75,0.02,0.10678
2022-05-09,18.73,-0.24,-1.26516
2022-05-05,18.97,-0.97,-4.86459
2022-05-04,19.94,0.05,0.25138
2022-05-03,19.89,-0.05,-0.25075
2022-05-02,19.94,-0.09,-0.44933
2022-05-01,20.03,-0.52,-2.53041
2022-04-28,20.55,0.4,1.98511
2022-04-27,20.15,0.15,0.75
2022-04-26,20.0,-0.22,-1.08803
2022-04-25,20.22,-0.06,-0.29586
2022-04-24,20.28,-0.51,-2.4531
2022-04-21,20.79,-0.57,-2.66854
2022-04-20,21.36,0.21,0.99291
2022-04-19,21.15,0.48,2.32221
2022-04-18,20.67,-0.29,-1.38359
2022-04-13,20.96,0.13,0.6241
2022-04-12,20.83,-0.15,-0.71497
2022-04-11,20.98,0.1,0.47893
2022-04-10,20.88,-0.16,-0.76046
2022-04-07,21.04,-0.18,-0.84826
2022-04-06,21.22,0.21,0.99952
2022-04-05,21.01,-0.87,-3.97623
2022-04-04,21.88,-0.02,-0.09132
2022-04-03,21.9,0.24,1.10803
2022-03-31,21.66,-0.09,-0.41379
2022-03-30,21.75,-0.13,-0.59415
2022-03-29,21.88,-0.26,-1.17435
2022-03-28,22.14,0.49,2.26328
2022-03-27,21.65,0.12,0.55736
2022-03-24,21.53,0.19,0.89035
2022-03-23,21.34,-0.14,-0.65177
2022-03-22,21.48,-0.32,-1.46789
2022-03-21,21.8,0.15,0.69284
2022-03-20,21.65,0.09,0.41744
2022-03-17,21.56,0.4,1.89036
2022-03-16,21.16,-0.01,-0.04724
2022-03-15,21.17,1.08,5.37581
2022-03-14,20.09,-0.12,-0.59377
2022-03-13,20.21,0.38,1.91629
2022-03-10,19.83,0.02,0.10096
2022-03-09,19.81,0.28,1.43369
2022-03-08,19.53,0.59,3.1151
2022-03-07,18.94,-0.75,-3.80904
2022-03-06,19.69,-0.13,-0.6559
2022-03-03,19.82,-0.88,-4.25121
2022-03-02,20.7,0.04,0.19361
2022-03-01,20.66,-0.1,-0.4817
2022-02-28,20.76,-0.02,-0.09625
2022-02-27,20.78,0.17,0.82484
2022-02-24,20.61,0.63,3.15315
2022-02-23,19.98,-0.75,-3.61795
2022-02-22,20.73,-0.12,-0.57554
2022-02-21,20.85,0.4,1.95599
2022-02-20,20.45,-0.58,-2.75796
2022-02-17,21.03,-0.08,-0.37897
2022-02-16,21.11,-0.05,-0.23629
2022-02-15,21.16,-0.09,-0.42353
2022-02-14,21.25,0.56,2.70662
2022-02-13,20.69,-0.63,-2.95497
2022-02-10,21.32,-0.27,-1.25058
2022-02-09,21.59,-0.19,-0.87236
2022-02-08,21.78,0.81,3.86266
2022-02-07,20.97,-0.5,-2.32883
2022-02-06,21.47,0.12,0.56206
2022-02-03,21.35,-0.35,-1.6129
2022-02-02,21.7,-0.72,-3.21142
2022-02-01,22.42,0.27,1.21896
2022-01-31,22.15,0.3,1.373
2022-01-30,21.85,0.77,3.65275
2022-01-27,21.08,-0.44,-2.04461
2022-01-26,21.52,-0.03,-0.13921
2022-01-25,21.55,0.49,2.32669
2022-01-24,21.06,-0.11,-0.5196
2022-01-23,21.17,-1.01,-4.55365
2022-01-20,22.18,-0.58,-2.54833
2022-01-19,22.76,-0.15,-0.65474
2022-01-18,22.91,0.31,1.37168
2022-01-17,22.6,-0.47,-2.03728
2022-01-16,23.07,0.07,0.30435
2022-01-13,23.0,-0.64,-2.70728
2022-01-12,23.64,0.04,0.16949
2022-01-11,23.6,0.32,1.37457
2022-01-10,23.28,0.22,0.95403
2022-01-09,23.06,-1.01,-4.19609
2022-01-06,24.07,0.0,0.0
2022-01-05,24.07,-0.72,-2.9044
2022-01-04,24.79,-0.29,-1.1563
2022-01-03,25.08,0.05,0.19976
2022-01-02,25.03,0.0,0.0
2021-12-30,25.03,-0.06,-0.23914
2021-12-29,25.09,0.08,0.31987
2021-12-28,25.01,-0.15,-0.59618
2021-12-27,25.16,0.25,1.00361
2021-12-26,24.91,0.21,0.8502
2021-12-22,24.7,0.29,1.18804
2021-12-21,24.41,0.24,0.99297
2021-12-20,24.17,0.24,1.00293
2021-12-19,23.93,-0.2,-0.82884
2021-12-16,24.13,-0.55,-2.22853
2021-12-15,24.68,0.35,1.43855
2021-12-14,24.33,0.06,0.24722
2021-12-13,24.27,-0.53,-2.1371
2021-12-12,24.8,0.02,0.08071
2021-12-09,24.78,-0.18,-0.72115
2021-12-08,24.96,-0.04,-0.16
2021-12-07,25.0,0.11,0.44194
2021-12-06,24.89,0.86,3.57886
2021-12-05,24.03,-0.12,-0.49689
2021-12-02,24.15,-0.12,-0.49444
2021-12-01,24.27,-0.37,-1.50162
2021-11-30,24.64,-0.17,-0.68521
2021-11-29,24.81,0.14,0.56749
2021-11-28,24.67,0.1,0.407
2021-11-25,24.57,-0.33,-1.3253
2021-11-24,24.9,0.36,1.46699
2021-11-23,24.54,-0.52,-2.07502
2021-11-22,25.06,-0.72,-2.79286
2021-11-21,25.78,-0.04,-0.15492
2021-11-18,25.82,0.09,0.34979
2021-11-17,25.73,0.16,0.62573
2021-11-16,25.57,0.08,0.31385
2021-11-15,25.49,0.03,0.11783
2021-11-14,25.46,0.16,0.63241
2021-11-11,25.3,0.15,0.59642
2021-11-10,25.15,0.25,1.00402
2021-11-09,24.9,-0.27,-1.07271
2021-11-08,25.17,-0.05,-0.19826
2021-11-07,25.22,0.03,0.11909
2021-11-04,25.19,-0.06,-0.23762
2021-11-03,25.25,0.4,1.60966
2021-11-02,24.85,0.18,0.72963
2021-11-01,24.67,0.29,1.1895
2021-10-28,24.38,0.03,0.1232
2021-10-27,24.35,0.03,0.12336
2021-10-26,24.32,0.01,0.04114
2021-10-25,24.31,0.03,0.12356
2021-10-24,24.28,-0.14,-0.5733
2021-10-21,24.42,0.38,1.5807
2021-10-20,24.04,0.14,0.58577
2021-10-19,23.9,0.03,0.12568
2021-10-18,23.87,0.06,0.25199
2021-10-17,23.81,0.03,0.12616
2021-10-14,23.78,0.12,0.50719
2021-10-13,23.66,0.34,1.45798
2021-10-12,23.32,0.36,1.56794
2021-10-11,22.96,0.07,0.30581
2021-10-10,22.89,-0.24,-1.03761
2021-10-07,23.13,-0.13,-0.5589
2021-10-06,23.26,0.42,1.83888
2021-10-05,22.84,-0.09,-0.3925
2021-10-04,22.93,0.0,0.0
2021-10-03,22.93,-0.13,-0.56375
2021-09-30,23.06,-0.21,-0.90245
2021-09-29,23.27,-0.12,-0.51304
2021-09-28,23.39,0.06,0.25718
2021-09-27,23.33,-0.82,-3.39545
2021-09-26,24.15,-0.51,-2.06813
2021-09-23,24.66,-0.43,-1.71383
2021-09-22,25.09,0.39,1.57895
2021-09-21,24.7,0.11,0.44734
2021-09-20,24.59,0.41,1.69562
2021-09-19,24.18,-0.67,-2.69618
2021-09-16,24.85,-0.09,-0.36087
2021-09-15,24.94,0.13,0.52398
2021-09-14,24.81,-0.18,-0.72029
2021-09-13,24.99,0.08,0.32116
2021-09-12,24.91,-0.16,-0.63821
2021-09-09,25.07,0.17,0.68273
2021-09-08,24.9,0.02,0.08039
2021-09-07,24.88,-0.16,-0.63898
2021-09-06,25.04,-0.05,-0.19928
2021-09-05,25.09,0.39,1.57895
2021-09-02,24.7,-0.26,-1.04167
2021-09-01,24.96,0.23,0.93004
2021-08-31,24.73,0.15,0.61025
2021-08-30,24.58,-0.11,-0.44552
2021-08-29,24.69,0.2,0.81666
2021-08-26,24.49,0.07,0.28665
2021-08-25,24.42,-0.05,-0.20433
2021-08-24,24.47,0.03,0.12275
2021-08-23,24.44,0.09,0.36961
2021-08-22,24.35,0.14,0.57827
2021-08-19,24.21,0.32,1.33947
2021-08-18,23.89,-0.52,-2.13027
2021-08-17,24.41,0.07,0.28759
2021-08-16,24.34,0.0,0.0
2021-08-15,24.34,-0.06,-0.2459
2021-08-12,24.4,-0.04,-0.16367
2021-08-11,24.44,0.04,0.16393
2021-08-10,24.4,-0.08,-0.3268
2021-08-09,24.48,0.21,0.86527
2021-08-08,24.27,0.01,0.04122
2021-08-05,24.26,-0.16,-0.6552
2021-08-04,24.42,0.2,0.82576
2021-08-03,24.22,0.24,1.00083
2021-08-02,23.98,0.08,0.33473
2021-08-01,23.9,0.02,0.08375
2021-07-29,23.88,0.01,0.04189
2021-07-28,23.87,0.13,0.5476
2021-07-27,23.74,0.12,0.50804
2021-07-26,23.62,-0.26,-1.08878
2021-07-25,23.88,0.01,0.04189
2021-07-22,23.87,0.32,1.35881
2021-07-21,23.55,0.33,1.42119
2021-07-20,23.22,0.37,1.61926
2021-07-19,22.85,0.2,0.883
2021-07-18,22.65,-0.54,-2.32859
2021-07-15,23.19,-0.14,-0.60009
2021-07-14,23.33,-0.11,-0.46928
2021-07-13,23.44,0.07,0.29953
2021-07-12,23.37,-0.03,-0.12821
2021-07-11,23.4,0.25,1.07991
2021-07-08,23.15,0.26,1.13587
2021-07-07,22.89,-0.46,-1.97002
2021-07-06,23.35,0.2,0.86393
2021-07-05,23.15,0.15,0.65217
2021-07-04,23.0,-0.01,-0.04346
2021-07-01,23.01,0.12,0.52425
2021-06-30,22.89,0.01,0.04371
2021-06-29,22.88,-0.2,-0.86655
2021-06-28,23.08,0.15,0.65416
2021-06-27,22.93,0.02,0.0873
2021-06-24,22.91,-0.02,-0.08722
2021-06-23,22.93,0.28,1.2362
2021-06-21,22.65,0.11,0.48802
2021-06-20,22.54,-0.08,-0.35367
2021-06-17,22.62,-0.05,-0.22056
2021-06-16,22.67,-0.12,-0.52655
2021-06-15,22.79,0.01,0.0439
2021-06-14,22.78,0.1,0.44092
2021-06-13,22.68,0.0,0.0
2021-06-10,22.68,0.13,0.5765
2021-06-09,22.55,0.04,0.1777
2021-06-08,22.51,-0.03,-0.1331
2021-06-07,22.54,0.12,0.53524
2021-06-06,22.42,0.16,0.71878
2021-06-03,22.26,0.14,0.63291
2021-06-02,22.12,-0.12,-0.53957
2021-06-01,22.24,-0.1,-0.44763
