tradeDate,nav,change,changePercent
2022-09-01,154.5261,-0.4136,-0.26694
2022-08-31,154.9397,-1.2874,-0.82406
2022-08-30,156.2271,,
2022-08-29,157.477,0.1824,0.11596
2022-08-28,157.2946,-3.0695,-1.91408
2022-08-25,160.3641,1.3807,0.86846
2022-08-24,158.9834,0.002,0.00126
2022-08-23,158.9814,0.2475,0.15592
2022-08-22,158.7339,-1.1208,-0.70114
2022-08-21,159.8547,-2.114,-1.30519
2022-08-18,161.9687,-1.1689,-0.71651
2022-08-17,163.1376,-0.8219,-0.50128
2022-08-16,163.9595,-1.1218,-0.67954
2022-08-15,165.0813,,
2022-08-14,164.9094,0.6975,0.42476
2022-08-11,164.2119,-0.1061,-0.06457
2022-08-10,164.318,2.5429,1.57187
2022-08-09,161.7751,-0.3682,-0.22708
2022-08-08,162.1433,-0.6175,-0.37939
2022-08-07,162.7608,0.8193,0.50592
2022-08-04,161.9415,0.2679,0.1657
2022-08-03,161.6736,0.9542,0.59371
2022-08-02,160.7194,0.4961,0.30963
2022-08-01,160.2233,-0.6996,-0.43474
2022-07-31,160.9229,0.7416,0.46298
2022-07-28,160.1813,1.5005,0.94561
2022-07-27,158.6808,1.3135,0.83467
2022-07-26,157.3673,-0.7639,-0.48308
2022-07-25,158.1312,0.268,0.16977
2022-07-24,157.8632,-0.766,-0.48289
2022-07-21,158.6292,0.5675,0.35904
2022-07-20,158.0617,0.9718,0.61863
2022-07-19,157.0899,1.4267,0.91653
2022-07-18,155.6632,0.4178,0.26912
2022-07-17,155.2454,1.3759,0.8942
2022-07-14,153.8695,,
2022-07-13,154.2596,-0.0695,-0.04503
2022-07-12,154.3291,-1.4484,-0.92979
2022-07-11,155.7775,-2.0535,-1.30108
2022-07-10,157.831,-0.5697,-0.35966
2022-07-07,158.4007,1.1616,0.73875
2022-07-06,157.2391,0.1574,0.1002
2022-07-05,157.0817,0.7281,0.46568
2022-07-04,156.3536,-1.1395,-0.72352
2022-07-03,157.4931,0.92,0.58758
2022-06-30,156.5731,-0.7498,-0.4766
2022-06-29,157.3229,-3.3625,-2.0926
2022-06-28,160.6854,-2.1681,-1.33132
2022-06-27,162.8535,0.1487,0.09139
2022-06-26,162.7048,2.9049,1.81784
2022-06-23,159.7999,0.7676,0.48267
2022-06-22,159.0323,,
2022-06-21,159.1921,-0.1532,-0.09614
2022-06-20,159.3453,0.7923,0.49971
2022-06-19,158.553,0.3792,0.23974
2022-06-16,158.1738,-1.5568,-0.97464
2022-06-15,159.7306,-0.6771,-0.42211
2022-06-14,160.4077,0.6442,0.40322
2022-06-13,159.7635,-3.2431,-1.98955
2022-06-12,163.0066,-4.1797,-2.50003
2022-06-09,167.1863,-3.9771,-2.32357
2022-06-08,171.1634,-0.5191,-0.30236
2022-06-07,171.6825,1.7342,1.02043
2022-06-06,169.9483,-0.6248,-0.36629
2022-06-05,170.5731,-0.2449,-0.14337
2022-06-02,170.818,1.5127,0.89347
2022-06-01,169.3053,-0.7821,-0.45982
2022-05-31,170.0874,0.0963,0.05665
2022-05-30,169.9911,0.2989,0.17614
2022-05-29,169.6922,1.9805,1.1809
2022-05-26,167.7117,2.7341,1.65726
2022-05-25,164.9776,0.8002,0.4874
2022-05-24,164.1774,-1.5705,-0.94752
2022-05-23,165.7479,-0.4427,-0.26638
2022-05-22,166.1906,0.2914,0.17565
2022-05-19,165.8992,2.1863,1.33545
2022-05-18,163.7129,-2.7219,-1.63542
2022-05-17,166.4348,0.8141,0.49154
2022-05-16,165.6207,1.0231,0.62158
2022-05-15,164.5976,2.0938,1.28846
2022-05-12,162.5038,1.7592,1.09441
2022-05-11,160.7446,-1.6941,-1.04292
2022-05-10,162.4387,-0.9321,-0.57054
2022-05-09,163.3708,-2.8647,-1.72328
