tradeDate,nav,change,changePercent
2022-09-01,27.97,0.09,0.32281
2022-08-31,27.88,-0.12,-0.42857
2022-08-30,28.0,-0.2,-0.70922
2022-08-29,28.2,-0.16,-0.56417
2022-08-28,28.36,-0.24,-0.83916
2022-08-25,28.6,0.01,0.03498
2022-08-24,28.59,0.05,0.17519
2022-08-23,28.54,0.01,0.03505
2022-08-22,28.53,0.25,0.88402
2022-08-21,28.28,-0.25,-0.87627
2022-08-18,28.53,-0.03,-0.10504
2022-08-17,28.56,0.19,0.66972
2022-08-16,28.37,-0.19,-0.66527
2022-08-15,28.56,0.21,0.74074
2022-08-11,28.35,0.18,0.63898
2022-08-10,28.17,0.08,0.2848
2022-08-09,28.09,-0.04,-0.1422
2022-08-08,28.13,-0.08,-0.28359
2022-08-07,28.21,0.08,0.28439
2022-08-04,28.13,0.1,0.35676
2022-08-03,28.03,-0.06,-0.2136
2022-08-02,28.09,0.01,0.03561
2022-08-01,28.08,0.21,0.7535
2022-07-31,27.87,-0.11,-0.39314
2022-07-28,27.98,0.16,0.57513
2022-07-27,27.82,0.34,1.23726
2022-07-26,27.48,-0.14,-0.50688
2022-07-25,27.62,0.24,0.87655
2022-07-24,27.38,0.03,0.10969
2022-07-21,27.35,0.15,0.55147
2022-07-20,27.2,-0.07,-0.25669
2022-07-19,27.27,0.28,1.03742
2022-07-18,26.99,-0.16,-0.58932
2022-07-17,27.15,-0.06,-0.22051
2022-07-14,27.21,,
2022-07-13,27.25,-0.04,-0.14657
2022-07-12,27.29,-0.1,-0.3651
2022-07-11,27.39,-0.05,-0.18222
2022-07-10,27.44,0.26,0.95659
2022-07-07,27.18,-0.05,-0.18362
2022-07-06,27.23,0.23,0.85185
2022-07-05,27.0,0.17,0.63362
2022-07-04,26.83,0.32,1.20709
2022-06-30,26.51,0.01,0.03774
2022-06-29,26.5,-0.18,-0.67466
2022-06-28,26.68,0.12,0.45181
2022-06-27,26.56,-0.03,-0.11282
2022-06-26,26.59,-0.09,-0.33733
2022-06-23,26.68,0.09,0.33847
2022-06-21,26.59,-0.1,-0.37467
2022-06-20,26.69,-0.06,-0.2243
2022-06-16,26.75,0.17,0.63958
2022-06-15,26.58,-0.45,-1.66482
2022-06-14,27.03,0.08,0.29685
2022-06-13,26.95,-0.07,-0.25907
2022-06-12,27.02,-0.33,-1.20658
2022-06-09,27.35,-0.03,-0.10957
2022-06-08,27.38,0.08,0.29304
2022-06-07,27.3,-0.09,-0.32859
2022-06-06,27.39,-0.2,-0.7249
2022-06-02,27.59,0.09,0.32727
2022-06-01,27.5,-0.2,-0.72202
2022-05-31,27.7,0.02,0.07225
2022-05-30,27.68,0.03,0.1085
2022-05-26,27.65,0.27,0.98612
2022-05-24,27.38,0.32,1.18256
2022-05-23,27.06,-0.07,-0.25802
2022-05-22,27.13,-0.24,-0.87687
2022-05-19,27.37,0.21,0.7732
2022-05-18,27.16,-0.31,-1.1285
2022-05-17,27.47,0.08,0.29208
2022-05-16,27.39,-0.25,-0.90449
2022-05-15,27.64,-0.09,-0.32456
2022-05-12,27.73,-0.04,-0.14404
2022-05-11,27.77,0.3,1.0921
2022-05-10,27.47,0.05,0.18235
2022-05-09,27.42,-0.22,-0.79595
2022-05-05,27.64,-0.18,-0.64702
2022-05-04,27.82,0.02,0.07194
2022-05-03,27.8,-0.15,-0.53667
2022-05-02,27.95,0.0,0.0
2022-05-01,27.95,-0.18,-0.63989
2022-04-28,28.13,-0.18,-0.63582
2022-04-27,28.31,0.07,0.24788
2022-04-26,28.24,0.15,0.534
2022-04-25,28.09,0.15,0.53686
2022-04-24,27.94,0.09,0.32316
2022-04-21,27.85,-0.1,-0.35778
2022-04-20,27.95,-0.04,-0.14291
2022-04-19,27.99,-0.14,-0.49769
2022-04-18,28.13,-0.05,-0.17743
2022-04-13,28.18,0.12,0.42766
2022-04-12,28.06,-0.13,-0.46116
2022-04-11,28.19,0.18,0.64263
2022-04-10,28.01,-0.21,-0.74415
2022-04-07,28.22,-0.1,-0.35311
2022-04-06,28.32,0.04,0.14144
2022-04-05,28.28,-0.21,-0.7371
2022-04-04,28.49,0.05,0.17581
2022-04-03,28.44,0.28,0.99432
2022-03-31,28.16,-0.14,-0.4947
2022-03-30,28.3,0.26,0.92725
2022-03-29,28.04,-0.07,-0.24902
2022-03-28,28.11,0.06,0.2139
2022-03-27,28.05,-0.06,-0.21345
2022-03-24,28.11,0.03,0.10684
2022-03-23,28.08,0.04,0.14265
2022-03-22,28.04,0.08,0.28612
2022-03-21,27.96,-0.12,-0.42735
2022-03-20,28.08,0.06,0.21413
2022-03-17,28.02,0.12,0.43011
2022-03-16,27.9,0.05,0.17953
2022-03-15,27.85,0.04,0.14383
2022-03-14,27.81,0.0,0.0
2022-03-13,27.81,-0.28,-0.9968
2022-03-10,28.09,0.14,0.50089
2022-03-09,27.95,0.16,0.57575
2022-03-08,27.79,-0.22,-0.78543
2022-03-07,28.01,-0.2,-0.70897
2022-03-06,28.21,-0.08,-0.28279
2022-03-03,28.29,0.04,0.14159
2022-03-02,28.25,0.11,0.3909
2022-03-01,28.14,-0.1,-0.35411
2022-02-28,28.24,-0.13,-0.45823
2022-02-27,28.37,-0.22,-0.7695
2022-02-24,28.59,0.17,0.59817
2022-02-23,28.42,-0.26,-0.90656
2022-02-22,28.68,-0.06,-0.20877
2022-02-21,28.74,-0.09,-0.31217
2022-02-17,28.83,0.06,0.20855
2022-02-16,28.77,0.0,0.0
2022-02-15,28.77,0.02,0.06957
2022-02-14,28.75,-0.07,-0.24289
2022-02-13,28.82,0.01,0.03471
2022-02-10,28.81,0.04,0.13903
2022-02-09,28.77,-0.14,-0.48426
2022-02-08,28.91,0.08,0.27749
2022-02-07,28.83,0.03,0.10417
2022-02-06,28.8,0.03,0.10428
2022-02-03,28.77,-0.17,-0.58742
2022-02-02,28.94,-0.43,-1.46408
2022-02-01,29.37,0.0,0.0
2022-01-31,29.37,-0.14,-0.47442
2022-01-30,29.51,-0.14,-0.47218
2022-01-27,29.65,-0.06,-0.20195
2022-01-26,29.71,0.17,0.57549
2022-01-25,29.54,0.17,0.57882
2022-01-24,29.37,0.05,0.17053
2022-01-23,29.32,-0.1,-0.3399
2022-01-20,29.42,-0.1,-0.33875
2022-01-19,29.52,0.12,0.40816
2022-01-18,29.4,0.0,0.0
2022-01-17,29.4,0.08,0.27285
2022-01-13,29.32,0.01,0.03412
2022-01-12,29.31,-0.07,-0.23826
2022-01-11,29.38,-0.08,-0.27155
2022-01-10,29.46,-0.1,-0.33829
2022-01-09,29.56,0.02,0.0677
2022-01-06,29.54,-0.21,-0.70588
2022-01-05,29.75,-0.05,-0.16779
2022-01-04,29.8,-0.12,-0.40107
2022-01-03,29.92,-0.03,-0.10017
2022-01-02,29.95,0.07,0.23427
2021-12-30,29.88,-0.17,-0.56572
2021-12-29,30.05,0.09,0.3004
2021-12-28,29.96,-0.12,-0.39894
2021-12-27,30.08,0.05,0.1665
2021-12-26,30.03,0.08,0.26711
2021-12-22,29.95,0.06,0.20074
2021-12-21,29.89,-0.08,-0.26693
2021-12-20,29.97,0.04,0.13365
2021-12-19,29.93,-0.16,-0.53174
2021-12-16,30.09,0.23,0.77026
2021-12-15,29.86,-0.07,-0.23388
2021-12-14,29.93,-0.1,-0.333
2021-12-13,30.03,0.03,0.1
2021-12-12,30.0,0.08,0.26738
2021-12-09,29.92,-0.08,-0.26667
2021-12-08,30.0,0.13,0.43522
2021-12-07,29.87,-0.2,-0.66511
2021-12-06,30.07,0.2,0.66957
2021-12-05,29.87,0.12,0.40336
2021-12-02,29.75,0.02,0.06727
2021-12-01,29.73,0.11,0.37137
2021-11-30,29.62,-0.02,-0.06748
2021-11-29,29.64,-0.11,-0.36975
2021-11-28,29.75,0.18,0.60873
2021-11-25,29.57,-0.5,-1.66279
2021-11-23,30.07,0.07,0.23333
2021-11-22,30.0,-0.19,-0.62935
2021-11-21,30.19,0.05,0.16589
2021-11-18,30.14,0.2,0.668
2021-11-17,29.94,-0.16,-0.53156
2021-11-16,30.1,-0.07,-0.23202
