tradeDate,nav,change,changePercent
2022-02-27,21.83,-2.69,-10.97064
2022-02-24,24.52,1.63,7.12101
2022-02-23,22.89,-3.94,-14.68505
2022-02-22,26.83,-0.12,-0.44527
2022-02-21,26.95,0.01,0.03712
2022-02-20,26.94,-1.44,-5.074
2022-02-17,28.38,-0.65,-2.23906
2022-02-16,29.03,-0.65,-2.19003
2022-02-15,29.68,0.33,1.12436
2022-02-14,29.35,0.78,2.73014
2022-02-13,28.57,-0.62,-2.12402
2022-02-10,29.19,-0.63,-2.11268
2022-02-09,29.82,0.1,0.33647
2022-02-08,29.72,0.47,1.60684
2022-02-07,29.25,0.39,1.35135
2022-02-06,28.86,0.07,0.24314
2022-02-03,28.79,0.02,0.06952
2022-02-02,28.77,-0.18,-0.62176
2022-02-01,28.95,0.21,0.73069
2022-01-31,28.74,0.29,1.01933
2022-01-30,28.45,0.41,1.4622
2022-01-27,28.04,-0.13,-0.46148
2022-01-26,28.17,0.56,2.02825
2022-01-25,27.61,0.38,1.39552
2022-01-24,27.23,0.25,0.92661
2022-01-23,26.98,-1.42,-5.0
2022-01-20,28.4,-0.46,-1.5939
2022-01-19,28.86,0.13,0.45249
2022-01-18,28.73,0.45,1.59123
2022-01-17,28.28,-1.01,-3.44828
2022-01-16,29.29,-0.11,-0.37415
2022-01-13,29.4,-0.43,-1.4415
2022-01-12,29.83,-0.63,-2.06829
2022-01-11,30.46,0.36,1.19601
2022-01-10,30.1,0.52,1.75794
2022-01-09,29.58,-0.04,-0.13504
2022-01-06,29.62,0.39,1.33425
2022-01-05,29.23,-0.33,-1.11637
2022-01-04,29.56,-0.26,-0.8719
2022-01-03,29.82,0.15,0.50556
2022-01-02,29.67,0.15,0.50813
2021-12-30,29.52,0.14,0.47651
2021-12-29,29.38,0.05,0.17047
2021-12-28,29.33,-0.01,-0.03408
2021-12-27,29.34,0.09,0.30769
2021-12-26,29.25,0.07,0.23989
2021-12-22,29.18,-0.02,-0.06849
2021-12-21,29.2,0.32,1.10803
2021-12-20,28.88,0.36,1.26227
2021-12-19,28.52,-0.35,-1.21233
2021-12-16,28.87,-0.41,-1.40027
2021-12-15,29.28,0.65,2.27035
2021-12-14,28.63,-0.07,-0.2439
2021-12-13,28.7,-0.04,-0.13918
2021-12-12,28.74,-0.65,-2.21164
2021-12-09,29.39,-0.19,-0.64233
2021-12-08,29.58,0.06,0.20325
2021-12-07,29.52,-0.2,-0.67295
2021-12-06,29.72,0.39,1.3297
2021-12-05,29.33,-0.29,-0.97907
2021-12-02,29.62,-0.26,-0.87015
2021-12-01,29.88,0.06,0.20121
2021-11-30,29.82,0.73,2.50945
2021-11-29,29.09,0.08,0.27577
2021-11-28,29.01,0.35,1.22121
2021-11-25,28.66,-0.95,-3.20838
2021-11-24,29.61,0.09,0.30488
2021-11-23,29.52,-0.07,-0.23657
2021-11-22,29.59,0.29,0.98976
2021-11-21,29.3,-1.16,-3.80827
2021-11-18,30.46,-0.53,-1.71023
2021-11-17,30.99,-0.46,-1.46264
2021-11-16,31.45,0.19,0.60781
2021-11-15,31.26,-0.15,-0.47755
2021-11-14,31.41,0.0,0.0
2021-11-11,31.41,-0.69,-2.14953
2021-11-10,32.1,0.0,0.0
2021-11-09,32.1,-0.16,-0.49597
2021-11-08,32.26,-0.13,-0.40136
2021-11-07,32.39,0.32,0.99782
2021-11-04,32.07,0.16,0.50141
2021-11-03,31.91,0.13,0.40906
2021-11-02,31.78,-0.05,-0.15708
2021-11-01,31.83,0.27,0.85551
2021-10-28,31.56,-0.42,-1.31332
2021-10-27,31.98,-0.07,-0.21841
2021-10-26,32.05,-0.28,-0.86607
2021-10-25,32.33,0.05,0.15489
2021-10-24,32.28,0.33,1.03286
2021-10-21,31.95,0.06,0.18815
2021-10-20,31.89,-0.34,-1.05492
2021-10-19,32.23,0.13,0.40498
2021-10-18,32.1,0.31,0.97515
2021-10-17,31.79,-0.14,-0.43846
2021-10-14,31.93,0.17,0.53526
2021-10-13,31.76,0.17,0.53814
2021-10-12,31.59,-0.14,-0.44122
2021-10-11,31.73,-0.05,-0.15733
2021-10-10,31.78,0.25,0.7929
2021-10-07,31.53,0.08,0.25437
2021-10-06,31.45,0.42,1.35353
2021-10-05,31.03,-0.27,-0.86262
2021-10-04,31.3,0.53,1.72246
2021-10-03,30.77,0.27,0.88525
2021-09-30,30.5,0.06,0.19711
2021-09-29,30.44,0.29,0.96186
2021-09-28,30.15,-0.02,-0.06629
2021-09-27,30.17,-0.29,-0.95207
2021-09-26,30.46,0.21,0.69421
2021-09-23,30.25,-0.21,-0.68943
2021-09-22,30.46,0.03,0.09859
2021-09-21,30.43,0.4,1.332
2021-09-20,30.03,0.08,0.26711
2021-09-19,29.95,-0.65,-2.12418
2021-09-16,30.6,-0.11,-0.35819
2021-09-15,30.71,-0.19,-0.61489
2021-09-14,30.9,0.07,0.22705
2021-09-13,30.83,0.13,0.42345
2021-09-12,30.7,0.21,0.68875
2021-09-09,30.49,0.04,0.13136
2021-09-08,30.45,-0.07,-0.22936
2021-09-07,30.52,-0.14,-0.45662
2021-09-06,30.66,-0.16,-0.51914
2021-09-05,30.82,0.09,0.29287
2021-09-02,30.73,0.03,0.09772
2021-09-01,30.7,0.1,0.3268
2021-08-31,30.6,0.34,1.1236
2021-08-30,30.26,0.24,0.79947
2021-08-29,30.02,0.3,1.00942
2021-08-26,29.72,0.26,0.88255
2021-08-25,29.46,-0.24,-0.80808
2021-08-24,29.7,-0.02,-0.06729
2021-08-23,29.72,0.16,0.54127
2021-08-22,29.56,0.44,1.51099
2021-08-19,29.12,-0.1,-0.34223
2021-08-18,29.22,-0.64,-2.14334
2021-08-17,29.86,-0.11,-0.36703
2021-08-16,29.97,0.2,0.67182
2021-08-15,29.77,0.08,0.26945
2021-08-12,29.69,0.13,0.43978
2021-08-11,29.56,0.1,0.33944
2021-08-10,29.46,0.19,0.64913
2021-08-09,29.27,0.1,0.34282
2021-08-08,29.17,0.15,0.51688
2021-08-05,29.02,-0.28,-0.95563
2021-08-04,29.3,0.14,0.48011
2021-08-03,29.16,0.1,0.34412
2021-08-02,29.06,0.0,0.0
2021-08-01,29.06,0.23,0.79778
2021-07-29,28.83,-0.1,-0.34566
2021-07-28,28.93,0.4,1.40203
2021-07-27,28.53,0.25,0.88402
2021-07-26,28.28,-0.09,-0.31724
2021-07-25,28.37,0.15,0.53154
2021-07-22,28.22,0.0,0.0
2021-07-21,28.22,0.14,0.49858
2021-07-20,28.08,0.29,1.04354
2021-07-19,27.79,0.09,0.32491
2021-07-18,27.7,-0.76,-2.67041
2021-07-15,28.46,-0.08,-0.28031
2021-07-14,28.54,-0.28,-0.97155
2021-07-13,28.82,-0.06,-0.20776
2021-07-12,28.88,0.03,0.10399
2021-07-11,28.85,0.03,0.10409
2021-07-08,28.82,0.23,0.80448
2021-07-07,28.59,-0.3,-1.03842
2021-07-06,28.89,-0.07,-0.24171
2021-07-05,28.96,-0.22,-0.75394
2021-07-04,29.18,0.04,0.13727
2021-07-01,29.14,0.12,0.41351
2021-06-30,29.02,0.04,0.13803
2021-06-29,28.98,-0.06,-0.20661
2021-06-28,29.04,-0.29,-0.98875
2021-06-27,29.33,-0.08,-0.27202
2021-06-24,29.41,0.17,0.5814
2021-06-23,29.24,0.17,0.5848
2021-06-21,29.07,0.15,0.51867
2021-06-20,28.92,0.04,0.1385
2021-06-17,28.88,-0.25,-0.85822
2021-06-16,29.13,-0.33,-1.12016
2021-06-15,29.46,0.07,0.23818
2021-06-14,29.39,-0.25,-0.84345
2021-06-13,29.64,0.1,0.33852
2021-06-10,29.54,-0.06,-0.2027
2021-06-09,29.6,0.16,0.54348
2021-06-08,29.44,0.23,0.7874
2021-06-07,29.21,0.1,0.34352
2021-06-06,29.11,-0.01,-0.03434
2021-06-03,29.12,0.24,0.83102
2021-06-02,28.88,-0.16,-0.55096
2021-06-01,29.04,0.25,0.86836
2021-05-31,28.79,0.24,0.84063
2021-05-30,28.55,0.05,0.17544
2021-05-27,28.5,0.11,0.38746
2021-05-26,28.39,0.19,0.67376
2021-05-25,28.2,0.13,0.46313
2021-05-24,28.07,0.21,0.75377
2021-05-20,27.86,0.02,0.07184
2021-05-19,27.84,0.15,0.54171
2021-05-18,27.69,-0.3,-1.07181
2021-05-17,27.99,0.32,1.15649
2021-05-16,27.67,0.04,0.14477
2021-05-13,27.63,0.1,0.36324
2021-05-11,27.53,-0.2,-0.72124
2021-05-10,27.73,-0.19,-0.68052
2021-05-09,27.92,0.18,0.64888
2021-05-06,27.74,0.37,1.35185
2021-05-05,27.37,0.28,1.03359
2021-05-04,27.09,0.36,1.3468
2021-05-03,26.73,0.08,0.30019
2021-05-02,26.65,0.05,0.18797
2021-04-29,26.6,-0.32,-1.18871
2021-04-28,26.92,0.11,0.41029
2021-04-27,26.81,0.06,0.2243
2021-04-26,26.75,-0.05,-0.18657
2021-04-25,26.8,0.26,0.97965
2021-04-22,26.54,0.04,0.15094
2021-04-21,26.5,0.35,1.33843
2021-04-20,26.15,0.0,0.0
2021-04-19,26.15,-0.11,-0.41889
2021-04-18,26.26,-0.37,-1.38941
2021-04-15,26.63,0.2,0.75672
2021-04-14,26.43,-0.11,-0.41447
2021-04-13,26.54,0.44,1.68582
2021-04-12,26.1,0.11,0.42324
2021-04-11,25.99,0.15,0.5805
2021-04-08,25.84,-0.17,-0.65359
2021-04-07,26.01,0.13,0.50232
2021-04-06,25.88,0.09,0.34897
2021-04-05,25.79,-0.1,-0.38625
2021-03-31,25.89,0.07,0.27111
2021-03-30,25.82,0.12,0.46693
2021-03-29,25.7,-0.08,-0.31032
2021-03-28,25.78,0.19,0.74248
2021-03-25,25.59,0.34,1.34653
2021-03-24,25.25,-0.21,-0.82482
2021-03-23,25.46,-0.01,-0.03926
2021-03-22,25.47,-0.38,-1.47002
2021-03-21,25.85,-0.35,-1.33588
