tradeDate,nav,change,changePercent
2022-09-01,10.3,0.04,0.38986
2022-08-31,10.26,-0.06,-0.5814
2022-08-30,10.32,-0.09,-0.86455
2022-08-29,10.41,-0.07,-0.66794
2022-08-28,10.48,-0.06,-0.56926
2022-08-25,10.54,-0.01,-0.09479
2022-08-24,10.55,0.02,0.18993
2022-08-23,10.53,0.01,0.09506
2022-08-22,10.52,-0.01,-0.09497
2022-08-21,10.53,-0.1,-0.94073
2022-08-18,10.63,-0.07,-0.65421
2022-08-17,10.7,0.0,0.0
2022-08-16,10.7,-0.07,-0.64995
2022-08-15,10.77,-0.01,-0.09276
2022-08-11,10.78,0.03,0.27907
2022-08-10,10.75,0.03,0.27985
2022-08-09,10.72,0.1,0.94162
2022-08-08,10.62,-0.03,-0.28169
2022-08-07,10.65,0.04,0.377
2022-08-04,10.61,-0.01,-0.09416
2022-08-03,10.62,0.04,0.37807
2022-08-02,10.58,0.03,0.28436
2022-08-01,10.55,-0.03,-0.28355
2022-07-31,10.58,0.04,0.37951
2022-07-28,10.54,0.04,0.38095
2022-07-27,10.5,0.08,0.76775
2022-07-26,10.42,0.05,0.48216
2022-07-25,10.37,-0.03,-0.28846
2022-07-24,10.4,0.02,0.19268
2022-07-21,10.38,0.05,0.48403
2022-07-20,10.33,0.07,0.68226
2022-07-19,10.26,0.07,0.68695
2022-07-18,10.19,0.04,0.39409
2022-07-17,10.15,0.04,0.39565
2022-07-14,10.11,0.06,0.59701
2022-07-13,10.05,-0.07,-0.6917
2022-07-12,10.12,-0.04,-0.3937
2022-07-11,10.16,-0.02,-0.19646
2022-07-10,10.18,-0.01,-0.09814
2022-07-07,10.19,0.01,0.09823
2022-07-06,10.18,0.05,0.49358
2022-07-05,10.13,-0.01,-0.09862
2022-07-04,10.14,-0.05,-0.49068
2022-06-30,10.19,0.04,0.39409
2022-06-29,10.15,-0.09,-0.87891
2022-06-28,10.24,-0.06,-0.58252
2022-06-27,10.3,-0.08,-0.77071
2022-06-26,10.38,-0.02,-0.19231
2022-06-23,10.4,0.04,0.3861
2022-06-21,10.36,-0.03,-0.28874
2022-06-20,10.39,0.01,0.09634
2022-06-16,10.38,0.01,0.09643
2022-06-15,10.37,-0.1,-0.95511
2022-06-14,10.47,0.07,0.67308
2022-06-13,10.4,-0.06,-0.57361
2022-06-12,10.46,-0.26,-2.42537
2022-06-09,10.72,-0.12,-1.10701
2022-06-08,10.84,-0.06,-0.55046
2022-06-07,10.9,-0.03,-0.27447
2022-06-06,10.93,-0.02,-0.18265
2022-06-02,10.95,-0.02,-0.18232
2022-06-01,10.97,0.01,0.09124
2022-05-31,10.96,-0.01,-0.09116
2022-05-30,10.97,-0.06,-0.54397
2022-05-26,11.03,0.16,1.47194
2022-05-24,10.87,0.08,0.74143
2022-05-23,10.79,0.02,0.1857
2022-05-22,10.77,0.02,0.18605
2022-05-19,10.75,0.01,0.09311
2022-05-18,10.74,-0.03,-0.27855
2022-05-17,10.77,-0.06,-0.55402
2022-05-16,10.83,-0.01,-0.09225
2022-05-15,10.84,-0.01,-0.09217
2022-05-12,10.85,0.01,0.09225
2022-05-11,10.84,-0.05,-0.45914
2022-05-10,10.89,0.02,0.18399
2022-05-09,10.87,-0.11,-1.00182
2022-05-05,10.98,-0.07,-0.63348
2022-05-04,11.05,-0.04,-0.36069
2022-05-03,11.09,0.01,0.09025
2022-05-02,11.08,0.01,0.09033
2022-05-01,11.07,-0.06,-0.53908
2022-04-28,11.13,-0.11,-0.97865
2022-04-27,11.24,-0.01,-0.08889
2022-04-26,11.25,-0.04,-0.3543
2022-04-25,11.29,-0.01,-0.0885
2022-04-24,11.3,-0.02,-0.17668
2022-04-21,11.32,-0.04,-0.35211
2022-04-20,11.36,-0.04,-0.35088
2022-04-19,11.4,0.02,0.17575
2022-04-18,11.38,-0.05,-0.43745
2022-04-13,11.43,-0.01,-0.08741
2022-04-12,11.44,0.04,0.35088
2022-04-11,11.4,0.0,0.0
2022-04-10,11.4,-0.07,-0.61029
2022-04-07,11.47,-0.03,-0.26087
2022-04-06,11.5,-0.04,-0.34662
2022-04-05,11.54,-0.06,-0.51724
2022-04-04,11.6,-0.05,-0.42918
2022-04-03,11.65,0.03,0.25818
2022-03-31,11.62,-0.01,-0.08598
2022-03-30,11.63,-0.05,-0.42808
2022-03-29,11.68,-0.01,-0.08554
2022-03-28,11.69,0.14,1.21212
2022-03-27,11.55,0.01,0.08666
2022-03-24,11.54,-0.03,-0.25929
2022-03-23,11.57,0.01,0.08651
2022-03-22,11.56,0.0,0.0
2022-03-21,11.56,-0.02,-0.17271
2022-03-20,11.58,-0.04,-0.34423
2022-03-17,11.62,0.03,0.25884
2022-03-16,11.59,0.06,0.52038
2022-03-15,11.53,0.09,0.78671
2022-03-14,11.44,-0.02,-0.17452
2022-03-13,11.46,-0.09,-0.77922
2022-03-10,11.55,-0.02,-0.17286
2022-03-09,11.57,-0.03,-0.25862
2022-03-08,11.6,0.08,0.69444
2022-03-07,11.52,-0.06,-0.51813
2022-03-06,11.58,-0.09,-0.77121
2022-03-03,11.67,-0.08,-0.68085
2022-03-02,11.75,-0.01,-0.08503
2022-03-01,11.76,-0.04,-0.33898
2022-02-28,11.8,0.01,0.08482
2022-02-27,11.79,-0.08,-0.67397
2022-02-24,11.87,0.12,1.02128
2022-02-23,11.75,-0.12,-1.01095
2022-02-22,11.87,-0.03,-0.2521
2022-02-21,11.9,-0.04,-0.33501
2022-02-17,11.94,0.01,0.08382
2022-02-16,11.93,-0.02,-0.16736
2022-02-15,11.95,0.02,0.16764
2022-02-14,11.93,0.02,0.16793
2022-02-13,11.91,-0.06,-0.50125
2022-02-10,11.97,-0.05,-0.41597
2022-02-09,12.02,-0.05,-0.41425
2022-02-08,12.07,0.04,0.3325
2022-02-07,12.03,-0.03,-0.24876
2022-02-06,12.06,-0.02,-0.16556
2022-02-03,12.08,-0.07,-0.57613
2022-02-02,12.15,-0.05,-0.40984
2022-02-01,12.2,0.03,0.24651
2022-01-31,12.17,0.04,0.32976
2022-01-30,12.13,-0.05,-0.41051
2022-01-27,12.18,-0.02,-0.16393
2022-01-26,12.2,-0.03,-0.2453
2022-01-25,12.23,0.0,0.0
2022-01-24,12.23,-0.01,-0.0817
2022-01-23,12.24,-0.04,-0.32573
2022-01-20,12.28,0.0,0.0
2022-01-19,12.28,0.03,0.2449
2022-01-18,12.25,0.02,0.16353
2022-01-17,12.23,-0.07,-0.56911
2022-01-13,12.3,-0.04,-0.32415
2022-01-12,12.34,-0.01,-0.08097
2022-01-11,12.35,0.03,0.24351
2022-01-10,12.32,0.03,0.2441
2022-01-09,12.29,-0.06,-0.48583
2022-01-06,12.35,-0.02,-0.16168
2022-01-05,12.37,-0.04,-0.32232
2022-01-04,12.41,-0.03,-0.24116
2022-01-03,12.44,0.0,0.0
2022-01-02,12.44,-0.01,-0.08032
2021-12-30,12.45,-0.06,-0.47962
2021-12-29,12.51,0.0,0.0
2021-12-28,12.51,-0.01,-0.07987
2021-12-27,12.52,0.0,0.0
2021-12-26,12.52,0.02,0.16
2021-12-22,12.5,0.02,0.16026
2021-12-21,12.48,0.02,0.16051
2021-12-20,12.46,0.02,0.16077
2021-12-19,12.44,-0.03,-0.24058
2021-12-16,12.47,0.0,0.0
2021-12-15,12.47,0.02,0.16064
2021-12-14,12.45,-0.01,-0.08026
2021-12-13,12.46,-0.02,-0.16026
2021-12-12,12.48,0.02,0.16051
2021-12-09,12.46,-0.01,-0.08019
