tradeDate,nav,change,changePercent
2022-09-01,32.56,0.08,0.24631
2022-08-31,32.48,-0.82,-2.46246
2022-08-30,33.3,-0.07,-0.20977
2022-08-29,33.37,0.01,0.02998
2022-08-28,33.36,-0.06,-0.17953
2022-08-25,33.42,-0.74,-2.16628
2022-08-24,34.16,0.32,0.94563
2022-08-23,33.84,0.5,1.4997
2022-08-22,33.34,-0.03,-0.0899
2022-08-21,33.37,-0.95,-2.76807
2022-08-18,34.32,-0.57,-1.63371
2022-08-17,34.89,-0.35,-0.99319
2022-08-16,35.24,-0.38,-1.06682
2022-08-15,35.62,-0.06,-0.16816
2022-08-14,35.68,-0.35,-0.97141
2022-08-11,36.03,-0.08,-0.22155
2022-08-10,36.11,-0.07,-0.19348
2022-08-09,36.18,0.99,2.8133
2022-08-08,35.19,-0.21,-0.59322
2022-08-07,35.4,-0.07,-0.19735
2022-08-04,35.47,-0.56,-1.55426
2022-08-03,36.03,0.22,0.61435
2022-08-02,35.81,0.65,1.84869
2022-08-01,35.16,-0.49,-1.37447
2022-07-31,35.65,-0.17,-0.4746
2022-07-28,35.82,0.47,1.32956
2022-07-27,35.35,0.08,0.22682
2022-07-26,35.27,0.9,2.61856
2022-07-25,34.37,-0.7,-1.99601
2022-07-24,35.07,0.02,0.05706
2022-07-21,35.05,-0.07,-0.19932
2022-07-20,35.12,0.44,1.26874
2022-07-19,34.68,-0.28,-0.80092
2022-07-18,34.96,0.92,2.7027
2022-07-17,34.04,0.39,1.15899
2022-07-14,33.65,0.77,2.34185
2022-07-13,32.88,-0.57,-1.70404
2022-07-12,33.45,0.01,0.0299
2022-07-11,33.44,0.1,0.29994
2022-07-10,33.34,-0.91,-2.65693
2022-07-07,34.25,0.23,0.67607
2022-07-06,34.02,0.62,1.85629
2022-07-05,33.4,0.11,0.33043
2022-07-04,33.29,-0.99,-2.88798
2022-07-03,34.28,-0.33,-0.95348
2022-06-30,34.61,-0.08,-0.23061
2022-06-29,34.69,-0.48,-1.3648
2022-06-28,35.17,-0.7,-1.95149
2022-06-27,35.87,-0.2,-0.55448
2022-06-26,36.07,-0.01,-0.02772
2022-06-23,36.08,0.7,1.97852
2022-06-22,35.38,,
2022-06-21,35.88,-0.33,-0.91135
2022-06-20,36.21,0.21,0.58333
2022-06-19,36.0,0.39,1.0952
2022-06-16,35.61,0.25,0.70701
2022-06-15,35.36,-0.8,-2.21239
2022-06-14,36.16,1.02,2.90268
2022-06-13,35.14,-0.41,-1.15331
2022-06-12,35.55,-1.45,-3.91892
2022-06-09,37.0,-1.01,-2.6572
2022-06-08,38.01,-0.93,-2.38829
2022-06-07,38.94,-0.29,-0.73923
2022-06-06,39.23,0.38,0.97812
2022-06-05,38.85,0.32,0.83052
2022-06-02,38.53,-0.35,-0.90021
2022-06-01,38.88,0.75,1.96696
2022-05-31,38.13,-0.41,-1.06383
2022-05-30,38.54,-0.53,-1.35654
2022-05-29,39.07,0.41,1.06053
2022-05-26,38.66,0.37,0.96631
2022-05-25,38.29,0.72,1.91642
2022-05-24,37.57,0.06,0.15996
2022-05-23,37.51,-0.32,-0.84589
2022-05-22,37.83,0.52,1.39373
2022-05-19,37.31,0.19,0.51185
2022-05-18,37.12,0.35,0.95186
2022-05-17,36.77,-0.43,-1.15591
2022-05-16,37.2,0.82,2.25399
2022-05-15,36.38,0.01,0.0275
2022-05-12,36.37,1.08,3.06036
2022-05-11,35.29,-0.28,-0.78718
