tradeDate,nav,change,changePercent
2022-09-01,14.15,0.32,2.31381
2022-08-31,13.83,-0.56,-3.89159
2022-08-30,14.39,-0.05,-0.34626
2022-08-29,14.44,-0.48,-3.21716
2022-08-25,14.92,-0.69,-4.42024
2022-08-24,15.61,0.19,1.23217
2022-08-23,15.42,0.02,0.12987
2022-08-22,15.4,0.2,1.31579
2022-08-21,15.2,-0.07,-0.45842
2022-08-18,15.27,-0.21,-1.35659
2022-08-17,15.48,-0.13,-0.8328
2022-08-16,15.61,-0.42,-2.62009
2022-08-15,16.03,-0.35,-2.13675
2022-08-11,16.38,0.13,0.8
2022-08-10,16.25,-0.24,-1.45543
2022-08-09,16.49,0.18,1.10362
2022-08-08,16.32,,
2022-08-07,16.31,0.3,1.87383
2022-08-04,16.01,0.11,0.69182
2022-08-03,15.9,0.41,2.64687
2022-08-02,15.49,-0.21,-1.33758
2022-08-01,15.7,-0.2,-1.25786
2022-07-31,15.9,-0.01,-0.06285
2022-07-28,15.91,0.28,1.79143
2022-07-27,15.63,0.31,2.0235
2022-07-26,15.32,0.19,1.25578
2022-07-25,15.13,-0.1,-0.6566
2022-07-24,14.98,,
2022-07-21,15.23,-0.12,-0.78176
2022-07-20,15.35,0.31,2.06117
2022-07-19,15.04,-0.34,-2.21066
2022-07-18,15.38,0.21,1.38431
2022-07-17,15.17,0.14,0.93147
2022-07-14,15.03,-0.15,-0.98814
2022-07-13,15.18,-0.46,-2.94118
2022-07-12,15.64,,
2022-07-11,15.36,-0.22,-1.41207
2022-07-10,15.58,-0.32,-2.01258
2022-07-07,15.9,0.03,0.18904
2022-07-06,15.87,0.24,1.53551
2022-07-05,15.63,-0.32,-2.00627
2022-07-04,15.95,-0.54,-3.27471
2022-07-03,16.49,0.02,0.12143
2022-06-30,16.47,0.35,2.17122
2022-06-29,16.12,-0.49,-2.95003
2022-06-28,16.61,-0.37,-2.17903
2022-06-27,16.98,-0.25,-1.45096
2022-06-26,17.23,-0.3,-1.71135
2022-06-23,17.53,-0.31,-1.73767
2022-06-21,17.84,-0.27,-1.49089
2022-06-20,18.11,0.14,0.77908
2022-06-19,17.97,-0.27,-1.48026
2022-06-16,18.24,-0.1,-0.54526
2022-06-15,18.34,0.54,3.03371
2022-06-14,17.8,0.14,0.79275
2022-06-13,17.66,-0.52,-2.86029
2022-06-12,18.18,-1.12,-5.80311
2022-06-09,19.3,0.66,3.54077
2022-06-08,18.64,-0.74,-3.81837
2022-06-07,19.38,-0.05,-0.25733
2022-06-06,19.43,0.27,1.40919
2022-05-31,19.16,-0.07,-0.36401
2022-05-30,19.23,-0.44,-2.23691
2022-05-29,19.67,0.26,1.33952
2022-05-26,19.41,-0.2,-1.01989
2022-05-24,19.61,0.0,0.0
2022-05-23,19.61,0.26,1.34367
2022-05-22,19.35,0.12,0.62402
2022-05-19,19.23,0.04,0.20844
2022-05-18,19.19,0.87,4.74891
2022-05-17,18.32,-0.4,-2.13675
2022-05-16,18.72,0.14,0.7535
2022-05-15,18.58,0.15,0.81389
2022-05-12,18.43,0.32,1.76698
2022-05-11,18.11,-0.85,-4.48312
2022-05-10,18.96,-0.07,-0.36784
2022-05-09,19.03,-1.54,-7.48663
2022-05-05,20.57,-0.23,-1.10577
2022-05-04,20.8,-0.49,-2.30155
2022-05-03,21.29,0.39,1.86603
2022-05-02,20.9,-0.13,-0.61816
2022-04-28,21.03,0.04,0.19057
2022-04-27,20.99,0.3,1.44998
2022-04-26,20.69,-0.18,-0.86248
