tradeDate,nav,change,changePercent
2022-09-04,11898.5188,-46.9028,-0.39264
2022-09-01,11945.4216,-8.1915,-0.06853
2022-08-31,11953.6131,-140.5752,-1.16234
2022-08-30,12094.1883,-14.4927,-0.11969
2022-08-29,12108.681,-45.9391,-0.37796
2022-08-25,12154.6201,3.0333,0.02496
2022-08-24,12151.5868,49.9215,0.41252
2022-08-23,12101.6653,26.732,0.22138
2022-08-22,12074.9333,-52.3787,-0.43191
2022-08-21,12127.312,34.0844,0.28185
2022-08-18,12093.2276,-7.6379,-0.06312
2022-08-17,12100.8655,-20.1598,-0.16632
2022-08-16,12121.0253,118.1033,0.98395
2022-08-15,12002.922,-0.7009,-0.00584
2022-08-14,12003.6229,38.7464,0.32383
2022-08-11,11964.8765,202.6325,1.72274
2022-08-09,11762.244,48.5743,0.41468
2022-08-08,11713.6697,-149.4843,-1.26007
2022-08-07,11863.154,71.5703,0.60696
2022-08-04,11791.5837,57.9354,0.49375
2022-08-03,11733.6483,-24.6325,-0.20949
2022-08-02,11758.2808,26.2667,0.22389
2022-08-01,11732.0141,-151.6186,-1.27586
2022-07-28,11883.6327,1.758,0.0148
2022-07-27,11881.8747,-85.8164,-0.71707
2022-07-26,11967.6911,93.1179,0.78418
2022-07-25,11874.5732,-34.7549,-0.29183
2022-07-24,11909.3281,-14.8607,-0.12463
2022-07-21,11924.1888,-37.7959,-0.31597
2022-07-20,11961.9847,66.2797,0.55717
2022-07-19,11895.705,135.4042,1.15137
2022-07-18,11760.3008,159.4213,1.37422
2022-07-14,11600.8795,-45.7584,-0.39289
2022-07-13,11646.6379,,
2022-07-12,11621.974,-38.3355,-0.32877
2022-07-11,11660.3095,-155.432,-1.31547
2022-07-10,11815.7415,126.2616,1.08013
2022-07-07,11689.4799,58.5538,0.50343
2022-07-06,11630.9261,173.3212,1.51272
2022-07-05,11457.6049,-100.6524,-0.87083
2022-07-04,11558.2573,-127.3824,-1.09008
2022-07-03,11685.6397,94.5825,0.816
2022-06-30,11591.0572,-57.6638,-0.49502
2022-06-29,11648.721,-272.1568,-2.28303
2022-06-28,11920.8778,-147.999,-1.22629
2022-06-27,12068.8768,285.1017,2.41944
