tradeDate,nav,change,changePercent
2022-09-01,659.59,2.51,0.38199
2022-08-31,657.08,-12.93,-1.92982
2022-08-30,670.01,-1.41,-0.21
2022-08-29,671.42,0.3,0.0447
2022-08-28,671.12,-1.85,-0.2749
2022-08-25,672.97,-0.95,-0.14097
2022-08-24,673.92,3.35,0.49957
2022-08-23,670.57,,
2022-08-22,672.95,-0.09,-0.01337
2022-08-21,673.04,-2.03,-0.30071
2022-08-18,675.07,-4.45,-0.65487
2022-08-17,679.52,1.04,0.15328
2022-08-16,678.48,-1.1,-0.16186
2022-08-15,679.58,-1.21,-0.17773
2022-08-11,680.79,3.91,0.57765
2022-08-10,676.88,-5.72,-0.83797
2022-08-09,682.6,1.92,0.28207
2022-08-08,680.68,-1.46,-0.21403
2022-08-07,682.14,2.64,0.38852
2022-08-04,679.5,-6.33,-0.92297
2022-08-03,685.83,1.99,0.291
2022-08-02,683.84,1.91,0.28009
2022-08-01,681.93,-4.88,-0.71053
2022-07-31,686.81,-6.14,-0.88607
2022-07-28,692.95,2.16,0.31269
2022-07-27,690.79,2.43,0.35301
2022-07-26,688.36,2.52,0.36743
2022-07-25,685.84,0.51,0.07442
2022-07-24,685.33,-1.09,-0.15879
2022-07-21,686.42,4.8,0.7042
2022-07-20,681.62,3.29,0.48501
2022-07-19,678.33,0.64,0.09444
2022-07-18,677.69,-1.4,-0.20616
2022-07-17,679.09,-1.47,-0.216
2022-07-14,680.56,1.98,0.29179
2022-07-13,678.58,-0.69,-0.10158
2022-07-12,679.27,1.69,0.24942
2022-07-11,677.58,1.48,0.2189
2022-07-10,676.1,3.01,0.44719
2022-07-07,673.09,-3.53,-0.52171
2022-07-06,676.62,-2.32,-0.34171
2022-07-05,678.94,-4.45,-0.65117
2022-07-04,683.39,2.49,0.36569
2022-07-03,680.9,-0.42,-0.06165
2022-06-30,681.32,-5.14,-0.74877
2022-06-29,686.46,2.37,0.34645
2022-06-28,684.09,4.55,0.66957
2022-06-27,679.54,0.6,0.08837
2022-06-26,678.94,-3.03,-0.4443
2022-06-23,681.97,1.19,0.1748
2022-06-21,680.78,4.92,0.72796
2022-06-20,675.86,-1.63,-0.24059
2022-06-19,677.49,-0.27,-0.03984
2022-06-16,677.76,2.29,0.33902
2022-06-15,675.47,-0.37,-0.05475
2022-06-14,675.84,5.7,0.85057
2022-06-13,670.14,-3.08,-0.4575
2022-06-12,673.22,-10.6,-1.55012
2022-06-09,683.82,-5.18,-0.75181
2022-06-08,689.0,-0.66,-0.0957
2022-06-07,689.66,-3.89,-0.56088
2022-06-06,693.55,0.73,0.10537
2022-06-02,692.82,-1.04,-0.14989
2022-06-01,693.86,1.07,0.15445
2022-05-31,692.79,-10.39,-1.47757
2022-05-30,703.18,-1.65,-0.2341
2022-05-29,704.83,-1.57,-0.22225
2022-05-26,706.4,1.53,0.21706
2022-05-24,704.87,2.39,0.34022
2022-05-23,702.48,3.42,0.48923
2022-05-22,699.06,-1.79,-0.2554
2022-05-19,700.85,1.88,0.26897
2022-05-18,698.97,1.76,0.25243
2022-05-17,697.21,1.39,0.19976
2022-05-16,695.82,-3.35,-0.47914
2022-05-15,699.17,1.1,0.15758
2022-05-12,698.07,-3.17,-0.45206
2022-05-11,701.24,1.9,0.27168
2022-05-10,699.34,1.51,0.21639
2022-05-09,697.83,4.08,0.58811
2022-05-05,693.75,-1.05,-0.15112
2022-05-04,694.8,-5.59,-0.79813
2022-05-03,700.39,1.98,0.2835
2022-05-02,698.41,1.42,0.20373
2022-05-01,696.99,-12.27,-1.72997
2022-04-28,709.26,-2.66,-0.37364
2022-04-27,711.92,-0.93,-0.13046
2022-04-26,712.85,-1.92,-0.26862
2022-04-25,714.77,1.5,0.2103
2022-04-24,713.27,3.55,0.5002
2022-04-21,709.72,-1.18,-0.16599
2022-04-20,710.9,-3.74,-0.52334
2022-04-19,714.64,2.98,0.41874
2022-04-18,711.66,-4.71,-0.65748
2022-04-13,716.37,-4.62,-0.64079
2022-04-12,720.99,1.38,0.19177
2022-04-11,719.61,2.68,0.37382
2022-04-10,716.93,-2.97,-0.41256
2022-04-07,719.9,-3.51,-0.4852
2022-04-06,723.41,-0.44,-0.06079
2022-04-05,723.85,-1.74,-0.2398
2022-04-04,725.59,-5.65,-0.77266
2022-04-03,731.24,-0.04,-0.00547
2022-03-31,731.28,-9.45,-1.27577
2022-03-30,740.73,2.05,0.27752
2022-03-29,738.68,1.3,0.1763
2022-03-28,737.38,3.03,0.41261
2022-03-27,734.35,1.13,0.15411
