tradeDate,nav,change,changePercent
2022-09-01,10.99,0.03,0.27372
2022-08-31,10.96,-0.1,-0.90416
2022-08-30,11.06,-0.15,-1.33809
2022-08-29,11.21,,
2022-08-28,11.28,0.0,0.0
2022-08-25,11.28,0.0,0.0
2022-08-24,11.28,0.03,0.26667
2022-08-23,11.25,0.0,0.0
2022-08-22,11.25,-0.03,-0.26596
2022-08-21,11.28,-0.1,-0.87873
2022-08-18,11.38,-0.04,-0.35026
2022-08-17,11.42,-0.04,-0.34904
2022-08-16,11.46,-0.06,-0.52083
2022-08-15,11.52,0.01,0.08688
2022-08-11,11.51,0.03,0.26132
2022-08-10,11.48,0.05,0.43745
2022-08-09,11.43,0.0,0.0
2022-08-08,11.43,0.01,0.08757
2022-08-07,11.42,0.03,0.26339
2022-08-04,11.39,0.02,0.1759
2022-08-03,11.37,0.05,0.4417
2022-08-02,11.32,0.02,0.17699
2022-08-01,11.3,0.0,0.0
2022-07-31,11.3,0.04,0.35524
2022-07-28,11.26,0.0,0.0
2022-07-27,11.26,0.04,0.35651
2022-07-26,11.22,0.0,0.0
2022-07-25,11.22,-0.02,-0.17794
2022-07-24,11.24,0.07,0.62668
2022-07-21,11.17,0.07,0.63063
2022-07-20,11.1,0.03,0.271
2022-07-19,11.07,0.15,1.37363
2022-07-18,10.92,0.05,0.45998
2022-07-17,10.87,0.03,0.27675
2022-07-14,10.84,0.0,0.0
2022-07-13,10.84,-0.03,-0.27599
2022-07-12,10.87,0.01,0.09208
2022-07-11,10.86,0.01,0.09217
2022-07-10,10.85,0.04,0.37003
2022-07-07,10.81,0.07,0.65177
2022-07-06,10.74,0.04,0.37383
2022-07-05,10.7,-0.01,-0.09337
2022-07-04,10.71,0.0,0.0
2022-06-30,10.71,0.02,0.18709
2022-06-29,10.69,-0.18,-1.65593
2022-06-28,10.87,-0.08,-0.73059
2022-06-27,10.95,-0.05,-0.45455
2022-06-26,11.0,-0.01,-0.09083
2022-06-23,11.01,-0.07,-0.63177
2022-06-21,11.08,-0.02,-0.18018
2022-06-20,11.1,0.01,0.09017
2022-06-16,11.09,-0.02,-0.18002
2022-06-15,11.11,-0.1,-0.89206
2022-06-14,11.21,0.0,0.0
2022-06-13,11.21,-0.09,-0.79646
2022-06-12,11.3,-0.23,-1.9948
2022-06-09,11.53,-0.11,-0.94502
2022-06-08,11.64,-0.08,-0.68259
2022-06-07,11.72,-0.01,-0.08525
2022-06-06,11.73,-0.01,-0.08518
2022-06-02,11.74,0.0,0.0
2022-06-01,11.74,0.0,0.0
2022-05-31,11.74,0.0,0.0
2022-05-30,11.74,-0.04,-0.33956
2022-05-26,11.78,0.11,0.94259
2022-05-24,11.67,0.01,0.08576
2022-05-23,11.66,-0.04,-0.34188
2022-05-22,11.7,0.0,0.0
2022-05-19,11.7,0.01,0.08554
2022-05-18,11.69,-0.1,-0.84818
2022-05-17,11.79,-0.02,-0.16935
2022-05-16,11.81,0.04,0.33985
2022-05-15,11.77,0.01,0.08503
2022-05-12,11.76,0.03,0.25575
2022-05-11,11.73,-0.01,-0.08518
2022-05-10,11.74,0.09,0.77253
2022-05-09,11.65,-0.07,-0.59727
2022-05-05,11.72,-0.14,-1.18044
2022-05-04,11.86,-0.01,-0.08425
2022-05-03,11.87,-0.07,-0.58626
2022-05-02,11.94,-0.03,-0.25063
2022-05-01,11.97,-0.03,-0.25
2022-04-28,12.0,-0.1,-0.82645
2022-04-27,12.1,-0.02,-0.16502
2022-04-26,12.12,-0.08,-0.65574
2022-04-25,12.2,-0.02,-0.16367
2022-04-24,12.22,-0.06,-0.4886
2022-04-21,12.28,-0.02,-0.1626
2022-04-20,12.3,0.02,0.16287
2022-04-19,12.28,0.0,0.0
2022-04-18,12.28,-0.04,-0.32468
2022-04-13,12.32,0.0,0.0
