tradeDate,nav,change,changePercent
2022-04-24,115.58,0.81,0.70576
2022-04-21,114.77,-0.72,-0.62343
2022-04-20,115.49,-1.09,-0.93498
2022-04-19,116.58,0.57,0.49134
2022-04-18,116.01,-1.33,-1.13346
2022-04-12,117.34,0.47,0.40216
2022-04-11,116.87,0.46,0.39516
2022-04-10,116.41,-0.57,-0.48726
2022-04-07,116.98,-0.83,-0.70452
2022-04-06,117.81,-0.29,-0.24555
2022-04-05,118.1,-0.41,-0.34596
2022-04-04,118.51,-1.32,-1.10156
2022-04-03,119.83,0.76,0.63828
2022-03-31,119.07,-0.26,-0.21788
2022-03-30,119.33,-0.33,-0.27578
2022-03-29,119.66,-0.09,-0.07516
2022-03-28,119.75,1.36,1.14875
2022-03-27,118.39,0.56,0.47526
2022-03-24,117.83,-0.86,-0.72458
2022-03-23,118.69,-0.04,-0.03369
2022-03-22,118.73,-0.2,-0.16817
2022-03-21,118.93,0.23,0.19377
2022-03-20,118.7,-1.07,-0.89338
2022-03-17,119.77,0.01,0.00835
2022-03-16,119.76,0.69,0.57949
2022-03-15,119.07,1.14,0.96668
2022-03-14,117.93,0.51,0.43434
2022-03-13,117.42,-0.82,-0.6935
2022-03-10,118.24,-0.59,-0.49651
2022-03-09,118.83,-0.63,-0.52737
2022-03-08,119.46,0.69,0.58095
2022-03-07,118.77,0.16,0.1349
2022-03-06,118.61,-1.28,-1.06765
2022-03-03,119.89,-0.46,-0.38222
2022-03-02,120.35,-0.27,-0.22384
2022-03-01,120.62,-0.05,-0.04144
2022-02-28,120.67,-0.25,-0.20675
2022-02-27,120.92,0.3,0.24871
2022-02-24,120.62,0.62,0.51667
2022-02-23,120.0,0.68,0.5699
2022-02-22,119.32,-0.37,-0.30913
2022-02-21,119.69,-0.45,-0.37456
2022-02-17,120.14,-0.07,-0.05823
2022-02-16,120.21,-0.21,-0.17439
2022-02-15,120.42,0.31,0.2581
2022-02-14,120.11,0.45,0.37607
2022-02-13,119.66,-0.2,-0.16686
2022-02-10,119.86,-0.23,-0.19152
2022-02-09,120.09,-1.61,-1.32293
2022-02-08,121.7,0.46,0.37941
2022-02-07,121.24,0.04,0.033
2022-02-06,121.2,0.1,0.08258
2022-02-03,121.1,-0.85,-0.69701
2022-02-02,121.95,-1.04,-0.8456
2022-02-01,122.99,-0.14,-0.1137
2022-01-31,123.13,0.45,0.36681
2022-01-30,122.68,0.28,0.22876
2022-01-27,122.4,0.47,0.38547
2022-01-26,121.93,-0.54,-0.44092
2022-01-25,122.47,-0.89,-0.72147
2022-01-24,123.36,-0.38,-0.3071
2022-01-23,123.74,0.31,0.25115
2022-01-20,123.43,-0.22,-0.17792
2022-01-19,123.65,-0.06,-0.0485
2022-01-18,123.71,-0.12,-0.09691
2022-01-17,123.83,-0.84,-0.67378
2022-01-13,124.67,-0.34,-0.27198
2022-01-12,125.01,-0.25,-0.19958
2022-01-11,125.26,-0.03,-0.02394
2022-01-10,125.29,0.48,0.38458
2022-01-09,124.81,-0.03,-0.02403
2022-01-06,124.84,-0.43,-0.34326
2022-01-05,125.27,-0.19,-0.15144
2022-01-04,125.46,-0.91,-0.72011
2022-01-03,126.37,-0.07,-0.05536
2022-01-02,126.44,-0.24,-0.18945
2021-12-29,126.68,0.08,0.06319
2021-12-28,126.6,-0.12,-0.0947
2021-12-27,126.72,-0.25,-0.1969
2021-12-26,126.97,0.5,0.39535
2021-12-21,126.47,0.31,0.24572
2021-12-20,126.16,0.34,0.27023
2021-12-19,125.82,-0.07,-0.0556
2021-12-16,125.89,-0.13,-0.10316
2021-12-15,126.02,0.27,0.21471
2021-12-14,125.75,0.34,0.27111
2021-12-13,125.41,-0.31,-0.24658
2021-12-12,125.72,0.08,0.06367
2021-12-09,125.64,0.44,0.35144
2021-12-08,125.2,-0.3,-0.23904
2021-12-07,125.5,-0.13,-0.10348
2021-12-06,125.63,0.56,0.44775
2021-12-05,125.07,0.42,0.33694
2021-12-02,124.65,0.01,0.00802
2021-12-01,124.64,0.12,0.09637
2021-11-30,124.52,-0.18,-0.14435
2021-11-29,124.7,-0.7,-0.55821
2021-11-28,125.4,0.33,0.26385
2021-11-23,125.07,-0.08,-0.06392
2021-11-22,125.15,-0.1,-0.07984
2021-11-21,125.25,-0.75,-0.59524
2021-11-18,126.0,-0.26,-0.20592
2021-11-17,126.26,0.04,0.03169
2021-11-16,126.22,0.01,0.00792
2021-11-15,126.21,0.0,0.0
2021-11-14,126.21,-0.07,-0.05543
2021-11-11,126.28,0.06,0.04754
2021-11-09,126.22,-1.0,-0.78604
2021-11-08,127.22,-0.01,-0.00786
2021-11-07,127.23,-0.32,-0.25088
2021-11-04,127.55,0.62,0.48846
2021-11-03,126.93,0.62,0.49086
2021-11-02,126.31,0.11,0.08716
2021-11-01,126.2,0.4,0.31797
2021-10-28,125.8,-0.34,-0.26954
2021-10-27,126.14,0.08,0.06346
2021-10-26,126.06,-0.15,-0.11885
2021-10-25,126.21,0.17,0.13488
2021-10-24,126.04,0.15,0.11915
2021-10-21,125.89,-0.02,-0.01588
2021-10-20,125.91,-0.5,-0.39554
2021-10-19,126.41,0.07,0.05541
2021-10-18,126.34,0.27,0.21417
2021-10-17,126.07,-0.23,-0.18211
2021-10-14,126.3,-0.22,-0.17389
2021-10-13,126.52,0.72,0.57234
2021-10-12,125.8,0.2,0.15924
2021-10-11,125.6,-0.42,-0.33328
2021-10-07,126.02,-0.42,-0.33217
2021-10-06,126.44,-0.07,-0.05533
2021-10-05,126.51,-0.09,-0.07109
2021-10-04,126.6,-0.2,-0.15773
2021-10-03,126.8,-0.35,-0.27527
2021-09-30,127.15,0.4,0.31558
2021-09-29,126.75,-0.16,-0.12607
2021-09-28,126.91,0.19,0.14994
2021-09-27,126.72,-0.42,-0.33034
2021-09-26,127.14,-0.16,-0.12569
2021-09-23,127.3,-0.09,-0.07065
2021-09-22,127.39,-0.26,-0.20368
2021-09-21,127.65,0.33,0.25919
2021-09-20,127.32,0.14,0.11008
2021-09-19,127.18,-0.33,-0.2588
2021-09-16,127.51,-0.37,-0.28933
2021-09-15,127.88,-0.16,-0.12496
2021-09-14,128.04,0.13,0.10163
2021-09-13,127.91,0.03,0.02346
2021-09-12,127.88,0.2,0.15664
2021-09-09,127.68,-0.16,-0.12516
2021-09-08,127.84,0.03,0.02347
2021-09-07,127.81,0.22,0.17243
2021-09-06,127.59,-0.29,-0.22678
2021-09-02,127.88,-0.12,-0.09375
2021-09-01,128.0,0.07,0.05472
2021-08-31,127.93,0.1,0.07823
2021-08-30,127.83,-0.05,-0.0391
2021-08-29,127.88,0.18,0.14096
2021-08-26,127.7,0.78,0.61456
2021-08-25,126.92,-0.28,-0.22013
2021-08-24,127.2,0.05,0.03932
2021-08-23,127.15,-0.02,-0.01573
2021-08-22,127.17,0.48,0.37888
2021-08-19,126.69,0.24,0.1898
2021-08-18,126.45,-0.11,-0.08692
2021-08-17,126.56,-0.14,-0.1105
2021-08-16,126.7,-0.37,-0.29118
2021-08-15,127.07,-0.08,-0.06292
2021-08-12,127.15,0.27,0.2128
2021-08-11,126.88,0.22,0.17369
2021-08-10,126.66,0.29,0.22948
2021-08-09,126.37,-0.36,-0.28407
2021-08-08,126.73,-0.28,-0.22046
2021-08-05,127.01,-0.04,-0.03148
2021-08-04,127.05,0.2,0.15767
2021-08-03,126.85,-0.28,-0.22025
2021-08-02,127.13,0.12,0.09448
2021-08-01,127.01,0.05,0.03938
2021-07-29,126.96,-0.21,-0.16513
2021-07-28,127.17,0.02,0.01573
2021-07-27,127.15,0.14,0.11023
2021-07-26,127.01,-0.24,-0.18861
2021-07-25,127.25,-0.15,-0.11774
2021-07-22,127.4,0.25,0.19662
2021-07-21,127.15,0.05,0.03934
2021-07-20,127.1,0.25,0.19708
2021-07-19,126.85,0.45,0.35601
2021-07-18,126.4,-0.34,-0.26827
2021-07-15,126.74,-0.18,-0.14182
2021-07-14,126.92,-0.17,-0.13376
2021-07-13,127.09,0.26,0.205
2021-07-12,126.83,-0.43,-0.33789
2021-07-11,127.26,-0.05,-0.03927
2021-07-08,127.31,0.21,0.16522
2021-07-07,127.1,-0.25,-0.19631
2021-07-06,127.35,-0.05,-0.03925
2021-07-05,127.4,0.31,0.24392
2021-06-30,127.09,0.07,0.05511
2021-06-29,127.02,-0.04,-0.03148
2021-06-28,127.06,0.01,0.00787
2021-06-27,127.05,-0.12,-0.09436
2021-06-24,127.17,0.22,0.1733
2021-06-23,126.95,0.04,0.03152
2021-06-21,126.91,0.38,0.30032
2021-06-20,126.53,0.4,0.31713
2021-06-17,126.13,-0.45,-0.35551
2021-06-16,126.58,-0.08,-0.06316
2021-06-15,126.66,-0.68,-0.534
2021-06-14,127.34,-0.02,-0.0157
2021-06-13,127.36,-0.22,-0.17244
2021-06-10,127.58,0.05,0.03921
2021-06-09,127.53,0.42,0.33042
2021-06-08,127.11,0.13,0.10238
2021-06-07,126.98,0.03,0.02363
2021-06-06,126.95,-0.03,-0.02363
2021-06-03,126.98,0.45,0.35565
2021-06-02,126.53,-0.35,-0.27585
2021-06-01,126.88,0.09,0.07098
2021-05-31,126.79,0.35,0.27681
2021-05-26,126.44,0.07,0.05539
2021-05-25,126.37,0.08,0.06335
2021-05-24,126.29,0.29,0.23016
2021-05-20,126.0,0.01,0.00794
2021-05-19,125.99,0.41,0.32649
2021-05-18,125.58,-0.27,-0.21454
2021-05-17,125.85,-0.11,-0.08733
2021-05-16,125.96,-0.37,-0.29288
2021-05-13,126.33,0.96,0.76573
2021-05-11,125.37,-0.67,-0.53158
2021-05-10,126.04,-0.16,-0.12678
2021-05-09,126.2,-0.26,-0.2056
2021-05-06,126.46,0.35,0.27754
2021-05-05,126.11,-0.13,-0.10298
2021-05-04,126.24,0.1,0.07928
2021-05-03,126.14,-0.19,-0.1504
2021-05-02,126.33,0.2,0.15857
2021-04-29,126.13,-0.08,-0.06339
2021-04-28,126.21,0.21,0.16667
2021-04-27,126.0,0.33,0.26259
2021-04-26,125.67,-0.12,-0.0954
2021-04-25,125.79,0.02,0.0159
2021-04-22,125.77,0.19,0.1513
2021-04-21,125.58,-0.05,-0.0398
2021-04-20,125.63,0.12,0.09561
2021-04-19,125.51,-0.22,-0.17498
2021-04-18,125.73,-0.15,-0.11916
2021-04-15,125.88,-0.08,-0.06351
2021-04-14,125.96,0.49,0.39053
2021-04-13,125.47,-0.01,-0.00797
2021-04-12,125.48,0.26,0.20763
2021-04-11,125.22,-0.18,-0.14354
2021-04-08,125.4,-0.21,-0.16718
2021-04-07,125.61,0.28,0.22341
2021-04-06,125.33,0.07,0.05588
2021-04-05,125.26,0.39,0.31232
2021-03-31,124.87,0.64,0.51517
2021-03-30,124.23,0.34,0.27444
2021-03-29,123.89,-0.14,-0.11288
2021-03-28,124.03,-0.1,-0.08056
2021-03-25,124.13,0.41,0.33139
2021-03-24,123.72,0.16,0.12949
2021-03-23,123.56,-0.01,-0.00809
2021-03-22,123.57,-0.18,-0.14545
2021-03-21,123.75,0.29,0.23489
2021-03-18,123.46,0.24,0.19477
2021-03-17,123.22,-0.87,-0.7011
2021-03-16,124.09,0.46,0.37208
2021-03-15,123.63,-0.15,-0.12118
2021-03-14,123.78,0.11,0.08895
2021-03-11,123.67,-0.31,-0.25004
2021-03-10,123.98,0.29,0.23446
2021-03-09,123.69,0.71,0.57733
2021-03-08,122.98,0.35,0.28541
2021-03-07,122.63,-0.87,-0.70445
2021-03-04,123.5,0.54,0.43917
2021-03-03,122.96,-0.69,-0.55803
2021-03-02,123.65,-0.61,-0.49091
2021-03-01,124.26,-0.16,-0.1286
2021-02-28,124.42,1.08,0.87563
2021-02-25,123.34,0.36,0.29273
2021-02-24,122.98,-1.88,-1.50569
2021-02-23,124.86,0.22,0.17651
2021-02-22,124.64,0.46,0.37043
2021-02-21,124.18,-0.66,-0.52868
2021-02-18,124.84,-0.01,-0.00801
2021-02-17,124.85,-0.24,-0.19186
2021-02-16,125.09,0.06,0.04799
2021-02-15,125.03,-0.24,-0.19159
2021-02-11,125.27,-0.05,-0.0399
2021-02-10,125.32,-0.11,-0.0877
2021-02-09,125.43,0.25,0.19971
2021-02-08,125.18,-0.2,-0.15952
2021-02-07,125.38,0.08,0.06385
2021-02-04,125.3,0.19,0.15187
2021-02-03,125.11,0.48,0.38514
2021-02-02,124.63,0.14,0.11246
2021-02-01,124.49,0.51,0.41136
2021-01-31,123.98,0.38,0.30744
2021-01-28,123.6,-0.04,-0.03235
2021-01-27,123.64,0.11,0.08905
2021-01-26,123.53,-0.51,-0.41116
2021-01-25,124.04,-0.18,-0.1449
2021-01-24,124.22,0.0,0.0
2021-01-21,124.22,-0.32,-0.25695
2021-01-20,124.54,-0.05,-0.04013
2021-01-19,124.59,0.09,0.07229
2021-01-18,124.5,0.41,0.33041
2021-01-14,124.09,-0.31,-0.2492
2021-01-13,124.4,-0.02,-0.01607
2021-01-12,124.42,0.37,0.29827
2021-01-11,124.05,-0.04,-0.03223
2021-01-10,124.09,-0.47,-0.37733
2021-01-07,124.56,0.02,0.01606
2021-01-06,124.54,0.34,0.27375
2021-01-05,124.2,-0.12,-0.09653
2021-01-04,124.32,-0.04,-0.03216
2021-01-03,124.36,-0.33,-0.26466
2020-12-29,124.69,0.21,0.1687
2020-12-28,124.48,-0.23,-0.18443
2020-12-27,124.71,0.46,0.37022
2020-12-22,124.25,0.45,0.36349
2020-12-21,123.8,0.04,0.03232
2020-12-20,123.76,-0.52,-0.41841
2020-12-17,124.28,-0.13,-0.10449
2020-12-16,124.41,0.2,0.16102
2020-12-15,124.21,-0.18,-0.14471
2020-12-14,124.39,0.36,0.29025
2020-12-13,124.03,0.1,0.08069
2020-12-10,123.93,-0.08,-0.06451
2020-12-09,124.01,-0.04,-0.03225
2020-12-08,124.05,-0.19,-0.15293
2020-12-07,124.24,-0.27,-0.21685
2020-12-06,124.51,0.01,0.00803
2020-12-03,124.5,0.45,0.36276
2020-12-02,124.05,0.1,0.08068
2020-12-01,123.95,0.21,0.16971
2020-11-30,123.74,-0.24,-0.19358
2020-11-29,123.98,0.61,0.49445
2020-11-24,123.37,0.15,0.12173
2020-11-23,123.22,0.88,0.71931
2020-11-22,122.34,0.58,0.47635
2020-11-19,121.76,-0.63,-0.51475
2020-11-18,122.39,0.4,0.3279
2020-11-17,121.99,-0.34,-0.27794
2020-11-16,122.33,0.02,0.01635
2020-11-15,122.31,0.84,0.69153
2020-11-12,121.47,0.47,0.38843
2020-11-11,121.0,-0.81,-0.66497
2020-11-09,121.81,0.12,0.09861
2020-11-08,121.69,1.4,1.16385
2020-11-05,120.29,-0.31,-0.25705
2020-11-04,120.6,1.12,0.9374
2020-11-03,119.48,1.19,1.006
2020-11-02,118.29,0.8,0.68091
2020-11-01,117.49,0.21,0.17906
2020-10-29,117.28,-0.21,-0.17874
2020-10-28,117.49,-0.27,-0.22928
2020-10-27,117.76,-1.25,-1.05033
2020-10-26,119.01,-0.09,-0.07557
2020-10-25,119.1,-0.62,-0.51788
2020-10-22,119.72,0.12,0.10033
2020-10-21,119.6,-0.04,-0.03343
2020-10-20,119.64,-0.03,-0.02507
2020-10-19,119.67,0.32,0.26812
2020-10-18,119.35,-0.47,-0.39226
2020-10-15,119.82,-0.16,-0.13336
2020-10-14,119.98,-0.19,-0.15811
2020-10-13,120.17,-0.17,-0.14127
2020-10-12,120.34,0.07,0.0582
2020-10-08,120.27,0.62,0.51818
2020-10-07,119.65,0.43,0.36068
2020-10-06,119.22,0.74,0.62458
2020-10-05,118.48,-0.37,-0.31132
2020-10-04,118.85,0.75,0.63506
2020-10-01,118.1,-0.14,-0.1184
2020-09-30,118.24,0.38,0.32242
2020-09-29,117.86,0.08,0.06792
2020-09-28,117.78,-0.43,-0.36376
2020-09-27,118.21,1.11,0.94791
2020-09-24,117.1,-0.33,-0.28102
2020-09-23,117.43,-0.07,-0.05957
2020-09-22,117.5,-1.19,-1.00261
2020-09-21,118.69,-0.17,-0.14303
2020-09-20,118.86,-0.81,-0.67686
2020-09-17,119.67,-0.28,-0.23343
2020-09-16,119.95,-0.07,-0.05832
2020-09-15,120.02,0.07,0.05836
2020-09-14,119.95,0.47,0.39337
2020-09-13,119.48,0.29,0.24331
2020-09-10,119.19,-0.3,-0.25107
2020-09-09,119.49,-0.24,-0.20045
2020-09-08,119.73,0.66,0.5543
2020-09-07,119.07,-0.73,-0.60935
2020-09-03,119.8,-0.29,-0.24149
2020-09-02,120.09,-0.78,-0.64532
2020-09-01,120.87,0.12,0.09938
2020-08-31,120.75,0.79,0.65855
2020-08-30,119.96,0.16,0.13356
2020-08-27,119.8,0.37,0.3098
2020-08-26,119.43,-0.12,-0.10038
2020-08-25,119.55,0.3,0.25157
2020-08-24,119.25,0.29,0.24378
2020-08-23,118.96,0.29,0.24438
2020-08-20,118.67,0.21,0.17728
2020-08-19,118.46,0.22,0.18606
2020-08-18,118.24,-0.41,-0.34555
2020-08-17,118.65,0.4,0.33827
2020-08-16,118.25,0.6,0.50999
2020-08-13,117.65,-0.17,-0.14429
2020-08-12,117.82,-0.58,-0.48986
2020-08-11,118.4,0.35,0.29648
2020-08-10,118.05,-0.53,-0.44696
2020-08-09,118.58,-0.16,-0.13475
2020-08-06,118.74,-0.02,-0.01684
2020-08-05,118.76,0.23,0.19404
2020-08-04,118.53,0.52,0.44064
2020-08-03,118.01,0.26,0.22081
2020-08-02,117.75,-0.02,-0.01698
2020-07-30,117.77,0.17,0.14456
2020-07-29,117.6,0.2,0.17036
2020-07-28,117.4,0.96,0.82446
2020-07-27,116.44,-0.05,-0.04292
2020-07-26,116.49,0.51,0.43973
2020-07-23,115.98,-0.04,-0.03448
2020-07-22,116.02,-0.34,-0.2922
2020-07-21,116.36,0.23,0.19805
2020-07-20,116.13,0.24,0.20709
2020-07-19,115.89,0.5,0.43331
2020-07-16,115.39,0.49,0.42646
2020-07-15,114.9,-0.15,-0.13038
2020-07-14,115.05,1.32,1.16064
2020-07-13,113.73,0.05,0.04398
2020-07-12,113.68,-0.22,-0.19315
2020-07-09,113.9,0.19,0.16709
2020-07-08,113.71,-0.99,-0.86312
2020-07-07,114.7,0.06,0.05234
2020-07-06,114.64,-0.97,-0.83903
2020-07-05,115.61,1.21,1.05769
2020-06-30,114.4,0.18,0.15759
2020-06-29,114.22,0.89,0.78532
2020-06-28,113.33,-0.3,-0.26401
2020-06-25,113.63,-1.01,-0.88102
2020-06-24,114.64,-0.18,-0.15677
2020-06-23,114.82,-0.76,-0.65755
2020-06-21,115.58,0.06,0.05194
2020-06-18,115.52,-0.87,-0.74749
2020-06-17,116.39,-0.59,-0.50436
2020-06-16,116.98,-0.33,-0.28131
2020-06-15,117.31,-0.06,-0.05112
2020-06-14,117.37,1.3,1.12001
2020-06-11,116.07,0.85,0.73772
2020-06-10,115.22,-2.74,-2.32282
2020-06-09,117.96,-0.31,-0.26211
2020-06-08,118.27,-1.73,-1.44167
2020-06-07,120.0,-0.5,-0.41494
2020-06-04,120.5,2.43,2.0581
2020-06-03,118.07,-0.29,-0.24502
2020-06-02,118.36,0.92,0.78338
2020-06-01,117.44,1.67,1.44252
2020-05-28,115.77,0.76,0.66081
2020-05-27,115.01,0.34,0.2965
2020-05-26,114.67,0.99,0.87087
2020-05-25,113.68,0.47,0.41516
2020-05-19,113.21,1.56,1.39722
2020-05-18,111.65,-0.07,-0.06266
2020-05-17,111.72,1.75,1.59134
2020-05-14,109.97,-0.33,-0.29918
2020-05-13,110.3,0.04,0.03628
2020-05-12,110.26,-1.38,-1.23612
2020-05-11,111.64,-0.02,-0.01791
2020-05-10,111.66,-0.31,-0.27686
2020-05-07,111.97,0.38,0.34053
2020-05-06,111.59,0.77,0.69482
2020-05-05,110.82,-1.0,-0.89429
2020-05-04,111.82,0.23,0.20611
2020-05-03,111.59,-1.52,-1.34382
2020-04-29,113.11,0.05,0.04422
2020-04-28,113.06,1.54,1.38092
2020-04-27,111.52,0.31,0.27875
2020-04-26,111.21,0.42,0.3791
2020-04-23,110.79,-0.65,-0.58327
2020-04-22,111.44,-0.17,-0.15232
2020-04-21,111.61,0.77,0.6947
2020-04-20,110.84,-1.42,-1.26492
2020-04-19,112.26,-2.43,-2.11875
2020-04-16,114.69,0.87,0.76436
2020-04-15,113.82,-0.21,-0.18416
2020-04-14,114.03,-2.08,-1.7914
2020-04-13,116.11,3.51,3.11723
2020-04-07,112.6,2.99,2.72785
2020-04-06,109.61,0.59,0.54119
2020-04-05,109.02,3.22,3.04348
2020-04-02,105.8,-1.74,-1.618
2020-04-01,107.54,-0.08,-0.07434
2020-03-31,107.62,-3.48,-3.13231
2020-03-30,111.1,-1.66,-1.47215
2020-03-29,112.76,0.16,0.1421
2020-03-26,112.6,-1.72,-1.50455
2020-03-25,114.32,3.68,3.3261
2020-03-24,110.64,2.45,2.26453
2020-03-23,108.19,5.28,5.1307
2020-03-22,102.91,-1.94,-1.85026
2020-03-19,104.85,-0.01,-0.00954
2020-03-18,104.86,-1.37,-1.28965
2020-03-17,106.23,-3.77,-3.42727
2020-03-16,110.0,-0.07,-0.0636
2020-03-15,110.07,-4.18,-3.65864
2020-03-12,114.25,1.53,1.35735
2020-03-10,112.72,-3.68,-3.16151
2020-03-09,116.4,-0.06,-0.05152
2020-03-08,116.46,-4.64,-3.83154
2020-03-05,121.1,-1.28,-1.04592
2020-03-04,122.38,-1.6,-1.29053
2020-03-03,123.98,0.81,0.65763
2020-03-02,123.17,-0.14,-0.11353
2020-03-01,123.31,0.33,0.26834
2020-02-27,122.98,0.8,0.65477
2020-02-26,122.18,-1.05,-0.85207
2020-02-25,123.23,-0.08,-0.06488
2020-02-24,123.31,-0.55,-0.44405
2020-02-23,123.86,-1.05,-0.84061
2020-02-20,124.91,-0.14,-0.11196
2020-02-19,125.05,0.09,0.07202
2020-02-18,124.96,0.03,0.02401
2020-02-17,124.93,-0.06,-0.048
2020-02-13,124.99,-0.02,-0.016
2020-02-12,125.01,-0.03,-0.02399
2020-02-11,125.04,0.07,0.05601
2020-02-10,124.97,0.03,0.02401
2020-02-09,124.94,0.28,0.22461
2020-02-06,124.66,-0.04,-0.03208
2020-02-05,124.7,-0.06,-0.04809
2020-02-04,124.76,0.36,0.28939
2020-02-03,124.4,0.35,0.28214
2020-02-02,124.05,-0.19,-0.15293
2020-01-30,124.24,0.24,0.19355
2020-01-28,124.0,0.13,0.10495
2020-01-27,123.87,0.55,0.44599
2020-01-26,123.32,-0.45,-0.36358
2020-01-23,123.77,-0.09,-0.07266
2020-01-22,123.86,-0.12,-0.09679
2020-01-21,123.98,0.02,0.01613
2020-01-20,123.96,-0.05,-0.04032
2020-01-16,124.01,0.07,0.05648
2020-01-15,123.94,0.0,0.0
2020-01-14,123.94,0.07,0.05651
2020-01-13,123.87,0.02,0.01615
2020-01-12,123.85,-0.02,-0.01615
2020-01-09,123.87,-0.01,-0.00807
2020-01-08,123.88,0.27,0.21843
2020-01-07,123.61,-0.07,-0.0566
2020-01-06,123.68,-0.18,-0.14533
2020-01-05,123.86,0.0,0.0
2020-01-02,123.86,0.02,0.01615
2020-01-01,123.84,0.23,0.18607
2019-12-29,123.61,-0.05,-0.04043
2019-12-26,123.66,0.74,0.60202
2019-12-22,122.92,-0.01,-0.00813
2019-12-19,122.93,0.14,0.11402
2019-12-18,122.79,0.03,0.02444
2019-12-17,122.76,0.05,0.04075
2019-12-16,122.71,0.05,0.04076
2019-12-15,122.66,0.19,0.15514
2019-12-12,122.47,0.43,0.35234
2019-12-11,122.04,-0.09,-0.07369
2019-12-10,122.13,0.37,0.30388
2019-12-09,121.76,-0.14,-0.11485
2019-12-08,121.9,-0.22,-0.18015
2019-12-05,122.12,0.14,0.11477
2019-12-04,121.98,-0.16,-0.131
2019-12-03,122.14,0.02,0.01638
2019-12-02,122.12,0.32,0.26273
2019-12-01,121.8,-0.23,-0.18848
2019-11-26,122.03,-0.07,-0.05733
2019-11-25,122.1,0.3,0.24631
2019-11-24,121.8,0.5,0.4122
2019-11-21,121.3,0.32,0.26451
2019-11-20,120.98,-0.13,-0.10734
2019-11-19,121.11,-0.09,-0.07426
2019-11-18,121.2,-0.24,-0.19763
2019-11-17,121.44,0.0,0.0
2019-11-14,121.44,0.1,0.08241
2019-11-13,121.34,0.23,0.18991
2019-11-12,121.11,0.0,0.0
2019-11-11,121.11,-0.03,-0.02476
2019-11-07,121.14,-0.16,-0.1319
2019-11-06,121.3,-0.33,-0.27131
2019-11-05,121.63,0.05,0.04113
2019-11-04,121.58,-0.35,-0.28705
2019-11-03,121.93,0.41,0.33739
2019-10-30,121.52,0.19,0.1566
2019-10-29,121.33,0.21,0.17338
2019-10-28,121.12,-0.1,-0.08249
2019-10-27,121.22,-0.06,-0.04947
2019-10-24,121.28,-0.04,-0.03297
2019-10-23,121.32,-0.02,-0.01648
2019-10-22,121.34,0.12,0.09899
2019-10-21,121.22,-0.01,-0.00825
2019-10-20,121.23,0.1,0.08256
2019-10-17,121.13,0.17,0.14054
2019-10-16,120.96,0.01,0.00827
2019-10-15,120.95,0.24,0.19882
2019-10-14,120.71,0.2,0.16596
2019-10-10,120.51,0.25,0.20788
2019-10-09,120.26,-0.11,-0.09138
2019-10-08,120.37,0.02,0.01662
2019-10-07,120.35,-0.22,-0.18247
2019-10-06,120.57,-0.34,-0.2812
2019-10-03,120.91,0.56,0.46531
2019-10-02,120.35,0.36,0.30003
2019-10-01,119.99,-0.3,-0.2494
2019-09-30,120.29,0.01,0.00831
2019-09-29,120.28,0.44,0.36716
2019-09-26,119.84,-0.19,-0.15829
2019-09-25,120.03,0.04,0.03334
2019-09-24,119.99,-0.18,-0.14979
2019-09-23,120.17,0.11,0.09162
2019-09-22,120.06,0.16,0.13344
2019-09-19,119.9,0.17,0.14199
2019-09-18,119.73,-0.25,-0.20837
2019-09-17,119.98,-0.11,-0.0916
2019-09-16,120.09,0.13,0.10837
2019-09-15,119.96,0.31,0.25909
2019-09-12,119.65,-0.37,-0.30828
2019-09-11,120.02,-0.05,-0.04164
2019-09-10,120.07,0.16,0.13343
2019-09-09,119.91,-0.4,-0.33247
2019-09-08,120.31,-0.19,-0.15768
2019-09-05,120.5,0.22,0.18291
2019-09-04,120.28,-0.01,-0.00831
2019-09-03,120.29,0.33,0.27509
2019-09-02,119.96,-0.05,-0.04166
2019-08-29,120.01,0.08,0.06671
2019-08-28,119.93,0.29,0.24239
2019-08-27,119.64,0.42,0.35229
2019-08-26,119.22,0.05,0.04196
2019-08-25,119.17,0.42,0.35368
2019-08-22,118.75,-0.47,-0.39423
2019-08-21,119.22,-0.08,-0.06706
2019-08-20,119.3,0.27,0.22683
2019-08-19,119.03,-0.04,-0.03359
2019-08-18,119.07,0.15,0.12614
2019-08-15,118.92,1.24,1.0537
2019-08-13,117.68,-0.91,-0.76735
2019-08-12,118.59,0.55,0.46594
2019-08-11,118.04,-0.19,-0.1607
2019-08-08,118.23,-0.48,-0.40435
