tradeDate,nav,change,changePercent
2022-09-01,114.1344,-0.2911,-0.2544
2022-08-31,114.4255,-0.9283,-0.80474
2022-08-30,115.3538,,
2022-08-29,116.2687,0.118,0.10159
2022-08-28,116.1507,-2.2453,-1.89643
2022-08-25,118.396,1.0227,0.87132
2022-08-24,117.3733,-0.0471,-0.04011
2022-08-23,117.4204,0.183,0.15609
2022-08-22,117.2374,-0.8117,-0.6876
2022-08-21,118.0491,-1.5588,-1.30326
2022-08-18,119.6079,-0.8452,-0.70168
2022-08-17,120.4531,-0.6068,-0.50124
2022-08-16,121.0599,-0.8186,-0.67165
2022-08-15,121.8785,,
2022-08-14,121.748,0.4995,0.41196
2022-08-11,121.2485,-0.08,-0.06594
2022-08-10,121.3285,1.8965,1.58793
2022-08-09,119.432,-0.2732,-0.22823
2022-08-08,119.7052,-0.4533,-0.37725
2022-08-07,120.1585,0.6225,0.52076
2022-08-04,119.536,0.1927,0.16147
2022-08-03,119.3433,0.7173,0.60467
2022-08-02,118.626,0.3692,0.3122
2022-08-01,118.2568,-0.5127,-0.43168
2022-07-31,118.7695,0.5715,0.48351
2022-07-28,118.198,1.1005,0.93982
2022-07-27,117.0975,0.9563,0.82339
2022-07-26,116.1412,-0.5789,-0.49597
2022-07-25,116.7201,0.2024,0.17371
2022-07-24,116.5177,-0.558,-0.47661
2022-07-21,117.0757,0.4277,0.36666
2022-07-20,116.648,0.7091,0.61162
2022-07-19,115.9389,1.0558,0.91902
2022-07-18,114.8831,0.3202,0.2795
2022-07-17,114.5629,1.0223,0.90038
2022-07-14,113.5406,-0.2914,-0.25599
2022-07-13,113.832,-0.0577,-0.05066
2022-07-12,113.8897,-1.0675,-0.92861
2022-07-11,114.9572,-1.5151,-1.30082
2022-07-10,116.4723,-0.4249,-0.36348
2022-07-07,116.8972,0.8573,0.7388
2022-07-06,116.0399,0.1186,0.10231
2022-07-05,115.9213,0.5383,0.46653
2022-07-04,115.383,-0.8311,-0.71515
2022-07-03,116.2141,0.683,0.59118
2022-06-30,115.5311,-0.5481,-0.47218
2022-06-29,116.0792,-2.5299,-2.13297
2022-06-28,118.6091,-1.5944,-1.32642
2022-06-27,120.2035,0.1059,0.08818
2022-06-26,120.0976,2.1364,1.8111
2022-06-23,117.9612,0.5772,0.49172
2022-06-22,117.384,,
2022-06-21,117.4954,-0.1169,-0.09939
2022-06-20,117.6123,0.5813,0.49671
2022-06-19,117.031,0.2884,0.24704
2022-06-16,116.7426,-1.1445,-0.97084
2022-06-15,117.8871,-0.4954,-0.41847
2022-06-14,118.3825,0.4932,0.41836
2022-06-13,117.8893,-2.3504,-1.95476
2022-06-12,120.2397,-3.0241,-2.45336
2022-06-09,123.2638,-2.8935,-2.29357
2022-06-08,126.1573,-0.3766,-0.29763
2022-06-07,126.5339,1.2901,1.03007
2022-06-06,125.2438,-0.4499,-0.35793
2022-06-05,125.6937,-0.1788,-0.14205
2022-06-02,125.8725,1.1177,0.89592
2022-06-01,124.7548,-0.5674,-0.45275
2022-05-31,125.3222,0.083,0.06627
2022-05-30,125.2392,0.2227,0.17814
2022-05-29,125.0165,1.4659,1.18648
2022-05-26,123.5506,2.0271,1.66807
2022-05-25,121.5235,0.5395,0.44593
2022-05-24,120.984,-1.1495,-0.94118
2022-05-23,122.1335,-0.3244,-0.26491
2022-05-22,122.4579,0.2119,0.17334
2022-05-19,122.246,1.6096,1.33426
2022-05-18,120.6364,-2.0087,-1.63782
2022-05-17,122.6451,0.5998,0.49146
2022-05-16,122.0453,0.7719,0.6365
2022-05-15,121.2734,1.5598,1.30294
