tradeDate,nav,change,changePercent
2022-08-31,0.9538,-0.0074,-0.76987
2022-08-30,0.9612,-0.0024,-0.24907
2022-08-29,0.9636,-0.0007,-0.07259
2022-08-28,0.9643,-0.0041,-0.42338
2022-08-25,0.9684,-0.0005,-0.0516
2022-08-24,0.9689,0.0034,0.35215
2022-08-23,0.9655,-0.0032,-0.33034
2022-08-22,0.9687,-0.0014,-0.14432
2022-08-21,0.9701,-0.003,-0.30829
2022-08-18,0.9731,-0.0057,-0.58235
2022-08-17,0.9788,0.0001,0.01022
2022-08-16,0.9787,-0.0055,-0.55883
2022-08-15,0.9842,-0.0013,-0.13191
2022-08-14,0.9855,0.0021,0.21354
2022-08-11,0.9834,0.0025,0.25487
2022-08-10,0.9809,-0.0047,-0.47687
2022-08-09,0.9856,0.0003,0.03045
2022-08-08,0.9853,-0.0021,-0.21268
2022-08-07,0.9874,0.0036,0.36593
2022-08-04,0.9838,-0.01,-1.00624
2022-08-03,0.9938,0.0026,0.26231
2022-08-02,0.9912,0.0028,0.28329
2022-08-01,0.9884,-0.0046,-0.46324
2022-07-28,0.993,0.0012,0.12099
2022-07-27,0.9918,0.0065,0.6597
2022-07-26,0.9853,0.0016,0.16265
2022-07-25,0.9837,0.0009,0.09158
2022-07-24,0.9828,-0.0025,-0.25373
2022-07-21,0.9853,0.0071,0.72582
2022-07-20,0.9782,0.0057,0.58612
2022-07-19,0.9725,-0.0002,-0.02056
2022-07-18,0.9727,-0.0029,-0.29725
2022-07-17,0.9756,-0.0017,-0.17395
2022-07-14,0.9773,0.002,0.20507
2022-07-13,0.9753,-0.0026,-0.26588
2022-07-12,0.9779,0.0012,0.12286
2022-07-11,0.9767,0.0016,0.16409
2022-07-10,0.9751,0.0045,0.46363
2022-07-07,0.9706,-0.004,-0.41042
2022-07-06,0.9746,-0.003,-0.30687
2022-07-05,0.9776,-0.0042,-0.42779
2022-07-04,0.9818,0.0038,0.38855
2022-06-30,0.978,0.007,0.72091
2022-06-29,0.971,0.0057,0.59049
2022-06-28,0.9653,0.0049,0.5102
2022-06-27,0.9604,0.0,0.0
2022-06-26,0.9604,-0.0031,-0.32174
2022-06-23,0.9635,-0.002,-0.20715
2022-06-22,0.9655,0.0041,0.42646
2022-06-21,0.9614,,
2022-06-20,0.9526,-0.0034,-0.35565
2022-06-16,0.956,0.002,0.20964
2022-06-15,0.954,0.0033,0.34711
2022-06-14,0.9507,0.0065,0.68841
2022-06-13,0.9442,-0.0063,-0.66281
2022-06-12,0.9505,-0.0168,-1.73679
2022-06-09,0.9673,-0.0064,-0.65729
2022-06-08,0.9737,-0.0029,-0.29695
2022-06-07,0.9766,-0.0034,-0.34694
2022-06-06,0.98,-0.0042,-0.42674
2022-06-02,0.9842,-0.0021,-0.21292
2022-06-01,0.9863,0.0008,0.08118
2022-05-31,0.9855,-0.0015,-0.15198
2022-05-30,0.987,-0.0044,-0.44382
2022-05-26,0.9914,0.0025,0.25281
2022-05-25,0.9889,0.002,0.20265
2022-05-24,0.9869,0.0054,0.55018
2022-05-23,0.9815,0.0094,0.96698
2022-05-22,0.9721,-0.0015,-0.15407
2022-05-19,0.9736,0.0044,0.45398
2022-05-18,0.9692,0.0022,0.22751
2022-05-17,0.967,0.0022,0.22803
2022-05-16,0.9648,-0.0061,-0.62828
2022-05-15,0.9709,0.0014,0.1444
2022-05-12,0.9695,-0.0056,-0.5743
2022-05-11,0.9751,0.0005,0.0513
2022-05-10,0.9746,0.0025,0.25718
2022-05-09,0.9721,0.0002,0.02058
2022-05-08,0.9719,0.0011,0.11331
2022-05-05,0.9708,-0.0051,-0.52259
2022-05-04,0.9759,-0.0083,-0.84332
2022-05-03,0.9842,0.0016,0.16283
2022-05-02,0.9826,-0.006,-0.60692
2022-04-28,0.9886,-0.0033,-0.33269
2022-04-27,0.9919,-0.002,-0.20123
2022-04-26,0.9939,-0.0037,-0.37089
2022-04-25,0.9976,0.003,0.30163
2022-04-24,0.9946,0.0026,0.2621
2022-04-21,0.992,-0.001,-0.1007
2022-04-20,0.993,-0.0038,-0.38122
2022-04-19,0.9968,0.004,0.4029
2022-04-18,0.9928,-0.0089,-0.88849
2022-04-13,1.0017,-0.0068,-0.67427
2022-04-12,1.0085,0.0007,0.06946
2022-04-11,1.0078,0.0016,0.15901
2022-04-10,1.0062,-0.0053,-0.52397
2022-04-07,1.0115,-0.0039,-0.38409
2022-04-06,1.0154,-0.0032,-0.31416
