tradeDate,nav,change,changePercent
2022-09-04,41.18,-0.03,-0.0728
2022-09-01,41.21,,
2022-08-31,41.28,-0.57,-1.36201
2022-08-30,41.85,,
2022-08-29,41.85,0.47,1.13581
2022-08-28,41.38,-0.87,-2.05917
2022-08-25,42.25,0.04,0.09476
2022-08-24,42.21,0.29,0.69179
2022-08-23,41.92,,
2022-08-22,41.93,-0.49,-1.15512
2022-08-21,42.42,-0.15,-0.35236
2022-08-18,42.57,0.1,0.23546
2022-08-17,42.47,-0.34,-0.79421
2022-08-16,42.81,0.52,1.22961
2022-08-15,42.29,,
2022-08-11,42.25,0.79,1.90545
2022-08-10,41.46,0.0,0.0
2022-08-09,41.46,,
2022-08-08,41.46,-0.15,-0.36049
2022-08-07,41.61,0.07,0.16851
2022-08-04,41.54,0.21,0.50811
2022-08-03,41.33,-0.06,-0.14496
2022-08-02,41.39,0.17,0.41242
2022-08-01,41.22,-0.75,-1.78699
2022-07-31,41.97,0.28,0.67162
2022-07-28,41.69,-0.08,-0.19153
2022-07-27,41.77,0.04,0.09585
2022-07-26,41.73,-0.04,-0.09576
2022-07-25,41.77,-0.05,-0.11956
2022-07-24,41.82,-0.29,-0.68867
2022-07-21,42.11,0.2,0.47721
2022-07-20,41.91,0.1,0.23918
2022-07-19,41.81,0.99,2.42528
2022-07-18,40.82,-0.2,-0.48757
2022-07-17,41.02,0.53,1.30897
2022-07-14,40.49,-0.06,-0.14797
2022-07-13,40.55,0.12,0.29681
2022-07-12,40.43,0.07,0.17344
2022-07-11,40.36,-0.76,-1.84825
2022-07-10,41.12,0.53,1.30574
2022-07-07,40.59,0.16,0.39575
2022-07-06,40.43,0.61,1.53189
2022-07-05,39.82,-0.61,-1.50878
2022-07-04,40.43,0.22,0.54713
2022-07-03,40.21,0.55,1.38679
2022-06-30,39.66,-0.65,-1.6125
2022-06-29,40.31,-0.44,-1.07975
2022-06-28,40.75,-0.19,-0.46409
2022-06-27,40.94,0.42,1.03653
2022-06-26,40.52,0.39,0.97184
2022-06-23,40.13,0.51,1.28723
2022-06-21,39.62,-0.16,-0.40221
2022-06-20,39.78,0.84,2.15716
2022-06-19,38.94,-0.47,-1.19259
2022-06-16,39.41,-0.11,-0.27834
2022-06-15,39.52,-0.46,-1.15058
2022-06-14,39.98,-0.52,-1.28395
2022-06-13,40.5,-0.46,-1.12305
2022-06-12,40.96,-0.93,-2.2201
2022-06-09,41.89,-0.6,-1.4121
2022-06-08,42.49,0.04,0.09423
2022-06-07,42.45,0.48,1.14367
2022-06-06,41.97,0.25,0.59923
2022-06-02,41.72,0.14,0.3367
2022-06-01,41.58,-0.24,-0.57389
2022-05-31,41.82,0.56,1.35725
2022-05-30,41.26,-0.15,-0.36223
2022-05-29,41.41,0.68,1.66953
2022-05-26,40.73,0.34,0.84179
2022-05-24,40.39,-0.08,-0.19768
2022-05-23,40.47,-0.37,-0.90597
2022-05-22,40.84,0.48,1.1893
2022-05-19,40.36,0.37,0.92523
2022-05-18,39.99,-0.47,-1.16164
2022-05-17,40.46,0.26,0.64677
2022-05-16,40.2,0.21,0.52513
2022-05-15,39.99,-0.24,-0.59657
2022-05-12,40.23,0.45,1.13122
2022-05-11,39.78,-0.54,-1.33929
2022-05-10,40.32,-0.41,-1.00663
2022-05-09,40.73,-0.87,-2.09135
2022-05-05,41.6,-0.39,-0.92879
2022-05-04,41.99,0.82,1.99174
2022-05-03,41.17,-0.01,-0.02428
2022-05-02,41.18,0.0,0.0
2022-05-01,41.18,-0.16,-0.38703
2022-04-28,41.34,0.32,0.78011
2022-04-27,41.02,0.87,2.16687
2022-04-26,40.15,-0.38,-0.93758
2022-04-25,40.53,0.08,0.19778
2022-04-24,40.45,-0.6,-1.46163
2022-04-21,41.05,-0.39,-0.94112
2022-04-20,41.44,0.37,0.9009
2022-04-19,41.07,0.51,1.2574
2022-04-18,40.56,-0.22,-0.53948
2022-04-13,40.78,0.32,0.7909
2022-04-12,40.46,0.65,1.63276
2022-04-11,39.81,-0.75,-1.84911
2022-04-10,40.56,-0.13,-0.31949
2022-04-07,40.69,0.04,0.0984
2022-04-06,40.65,-0.69,-1.66909
2022-04-05,41.34,-0.68,-1.61828
2022-04-04,42.02,-0.13,-0.30842
2022-04-03,42.15,0.2,0.47676
2022-03-31,41.95,-0.15,-0.35629
2022-03-30,42.1,-0.57,-1.33583
2022-03-29,42.67,-0.06,-0.14042
2022-03-28,42.73,0.36,0.84966
2022-03-27,42.37,-0.22,-0.51655
2022-03-24,42.59,0.04,0.09401
2022-03-23,42.55,0.21,0.49598
2022-03-22,42.34,0.65,1.55913
2022-03-21,41.69,0.0,0.0
2022-03-20,41.69,0.52,1.26306
2022-03-17,41.17,0.36,0.88214
2022-03-16,40.81,0.76,1.89763
2022-03-15,40.05,0.95,2.42967
2022-03-14,39.1,0.27,0.69534
2022-03-13,38.83,-0.12,-0.30809
2022-03-10,38.95,0.1,0.2574
2022-03-09,38.85,0.95,2.5066
2022-03-08,37.9,0.31,0.82469
2022-03-07,37.59,-0.72,-1.8794
2022-03-06,38.31,-1.23,-3.11077
2022-03-03,39.54,-0.8,-1.98314
2022-03-02,40.34,0.48,1.20421
2022-03-01,39.86,-1.01,-2.47125
2022-02-28,40.87,0.27,0.66502
2022-02-27,40.6,0.22,0.54482
2022-02-24,40.38,0.34,0.84915
2022-02-23,40.04,-0.57,-1.4036
2022-02-22,40.61,-0.35,-0.85449
2022-02-21,40.96,-0.31,-0.75115
2022-02-20,41.27,-0.35,-0.84094
2022-02-17,41.62,-0.24,-0.57334
2022-02-16,41.86,-0.28,-0.66445
2022-02-15,42.14,0.1,0.23787
2022-02-14,42.04,0.23,0.55011
2022-02-13,41.81,-0.28,-0.66524
2022-02-10,42.09,-0.57,-1.33615
2022-02-09,42.66,0.12,0.28209
2022-02-08,42.54,0.43,1.02114
2022-02-07,42.11,0.1,0.23804
2022-02-06,42.01,-0.13,-0.3085
2022-02-03,42.14,0.34,0.8134
2022-02-02,41.8,-0.15,-0.35757
2022-02-01,41.95,0.84,2.0433
2022-01-31,41.11,-0.28,-0.67649
2022-01-30,41.39,0.61,1.49583
2022-01-27,40.78,-0.13,-0.31777
2022-01-26,40.91,-1.19,-2.8266
2022-01-25,42.1,0.19,0.45335
2022-01-24,41.91,-0.74,-1.73505
2022-01-23,42.65,0.07,0.1644
2022-01-20,42.58,-0.12,-0.28103
2022-01-19,42.7,0.07,0.1642
2022-01-18,42.63,-0.92,-2.11251
2022-01-17,43.55,-0.18,-0.41162
2022-01-16,43.73,0.16,0.36723
2022-01-13,43.57,-0.63,-1.42534
2022-01-12,44.2,-0.4,-0.89686
2022-01-11,44.6,0.79,1.80324
2022-01-10,43.81,-0.08,-0.18227
2022-01-09,43.89,-0.01,-0.02278
2022-01-06,43.9,-0.15,-0.34052
2022-01-05,44.05,-0.81,-1.80562
2022-01-04,44.86,0.42,0.94509
2022-01-03,44.44,0.67,1.53073
2021-12-30,43.77,0.0,0.0
