tradeDate,nav,change,changePercent
2022-09-01,277.15,2.0,0.72688
2022-08-31,275.15,,
2022-08-30,281.18,-1.84,-0.65013
2022-08-29,283.02,0.46,0.1628
2022-08-28,282.56,-11.18,-3.80609
2022-08-25,293.74,1.29,0.4411
2022-08-24,292.45,3.27,1.13078
2022-08-23,289.18,-1.03,-0.35492
2022-08-22,290.21,-2.17,-0.74218
2022-08-21,292.38,-6.59,-2.20423
2022-08-18,298.97,-3.46,-1.14407
2022-08-17,302.43,-0.74,-0.24409
2022-08-16,303.17,-0.95,-0.31238
2022-08-15,304.12,1.79,0.59207
2022-08-11,302.33,-0.19,-0.06281
2022-08-10,302.52,2.67,0.89045
2022-08-09,299.85,5.58,1.89622
2022-08-08,294.27,-5.89,-1.96229
2022-08-07,300.16,3.63,1.22416
2022-08-04,296.53,-2.43,-0.81282
2022-08-03,298.96,3.85,1.3046
2022-08-02,295.11,-0.4,-0.13536
2022-08-01,295.51,-1.76,-0.59205
2022-07-31,297.27,1.11,0.3748
2022-07-28,296.16,5.7,1.9624
2022-07-27,290.46,7.05,2.48756
2022-07-26,283.41,2.11,0.75009
2022-07-25,281.3,-0.42,-0.14908
2022-07-24,281.72,-2.22,-0.78186
2022-07-21,283.94,2.84,1.01032
2022-07-20,281.1,5.41,1.96235
2022-07-19,275.69,3.95,1.4536
2022-07-18,271.74,2.22,0.82369
2022-07-17,269.52,5.54,2.09864
2022-07-14,263.98,4.89,1.88738
2022-07-13,259.09,-2.16,-0.82679
2022-07-12,261.25,-6.29,-2.35105
2022-07-11,267.54,-0.32,-0.11947
2022-07-10,267.86,-1.13,-0.42009
2022-07-07,268.99,-1.76,-0.65005
2022-07-06,270.75,4.97,1.86997
2022-07-05,265.78,5.33,2.04646
2022-07-04,260.45,-6.3,-2.36176
2022-06-30,266.75,4.54,1.73144
2022-06-29,262.21,-3.21,-1.2094
2022-06-28,265.42,-9.04,-3.29374
2022-06-27,274.46,1.97,0.72296
2022-06-26,272.49,3.13,1.16201
2022-06-23,269.36,9.37,3.60398
2022-06-21,259.99,-2.91,-1.10688
2022-06-20,262.9,3.91,1.50971
2022-06-16,258.99,-0.12,-0.04631
2022-06-15,259.11,-6.89,-2.59023
2022-06-14,266.0,0.7,0.26385
2022-06-13,265.3,-3.07,-1.14394
2022-06-12,268.37,-10.76,-3.85483
2022-06-09,279.13,-12.12,-4.16137
2022-06-08,291.25,-4.54,-1.53487
2022-06-07,295.79,2.14,0.72876
2022-06-06,293.65,-2.47,-0.83412
2022-06-02,296.12,4.0,1.3693
2022-06-01,292.12,-1.83,-0.62255
2022-05-31,293.95,0.93,0.31738
2022-05-30,293.02,-0.51,-0.17375
2022-05-26,293.53,12.66,4.50742
2022-05-24,280.87,-0.25,-0.08893
2022-05-23,281.12,-1.23,-0.43563
2022-05-22,282.35,0.54,0.19162
2022-05-19,281.81,5.53,2.00159
2022-05-18,276.28,-4.98,-1.7706
2022-05-17,281.26,-1.0,-0.35428
2022-05-16,282.26,5.69,2.05735
2022-05-15,276.57,-1.64,-0.58948
2022-05-12,278.21,8.19,3.03311
2022-05-11,270.02,-7.83,-2.81807
2022-05-10,277.85,-0.63,-0.22623
2022-05-09,278.48,-4.17,-1.47532
2022-05-05,282.65,-12.36,-4.18969
2022-05-04,295.01,3.77,1.29447
2022-05-03,291.24,-0.21,-0.07205
2022-05-02,291.45,-0.19,-0.06515
2022-05-01,291.64,-8.18,-2.7283
2022-04-28,299.82,5.71,1.94145
2022-04-27,294.11,1.23,0.41997
2022-04-26,292.88,-2.02,-0.68498
2022-04-25,294.9,1.88,0.64159
2022-04-24,293.02,-8.43,-2.79648
2022-04-21,301.45,-10.59,-3.3938
2022-04-20,312.04,3.28,1.06231
2022-04-19,308.76,6.78,2.24518
2022-04-18,301.98,-2.4,-0.78849
2022-04-13,304.38,0.66,0.21731
2022-04-12,303.72,-4.73,-1.53347
2022-04-11,308.45,-0.19,-0.06156
2022-04-10,308.64,-2.46,-0.79074
2022-04-07,311.1,-1.32,-0.42251
2022-04-06,312.42,2.26,0.72866
2022-04-05,310.16,-10.44,-3.25639
2022-04-04,320.6,-0.02,-0.00624
2022-04-03,320.62,-0.3,-0.09348
2022-03-31,320.92,-3.12,-0.96284
2022-03-30,324.04,-1.89,-0.57988
2022-03-29,325.93,-0.41,-0.12564
2022-03-28,326.34,7.6,2.38439
2022-03-27,318.74,0.92,0.28947
2022-03-24,317.82,2.75,0.87282
2022-03-23,315.07,-1.82,-0.57433
2022-03-22,316.89,-3.63,-1.13253
2022-03-21,320.52,2.09,0.65635
2022-03-20,318.43,1.55,0.48914
2022-03-17,316.88,3.09,0.98474
2022-03-16,313.79,2.42,0.77721
2022-03-15,311.37,10.0,3.31818
2022-03-14,301.37,-2.42,-0.7966
2022-03-13,303.79,-1.12,-0.36732
2022-03-10,304.91,2.26,0.74674
2022-03-09,302.65,0.91,0.30158
2022-03-08,301.74,4.98,1.67812
2022-03-07,296.76,-6.3,-2.0788
2022-03-06,303.06,-2.5,-0.81817
2022-03-03,305.56,-8.52,-2.71268
2022-03-02,314.08,2.51,0.8056
2022-03-01,311.57,-1.61,-0.51408
2022-02-28,313.18,-2.36,-0.74792
2022-02-27,315.54,5.79,1.86925
2022-02-24,309.75,11.66,3.91157
2022-02-23,298.09,-11.67,-3.76743
2022-02-22,309.76,-0.95,-0.30575
2022-02-21,310.71,-3.82,-1.21451
2022-02-17,314.53,-1.28,-0.40531
2022-02-16,315.81,0.21,0.06654
2022-02-15,315.6,-1.75,-0.55144
2022-02-14,317.35,4.03,1.28622
2022-02-13,313.32,-8.8,-2.7319
2022-02-10,322.12,-5.1,-1.55858
2022-02-09,327.22,-0.71,-0.21651
2022-02-08,327.93,8.91,2.79293
2022-02-07,319.02,-3.59,-1.1128
2022-02-06,322.61,1.83,0.57048
2022-02-03,320.78,-4.07,-1.25289
2022-02-02,324.85,-4.22,-1.2824
2022-02-01,329.07,3.98,1.22428
2022-01-31,325.09,4.72,1.4733
2022-01-30,320.37,13.39,4.36185
2022-01-27,306.98,-11.76,-3.68953
2022-01-26,318.74,-5.19,-1.6022
2022-01-25,323.93,6.45,2.03162
2022-01-24,317.48,-0.13,-0.04093
2022-01-23,317.61,-13.13,-3.96989
