tradeDate,nav,change,changePercent
2022-09-01,8.6,0.03,0.35006
2022-08-31,8.57,-0.06,-0.69525
2022-08-30,8.63,-0.04,-0.46136
2022-08-29,8.67,-0.03,-0.34483
2022-08-28,8.7,-0.04,-0.45767
2022-08-25,8.74,-0.01,-0.11429
2022-08-24,8.75,0.04,0.45924
2022-08-23,8.71,0.0,0.0
2022-08-22,8.71,0.0,0.0
2022-08-21,8.71,-0.06,-0.68415
2022-08-18,8.77,-0.05,-0.56689
2022-08-17,8.82,0.0,0.0
2022-08-16,8.82,-0.06,-0.67568
2022-08-15,8.88,-0.01,-0.11249
2022-08-14,8.89,0.02,0.22548
2022-08-11,8.87,0.01,0.11287
2022-08-10,8.86,0.0,0.0
2022-08-09,8.86,0.03,0.33975
2022-08-08,8.83,-0.02,-0.22599
2022-08-07,8.85,0.04,0.45403
2022-08-04,8.81,-0.05,-0.56433
2022-08-03,8.86,0.05,0.56754
2022-08-02,8.81,0.03,0.34169
2022-08-01,8.78,-0.07,-0.79096
2022-07-31,8.85,0.05,0.56818
2022-07-28,8.8,0.05,0.57143
2022-07-27,8.75,0.09,1.03926
2022-07-26,8.66,0.02,0.23148
2022-07-25,8.64,-0.02,-0.23095
2022-07-24,8.66,0.01,0.11561
2022-07-21,8.65,0.06,0.69849
2022-07-20,8.59,0.06,0.7034
2022-07-19,8.53,0.05,0.58962
2022-07-18,8.48,0.01,0.11806
2022-07-17,8.47,0.0,0.0
2022-07-14,8.47,0.03,0.35545
2022-07-13,8.44,-0.06,-0.70588
2022-07-12,8.5,0.0,0.0
2022-07-11,8.5,-0.01,-0.11751
2022-07-10,8.51,0.02,0.23557
2022-07-07,8.49,-0.01,-0.11765
2022-07-06,8.5,0.0,0.0
2022-07-05,8.5,-0.04,-0.46838
2022-07-04,8.54,-0.01,-0.11696
2022-06-30,8.55,0.05,0.58824
2022-06-29,8.5,-0.01,-0.11751
2022-06-28,8.51,0.0,0.0
2022-06-27,8.51,-0.02,-0.23447
2022-06-26,8.53,-0.03,-0.35047
2022-06-23,8.56,0.04,0.46948
2022-06-22,8.52,,
2022-06-21,8.55,0.02,0.23447
2022-06-20,8.53,-0.03,-0.35047
2022-06-16,8.56,0.0,0.0
2022-06-15,8.56,-0.04,-0.46512
2022-06-14,8.6,0.07,0.82063
2022-06-13,8.53,-0.06,-0.69849
2022-06-12,8.59,-0.18,-2.05245
2022-06-09,8.77,-0.09,-1.0158
2022-06-08,8.86,-0.03,-0.33746
2022-06-07,8.89,-0.03,-0.33632
2022-06-06,8.92,-0.01,-0.11198
2022-06-05,8.93,-0.03,-0.33482
2022-06-02,8.96,-0.02,-0.22272
2022-06-01,8.98,0.01,0.11148
2022-05-31,8.97,-0.03,-0.33333
2022-05-30,9.0,-0.03,-0.33223
2022-05-26,9.03,0.03,0.33333
2022-05-25,9.0,0.04,0.44643
2022-05-24,8.96,0.04,0.44843
2022-05-23,8.92,0.02,0.22472
2022-05-22,8.9,-0.01,-0.11223
2022-05-19,8.91,0.03,0.33784
2022-05-18,8.88,-0.02,-0.22472
2022-05-17,8.9,-0.01,-0.11223
2022-05-16,8.91,-0.02,-0.22396
2022-05-15,8.93,0.01,0.11211
2022-05-12,8.92,-0.01,-0.11198
2022-05-11,8.93,-0.01,-0.11186
2022-05-10,8.94,0.04,0.44944
2022-05-09,8.9,0.02,0.22523
2022-05-08,8.88,-0.03,-0.3367
2022-05-05,8.91,-0.08,-0.88988
2022-05-04,8.99,-0.06,-0.66298
2022-05-03,9.05,0.03,0.33259
2022-05-02,9.02,0.01,0.11099
2022-05-01,9.01,-0.06,-0.66152
2022-04-28,9.07,-0.04,-0.43908
2022-04-27,9.11,-0.01,-0.10965
2022-04-26,9.12,-0.05,-0.54526
2022-04-25,9.17,0.02,0.21858
2022-04-24,9.15,0.0,0.0
2022-04-21,9.15,-0.04,-0.43526
2022-04-20,9.19,-0.03,-0.32538
2022-04-19,9.22,0.03,0.32644
2022-04-18,9.19,-0.05,-0.54113
2022-04-17,9.24,-0.01,-0.10811
2022-04-13,9.25,-0.04,-0.43057
2022-04-12,9.29,0.0,0.0
2022-04-11,9.29,0.01,0.10776
2022-04-10,9.28,-0.07,-0.74866
2022-04-07,9.35,-0.04,-0.42599
2022-04-06,9.39,-0.03,-0.31847
2022-04-05,9.42,-0.04,-0.42283
2022-04-04,9.46,-0.08,-0.83857
2022-04-03,9.54,0.03,0.31546
2022-03-31,9.51,-0.02,-0.20986
2022-03-30,9.53,0.0,0.0
2022-03-29,9.53,0.03,0.31579
2022-03-28,9.5,0.09,0.95643
2022-03-27,9.41,0.02,0.21299
2022-03-24,9.39,-0.03,-0.31847
2022-03-23,9.42,-0.02,-0.21186
2022-03-22,9.44,0.01,0.10604
2022-03-21,9.43,-0.03,-0.31712
2022-03-20,9.46,-0.06,-0.63025
2022-03-17,9.52,0.03,0.31612
2022-03-16,9.49,0.07,0.7431
2022-03-15,9.42,0.1,1.07296
2022-03-14,9.32,-0.03,-0.32086
2022-03-13,9.35,-0.07,-0.7431
2022-03-10,9.42,-0.01,-0.10604
2022-03-09,9.43,-0.04,-0.42239
2022-03-08,9.47,0.03,0.3178
2022-03-07,9.44,-0.04,-0.42194
2022-03-06,9.48,-0.11,-1.14703
2022-03-03,9.59,-0.05,-0.51867
2022-03-02,9.64,0.01,0.10384
2022-03-01,9.63,-0.1,-1.02775
2022-02-28,9.73,0.0,0.0
2022-02-27,9.73,-0.06,-0.61287
2022-02-24,9.79,0.06,0.61665
2022-02-23,9.73,-0.09,-0.9165
2022-02-22,9.82,-0.05,-0.50659
2022-02-21,9.87,-0.04,-0.40363
