tradeDate,nav,change,changePercent
2022-09-01,286.2744,-1.5926,-0.55324
2022-08-31,287.867,-4.2124,-1.44221
2022-08-30,292.0794,,
2022-08-29,291.734,1.1874,0.40868
2022-08-28,290.5466,-8.2053,-2.74653
2022-08-25,298.7519,3.2715,1.10718
2022-08-24,295.4804,1.2897,0.43839
2022-08-23,294.1907,-0.4799,-0.16286
2022-08-22,294.6706,-2.6094,-0.87776
2022-08-21,297.28,-3.307,-1.10018
2022-08-18,300.587,-2.1647,-0.71501
2022-08-17,302.7517,0.1624,0.05367
2022-08-16,302.5893,-0.6243,-0.20589
2022-08-15,303.2136,,
2022-08-14,302.1964,-0.5975,-0.19733
2022-08-11,302.7939,-0.8032,-0.26456
2022-08-10,303.5971,4.913,1.64488
2022-08-09,298.6841,-0.1409,-0.04715
2022-08-08,298.825,-0.7447,-0.24859
2022-08-07,299.5697,1.5616,0.52401
2022-08-04,298.0081,0.5204,0.17493
2022-08-03,297.4877,1.6074,0.54326
2022-08-02,295.8803,1.8085,0.61499
2022-08-01,294.0718,-3.8393,-1.28874
2022-07-31,297.9111,0.0913,0.03066
2022-07-28,297.8198,-0.365,-0.12241
2022-07-27,298.1848,1.3476,0.45399
2022-07-26,296.8372,1.255,0.42459
2022-07-25,295.5822,-1.294,-0.43587
2022-07-24,296.8762,-0.0736,-0.02479
2022-07-21,296.9498,0.8811,0.2976
2022-07-20,296.0687,2.4519,0.83507
2022-07-19,293.6168,2.0338,0.6975
2022-07-18,291.583,0.043,0.01475
2022-07-17,291.54,4.5227,1.57576
2022-07-14,287.0173,1.9373,0.67956
2022-07-13,285.08,0.4349,0.15279
2022-07-12,284.6451,-2.4592,-0.85655
2022-07-11,287.1043,-1.7743,-0.6142
2022-07-10,288.8786,-2.7782,-0.95256
2022-07-07,291.6568,0.5452,0.18728
2022-07-06,291.1116,5.1813,1.81208
2022-07-05,285.9303,0.4504,0.15777
2022-07-04,285.4799,-3.9595,-1.36799
2022-07-03,289.4394,1.4362,0.49868
2022-06-30,288.0032,-1.7297,-0.597
2022-06-29,289.7329,-7.6811,-2.58263
2022-06-28,297.414,-3.8415,-1.27516
2022-06-27,301.2555,0.4092,0.13602
2022-06-26,300.8463,4.9339,1.66735
2022-06-23,295.9124,2.552,0.86992
2022-06-22,293.3604,,
2022-06-21,292.6568,-4.4144,-1.48597
2022-06-20,297.0712,2.2703,0.77011
2022-06-19,294.8009,-0.581,-0.19669
2022-06-16,295.3819,-0.9516,-0.32112
2022-06-15,296.3335,-3.2345,-1.07972
2022-06-14,299.568,-0.9932,-0.33045
2022-06-13,300.5612,-0.0274,-0.00912
2022-06-12,300.5886,-9.7792,-3.15084
2022-06-09,310.3678,-7.0109,-2.209
2022-06-08,317.3787,-0.9606,-0.30175
2022-06-07,318.3393,2.5551,0.80913
2022-06-06,315.7842,-4.9715,-1.54993
2022-06-05,320.7557,2.3949,0.75226
2022-06-01,318.3608,-3.1766,-0.98794
2022-05-31,321.5374,0.6089,0.18973
2022-05-30,320.9285,0.8103,0.25313
2022-05-29,320.1182,4.2108,1.33292
2022-05-26,315.9074,5.99,1.93277
2022-05-25,309.9174,1.1205,0.36286
2022-05-24,308.7969,-1.0162,-0.328
2022-05-23,309.8131,-3.6451,-1.16287
2022-05-22,313.4582,-0.7319,-0.23295
2022-05-19,314.1901,6.135,1.99153
2022-05-18,308.0551,-3.9145,-1.25477
2022-05-17,311.9696,-1.2984,-0.41447
2022-05-16,313.268,6.0241,1.96069
2022-05-15,307.2439,1.604,0.5248
2022-05-12,305.6399,5.7085,1.90327
2022-05-11,299.9314,-5.2925,-1.73397
2022-05-10,305.2239,-3.0638,-0.99381
2022-05-09,308.2877,0.4703,0.15279
2022-05-08,307.8174,-4.8399,-1.54799
2022-05-05,312.6573,-8.5916,-2.67444
2022-05-04,321.2489,1.3872,0.43369
