tradeDate,nav,change,changePercent
2022-02-22,102.17,-0.78,-0.75765
2022-02-21,102.95,-0.52,-0.50256
2022-02-20,103.47,-0.14,-0.13512
2022-02-17,103.61,-0.97,-0.92752
2022-02-16,104.58,-0.7,-0.66489
2022-02-15,105.28,0.31,0.29532
2022-02-14,104.97,1.06,1.02011
2022-02-13,103.91,-1.34,-1.27316
2022-02-10,105.25,-0.86,-0.81048
2022-02-09,106.11,0.06,0.05658
2022-02-08,106.05,1.15,1.09628
2022-02-07,104.9,-0.06,-0.05716
2022-02-06,104.96,-0.14,-0.13321
2022-02-03,105.1,-1.34,-1.25893
2022-02-02,106.44,-1.04,-0.96762
2022-02-01,107.48,0.41,0.38293
2022-01-31,107.07,0.48,0.45032
2022-01-30,106.59,0.37,0.34833
2022-01-27,106.22,-0.61,-0.571
2022-01-26,106.83,0.65,0.61217
2022-01-25,106.18,1.0,0.95075
2022-01-24,105.18,0.21,0.20006
2022-01-23,104.97,-2.42,-2.25347
2022-01-20,107.39,-1.08,-0.99567
2022-01-19,108.47,0.35,0.32371
2022-01-18,108.12,0.26,0.24105
2022-01-17,107.86,-0.78,-0.71797
2022-01-16,108.64,0.22,0.20291
2022-01-13,108.42,-0.67,-0.61417
2022-01-12,109.09,-0.28,-0.25601
2022-01-11,109.37,0.39,0.35786
2022-01-10,108.98,0.38,0.34991
2022-01-09,108.6,-0.9,-0.82192
2022-01-06,109.5,-0.28,-0.25506
2022-01-05,109.78,-0.76,-0.68753
2022-01-04,110.54,-0.07,-0.06329
2022-01-03,110.61,0.26,0.23561
2022-01-02,110.35,0.47,0.42774
2021-12-30,109.88,-0.09,-0.08184
2021-12-29,109.97,0.09,0.08191
2021-12-28,109.88,-0.16,-0.1454
2021-12-27,110.04,0.35,0.31908
2021-12-26,109.69,0.37,0.33846
2021-12-23,109.32,-0.03,-0.02743
2021-12-22,109.35,0.59,0.54248
2021-12-21,108.76,0.31,0.28585
2021-12-20,108.45,0.9,0.83682
2021-12-19,107.55,-0.9,-0.82988
2021-12-16,108.45,-0.19,-0.17489
2021-12-15,108.64,0.48,0.44379
2021-12-14,108.16,-0.06,-0.05544
2021-12-13,108.22,-0.48,-0.44158
2021-12-12,108.7,-0.46,-0.4214
2021-12-09,109.16,-0.2,-0.18288
2021-12-08,109.36,-0.03,-0.02742
2021-12-07,109.39,-0.42,-0.38248
2021-12-06,109.81,1.31,1.20737
2021-12-05,108.5,0.65,0.60269
2021-12-02,107.85,-0.23,-0.21281
2021-12-01,108.08,-0.43,-0.39628
2021-11-30,108.51,0.95,0.88323
2021-11-29,107.56,-0.44,-0.40741
2021-11-28,108.0,0.5,0.46512
2021-11-25,107.5,-2.49,-2.26384
2021-11-24,109.99,0.31,0.28264
2021-11-23,109.68,0.24,0.2193
2021-11-22,109.44,-1.05,-0.95031
2021-11-21,110.49,-0.45,-0.40562
2021-11-18,110.94,-0.2,-0.17995
2021-11-17,111.14,-0.34,-0.30499
2021-11-16,111.48,-0.04,-0.03587
2021-11-15,111.52,0.02,0.01794
2021-11-14,111.5,0.16,0.1437
2021-11-11,111.34,-0.07,-0.06283
2021-11-10,111.41,0.07,0.06287
2021-11-09,111.34,0.06,0.05392
2021-11-08,111.28,0.09,0.08094
2021-11-07,111.19,-0.09,-0.08088
2021-11-04,111.28,0.07,0.06294
2021-11-03,111.21,0.71,0.64253
2021-11-02,110.5,0.07,0.06339
2021-11-01,110.43,0.33,0.29973
2021-10-28,110.1,-0.49,-0.44308
2021-10-27,110.59,0.14,0.12675
2021-10-26,110.45,-0.03,-0.02715
2021-10-25,110.48,0.42,0.38161
2021-10-24,110.06,0.0,0.0
2021-10-21,110.06,0.31,0.28246
2021-10-20,109.75,-0.21,-0.19098
2021-10-19,109.96,0.07,0.0637
2021-10-18,109.89,0.31,0.2829
2021-10-17,109.58,-0.34,-0.30932
2021-10-14,109.92,0.32,0.29197
2021-10-13,109.6,0.72,0.66128
2021-10-12,108.88,0.27,0.2486
2021-10-11,108.61,-0.02,-0.01841
2021-10-10,108.63,-0.11,-0.10116
2021-10-07,108.74,-0.18,-0.16526
2021-10-06,108.92,0.79,0.7306
2021-10-05,108.13,-0.63,-0.57926
2021-10-04,108.76,0.49,0.45257
2021-10-03,108.27,-0.3,-0.27632
2021-09-30,108.57,-0.13,-0.1196
2021-09-29,108.7,-0.03,-0.02759
2021-09-28,108.73,0.19,0.17505
2021-09-27,108.54,-1.31,-1.19254
2021-09-26,109.85,0.14,0.12761
2021-09-23,109.71,-0.67,-0.60699
2021-09-22,110.38,0.33,0.29986
2021-09-21,110.05,0.52,0.47476
2021-09-20,109.53,0.53,0.48624
2021-09-19,109.0,-1.11,-1.00808
2021-09-16,110.11,-0.38,-0.34392
2021-09-15,110.49,0.19,0.17226
2021-09-14,110.3,-0.35,-0.31631
2021-09-13,110.65,-0.01,-0.00904
2021-09-12,110.66,0.31,0.28092
2021-09-09,110.35,-0.26,-0.23506
2021-09-08,110.61,-0.01,-0.00904
2021-09-07,110.62,-0.58,-0.52158
2021-09-06,111.2,-0.27,-0.24222
2021-09-05,111.47,0.23,0.20676
2021-09-02,111.24,-0.31,-0.2779
2021-09-01,111.55,0.03,0.0269
2021-08-31,111.52,0.19,0.17066
2021-08-30,111.33,-0.11,-0.09871
