tradeDate,nav,change,changePercent
2022-09-01,105.9132,-0.125,-0.11788
2022-08-31,106.0382,-0.587,-0.55053
2022-08-30,106.6252,-0.8825,-0.82087
2022-08-29,107.5077,-1.3472,-1.23761
2022-08-25,108.8549,0.4815,0.4443
2022-08-24,108.3734,0.1588,0.14675
2022-08-23,108.2146,0.0646,0.05973
2022-08-22,108.15,-0.6058,-0.55703
2022-08-21,108.7558,-0.8274,-0.75504
2022-08-18,109.5832,-0.5128,-0.46578
2022-08-17,110.096,-0.1828,-0.16576
2022-08-16,110.2788,-0.5737,-0.51753
2022-08-15,110.8525,0.0256,0.0231
2022-08-14,110.8269,-0.0272,-0.02454
2022-08-11,110.8541,-0.0573,-0.05166
2022-08-10,110.9114,0.8242,0.74868
2022-08-09,110.0872,0.1515,0.13781
2022-08-08,109.9357,-0.1133,-0.10295
2022-08-07,110.049,0.3543,0.32299
2022-08-04,109.6947,-0.0427,-0.03891
2022-08-03,109.7374,0.3758,0.34363
2022-08-02,109.3616,0.0459,0.04199
2022-08-01,109.3157,0.8908,0.82158
2022-07-28,108.4249,0.7288,0.67672
2022-07-27,107.6961,0.6737,0.62949
2022-07-26,107.0224,-0.2363,-0.22031
2022-07-25,107.2587,-0.2854,-0.26538
2022-07-24,107.5441,0.3572,0.33325
2022-07-21,107.1869,0.7311,0.68676
2022-07-20,106.4558,0.6051,0.57165
2022-07-19,105.8507,0.6613,0.62868
2022-07-18,105.1894,0.2034,0.19374
2022-07-17,104.986,1.0678,1.02754
2022-07-14,103.9182,-0.1176,-0.11304
2022-07-13,104.0358,-0.0048,-0.00461
2022-07-12,104.0406,-0.3549,-0.33996
2022-07-11,104.3955,-0.0595,-0.05696
2022-07-10,104.455,0.215,0.20625
2022-07-07,104.24,0.7306,0.70583
2022-07-06,103.5094,0.5291,0.51379
2022-07-05,102.9803,0.0641,0.06228
2022-07-04,102.9162,0.0651,0.0633
2022-06-30,102.8511,0.0836,0.08135
2022-06-29,102.7675,-1.1136,-1.07199
2022-06-28,103.8811,-1.2425,-1.18194
2022-06-27,105.1236,-0.1768,-0.1679
2022-06-26,105.3004,0.5958,0.56903
2022-06-23,104.7046,0.2733,0.2617
2022-06-22,104.4313,,
2022-06-21,104.4909,-0.5849,-0.55665
2022-06-20,105.0758,0.5025,0.48052
2022-06-16,104.5733,-0.4153,-0.39557
2022-06-15,104.9886,-0.3787,-0.35941
2022-06-14,105.3673,0.5672,0.54122
2022-06-13,104.8001,-1.5565,-1.46347
2022-06-12,106.3566,-2.302,-2.11856
2022-06-09,108.6586,-0.8564,-0.78199
2022-06-08,109.515,-0.3516,-0.32002
2022-06-07,109.8666,-0.0451,-0.04103
2022-06-06,109.9117,-1.2295,-1.10625
2022-05-31,111.1412,0.1259,0.11341
2022-05-30,111.0153,0.3335,0.30131
2022-05-26,110.6818,1.1812,1.07872
2022-05-25,109.5006,1.4808,1.37086
2022-05-24,108.0198,0.3881,0.36058
2022-05-23,107.6317,-0.0207,-0.01923
2022-05-22,107.6524,0.0801,0.07446
2022-05-19,107.5723,0.466,0.43508
2022-05-18,107.1063,-0.816,-0.7561
2022-05-17,107.9223,-0.4703,-0.43389
2022-05-16,108.3926,-0.0879,-0.08103
2022-05-15,108.4805,0.1848,0.17064
2022-05-12,108.2957,-0.1906,-0.17569
2022-05-11,108.4863,-0.2852,-0.2622
2022-05-10,108.7715,-0.0803,-0.07377
2022-05-09,108.8518,-0.1324,-0.12149
2022-05-08,108.9842,-0.9798,-0.89102
2022-05-05,109.964,-1.27,-1.14174
2022-05-04,111.234,0.4897,0.44219
2022-05-03,110.7443,0.2301,0.20821
2022-05-02,110.5142,-0.9115,-0.81803
2022-04-28,111.4257,-0.433,-0.3871
2022-04-27,111.8587,-0.1294,-0.11555
2022-04-26,111.9881,-0.2236,-0.19927
2022-04-25,112.2117,0.2974,0.26574
2022-04-24,111.9143,-0.6618,-0.58787
2022-04-21,112.5761,-0.6245,-0.55168
2022-04-20,113.2006,0.1425,0.12604
2022-04-19,113.0581,0.2293,0.20323
2022-04-18,112.8288,-0.5332,-0.47035
2022-04-13,113.362,0.3262,0.28858
2022-04-12,113.0358,-0.0108,-0.00955
2022-04-11,113.0466,-0.0949,-0.08388
2022-04-10,113.1415,-0.5983,-0.52603
2022-04-07,113.7398,-0.4025,-0.35263
2022-04-06,114.1423,-0.1932,-0.16898
2022-04-05,114.3355,-1.0309,-0.89359
2022-04-04,115.3664,0.3092,0.26874
2022-04-03,115.0572,-0.2252,-0.19535
2022-03-31,115.2824,-0.0746,-0.06467
2022-03-30,115.357,0.319,0.2773
2022-03-29,115.038,0.6282,0.54908
2022-03-28,114.4098,0.3429,0.30061
2022-03-27,114.0669,-0.2363,-0.20673
2022-03-24,114.3032,0.1378,0.1207
2022-03-23,114.1654,0.0719,0.06302
2022-03-22,114.0935,-0.0485,-0.04249
2022-03-21,114.142,-0.6204,-0.5406
2022-03-20,114.7624,1.0581,0.93057
2022-03-15,113.7043,0.811,0.71838
2022-03-14,112.8933,-0.6078,-0.5355
2022-03-13,113.5011,-0.8914,-0.77925
2022-03-10,114.3925,-0.2894,-0.25235
2022-03-09,114.6819,-0.1225,-0.1067
2022-03-08,114.8044,-0.0584,-0.05084
2022-03-07,114.8628,-0.7386,-0.63892
2022-03-06,115.6014,-0.5037,-0.43383
2022-03-03,116.1051,-0.3626,-0.31133
2022-03-02,116.4677,0.0883,0.07587
2022-03-01,116.3794,-0.0987,-0.08474
2022-02-28,116.4781,0.4924,0.42454
2022-02-27,115.9857,0.3234,0.27961
2022-02-24,115.6623,0.9976,0.87001
2022-02-23,114.6647,-1.186,-1.02373
2022-02-22,115.8507,0.3321,0.28749
2022-02-21,115.5186,-0.0354,-0.03064
2022-02-17,115.554,-0.1374,-0.11876
2022-02-16,115.6914,0.0225,0.01945
2022-02-15,115.6689,0.1465,0.12682
2022-02-14,115.5224,-0.0217,-0.01878
2022-02-13,115.5441,-0.7471,-0.64244
2022-02-10,116.2912,-0.7084,-0.60547
2022-02-09,116.9996,-0.4049,-0.34488
2022-02-08,117.4045,0.3868,0.33055
2022-02-07,117.0177,0.1374,0.11756
2022-02-06,116.8803,-0.3251,-0.27738
2022-02-03,117.2054,-0.6654,-0.56452
2022-02-02,117.8708,-0.4691,-0.3964
2022-02-01,118.3399,0.6001,0.50968
2022-01-31,117.7398,0.4245,0.36185
2022-01-30,117.3153,0.1681,0.14349
2022-01-27,117.1472,-1.2596,-1.06379
2022-01-26,118.4068,-0.4283,-0.36042
2022-01-25,118.8351,0.4639,0.3919
2022-01-24,118.3712,-0.2738,-0.23077
2022-01-23,118.645,-0.3595,-0.30209
2022-01-20,119.0045,-0.4592,-0.38438
2022-01-19,119.4637,0.0915,0.07665
2022-01-18,119.3722,-0.2395,-0.20023
2022-01-17,119.6117,-0.2973,-0.24794
2022-01-13,119.909,-0.2479,-0.20631
2022-01-12,120.1569,0.1028,0.08563
2022-01-11,120.0541,0.6307,0.52812
2022-01-10,119.4234,-0.0444,-0.03716
2022-01-09,119.4678,-0.3939,-0.32863
2022-01-06,119.8617,-0.1375,-0.11458
2022-01-05,119.9992,-0.1845,-0.15351
2022-01-04,120.1837,-0.3041,-0.25239
2022-01-03,120.4878,-0.1614,-0.13378
2021-12-30,120.6492,-0.047,-0.03894
2021-12-29,120.6962,0.386,0.32084
2021-12-23,120.3102,0.1038,0.08635
2021-12-22,120.2064,0.2706,0.22562
2021-12-21,119.9358,0.2799,0.23392
2021-12-20,119.6559,0.2524,0.21138
2021-12-19,119.4035,-0.231,-0.19309
2021-12-16,119.6345,-0.173,-0.1444
2021-12-15,119.8075,0.2242,0.18748
2021-12-14,119.5833,-0.129,-0.10776
2021-12-13,119.7123,-0.0731,-0.06103
2021-12-12,119.7854,0.0436,0.03641
2021-12-09,119.7418,-0.0647,-0.054
2021-12-08,119.8065,-0.1538,-0.12821
2021-12-07,119.9603,0.4227,0.35361
2021-12-06,119.5376,0.6103,0.51317
2021-12-05,118.9273,0.0704,0.05923
2021-12-02,118.8569,0.3514,0.29653
2021-12-01,118.5055,-0.0897,-0.07564
2021-11-30,118.5952,0.094,0.07932
2021-11-29,118.5012,0.0915,0.07727
2021-11-28,118.4097,-0.0203,-0.01714
2021-11-25,118.43,-0.6121,-0.51419
2021-11-23,119.0421,-0.3472,-0.29081
2021-11-22,119.3893,-0.3643,-0.30421
2021-11-21,119.7536,-0.0347,-0.02897
2021-11-18,119.7883,-0.1353,-0.11282
2021-11-17,119.9236,0.0054,0.0045
2021-11-16,119.9182,-0.1842,-0.15337
2021-11-15,120.1024,-0.2286,-0.18998
2021-11-14,120.331,-0.1153,-0.09573
2021-11-11,120.4463,-0.3179,-0.26324
2021-11-09,120.7642,-0.0798,-0.06604
2021-11-08,120.844,0.0829,0.06865
2021-11-07,120.7611,0.2744,0.22774
2021-11-04,120.4867,0.398,0.33142
2021-11-03,120.0887,0.2123,0.1771
2021-11-02,119.8764,0.0328,0.02737
2021-11-01,119.8436,0.0147,0.01227
2021-10-31,119.8289,-0.0218,-0.01819
2021-10-28,119.8507,-0.04,-0.03336
2021-10-27,119.8907,-0.0048,-0.004
2021-10-26,119.8955,0.0155,0.01293
2021-10-25,119.88,-0.0505,-0.04211
2021-10-21,119.9305,-0.0852,-0.07099
2021-10-20,120.0157,0.0012,0.001
2021-10-19,120.0145,-0.0044,-0.00367
2021-10-18,120.0189,0.0492,0.04101
2021-10-17,119.9697,-0.0997,-0.08304
2021-10-14,120.0694,0.1959,0.16342
2021-10-13,119.8735,0.2696,0.22541
2021-10-12,119.6039,-0.1287,-0.10749
2021-10-11,119.7326,-0.1874,-0.15627
2021-10-07,119.92,-0.0087,-0.00725
2021-10-06,119.9287,0.1164,0.09715
2021-10-05,119.8123,-0.3024,-0.25176
2021-10-04,120.1147,-0.073,-0.06074
2021-10-03,120.1877,0.0379,0.03154
2021-09-30,120.1498,0.0829,0.06904
2021-09-29,120.0669,-0.1193,-0.09926
2021-09-28,120.1862,-0.0685,-0.05696
2021-09-27,120.2547,-0.1593,-0.13229
2021-09-26,120.414,-0.0849,-0.07046
2021-09-23,120.4989,-0.0946,-0.07845
2021-09-22,120.5935,0.1317,0.10933
2021-09-21,120.4618,0.1185,0.09847
2021-09-20,120.3433,0.059,0.04905
2021-09-19,120.2843,-0.4185,-0.34672
2021-09-16,120.7028,-0.0276,-0.02286
2021-09-15,120.7304,0.1851,0.15355
2021-09-14,120.5453,-0.1059,-0.08777
2021-09-13,120.6512,0.068,0.05639
2021-09-12,120.5832,0.1349,0.112
2021-09-09,120.4483,0.1315,0.10929
2021-09-08,120.3168,-0.0296,-0.0246
2021-09-07,120.3464,-0.0431,-0.0358
2021-09-06,120.3895,0.0412,0.03423
2021-09-02,120.3483,0.0885,0.07359
2021-09-01,120.2598,0.1301,0.1083
2021-08-31,120.1297,0.1397,0.11643
2021-08-30,119.99,0.5128,0.4292
2021-08-26,119.4772,0.1152,0.09651
2021-08-25,119.362,0.1091,0.09149
2021-08-24,119.2529,0.1094,0.09182
2021-08-23,119.1435,0.2735,0.23008
2021-08-22,118.87,0.2539,0.21405
2021-08-19,118.6161,-0.0015,-0.00126
2021-08-18,118.6176,-0.2525,-0.21242
2021-08-17,118.8701,-0.0047,-0.00395
2021-08-16,118.8748,-0.074,-0.06221
2021-08-15,118.9488,-0.0375,-0.03152
2021-08-12,118.9863,0.0609,0.05121
2021-08-11,118.9254,-0.063,-0.05295
2021-08-10,118.9884,-0.1162,-0.09756
2021-08-09,119.1046,-0.0275,-0.02308
2021-08-08,119.1321,-0.1244,-0.10431
2021-08-05,119.2565,0.0728,0.06108
2021-08-04,119.1837,0.0292,0.02451
2021-08-03,119.1545,-0.1432,-0.12004
2021-08-02,119.2977,-0.0289,-0.02422
2021-07-29,119.3266,0.0676,0.05668
2021-07-28,119.259,-0.0132,-0.01107
2021-07-27,119.2722,-0.1366,-0.1144
2021-07-26,119.4088,-0.017,-0.01423
2021-07-25,119.4258,0.0641,0.0537
2021-07-22,119.3617,0.0563,0.04719
2021-07-21,119.3054,0.2201,0.18483
2021-07-20,119.0853,0.4613,0.38888
2021-07-19,118.624,-0.4751,-0.39891
2021-07-18,119.0991,-0.4599,-0.38466
2021-07-15,119.559,-0.1037,-0.08666
2021-07-14,119.6627,-0.2003,-0.16711
2021-07-13,119.863,-0.0405,-0.03378
2021-07-12,119.9035,0.0609,0.05082
2021-07-11,119.8426,0.0498,0.04157
2021-07-08,119.7928,0.1283,0.10722
2021-07-07,119.6645,-0.1362,-0.11369
2021-07-06,119.8007,0.1005,0.08396
2021-07-05,119.7002,0.1838,0.15379
2021-07-01,119.5164,0.1298,0.10872
2021-06-30,119.3866,0.2206,0.18512
2021-06-29,119.166,0.1172,0.09845
2021-06-28,119.0488,0.0537,0.04513
2021-06-27,118.9951,0.1547,0.13017
2021-06-24,118.8404,0.1171,0.09863
2021-06-23,118.7233,0.1,0.0843
2021-06-22,118.6233,0.0872,0.07356
2021-06-21,118.5361,0.0931,0.0786
2021-06-20,118.443,0.0164,0.01385
2021-06-17,118.4266,-0.0593,-0.05005
2021-06-16,118.4859,-0.1233,-0.10395
2021-06-15,118.6092,-0.0007,-0.00059
2021-06-14,118.6099,0.0388,0.03272
2021-06-13,118.5711,0.0865,0.07301
2021-06-10,118.4846,0.0686,0.05793
2021-06-09,118.416,0.1041,0.08799
2021-06-08,118.3119,0.1344,0.11373
2021-06-07,118.1775,0.1849,0.1567
2021-06-03,117.9926,0.0986,0.08363
2021-06-02,117.894,0.0178,0.0151
2021-06-01,117.8762,0.0845,0.07174
2021-05-31,117.7917,0.1205,0.1024
2021-05-27,117.6712,0.2045,0.17409
2021-05-26,117.4667,0.078,0.06645
2021-05-25,117.3887,0.0549,0.04679
2021-05-24,117.3338,0.0701,0.05978
2021-05-23,117.2637,0.0786,0.06707
2021-05-20,117.1851,0.1811,0.15478
2021-05-19,117.004,0.023,0.01966
2021-05-18,116.981,-0.3401,-0.28989
2021-05-17,117.3211,0.0249,0.02123
2021-05-16,117.2962,0.0819,0.06987
2021-05-13,117.2143,0.1401,0.11967
2021-05-12,117.0742,-0.2027,-0.17284
2021-05-11,117.2769,-0.2184,-0.18588
2021-05-10,117.4953,-0.2123,-0.18036
2021-05-09,117.7076,0.1045,0.08886
2021-05-06,117.6031,0.0385,0.03275
2021-05-05,117.5646,0.0892,0.07593
2021-05-04,117.4754,-0.031,-0.02638
2021-05-03,117.5064,0.1192,0.10154
2021-04-29,117.3872,-0.0276,-0.02351
2021-04-28,117.4148,0.1727,0.1473
2021-04-27,117.2421,-0.0124,-0.01058
2021-04-26,117.2545,0.089,0.07596
2021-04-25,117.1655,0.1298,0.11091
2021-04-22,117.0357,0.0646,0.05523
2021-04-21,116.9711,0.1427,0.12214
2021-04-20,116.8284,-0.1463,-0.12507
2021-04-19,116.9747,-0.2202,-0.18789
2021-04-18,117.1949,0.0354,0.03022
2021-04-15,117.1595,0.2671,0.2285
2021-04-14,116.8924,0.1754,0.15028
2021-04-13,116.717,0.0232,0.01988
2021-04-12,116.6938,-0.1425,-0.12197
2021-04-11,116.8363,-0.0262,-0.02242
2021-04-08,116.8625,0.0979,0.08384
2021-04-07,116.7646,0.1507,0.12923
2021-04-06,116.6139,0.1957,0.1681
2021-04-05,116.4182,0.4583,0.39522
2021-03-31,115.9599,0.345,0.2984
2021-03-30,115.6149,0.1003,0.08683
2021-03-29,115.5146,-0.079,-0.06834
2021-03-28,115.5936,0.0942,0.08156
2021-03-25,115.4994,0.1257,0.10895
2021-03-24,115.3737,-0.0231,-0.02002
2021-03-23,115.3968,0.0994,0.08621
2021-03-22,115.2974,0.219,0.19031
2021-03-21,115.0784,0.227,0.19765
2021-03-18,114.8514,-0.204,-0.17731
2021-03-17,115.0554,-0.5226,-0.45216
2021-03-15,115.578,0.0938,0.08122
2021-03-14,115.4842,-0.0545,-0.04717
2021-03-11,115.5387,0.0578,0.05005
2021-03-10,115.4809,0.4428,0.38492
2021-03-09,115.0381,-0.0815,-0.0708
2021-03-08,115.1196,-0.0757,-0.06571
2021-03-07,115.1953,-0.1023,-0.08873
2021-03-04,115.2976,-0.2323,-0.20107
2021-03-03,115.5299,-0.0689,-0.0596
2021-03-02,115.5988,-0.004,-0.00346
2021-03-01,115.6028,0.2853,0.2474
2021-02-28,115.3175,0.0402,0.03487
2021-02-25,115.2773,-0.4112,-0.35544
2021-02-24,115.6885,0.1372,0.11874
2021-02-23,115.5513,-0.0123,-0.01064
2021-02-22,115.5636,0.024,0.02077
2021-02-21,115.5396,-0.0433,-0.03746
2021-02-18,115.5829,-0.0252,-0.0218
2021-02-17,115.6081,-0.0462,-0.03995
2021-02-16,115.6543,-0.0055,-0.00476
2021-02-15,115.6598,0.1523,0.13185
2021-02-11,115.5075,-0.0411,-0.03557
2021-02-10,115.5486,0.0892,0.07726
2021-02-09,115.4594,0.09,0.07801
2021-02-08,115.3694,0.1609,0.13966
2021-02-07,115.2085,0.2104,0.18296
2021-02-04,114.9981,0.217,0.18906
2021-02-03,114.7811,0.198,0.1728
2021-02-02,114.5831,0.2624,0.22953
2021-02-01,114.3207,0.1516,0.13279
2021-01-31,114.1691,-0.0169,-0.0148
2021-01-28,114.186,0.1224,0.10731
2021-01-27,114.0636,-0.0772,-0.06764
2021-01-26,114.1408,-0.1952,-0.17072
2021-01-25,114.336,-0.0251,-0.02195
2021-01-24,114.3611,0.1657,0.1451
2021-01-21,114.1954,-0.2823,-0.2466
2021-01-20,114.4777,0.1463,0.12796
2021-01-19,114.3314,0.124,0.10857
2021-01-18,114.2074,0.1453,0.12739
2021-01-14,114.0621,0.2118,0.18603
2021-01-13,113.8503,0.2478,0.21813
2021-01-12,113.6025,0.0858,0.07558
2021-01-11,113.5167,-0.0255,-0.02246
2021-01-10,113.5422,-0.0158,-0.01391
2021-01-07,113.558,0.183,0.16141
2021-01-06,113.375,0.2109,0.18637
2021-01-05,113.1641,0.1066,0.09429
2021-01-04,113.0575,-0.0849,-0.07504
2021-01-03,113.1424,0.0893,0.07899
2020-12-30,113.0531,0.0852,0.07542
2020-12-29,112.9679,0.5031,0.44734
2020-12-23,112.4648,0.1495,0.13311
2020-12-22,112.3153,0.0894,0.07966
2020-12-21,112.2259,0.0674,0.06009
2020-12-20,112.1585,-0.3011,-0.26774
2020-12-17,112.4596,0.1344,0.11965
2020-12-16,112.3252,0.0563,0.05015
2020-12-15,112.2689,0.1514,0.13504
2020-12-14,112.1175,0.0393,0.03506
2020-12-13,112.0782,0.1241,0.11085
2020-12-10,111.9541,0.0034,0.00304
2020-12-09,111.9507,-0.0698,-0.06231
2020-12-08,112.0205,0.2413,0.21587
2020-12-07,111.7792,0.0497,0.04448
2020-12-06,111.7295,0.3039,0.27274
2020-12-03,111.4256,0.3846,0.34636
2020-12-02,111.041,0.2079,0.18758
2020-12-01,110.8331,0.32,0.28956
2020-11-30,110.5131,0.2486,0.22546
2020-11-29,110.2645,0.056,0.05081
2020-11-26,110.2085,0.0029,0.00263
2020-11-24,110.2056,0.4666,0.42519
2020-11-23,109.739,0.3381,0.30905
2020-11-22,109.4009,0.2068,0.18939
2020-11-19,109.1941,0.0498,0.04563
2020-11-18,109.1443,0.1042,0.09556
2020-11-17,109.0401,0.2249,0.20668
2020-11-16,108.8152,0.1095,0.10073
2020-11-15,108.7057,0.3472,0.32042
2020-11-12,108.3585,-0.3188,-0.29335
2020-11-11,108.6773,-0.2264,-0.20789
2020-11-09,108.9037,0.4384,0.40418
2020-11-08,108.4653,1.0873,1.01259
2020-11-05,107.378,0.2591,0.24188
2020-11-04,107.1189,1.0265,0.96755
2020-11-03,106.0924,0.6066,0.57505
2020-11-02,105.4858,0.2393,0.22737
2020-11-01,105.2465,0.0285,0.02709
2020-10-29,105.218,0.1315,0.12514
2020-10-28,105.0865,-0.3192,-0.30283
2020-10-27,105.4057,-0.748,-0.70464
2020-10-26,106.1537,-0.3245,-0.30476
2020-10-22,106.4782,0.0328,0.03081
2020-10-21,106.4454,0.0079,0.00742
2020-10-20,106.4375,0.0727,0.06835
2020-10-19,106.3648,0.0025,0.00235
2020-10-18,106.3623,0.1372,0.12916
2020-10-15,106.2251,0.017,0.01601
2020-10-14,106.2081,-0.2437,-0.22893
2020-10-13,106.4518,0.0976,0.09177
2020-10-12,106.3542,0.2229,0.21002
2020-10-08,106.1313,0.1836,0.17329
2020-10-07,105.9477,0.3091,0.2926
2020-10-06,105.6386,0.2394,0.22714
2020-10-05,105.3992,0.3778,0.35974
2020-10-04,105.0214,0.2324,0.22178
2020-10-01,104.789,-0.1566,-0.14922
2020-09-30,104.9456,0.4198,0.40162
2020-09-29,104.5258,0.0208,0.0199
2020-09-28,104.505,0.2448,0.2348
2020-09-27,104.2602,0.2508,0.24113
2020-09-24,104.0094,-0.2479,-0.23778
2020-09-23,104.2573,-0.7468,-0.71121
2020-09-22,105.0041,-0.0903,-0.08592
2020-09-21,105.0944,-0.49,-0.46408
2020-09-20,105.5844,-0.4405,-0.41547
2020-09-17,106.0249,0.0335,0.03161
2020-09-16,105.9914,0.1849,0.17475
2020-09-15,105.8065,-0.0481,-0.04544
2020-09-14,105.8546,0.0143,0.01351
2020-09-13,105.8403,0.1845,0.17462
2020-09-10,105.6558,-0.1165,-0.11014
2020-09-09,105.7723,0.219,0.20748
2020-09-08,105.5533,-0.0871,-0.08245
2020-09-07,105.6404,-0.4977,-0.46892
2020-09-03,106.1381,-0.1277,-0.12017
2020-09-02,106.2658,0.1337,0.12598
2020-09-01,106.1321,0.154,0.14531
2020-08-31,105.9781,0.2149,0.20319
2020-08-27,105.7632,0.182,0.17238
2020-08-26,105.5812,0.1996,0.18941
2020-08-25,105.3816,0.2524,0.24009
2020-08-24,105.1292,0.3422,0.32657
2020-08-23,104.787,0.1279,0.12221
2020-08-20,104.6591,-0.0706,-0.06741
2020-08-19,104.7297,0.0178,0.017
2020-08-18,104.7119,0.1317,0.12593
2020-08-17,104.5802,0.0224,0.02142
2020-08-16,104.5578,-0.2115,-0.20187
2020-08-13,104.7693,-0.133,-0.12678
2020-08-12,104.9023,-0.1177,-0.11207
2020-08-11,105.02,-0.0085,-0.00809
2020-08-10,105.0285,-0.0246,-0.02342
2020-08-09,105.0531,0.4351,0.41589
2020-08-06,104.618,-0.0446,-0.04261
2020-08-05,104.6626,0.2704,0.25902
2020-08-04,104.3922,0.4052,0.38966
2020-08-03,103.987,0.2791,0.26912
2020-07-30,103.7079,0.4112,0.39808
2020-07-29,103.2967,0.0529,0.05124
2020-07-28,103.2438,0.1283,0.12442
2020-07-27,103.1155,0.0553,0.05366
2020-07-26,103.0602,-0.0381,-0.03696
2020-07-23,103.0983,-0.0098,-0.0095
2020-07-22,103.1081,0.7191,0.70232
2020-07-21,102.389,0.232,0.2271
2020-07-20,102.157,0.8348,0.82391
2020-07-19,101.3222,0.0519,0.05125
2020-07-16,101.2703,0.183,0.18103
2020-07-15,101.0873,0.1978,0.19606
2020-07-14,100.8895,0.4988,0.49686
2020-07-13,100.3907,0.1042,0.1039
2020-07-12,100.2865,-0.0637,-0.06348
2020-07-09,100.3502,-0.2494,-0.24791
2020-07-08,100.5996,0.0228,0.02267
2020-07-07,100.5768,0.0094,0.00935
2020-07-06,100.5674,0.225,0.22423
2020-07-05,100.3424,0.2142,0.21393
2020-07-02,100.1282,0.2772,0.27761
2020-07-01,99.851,0.4209,0.42331
2020-06-30,99.4301,0.1968,0.19832
2020-06-29,99.2333,-0.4984,-0.49974
2020-06-28,99.7317,-0.4202,-0.41956
2020-06-25,100.1519,-0.1008,-0.10055
2020-06-24,100.2527,-0.6292,-0.6237
2020-06-23,100.8819,-0.3246,-0.32073
2020-06-22,101.2065,-0.0616,-0.06083
2020-06-21,101.2681,-0.042,-0.04146
2020-06-18,101.3101,-0.0218,-0.02151
2020-06-17,101.3319,-0.3552,-0.34931
2020-06-16,101.6871,0.5059,0.49999
2020-06-15,101.1812,1.2294,1.22999
2020-06-14,99.9518,-0.3028,-0.30203
2020-06-11,100.2546,-0.6644,-0.65835
2020-06-10,100.919,-1.0004,-0.98156
2020-06-09,101.9194,0.0198,0.01943
2020-06-08,101.8996,-0.1332,-0.13055
2020-06-07,102.0328,1.3624,1.35333
2020-06-04,100.6704,0.4606,0.45964
2020-06-03,100.2098,0.7053,0.70881
2020-06-02,99.5045,0.9748,0.98935
2020-06-01,98.5297,0.4718,0.48114
2020-05-28,98.0579,0.3508,0.35903
2020-05-27,97.7071,0.3724,0.3826
2020-05-26,97.3347,0.9934,1.03113
2020-05-25,96.3413,0.5202,0.54289
2020-05-21,95.8211,0.3056,0.31995
2020-05-20,95.5155,0.6497,0.68486
2020-05-19,94.8658,0.3746,0.39644
2020-05-18,94.4912,0.6894,0.73495
2020-05-17,93.8018,0.4639,0.49701
2020-05-14,93.3379,-0.3308,-0.35316
2020-05-13,93.6687,-0.7144,-0.75692
2020-05-12,94.3831,0.149,0.15812
2020-05-11,94.2341,0.289,0.30763
2020-05-10,93.9451,0.2005,0.21388
2020-05-06,93.7446,0.0822,0.08776
2020-05-05,93.6624,0.6245,0.67123
2020-05-04,93.0379,-0.1679,-0.18014
2020-04-30,93.2058,-0.153,-0.16388
2020-04-29,93.3588,0.5938,0.64011
2020-04-28,92.765,0.2755,0.29787
2020-04-27,92.4895,0.0648,0.07011
2020-04-26,92.4247,-0.4844,-0.52137
2020-04-23,92.9091,-0.2574,-0.27628
2020-04-22,93.1665,0.2956,0.31829
2020-04-21,92.8709,-0.533,-0.57064
2020-04-20,93.4039,-0.9235,-0.97904
2020-04-19,94.3274,-0.1205,-0.12758
2020-04-16,94.4479,0.2606,0.27668
2020-04-15,94.1873,0.1117,0.11873
2020-04-14,94.0756,0.2344,0.24978
2020-04-13,93.8412,3.7457,4.15748
2020-04-08,90.0955,1.0302,1.15668
2020-04-07,89.0653,0.7676,0.86933
2020-04-06,88.2977,0.5461,0.62232
2020-04-05,87.7516,-0.7597,-0.85831
2020-04-02,88.5113,-0.1171,-0.13212
2020-04-01,88.6284,-0.8865,-0.99034
2020-03-31,89.5149,-0.275,-0.30627
2020-03-30,89.7899,0.8855,0.99601
2020-03-29,88.9044,0.5799,0.65656
2020-03-26,88.3245,2.2429,2.60555
2020-03-25,86.0816,2.124,2.52985
2020-03-24,83.9576,1.1755,1.41999
2020-03-23,82.7821,-1.2563,-1.49491
2020-03-22,84.0384,-1.3894,-1.6264
2020-03-19,85.4278,-0.6514,-0.75674
2020-03-18,86.0792,-3.5801,-3.993
2020-03-17,89.6593,-3.9923,-4.26293
2020-03-15,93.6516,-2.1741,-2.26881
2020-03-12,95.8257,-0.7368,-0.76303
2020-03-11,96.5625,-3.5456,-3.54177
2020-03-10,100.1081,-0.8465,-0.8385
2020-03-09,100.9546,-1.8456,-1.79533
2020-03-08,102.8002,-1.9698,-1.88012
2020-03-05,104.77,-1.4556,-1.37029
2020-03-04,106.2256,0.1344,0.12668
