tradeDate,nav,change,changePercent
2022-09-01,8.87,0.05,0.56689
2022-08-31,8.82,-0.13,-1.45251
2022-08-30,8.95,-0.04,-0.44494
2022-08-29,8.99,-0.02,-0.22198
2022-08-28,9.01,-0.19,-2.06522
2022-08-25,9.2,0.04,0.43668
2022-08-24,9.16,0.04,0.4386
2022-08-23,9.12,0.0,0.0
2022-08-22,9.12,-0.13,-1.40541
2022-08-21,9.14,,
2022-08-18,9.25,-0.05,-0.53763
2022-08-17,9.3,-0.01,-0.10741
2022-08-16,9.31,-0.06,-0.64034
2022-08-15,9.37,-0.01,-0.10661
2022-08-11,9.38,-0.02,-0.21277
2022-08-10,9.4,0.1,1.07527
2022-08-09,9.3,0.08,0.86768
2022-08-08,9.22,-0.1,-1.07296
2022-08-07,9.32,0.09,0.97508
2022-08-04,9.23,-0.02,-0.21622
2022-08-03,9.25,0.05,0.54348
2022-08-02,9.2,0.05,0.54645
2022-08-01,9.15,0.0,0.0
2022-07-31,9.15,0.04,0.43908
2022-07-28,9.11,0.13,1.44766
2022-07-27,8.98,0.06,0.67265
2022-07-26,8.92,0.03,0.33746
2022-07-25,8.89,-0.04,-0.44793
2022-07-24,8.93,-0.03,-0.33482
2022-07-21,8.96,0.06,0.67416
2022-07-20,8.9,0.08,0.90703
2022-07-19,8.82,,
2022-07-18,8.74,,
2022-07-17,8.75,,
2022-07-14,8.63,,
2022-07-13,8.61,-0.06,-0.69204
2022-07-12,8.67,,
2022-07-11,8.74,,
2022-07-10,8.76,,
2022-07-07,8.78,0.01,0.11403
2022-07-06,8.77,0.07,0.8046
2022-07-05,8.7,0.1,1.16279
2022-07-04,8.6,-0.04,-0.46296
2022-06-30,8.64,0.06,0.6993
2022-06-29,8.58,-0.12,-1.37931
2022-06-28,8.7,-0.16,-1.80587
2022-06-27,8.86,0.03,0.33975
2022-06-26,8.83,0.06,0.68415
2022-06-23,8.77,0.13,1.50463
2022-06-21,8.64,-0.02,-0.23095
2022-06-20,8.66,0.08,0.9324
2022-06-16,8.58,-0.02,-0.23256
2022-06-15,8.6,-0.11,-1.26292
2022-06-14,8.71,-0.04,-0.45714
2022-06-13,8.75,-0.11,-1.24153
2022-06-12,8.86,-0.25,-2.74424
2022-06-09,9.11,-0.2,-2.14823
2022-06-08,9.31,-0.07,-0.74627
2022-06-07,9.38,0.07,0.75188
2022-06-06,9.31,-0.05,-0.53419
2022-06-02,9.36,0.04,0.42918
2022-06-01,9.32,-0.07,-0.74547
2022-05-31,9.39,0.04,0.42781
2022-05-30,9.35,0.03,0.32189
2022-05-26,9.32,0.33,3.67075
2022-05-24,8.99,0.05,0.55928
2022-05-23,8.94,-0.04,-0.44543
2022-05-22,8.98,-0.03,-0.33296
2022-05-19,9.01,0.08,0.89586
2022-05-18,8.93,-0.14,-1.54355
2022-05-17,9.07,-0.06,-0.65717
2022-05-16,9.13,0.07,0.77263
2022-05-15,9.06,-0.06,-0.65789
2022-05-12,9.12,0.15,1.67224
2022-05-11,8.97,-0.18,-1.96721
2022-05-10,9.15,-0.03,-0.3268
2022-05-09,9.18,-0.15,-1.60772
2022-05-05,9.33,-0.26,-2.71116
2022-05-04,9.59,0.08,0.84122
2022-05-03,9.51,-0.02,-0.20986
2022-05-02,9.53,0.01,0.10504
2022-05-01,9.52,-0.18,-1.85567
2022-04-28,9.7,0.08,0.8316
2022-04-27,9.62,-0.03,-0.31088
2022-04-26,9.65,-0.02,-0.20683
2022-04-25,9.67,0.03,0.3112
2022-04-24,9.64,-0.18,-1.83299
2022-04-21,9.82,-0.21,-2.09372
2022-04-20,10.03,0.05,0.501
2022-04-19,9.98,0.04,0.40241
2022-04-18,9.94,-0.12,-1.19284
2022-04-13,10.06,0.03,0.2991
2022-04-12,10.03,-0.06,-0.59465
2022-04-11,10.09,0.03,0.29821
2022-04-10,10.06,-0.06,-0.59289
2022-04-07,10.12,-0.05,-0.49164
2022-04-06,10.17,0.01,0.09843
2022-04-05,10.16,-0.22,-2.11946
2022-04-04,10.38,0.02,0.19305
2022-04-03,10.36,0.03,0.29042
2022-03-31,10.33,-0.05,-0.4817
2022-03-30,10.38,-0.03,-0.28818
2022-03-29,10.41,0.02,0.19249
2022-03-28,10.39,0.09,0.87379
2022-03-27,10.3,0.02,0.19455
2022-03-24,10.28,0.06,0.58708
2022-03-23,10.22,-0.02,-0.19531
2022-03-22,10.24,-0.02,-0.19493
2022-03-21,10.26,0.05,0.48972
2022-03-20,10.21,0.05,0.49213
2022-03-17,10.16,0.11,1.09453
2022-03-16,10.05,0.05,0.5
2022-03-15,10.0,0.18,1.83299
2022-03-14,9.82,-0.11,-1.10775
2022-03-13,9.93,-0.1,-0.99701
2022-03-10,10.03,0.01,0.0998
2022-03-09,10.02,0.0,0.0
2022-03-08,10.02,0.09,0.90634
2022-03-07,9.93,-0.17,-1.68317
2022-03-06,10.1,-0.07,-0.6883
2022-03-03,10.17,-0.12,-1.16618
2022-03-02,10.29,0.04,0.39024
2022-03-01,10.25,-0.02,-0.19474
2022-02-28,10.27,0.04,0.39101
2022-02-27,10.23,0.09,0.88757
2022-02-24,10.14,0.21,2.1148
2022-02-23,9.93,-0.23,-2.26378
2022-02-22,10.16,-0.04,-0.39216
2022-02-21,10.2,-0.07,-0.6816
2022-02-17,10.27,-0.06,-0.58083
2022-02-16,10.33,-0.01,-0.09671
2022-02-15,10.34,-0.02,-0.19305
2022-02-14,10.36,-0.03,-0.28874
2022-02-13,10.39,-0.14,-1.32953
2022-02-10,10.53,-0.09,-0.84746
2022-02-09,10.62,0.01,0.09425
2022-02-08,10.61,0.16,1.5311
2022-02-07,10.45,-0.07,-0.6654
2022-02-06,10.52,0.07,0.66986
2022-02-03,10.45,-0.05,-0.47619
2022-02-02,10.5,-0.11,-1.03676
2022-02-01,10.61,0.08,0.75973
2022-01-31,10.53,0.12,1.15274
2022-01-30,10.41,0.21,2.05882
2022-01-27,10.2,-0.21,-2.01729
2022-01-26,10.41,-0.05,-0.47801
2022-01-25,10.46,0.16,1.5534
2022-01-24,10.3,0.02,0.19455
2022-01-23,10.28,-0.22,-2.09524
2022-01-20,10.5,-0.22,-2.05224
2022-01-19,10.72,-0.03,-0.27907
2022-01-18,10.75,0.01,0.09311
2022-01-17,10.74,-0.17,-1.5582
2022-01-13,10.91,-0.14,-1.26697
2022-01-12,11.05,-0.02,-0.18067
2022-01-11,11.07,0.15,1.37363
2022-01-10,10.92,0.11,1.01758
2022-01-09,10.81,-0.23,-2.08333
2022-01-06,11.04,0.04,0.36364
2022-01-05,11.0,-0.2,-1.78571
2022-01-04,11.2,-0.08,-0.70922
2022-01-03,11.28,0.03,0.26667
