tradeDate,nav,change,changePercent
2022-09-01,10.92,0.04,0.36765
2022-08-31,10.88,-0.05,-0.45746
2022-08-30,10.93,-0.12,-1.08597
2022-08-29,11.05,,
2022-08-28,11.12,-0.04,-0.35842
2022-08-25,11.16,-0.02,-0.17889
2022-08-24,11.18,0.02,0.17921
2022-08-23,11.16,0.0,0.0
2022-08-22,11.16,-0.02,-0.17889
2022-08-21,11.18,-0.09,-0.79858
2022-08-18,11.27,-0.05,-0.4417
2022-08-17,11.32,-0.01,-0.08826
2022-08-16,11.33,-0.06,-0.52678
2022-08-15,11.39,-0.01,-0.08772
2022-08-11,11.4,0.02,0.17575
2022-08-10,11.38,0.02,0.17606
2022-08-09,11.36,0.06,0.53097
2022-08-08,11.3,-0.03,-0.26478
2022-08-07,11.33,0.02,0.17683
2022-08-04,11.31,-0.01,-0.08834
2022-08-03,11.32,0.03,0.26572
2022-08-02,11.29,0.02,0.17746
2022-08-01,11.27,0.0,0.0
2022-07-31,11.27,0.03,0.2669
2022-07-28,11.24,0.01,0.08905
2022-07-27,11.23,0.06,0.53715
2022-07-26,11.17,0.04,0.35939
2022-07-25,11.13,-0.02,-0.17937
2022-07-24,11.15,0.01,0.08977
2022-07-21,11.14,0.05,0.45086
2022-07-20,11.09,0.04,0.36199
2022-07-19,11.05,0.07,0.63752
2022-07-18,10.98,0.04,0.36563
2022-07-17,10.94,0.04,0.36697
2022-07-14,10.9,0.04,0.36832
2022-07-13,10.86,-0.03,-0.27548
2022-07-12,10.89,-0.01,-0.09174
2022-07-11,10.9,0.01,0.09183
2022-07-10,10.89,0.0,0.0
2022-07-07,10.89,0.03,0.27624
2022-07-06,10.86,0.07,0.64875
2022-07-05,10.79,0.01,0.09276
2022-07-04,10.78,-0.03,-0.27752
2022-06-30,10.81,0.05,0.46468
2022-06-29,10.76,-0.09,-0.82949
2022-06-28,10.85,-0.06,-0.54995
2022-06-27,10.91,-0.06,-0.54695
2022-06-26,10.97,-0.01,-0.09107
2022-06-23,10.98,0.06,0.54945
2022-06-21,10.92,-0.02,-0.18282
2022-06-20,10.94,0.01,0.09149
2022-06-16,10.93,0.01,0.09158
2022-06-15,10.92,-0.09,-0.81744
2022-06-14,11.01,0.07,0.63985
2022-06-13,10.94,-0.04,-0.3643
2022-06-12,10.98,-0.26,-2.31317
2022-06-09,11.24,-0.11,-0.96916
2022-06-08,11.35,-0.05,-0.4386
2022-06-07,11.4,-0.02,-0.17513
2022-06-06,11.42,-0.05,-0.43592
2022-06-02,11.47,-0.02,-0.17406
2022-06-01,11.49,-0.04,-0.34692
2022-05-31,11.53,0.04,0.34813
2022-05-30,11.49,-0.05,-0.43328
2022-05-26,11.54,0.17,1.49516
2022-05-24,11.37,0.07,0.61947
2022-05-23,11.3,0.02,0.1773
2022-05-22,11.28,0.01,0.08873
2022-05-19,11.27,0.02,0.17778
2022-05-18,11.25,-0.02,-0.17746
2022-05-17,11.27,-0.06,-0.52957
2022-05-16,11.33,0.0,0.0
2022-05-15,11.33,-0.01,-0.08818
2022-05-12,11.34,0.01,0.08826
2022-05-11,11.33,-0.04,-0.3518
2022-05-10,11.37,0.01,0.08803
2022-05-09,11.36,-0.07,-0.61242
2022-05-05,11.43,-0.06,-0.52219
2022-05-04,11.49,-0.04,-0.34692
2022-05-03,11.53,0.01,0.08681
2022-05-02,11.52,0.01,0.08688
2022-05-01,11.51,-0.05,-0.43253
2022-04-28,11.56,-0.09,-0.77253
2022-04-27,11.65,-0.02,-0.17138
2022-04-26,11.67,-0.01,-0.08562
2022-04-25,11.68,-0.01,-0.08554
2022-04-24,11.69,-0.02,-0.17079
2022-04-21,11.71,-0.03,-0.25554
2022-04-20,11.74,-0.02,-0.17007
2022-04-19,11.76,0.01,0.08511
2022-04-18,11.75,-0.03,-0.25467
2022-04-13,11.78,0.0,0.0
2022-04-12,11.78,0.01,0.08496
2022-04-11,11.77,0.02,0.17021
2022-04-10,11.75,-0.05,-0.42373
