tradeDate,nav,change,changePercent
2022-09-01,8.303,0.02,0.24146
2022-08-31,8.283,-0.09,-1.07488
2022-08-30,8.373,-0.007,-0.08353
2022-08-29,8.38,-0.001,-0.01193
2022-08-28,8.381,-0.046,-0.54586
2022-08-25,8.427,0.023,0.27368
2022-08-24,8.404,0.015,0.17881
2022-08-23,8.389,-0.045,-0.53355
2022-08-22,8.434,0.018,0.21388
2022-08-21,8.416,-0.033,-0.39058
2022-08-18,8.449,-0.067,-0.78675
2022-08-17,8.516,0.026,0.30624
2022-08-16,8.49,-0.044,-0.51558
2022-08-15,8.534,-0.031,-0.36194
2022-08-14,8.565,0.043,0.50458
2022-08-11,8.522,-0.016,-0.1874
2022-08-10,8.538,-0.025,-0.29195
2022-08-09,8.563,0.015,0.17548
2022-08-08,8.548,-0.007,-0.08182
2022-08-07,8.555,0.042,0.49336
2022-08-04,8.513,-0.082,-0.95404
2022-08-03,8.595,0.04,0.46756
2022-08-02,8.555,-0.038,-0.44222
2022-08-01,8.593,-0.048,-0.55549
2022-07-31,8.641,0.005,0.0579
2022-07-28,8.636,0.036,0.4186
2022-07-27,8.6,0.044,0.51426
2022-07-26,8.556,-0.005,-0.0584
2022-07-25,8.561,0.016,0.18724
2022-07-24,8.545,-0.013,-0.1519
2022-07-21,8.558,0.09,1.06282
2022-07-20,8.468,0.039,0.46269
2022-07-19,8.429,-0.003,-0.03558
2022-07-18,8.432,0.007,0.08309
2022-07-17,8.425,-0.04,-0.47253
2022-07-14,8.465,0.027,0.31998
2022-07-13,8.438,-0.01,-0.11837
2022-07-12,8.448,-0.022,-0.25974
2022-07-11,8.47,0.028,0.33167
2022-07-10,8.442,0.06,0.71582
2022-07-07,8.382,-0.036,-0.42766
2022-07-06,8.418,-0.038,-0.44939
2022-07-05,8.456,-0.06,-0.70456
2022-07-04,8.516,0.078,0.92439
2022-07-03,8.438,-0.029,-0.34251
2022-06-30,8.467,0.036,0.427
2022-06-29,8.431,0.043,0.51264
2022-06-28,8.388,0.037,0.44306
2022-06-27,8.351,-0.003,-0.03591
2022-06-26,8.354,-0.036,-0.42908
2022-06-23,8.39,-0.024,-0.28524
2022-06-22,8.414,,
2022-06-21,8.365,0.067,0.80742
2022-06-20,8.298,-0.03,-0.36023
2022-06-19,8.328,-0.002,-0.02401
2022-06-16,8.33,0.049,0.59172
2022-06-15,8.281,0.016,0.19359
2022-06-14,8.265,0.017,0.20611
2022-06-13,8.248,-0.044,-0.53063
2022-06-12,8.292,-0.117,-1.39137
2022-06-09,8.409,-0.068,-0.80217
2022-06-08,8.477,-0.025,-0.29405
2022-06-07,8.502,-0.027,-0.31657
2022-06-06,8.529,0.028,0.32937
2022-06-05,8.501,-0.03,-0.35166
2022-06-02,8.531,-0.019,-0.22222
2022-06-01,8.55,0.001,0.0117
2022-05-31,8.549,-0.048,-0.55833
2022-05-30,8.597,-0.053,-0.61272
2022-05-29,8.65,-0.012,-0.13854
2022-05-26,8.662,0.043,0.4989
2022-05-25,8.619,-0.004,-0.04639
2022-05-24,8.623,0.018,0.20918
2022-05-23,8.605,0.058,0.6786
2022-05-22,8.547,-0.018,-0.21016
2022-05-19,8.565,0.009,0.10519
2022-05-18,8.556,0.042,0.49331
2022-05-17,8.514,0.012,0.14114
2022-05-16,8.502,-0.054,-0.63114
2022-05-15,8.556,0.009,0.1053
2022-05-12,8.547,-0.031,-0.36139
2022-05-11,8.578,0.056,0.65712
2022-05-10,8.522,-0.009,-0.1055
2022-05-09,8.531,0.067,0.79159
2022-05-08,8.464,-0.017,-0.20045
2022-05-05,8.481,-0.002,-0.02358
2022-05-04,8.483,-0.054,-0.63254
2022-05-03,8.537,-0.019,-0.22207
2022-05-02,8.556,0.026,0.30481
2022-05-01,8.53,-0.067,-0.77934
2022-04-28,8.597,-0.022,-0.25525
2022-04-27,8.619,-0.039,-0.45045
2022-04-26,8.658,-0.032,-0.36824
2022-04-25,8.69,0.016,0.18446
2022-04-24,8.674,0.055,0.63813
2022-04-21,8.619,0.007,0.08128
2022-04-20,8.612,-0.046,-0.5313
2022-04-19,8.658,0.013,0.15038
2022-04-18,8.645,-0.028,-0.32284
2022-04-17,8.673,-0.015,-0.17265
2022-04-14,8.688,-0.011,-0.12645
2022-04-13,8.699,-0.082,-0.93383
2022-04-12,8.781,0.024,0.27407
2022-04-11,8.757,0.031,0.35526
2022-04-10,8.726,-0.05,-0.56974
2022-04-07,8.776,-0.031,-0.35199
2022-04-06,8.807,-0.028,-0.31692
2022-04-05,8.835,-0.024,-0.27091
2022-04-04,8.859,-0.081,-0.90604
2022-04-03,8.94,-0.006,-0.06707
