tradeDate,nav,change,changePercent
2022-09-01,11.048,,
2022-08-31,11.1006,0.0228,0.20582
2022-08-30,11.0778,,
2022-08-29,11.0818,-0.0365,-0.32829
2022-08-28,11.1183,0.0076,0.0684
2022-08-25,11.1107,0.0396,0.35769
2022-08-24,11.0711,0.0091,0.08226
2022-08-23,11.062,-0.0024,-0.02169
2022-08-22,11.0644,-0.0628,-0.56438
2022-08-21,11.1272,-0.0237,-0.21254
2022-08-18,11.1509,-0.0356,-0.31824
2022-08-17,11.1865,-0.0281,-0.25057
2022-08-16,11.2146,0.0119,0.10622
2022-08-15,11.2027,,
2022-08-11,11.1411,0.0304,0.27361
2022-08-10,11.1107,0.0062,0.05583
2022-08-09,11.1045,0.0103,0.09284
2022-08-08,11.0942,-0.0143,-0.12873
2022-08-07,11.1085,-0.0101,-0.09084
2022-08-04,11.1186,0.0233,0.21
2022-08-03,11.0953,-0.0126,-0.11343
2022-08-02,11.1079,-0.0199,-0.17883
2022-08-01,11.1278,0.0342,0.30829
2022-07-31,11.0936,0.0487,0.44093
2022-07-28,11.0449,0.0436,0.39632
2022-07-27,11.0013,-0.0028,-0.02545
2022-07-26,11.0041,0.0352,0.32091
2022-07-25,10.9689,0.0254,0.2321
2022-07-24,10.9435,0.0951,0.87663
2022-07-21,10.8484,0.0661,0.61304
2022-07-20,10.7823,-0.0034,-0.03152
2022-07-19,10.7857,-0.0232,-0.21464
2022-07-18,10.8089,-0.0122,-0.11274
2022-07-17,10.8211,-0.0106,-0.09786
2022-07-14,10.8317,,
2022-07-13,10.8484,,
2022-07-12,10.851,-0.105,-0.95838
2022-07-11,10.956,-0.0542,-0.49227
2022-07-10,11.0102,-0.009,-0.08168
2022-07-07,11.0192,-0.0784,-0.70646
2022-07-06,11.0976,-0.0695,-0.62236
2022-07-05,11.1671,-0.068,-0.60525
2022-07-04,11.2351,-0.023,-0.2043
2022-07-03,11.2581,-0.0093,-0.08254
2022-06-30,11.2674,-0.02,-0.17719
2022-06-29,11.2874,-0.0219,-0.19365
2022-06-28,11.3093,-0.0095,-0.08393
2022-06-27,11.3188,-0.0137,-0.12089
2022-06-26,11.3325,-0.0089,-0.07847
2022-06-23,11.3414,-0.0373,-0.32781
2022-06-21,11.3787,-0.0703,-0.61403
2022-06-20,11.449,-0.0204,-0.17786
2022-06-19,11.4694,0.0015,0.01308
2022-06-16,11.4679,0.0032,0.02791
2022-06-15,11.4647,0.0041,0.03577
2022-06-14,11.4606,-0.0801,-0.69407
2022-06-13,11.5407,-0.1588,-1.35732
2022-06-12,11.6995,-0.0835,-0.70865
2022-06-09,11.783,-0.0501,-0.42339
2022-06-08,11.8331,0.0076,0.06427
2022-06-07,11.8255,0.018,0.15245
2022-06-06,11.8075,-0.0157,-0.13279
2022-06-02,11.8232,-0.0523,-0.4404
2022-06-01,11.8755,-0.0319,-0.2679
2022-05-31,11.9074,0.0102,0.08573
2022-05-30,11.8972,-0.017,-0.14269
2022-05-29,11.9142,0.0067,0.05627
2022-05-26,11.9075,0.0572,0.48269
2022-05-24,11.8503,0.0354,0.29962
2022-05-23,11.8149,0.0102,0.08641
2022-05-22,11.8047,0.0394,0.33488
2022-05-19,11.7653,-0.0064,-0.05437
2022-05-18,11.7717,0.0165,0.14036
2022-05-17,11.7552,-0.0279,-0.23678
2022-05-16,11.7831,-0.0054,-0.04581
2022-05-15,11.7885,-0.0297,-0.25131
2022-05-12,11.8182,-0.036,-0.30369
2022-05-11,11.8542,-0.0191,-0.16087
2022-05-10,11.8733,-0.0271,-0.22772
2022-05-09,11.9004,-0.0529,-0.44256
2022-05-05,11.9533,0.0029,0.02427
2022-05-04,11.9504,0.0038,0.03181
2022-05-03,11.9466,-0.0533,-0.44417
2022-05-02,11.9999,-0.0269,-0.22367
2022-05-01,12.0268,0.0372,0.31027
2022-04-28,11.9896,0.0069,0.05758
2022-04-27,11.9827,-0.0283,-0.23562
2022-04-26,12.011,0.008,0.06665
2022-04-25,12.003,-0.0152,-0.12647
2022-04-24,12.0182,-0.0065,-0.05406
2022-04-21,12.0247,-0.0326,-0.27038
2022-04-20,12.0573,0.0015,0.01244
2022-04-19,12.0558,-0.0354,-0.29277
2022-04-18,12.0912,-0.0281,-0.23186
2022-04-13,12.1193,0.0362,0.29959
2022-04-12,12.0831,-0.0045,-0.03723
2022-04-11,12.0876,-0.0531,-0.43737
2022-04-10,12.1407,-0.0345,-0.28336
2022-04-07,12.1752,-0.0254,-0.20819
2022-04-06,12.2006,0.0112,0.09188
2022-04-05,12.1894,-0.008,-0.06559
2022-04-04,12.1974,0.0044,0.03609
2022-04-03,12.193,-0.0037,-0.03034
2022-03-31,12.1967,0.0115,0.09438
2022-03-30,12.1852,0.0573,0.47246
2022-03-29,12.1279,0.0325,0.2687
2022-03-28,12.0954,-0.0064,-0.05288
2022-03-27,12.1018,-0.0205,-0.16911
2022-03-24,12.1223,-0.0036,-0.02969
2022-03-23,12.1259,0.0262,0.21653
2022-03-22,12.0997,0.0127,0.10507
2022-03-21,12.087,0.0348,0.28874
2022-03-20,12.0522,0.0197,0.16372
2022-03-17,12.0325,0.0543,0.45332
2022-03-16,11.9782,-0.0232,-0.19331
2022-03-15,12.0014,-0.0559,-0.46362
2022-03-14,12.0573,-0.0347,-0.28697
2022-03-13,12.092,-0.0173,-0.14287
2022-03-10,12.1093,0.0058,0.04792
2022-03-09,12.1035,-0.0349,-0.28752
2022-03-08,12.1384,-0.0758,-0.62059
2022-03-07,12.2142,-0.0625,-0.50909
2022-03-06,12.2767,-0.0338,-0.27456
2022-03-03,12.3105,-0.0055,-0.04466
2022-03-02,12.316,-0.0555,-0.44861
2022-03-01,12.3715,-0.0146,-0.11787
2022-02-28,12.3861,-0.0231,-0.18615
2022-02-27,12.4092,0.0182,0.14688
2022-02-24,12.391,-0.1255,-1.00268
2022-02-23,12.5165,-0.1385,-1.09443
2022-02-22,12.655,-0.0482,-0.37943
2022-02-21,12.7032,0.0525,0.415
2022-02-20,12.6507,-0.0263,-0.20746
2022-02-17,12.677,-0.0225,-0.17717
2022-02-16,12.6995,-0.0569,-0.44605
2022-02-15,12.7564,-0.0626,-0.48834
2022-02-14,12.819,-0.1287,-0.994
2022-02-13,12.9477,0.0008,0.00618
2022-02-10,12.9469,-0.0757,-0.5813
2022-02-09,13.0226,0.0207,0.15921
2022-02-08,13.0019,-0.0584,-0.44716
2022-02-07,13.0603,-0.0007,-0.00536
2022-02-06,13.061,-0.0385,-0.2939
2022-02-03,13.0995,-0.0086,-0.06561
2022-02-02,13.1081,0.0107,0.0817
2022-02-01,13.0974,-0.0109,-0.08315
2022-01-31,13.1083,-0.017,-0.12952
2022-01-30,13.1253,-0.0912,-0.69005
2022-01-27,13.2165,-0.0547,-0.41217
2022-01-26,13.2712,0.0235,0.17739
2022-01-25,13.2477,0.0027,0.02039
2022-01-24,13.245,0.0274,0.2073
2022-01-23,13.2176,0.0876,0.66717
2022-01-20,13.13,0.0992,0.76127
2022-01-19,13.0308,0.1856,1.4449
2022-01-18,12.8452,-0.0574,-0.44487
2022-01-17,12.9026,-0.0323,-0.24971
2022-01-16,12.9349,-0.118,-0.90401
2022-01-13,13.0529,-0.1252,-0.95006
2022-01-12,13.1781,-0.0698,-0.52688
2022-01-11,13.2479,-0.1292,-0.96583
2022-01-10,13.3771,-0.0501,-0.37312
2022-01-09,13.4272,-0.0342,-0.25406
2022-01-06,13.4614,-0.0776,-0.57316
2022-01-05,13.539,-0.0627,-0.46097
2022-01-04,13.6017,-0.046,-0.33705
2022-01-03,13.6477,0.006,0.04398
2021-12-30,13.6417,0.02,0.14682
2021-12-29,13.6217,0.0033,0.02423
2021-12-28,13.6184,-0.0603,-0.44083
2021-12-22,13.6787,0.0538,0.39487
2021-12-21,13.6249,-0.0186,-0.13633
2021-12-20,13.6435,-0.0355,-0.25952
2021-12-19,13.679,-0.0019,-0.01389
2021-12-16,13.6809,0.0023,0.01681
2021-12-15,13.6786,-0.0454,-0.33081
2021-12-14,13.724,-0.0284,-0.20651
2021-12-13,13.7524,-0.001,-0.00727
2021-12-12,13.7534,0.0345,0.25148
2021-12-09,13.7189,0.0127,0.09266
2021-12-08,13.7062,0.0452,0.33087
2021-12-07,13.661,0.0656,0.48252
2021-12-06,13.5954,0.0203,0.14954
2021-12-05,13.5751,0.0228,0.16824
2021-12-02,13.5523,-0.009,-0.06637
2021-12-01,13.5613,-0.0497,-0.36515
2021-11-30,13.611,-0.0308,-0.22578
2021-11-29,13.6418,-0.0271,-0.19826
2021-11-28,13.6689,-0.0446,-0.32523
2021-11-25,13.7135,-0.014,-0.10199
2021-11-24,13.7275,0.0083,0.0605
2021-11-23,13.7192,-0.0264,-0.19206
2021-11-22,13.7456,-0.0141,-0.10247
2021-11-21,13.7597,0.0264,0.19223
2021-11-18,13.7333,0.02,0.14584
2021-11-17,13.7133,0.0378,0.27641
2021-11-16,13.6755,-0.0365,-0.26619
2021-11-15,13.712,0.0138,0.10074
2021-11-14,13.6982,0.099,0.72798
2021-11-11,13.5992,0.0282,0.2078
2021-11-10,13.571,0.0047,0.03464
2021-11-09,13.5663,-0.0884,-0.6474
2021-11-08,13.6547,-0.045,-0.32847
2021-11-07,13.6997,-0.0056,-0.04086
2021-11-04,13.7053,-0.0369,-0.26852
2021-11-03,13.7422,-0.0127,-0.09233
2021-11-02,13.7549,-0.0404,-0.29285
2021-11-01,13.7953,-0.0507,-0.36617
2021-10-28,13.846,-0.0542,-0.38992
2021-10-27,13.9002,0.0015,0.01079
2021-10-26,13.8987,-0.0031,-0.0223
2021-10-25,13.9018,0.0038,0.02734
2021-10-24,13.898,0.0039,0.02807
2021-10-21,13.8941,-0.0338,-0.24268
2021-10-20,13.9279,-0.0067,-0.04808
2021-10-19,13.9346,0.0287,0.20639
2021-10-18,13.9059,0.022,0.15846
2021-10-17,13.8839,0.0149,0.10743
2021-10-14,13.869,-0.0235,-0.16916
2021-10-13,13.8925,-0.0405,-0.29068
2021-10-12,13.933,-0.0194,-0.13904
2021-10-11,13.9524,-0.0671,-0.47862
2021-10-10,14.0195,-0.0221,-0.15739
2021-10-07,14.0416,-0.0558,-0.39582
2021-10-06,14.0974,-0.0641,-0.45264
2021-10-05,14.1615,-0.0901,-0.63221
2021-10-04,14.2516,-0.0499,-0.34891
2021-10-03,14.3015,-0.0003,-0.0021
2021-09-30,14.3018,0.0054,0.03777
2021-09-29,14.2964,-0.0279,-0.19477
2021-09-28,14.3243,-0.0056,-0.03908
2021-09-27,14.3299,-0.0117,-0.08158
2021-09-26,14.3416,-0.0125,-0.08708
2021-09-23,14.3541,0.0016,0.01115
2021-09-22,14.3525,-0.0181,-0.12595
2021-09-21,14.3706,-0.0194,-0.13482
2021-09-20,14.39,-0.145,-0.99759
2021-09-19,14.535,-0.0091,-0.06257
2021-09-16,14.5441,-0.0144,-0.09891
2021-09-15,14.5585,-0.0347,-0.23778
2021-09-14,14.5932,-0.0065,-0.04452
2021-09-13,14.5997,0.001,0.00685
2021-09-12,14.5987,0.0049,0.03358
2021-09-09,14.5938,0.0032,0.02193
2021-09-08,14.5906,0.0096,0.06584
2021-09-07,14.581,0.0025,0.01715
2021-09-06,14.5785,-0.0435,-0.2975
2021-09-05,14.622,0.0456,0.31283
2021-09-02,14.5764,0.0012,0.00823
2021-09-01,14.5752,0.007,0.04805
2021-08-31,14.5682,0.0058,0.03983
2021-08-30,14.5624,0.0141,0.09692
2021-08-29,14.5483,0.022,0.15145
2021-08-26,14.5263,0.0534,0.36897
2021-08-25,14.4729,-0.0403,-0.27768
2021-08-24,14.5132,0.014,0.09656
2021-08-23,14.4992,0.0131,0.09043
2021-08-22,14.4861,0.0403,0.27897
2021-08-19,14.4458,-0.0115,-0.07954
2021-08-18,14.4573,0.0233,0.16142
2021-08-17,14.434,-0.0101,-0.06992
2021-08-16,14.4441,0.0199,0.13796
2021-08-15,14.4242,0.018,0.12495
2021-08-12,14.4062,0.0044,0.03055
2021-08-11,14.4018,0.015,0.10426
2021-08-10,14.3868,0.0068,0.04729
2021-08-09,14.38,-0.0087,-0.06046
2021-08-08,14.3887,-0.0064,-0.04446
2021-08-05,14.3951,-0.0086,-0.05971
2021-08-04,14.4037,0.0107,0.07434
2021-08-03,14.393,0.011,0.07648
2021-08-02,14.382,0.0147,0.10232
2021-08-01,14.3673,-0.0096,-0.06677
2021-07-29,14.3769,-0.0037,-0.02573
2021-07-28,14.3806,-0.0082,-0.05699
2021-07-27,14.3888,-0.0238,-0.16513
2021-07-26,14.4126,-0.0234,-0.16209
2021-07-25,14.436,0.002,0.01386
2021-07-22,14.434,0.0199,0.13806
2021-07-21,14.4141,-0.008,-0.05547
2021-07-20,14.4221,-0.0061,-0.04228
2021-07-19,14.4282,0.0222,0.1541
2021-07-18,14.406,0.0211,0.14668
2021-07-15,14.3849,0.0347,0.24181
2021-07-14,14.3502,0.0299,0.20879
2021-07-13,14.3203,0.028,0.19591
2021-07-12,14.2923,0.0197,0.13803
2021-07-11,14.2726,0.0048,0.03364
2021-07-08,14.2678,-0.0039,-0.02733
2021-07-07,14.2717,-0.0031,-0.02172
2021-07-06,14.2748,0.0041,0.02873
2021-07-05,14.2707,-0.0105,-0.07352
2021-07-04,14.2812,-0.0379,-0.26468
2021-07-01,14.3191,0.0078,0.0545
2021-06-30,14.3113,-0.0066,-0.0461
2021-06-29,14.3179,-0.026,-0.18126
2021-06-28,14.3439,-0.0084,-0.05853
2021-06-27,14.3523,0.003,0.02091
