tradeDate,nav,change,changePercent
2022-09-01,147.94,-1.12,-0.75138
2022-08-31,149.06,-2.62,-1.72732
2022-08-30,151.68,-1.33,-0.86922
2022-08-29,153.01,-1.27,-0.82318
2022-08-28,154.28,-1.77,-1.13425
2022-08-25,156.05,-5.9,-3.6431
2022-08-24,161.95,2.01,1.25672
2022-08-23,159.94,1.53,0.96585
2022-08-22,158.41,0.28,0.17707
2022-08-21,158.13,-4.08,-2.51526
2022-08-18,162.21,-3.95,-2.37723
2022-08-17,166.16,0.81,0.48987
2022-08-16,165.35,-3.4,-2.01481
2022-08-15,168.75,-0.1,-0.05922
2022-08-11,168.85,2.7,1.62504
2022-08-10,166.15,-0.23,-0.13824
2022-08-09,166.38,5.69,3.54098
2022-08-08,160.69,-3.33,-2.03024
2022-08-07,164.02,1.04,0.63812
2022-08-04,162.98,0.19,0.11671
2022-08-03,162.79,-1.08,-0.65906
2022-08-02,163.87,2.37,1.46749
2022-08-01,161.5,0.15,0.09297
2022-07-31,161.35,0.51,0.31709
2022-07-28,160.84,0.76,0.47476
2022-07-27,160.08,3.71,2.37258
2022-07-26,156.37,3.53,2.3096
2022-07-25,152.84,-3.05,-1.95651
2022-07-24,155.89,-1.3,-0.82702
2022-07-21,157.19,-1.91,-1.2005
2022-07-20,159.1,2.87,1.83704
2022-07-19,156.23,2.83,1.84485
2022-07-18,153.4,4.86,3.27185
2022-07-17,148.54,-0.56,-0.37559
2022-07-14,149.1,3.71,2.55176
2022-07-13,145.39,-2.38,-1.61061
2022-07-12,147.77,-1.26,-0.84547
2022-07-11,149.03,-3.19,-2.09565
2022-07-10,152.22,-2.07,-1.34163
2022-07-07,154.29,-0.47,-0.3037
2022-07-06,154.76,2.67,1.75554
2022-07-05,152.09,0.33,0.21745
2022-07-04,151.76,1.17,0.77694
2022-06-30,150.59,2.12,1.4279
2022-06-29,148.47,-1.7,-1.13205
2022-06-28,150.17,-0.82,-0.54308
2022-06-27,150.99,-3.31,-2.14517
2022-06-26,154.3,-1.31,-0.84185
2022-06-23,155.61,8.71,5.9292
2022-06-21,146.9,0.86,0.58888
2022-06-20,146.04,2.51,1.74876
2022-06-16,143.53,1.58,1.11307
2022-06-15,141.95,-6.48,-4.36569
2022-06-14,148.43,3.02,2.07689
2022-06-13,145.41,-1.45,-0.98733
2022-06-12,146.86,-7.48,-4.84644
2022-06-09,154.34,-5.54,-3.4651
2022-06-08,159.88,-4.12,-2.5122
2022-06-07,164.0,-1.5,-0.90634
2022-06-06,165.5,3.18,1.95909
2022-06-02,162.32,-2.62,-1.58846
2022-06-01,164.94,5.37,3.36529
2022-05-31,159.57,-1.92,-1.18893
2022-05-30,161.49,-2.94,-1.78799
2022-05-26,164.43,9.33,6.01547
2022-05-24,155.1,2.28,1.49195
2022-05-23,152.82,-3.52,-2.2515
2022-05-22,156.34,2.01,1.3024
2022-05-19,154.33,1.76,1.15357
2022-05-18,152.57,2.22,1.47655
2022-05-17,150.35,-5.6,-3.59089
2022-05-16,155.95,3.39,2.22208
2022-05-15,152.56,-2.88,-1.8528
2022-05-12,155.44,5.78,3.86209
2022-05-11,149.66,1.82,1.23106
2022-05-10,147.84,-3.28,-2.17046
2022-05-09,151.12,-7.76,-4.88419
2022-05-05,158.88,-4.35,-2.66495
2022-05-04,163.23,-7.39,-4.33126
2022-05-03,170.62,2.77,1.65028
2022-05-02,167.85,-0.83,-0.49206
2022-05-01,168.68,0.55,0.32713
2022-04-28,168.13,-4.67,-2.70255
2022-04-27,172.8,4.7,2.79595
2022-04-26,168.1,0.19,0.11316
2022-04-25,167.91,-5.99,-3.44451
2022-04-24,173.9,2.17,1.26361
2022-04-21,171.73,-4.48,-2.54242
2022-04-20,176.21,-4.64,-2.56566
2022-04-19,180.85,-0.15,-0.08287
2022-04-18,181.0,2.04,1.13992
2022-04-13,178.96,-3.16,-1.73512
2022-04-12,182.12,3.62,2.02801
2022-04-11,178.5,-0.89,-0.49613
2022-04-10,179.39,-1.38,-0.7634
2022-04-07,180.77,-2.23,-1.21858
2022-04-06,183.0,-0.27,-0.14732
2022-04-05,183.27,-2.73,-1.46774
2022-04-04,186.0,-3.64,-1.91943
2022-04-03,189.64,1.78,0.94751
2022-03-31,187.86,0.91,0.48676
2022-03-30,186.95,-2.19,-1.15787
2022-03-29,189.14,-2.52,-1.31483
2022-03-28,191.66,5.04,2.70068
2022-03-27,186.62,1.84,0.99578
2022-03-24,184.78,-0.98,-0.52756
2022-03-23,185.76,2.17,1.18198
2022-03-22,183.59,-2.75,-1.4758
2022-03-21,186.34,2.8,1.52555
2022-03-20,183.54,-1.5,-0.81064
2022-03-17,185.04,4.12,2.27725
2022-03-16,180.92,3.71,2.09356
2022-03-15,177.21,6.83,4.00869
2022-03-14,170.38,3.55,2.12791
2022-03-13,166.83,-3.04,-1.7896
2022-03-10,169.87,-3.17,-1.83195
2022-03-09,173.04,-1.13,-0.64879
2022-03-08,174.17,7.31,4.38092
2022-03-07,166.86,-1.86,-1.10242
2022-03-06,168.72,-6.06,-3.46722
2022-03-03,174.78,-4.0,-2.23739
2022-03-02,178.78,-2.74,-1.50948
2022-03-01,181.52,2.66,1.4872
2022-02-28,178.86,-3.06,-1.68206
2022-02-27,181.92,1.1,0.60834
2022-02-24,180.82,2.55,1.43041
2022-02-23,178.27,6.46,3.75997
2022-02-22,171.81,-3.76,-2.1416
2022-02-21,175.57,-2.21,-1.24311
2022-02-17,177.78,-2.44,-1.3539
2022-02-16,180.22,-5.34,-2.87778
2022-02-15,185.56,0.21,0.1133
2022-02-14,185.35,3.54,1.94709
2022-02-13,181.81,-0.42,-0.23048
2022-02-10,182.23,-4.24,-2.27382
2022-02-09,186.47,-3.0,-1.58336
2022-02-08,189.47,5.38,2.92248
2022-02-07,184.09,0.89,0.48581
2022-02-06,183.2,0.18,0.09835
2022-02-03,183.02,0.74,0.40597
2022-02-02,182.28,-5.34,-2.84618
2022-02-01,187.62,-0.8,-0.42458
2022-01-31,188.42,1.66,0.88884
2022-01-30,186.76,6.53,3.62315
2022-01-27,180.23,5.21,2.9768
2022-01-26,175.02,-2.94,-1.65206
2022-01-25,177.96,-1.49,-0.83031
2022-01-24,179.45,-5.0,-2.71076
2022-01-23,184.45,1.42,0.77583
2022-01-20,183.03,-4.49,-2.39441
2022-01-19,187.52,-1.13,-0.59899
2022-01-18,188.65,-1.23,-0.64778
2022-01-17,189.88,-4.49,-2.31003
2022-01-13,194.37,-1.8,-0.91757
2022-01-12,196.17,-5.52,-2.73687
2022-01-11,201.69,-0.46,-0.22755
2022-01-10,202.15,2.15,1.075
2022-01-09,200.0,-1.3,-0.6458
2022-01-06,201.3,-2.46,-1.2073
2022-01-05,203.76,0.46,0.22627
2022-01-04,203.3,-6.43,-3.06585
2022-01-03,209.73,-2.28,-1.07542
2022-01-02,212.01,-1.69,-0.79083
2021-12-30,213.7,-0.41,-0.19149
2021-12-29,214.11,0.61,0.28571
