tradeDate,nav,change,changePercent
2022-09-01,13.18,-0.02,-0.15152
2022-08-31,13.2,0.07,0.53313
2022-08-30,13.13,-0.08,-0.6056
2022-08-29,13.21,-0.06,-0.45215
2022-08-28,13.27,-0.09,-0.67365
2022-08-25,13.36,-0.16,-1.18343
2022-08-24,13.52,0.03,0.22239
2022-08-23,13.49,,
2022-08-22,13.51,-0.06,-0.44215
2022-08-21,13.57,-0.02,-0.14717
2022-08-18,13.59,0.0,0.0
2022-08-17,13.59,0.1,0.74129
2022-08-16,13.49,-0.12,-0.8817
2022-08-15,13.61,0.12,0.88955
2022-08-11,13.49,0.09,0.67164
2022-08-10,13.4,-0.02,-0.14903
2022-08-09,13.42,0.03,0.22405
2022-08-08,13.39,-0.07,-0.52006
2022-08-07,13.46,0.0,0.0
2022-08-04,13.46,0.03,0.22338
2022-08-03,13.43,-0.06,-0.44477
2022-08-02,13.49,0.05,0.37202
2022-08-01,13.44,0.04,0.29851
2022-07-31,13.4,-0.08,-0.59347
2022-07-28,13.48,0.04,0.29762
2022-07-27,13.44,0.11,0.82521
2022-07-26,13.33,0.02,0.15026
2022-07-25,13.31,0.03,0.2259
2022-07-24,13.28,-0.08,-0.5988
2022-07-21,13.36,0.04,0.3003
2022-07-20,13.32,0.06,0.45249
2022-07-19,13.26,0.06,0.45455
2022-07-18,13.2,0.03,0.22779
2022-07-17,13.17,-0.06,-0.45351
2022-07-14,13.23,0.0,0.0
2022-07-13,13.23,-0.02,-0.15094
2022-07-12,13.25,-0.06,-0.45079
2022-07-11,13.31,0.02,0.15049
2022-07-10,13.29,0.09,0.68182
2022-07-07,13.2,-0.02,-0.15129
2022-07-06,13.22,0.09,0.68545
2022-07-05,13.13,0.11,0.84485
2022-07-04,13.02,0.15,1.1655
2022-06-30,12.87,0.1,0.78309
2022-06-29,12.77,-0.1,-0.777
2022-06-28,12.87,0.05,0.39002
2022-06-27,12.82,-0.02,-0.15576
2022-06-26,12.84,-0.09,-0.69606
2022-06-23,12.93,0.24,1.89125
2022-06-21,12.69,-0.03,-0.23585
2022-06-20,12.72,-0.01,-0.07855
2022-06-16,12.73,0.11,0.87163
2022-06-15,12.62,-0.25,-1.9425
2022-06-14,12.87,0.05,0.39002
2022-06-13,12.82,-0.09,-0.69713
2022-06-12,12.91,-0.08,-0.61586
2022-06-09,12.99,-0.03,-0.23041
2022-06-08,13.02,-0.02,-0.15337
2022-06-07,13.04,-0.07,-0.53394
2022-06-06,13.11,0.01,0.07634
2022-06-02,13.1,-0.05,-0.38023
2022-06-01,13.15,-0.01,-0.07599
2022-05-31,13.16,0.02,0.15221
2022-05-30,13.14,-0.04,-0.30349
2022-05-26,13.18,0.09,0.68755
2022-05-24,13.09,0.08,0.61491
2022-05-23,13.01,-0.1,-0.76278
2022-05-22,13.11,-0.07,-0.53111
2022-05-19,13.18,0.11,0.84162
2022-05-18,13.07,-0.16,-1.20937
2022-05-17,13.23,-0.01,-0.07553
2022-05-16,13.24,-0.06,-0.45113
2022-05-15,13.3,-0.03,-0.22506
2022-05-12,13.33,0.01,0.07508
2022-05-11,13.32,0.09,0.68027
2022-05-10,13.23,0.09,0.68493
2022-05-09,13.14,-0.06,-0.45455
2022-05-05,13.2,-0.12,-0.9009
2022-05-04,13.32,-0.06,-0.44843
2022-05-03,13.38,-0.02,-0.14925
2022-05-02,13.4,-0.03,-0.22338
2022-05-01,13.43,0.03,0.22388
2022-04-28,13.4,-0.16,-1.17994
2022-04-27,13.56,0.14,1.04322
2022-04-26,13.42,0.06,0.4491
2022-04-25,13.36,-0.02,-0.14948
2022-04-24,13.38,0.12,0.90498
2022-04-21,13.26,-0.04,-0.30075
2022-04-20,13.3,-0.03,-0.22506
2022-04-19,13.33,-0.05,-0.37369
2022-04-18,13.38,0.01,0.07479
2022-04-13,13.37,0.05,0.37538
2022-04-12,13.32,-0.03,-0.22472
2022-04-11,13.35,0.03,0.22523
2022-04-10,13.32,-0.08,-0.59701
2022-04-07,13.4,0.01,0.07468
2022-04-06,13.39,0.02,0.14959
2022-04-05,13.37,-0.09,-0.66865
2022-04-04,13.46,0.03,0.22338
2022-04-03,13.43,0.15,1.12952
2022-03-31,13.28,0.06,0.45386
2022-03-30,13.22,0.01,0.0757
2022-03-29,13.21,-0.13,-0.97451
2022-03-28,13.34,0.04,0.30075
2022-03-27,13.3,-0.01,-0.07513
2022-03-24,13.31,0.01,0.07519
2022-03-23,13.3,0.05,0.37736
2022-03-22,13.25,-0.07,-0.52553
2022-03-21,13.32,0.01,0.07513
2022-03-20,13.31,-0.05,-0.37425
2022-03-17,13.36,0.08,0.60241
2022-03-16,13.28,0.03,0.22642
2022-03-15,13.25,0.04,0.3028
2022-03-14,13.21,0.03,0.22762
2022-03-13,13.18,-0.05,-0.37793
2022-03-10,13.23,0.01,0.07564
2022-03-09,13.22,0.04,0.30349
2022-03-08,13.18,0.05,0.38081
