tradeDate,nav,change,changePercent
2022-09-01,116.9204,-0.1434,-0.1225
2022-08-31,117.0638,-0.3817,-0.325
2022-08-30,117.4455,-0.0999,-0.08499
2022-08-29,117.5454,-0.2288,-0.19427
2022-08-28,117.7742,-0.3975,-0.33637
2022-08-25,118.1717,0.2597,0.22025
2022-08-24,117.912,-0.0393,-0.03332
2022-08-23,117.9513,-0.0436,-0.03695
2022-08-22,117.9949,-0.4265,-0.36015
2022-08-21,118.4214,-0.3586,-0.3019
2022-08-18,118.78,-0.1993,-0.16751
2022-08-17,118.9793,-0.1659,-0.13924
2022-08-16,119.1452,-0.0992,-0.08319
2022-08-15,119.2444,,
2022-08-14,119.0938,0.2103,0.1769
2022-08-11,118.8835,0.0942,0.0793
2022-08-10,118.7893,0.2282,0.19247
2022-08-09,118.5611,0.0547,0.04616
2022-08-08,118.5064,-0.0399,-0.03366
2022-08-07,118.5463,-0.0311,-0.02623
2022-08-04,118.5774,0.0654,0.05518
2022-08-03,118.512,-0.064,-0.05397
2022-08-02,118.576,-0.2232,-0.18788
2022-08-01,118.7992,0.3196,0.26975
2022-07-31,118.4796,0.2292,0.19383
2022-07-28,118.2504,0.6228,0.52947
2022-07-27,117.6276,0.2706,0.23058
2022-07-26,117.357,0.0627,0.05346
2022-07-25,117.2943,0.0759,0.06475
2022-07-24,117.2184,0.1602,0.13686
2022-07-21,117.0582,0.3421,0.2931
2022-07-20,116.7161,0.0285,0.02442
2022-07-19,116.6876,0.3385,0.29093
2022-07-18,116.3491,0.0427,0.03671
2022-07-17,116.3064,0.2612,0.22508
2022-07-14,116.0452,-0.0499,-0.04298
2022-07-13,116.0951,-0.0922,-0.07935
2022-07-12,116.1873,-0.4067,-0.34882
2022-07-11,116.594,-0.3248,-0.2778
2022-07-10,116.9188,-0.0055,-0.0047
2022-07-07,116.9243,0.1507,0.12905
2022-07-06,116.7736,0.0073,0.00625
2022-07-05,116.7663,0.02,0.01713
2022-07-04,116.7463,0.0515,0.04413
2022-07-03,116.6948,0.0988,0.08474
2022-06-30,116.596,-0.0392,-0.03361
2022-06-29,116.6352,-0.3091,-0.26431
2022-06-28,116.9443,-0.3663,-0.31225
2022-06-27,117.3106,0.1029,0.08779
2022-06-26,117.2077,0.3396,0.29058
2022-06-23,116.8681,0.382,0.32794
2022-06-22,116.4861,,
2022-06-21,116.4725,-0.0144,-0.01236
2022-06-20,116.4869,0.0801,0.06881
2022-06-19,116.4068,-0.1826,-0.15662
2022-06-16,116.5894,0.0526,0.04514
2022-06-15,116.5368,-0.1268,-0.10869
2022-06-14,116.6636,-0.3735,-0.31913
2022-06-13,117.0371,-0.9473,-0.8029
2022-06-12,117.9844,-0.9018,-0.75854
2022-06-09,118.8862,-0.518,-0.43382
2022-06-08,119.4042,-0.2029,-0.16964
2022-06-07,119.6071,-0.0493,-0.0412
2022-06-06,119.6564,-0.0217,-0.01813
2022-06-05,119.6781,-0.075,-0.06263
2022-06-02,119.7531,0.1077,0.09002
2022-06-01,119.6454,-0.3232,-0.2694
2022-05-31,119.9686,-0.0451,-0.03758
2022-05-30,120.0137,-0.1433,-0.11926
2022-05-29,120.157,0.7712,0.64597
2022-05-26,119.3858,0.2298,0.19286
2022-05-25,119.156,0.0906,0.07609
2022-05-24,119.0654,0.0701,0.05891
2022-05-23,118.9953,0.0411,0.03455
2022-05-22,118.9542,0.343,0.28918
2022-05-19,118.6112,0.3094,0.26153
2022-05-18,118.3018,-0.5432,-0.45707
2022-05-17,118.845,0.0785,0.0661
2022-05-16,118.7665,0.2878,0.24291
2022-05-15,118.4787,0.1505,0.12719
2022-05-12,118.3282,0.7135,0.60664
2022-05-11,117.6147,-0.5269,-0.44599
2022-05-10,118.1416,-0.2269,-0.19169
2022-05-09,118.3685,-0.5049,-0.42474
2022-05-08,118.8734,-0.6713,-0.56155
2022-05-05,119.5447,-0.5522,-0.4598
2022-05-04,120.0969,0.3232,0.26984
2022-05-03,119.7737,-0.0872,-0.07275
2022-05-02,119.8609,-0.0506,-0.0422
2022-05-01,119.9115,-0.1545,-0.12868
2022-04-28,120.066,-0.203,-0.16879
2022-04-27,120.269,0.2303,0.19185
2022-04-26,120.0387,-0.1974,-0.16418
2022-04-25,120.2361,-0.2787,-0.23126
2022-04-24,120.5148,-0.7553,-0.62282
2022-04-21,121.2701,-0.8152,-0.66773
2022-04-20,122.0853,0.207,0.16984
2022-04-19,121.8783,-0.3181,-0.26032
2022-04-18,122.1964,-0.2231,-0.18224
2022-04-13,122.4195,0.0576,0.04707
2022-04-12,122.3619,-0.0818,-0.06681
2022-04-11,122.4437,-0.5498,-0.44702
2022-04-10,122.9935,-0.3227,-0.26169
2022-04-07,123.3162,-0.1309,-0.10604
2022-04-06,123.4471,-0.5482,-0.44211
2022-04-05,123.9953,-0.5762,-0.46255
2022-04-04,124.5715,0.2333,0.18763
2022-04-03,124.3382,-0.0057,-0.00458
2022-03-31,124.3439,-0.1622,-0.13027
2022-03-30,124.5061,0.1258,0.10114
2022-03-29,124.3803,0.3492,0.28154
2022-03-28,124.0311,0.1719,0.13879
2022-03-27,123.8592,-0.1022,-0.08245
2022-03-24,123.9614,-0.0777,-0.06264
2022-03-23,124.0391,-0.1026,-0.08265
2022-03-22,124.1417,-0.1701,-0.13683
2022-03-21,124.3118,0.1244,0.10017
2022-03-20,124.1874,0.3107,0.25081
2022-03-17,123.8767,0.3956,0.32037
2022-03-16,123.4811,0.8955,0.73051
2022-03-15,122.5856,0.4584,0.37535
2022-03-14,122.1272,-0.655,-0.53346
2022-03-13,122.7822,-0.4731,-0.38384
2022-03-10,123.2553,0.0507,0.04115
2022-03-09,123.2046,0.0976,0.07928
2022-03-08,123.107,0.2014,0.16387
2022-03-07,122.9056,-0.8709,-0.70361
2022-03-06,123.7765,-0.6235,-0.50121
2022-03-03,124.4,-1.0951,-0.87262
2022-03-02,125.4951,0.3175,0.25364
2022-03-01,125.1776,-0.7571,-0.60118
2022-02-28,125.9347,-0.0846,-0.06713
2022-02-27,126.0193,0.2887,0.22962
2022-02-24,125.7306,-0.0737,-0.05858
2022-02-23,125.8043,-1.0386,-0.81881
2022-02-22,126.8429,0.0243,0.01916
2022-02-21,126.8186,-0.1725,-0.13584
2022-02-20,126.9911,-0.4227,-0.33175
2022-02-17,127.4138,-0.3902,-0.30531
2022-02-16,127.804,0.1245,0.09751
2022-02-15,127.6795,0.2918,0.22906
2022-02-14,127.3877,-0.1252,-0.09819
2022-02-13,127.5129,-0.6839,-0.53348
2022-02-10,128.1968,-0.2841,-0.22112
2022-02-09,128.4809,0.1524,0.11876
2022-02-08,128.3285,0.4589,0.35888
2022-02-07,127.8696,-0.1674,-0.13074
2022-02-06,128.037,0.0606,0.04735
2022-02-03,127.9764,-0.3997,-0.31135
2022-02-02,128.3761,-0.2207,-0.17162
