tradeDate,nav,change,changePercent
2022-09-04,13.11,0.06,0.45977
2022-09-01,13.05,-0.04,-0.30558
2022-08-31,13.09,-0.06,-0.45627
2022-08-30,13.15,-0.14,-1.05342
2022-08-29,13.29,-0.07,-0.52395
2022-08-28,13.36,0.02,0.14993
2022-08-25,13.34,-0.3,-2.19941
2022-08-24,13.64,0.06,0.44183
2022-08-23,13.58,0.01,0.07369
2022-08-22,13.57,0.02,0.1476
2022-08-21,13.55,-0.2,-1.45455
2022-08-18,13.75,-0.09,-0.65029
2022-08-17,13.84,0.03,0.21723
2022-08-16,13.81,-0.19,-1.35714
2022-08-15,14.0,0.07,0.50251
2022-08-14,13.93,-0.02,-0.14337
2022-08-11,13.95,0.12,0.86768
2022-08-10,13.83,-0.12,-0.86022
2022-08-09,13.95,0.12,0.86768
2022-08-08,13.83,-0.05,-0.36023
2022-08-07,13.88,0.01,0.0721
2022-08-04,13.87,0.08,0.58013
2022-08-03,13.79,-0.04,-0.28923
2022-08-02,13.83,0.25,1.84094
2022-08-01,13.58,-0.01,-0.07358
2022-07-31,13.59,-0.11,-0.80292
2022-07-28,13.7,0.15,1.10701
2022-07-27,13.55,-0.04,-0.29433
2022-07-26,13.59,0.13,0.96582
2022-07-25,13.46,-0.04,-0.2963
2022-07-24,13.5,0.13,0.97233
2022-07-21,13.37,-0.1,-0.74239
2022-07-20,13.47,0.03,0.22321
2022-07-19,13.44,-0.1,-0.73855
2022-07-18,13.54,0.34,2.57576
2022-07-17,13.2,0.0,0.0
2022-07-14,13.2,0.16,1.22699
2022-07-13,13.04,-0.19,-1.43613
2022-07-12,13.23,-0.07,-0.52632
2022-07-11,13.3,-0.04,-0.29985
2022-07-10,13.34,-0.05,-0.37341
2022-07-07,13.39,0.08,0.60105
2022-07-06,13.31,0.21,1.60305
2022-07-05,13.1,0.01,0.07639
2022-07-04,13.09,-0.24,-1.80045
2022-07-03,13.33,-0.03,-0.22455
2022-06-30,13.36,0.08,0.60241
2022-06-29,13.28,-0.2,-1.48368
2022-06-28,13.48,-0.02,-0.14815
2022-06-27,13.5,0.06,0.44643
2022-06-26,13.44,0.01,0.07446
2022-06-23,13.43,0.29,2.207
2022-06-22,13.14,,
2022-06-21,13.26,-0.17,-1.26582
2022-06-20,13.43,0.0,0.0
2022-06-19,13.43,0.11,0.82583
2022-06-16,13.32,0.08,0.60423
2022-06-15,13.24,-0.42,-3.07467
2022-06-14,13.66,0.23,1.71258
2022-06-13,13.43,-0.16,-1.17734
2022-06-12,13.59,-0.33,-2.37069
2022-06-09,13.92,-0.25,-1.76429
2022-06-08,14.17,-0.19,-1.32312
2022-06-07,14.36,-0.18,-1.23796
2022-06-06,14.54,0.11,0.7623
2022-06-05,14.43,0.12,0.83857
2022-06-02,14.31,-0.09,-0.625
2022-06-01,14.4,0.11,0.76977
2022-05-31,14.29,0.0,0.0
2022-05-30,14.29,-0.08,-0.55672
2022-05-29,14.37,0.03,0.20921
2022-05-26,14.34,0.11,0.77301
2022-05-25,14.23,0.09,0.63649
2022-05-24,14.14,0.14,1.0
2022-05-23,14.0,-0.11,-0.77959
2022-05-22,14.11,0.15,1.0745
2022-05-19,13.96,0.09,0.64888
2022-05-18,13.87,-0.04,-0.28756
2022-05-17,13.91,-0.18,-1.2775
2022-05-16,14.09,0.15,1.07604
2022-05-15,13.94,0.05,0.35997
2022-05-12,13.89,0.31,2.28277
2022-05-11,13.58,0.04,0.29542
2022-05-10,13.54,-0.02,-0.14749
2022-05-09,13.56,0.16,1.19403
2022-05-08,13.4,-0.27,-1.97513
2022-05-05,13.67,-0.15,-1.08538
2022-05-04,13.82,-0.25,-1.77683
2022-05-03,14.07,0.07,0.5
2022-05-02,14.0,0.15,1.08303
2022-05-01,13.85,0.0,0.0
2022-04-28,13.85,-0.13,-0.9299
2022-04-27,13.98,0.24,1.74672
2022-04-26,13.74,0.09,0.65934
2022-04-25,13.65,-0.26,-1.86916
2022-04-24,13.91,-0.04,-0.28674
2022-04-21,13.95,-0.17,-1.20397
2022-04-20,14.12,-0.01,-0.07077
2022-04-19,14.13,0.1,0.71276
2022-04-18,14.03,0.11,0.79023
2022-04-17,13.92,-0.01,-0.07179
2022-04-13,13.93,0.04,0.28798
2022-04-12,13.89,0.11,0.79826
2022-04-11,13.78,0.02,0.14535
2022-04-10,13.76,-0.09,-0.64982
2022-04-07,13.85,0.15,1.09489
2022-04-06,13.7,0.04,0.29283
2022-04-05,13.66,-0.1,-0.72674
2022-04-04,13.76,-0.06,-0.43415
2022-04-03,13.82,0.06,0.43605
2022-03-31,13.76,0.15,1.10213
2022-03-30,13.61,-0.16,-1.16195
2022-03-29,13.77,-0.19,-1.36103
2022-03-28,13.96,0.27,1.97224
2022-03-27,13.69,0.04,0.29304
2022-03-24,13.65,0.0,0.0
2022-03-23,13.65,0.01,0.07331
2022-03-22,13.64,-0.21,-1.51625
2022-03-21,13.85,0.18,1.31675
2022-03-20,13.67,-0.09,-0.65407
2022-03-17,13.76,0.07,0.51132
2022-03-16,13.69,0.03,0.21962
2022-03-15,13.66,0.32,2.3988
2022-03-14,13.34,0.08,0.60332
2022-03-13,13.26,0.19,1.45371
2022-03-10,13.07,0.01,0.07657
2022-03-09,13.06,-0.15,-1.1355
2022-03-08,13.21,0.57,4.50949
2022-03-07,12.64,0.18,1.44462
2022-03-06,12.46,-0.33,-2.58014
2022-03-03,12.79,-0.46,-3.4717
2022-03-02,13.25,-0.33,-2.43004
2022-03-01,13.58,0.21,1.57068
2022-02-28,13.37,-0.39,-2.8343
2022-02-27,13.76,-0.31,-2.20327
2022-02-24,14.07,0.26,1.88269
2022-02-23,13.81,-0.28,-1.98722
2022-02-22,14.09,-0.06,-0.42403
2022-02-21,14.15,-0.01,-0.07062
2022-02-20,14.16,-0.29,-2.00692
2022-02-17,14.45,-0.04,-0.27605
2022-02-16,14.49,-0.14,-0.95694
2022-02-15,14.63,0.02,0.13689
2022-02-14,14.61,0.13,0.89779
2022-02-13,14.48,-0.12,-0.82192
2022-02-10,14.6,-0.04,-0.27322
2022-02-09,14.64,-0.13,-0.88016
2022-02-08,14.77,0.14,0.95694
2022-02-07,14.63,0.17,1.17566
2022-02-06,14.46,0.05,0.34698
2022-02-03,14.41,0.0,0.0
2022-02-02,14.41,-0.18,-1.23372
2022-02-01,14.59,0.02,0.13727
2022-01-31,14.57,0.12,0.83045
2022-01-30,14.45,0.02,0.1386
2022-01-27,14.43,-0.04,-0.27643
2022-01-26,14.47,0.18,1.25962
2022-01-25,14.29,0.11,0.77574
2022-01-24,14.18,-0.01,-0.07047
2022-01-23,14.19,-0.13,-0.90782
2022-01-20,14.32,-0.2,-1.37741
2022-01-19,14.52,-0.12,-0.81967
2022-01-18,14.64,-0.08,-0.54348
2022-01-17,14.72,-0.06,-0.40595
2022-01-16,14.78,0.05,0.33944
2022-01-13,14.73,0.12,0.82136
2022-01-12,14.61,0.01,0.06849
2022-01-11,14.6,0.03,0.2059
2022-01-10,14.57,0.15,1.04022
2022-01-09,14.42,0.03,0.20848
2022-01-06,14.39,0.04,0.27875
2022-01-05,14.35,0.08,0.56062
2022-01-04,14.27,-0.12,-0.83391
2022-01-03,14.39,0.19,1.33803
2022-01-02,14.2,0.22,1.57368
2021-12-30,13.98,-0.03,-0.21413
2021-12-29,14.01,-0.02,-0.14255
2021-12-28,14.03,-0.01,-0.07123
2021-12-27,14.04,0.04,0.28571
2021-12-26,14.0,0.12,0.86455
2021-12-22,13.88,0.1,0.72569
2021-12-21,13.78,0.09,0.65741
2021-12-20,13.69,0.25,1.86012
2021-12-19,13.44,-0.12,-0.88496
2021-12-16,13.56,-0.03,-0.22075
2021-12-15,13.59,0.02,0.14738
2021-12-14,13.57,0.07,0.51852
2021-12-13,13.5,-0.02,-0.14793
2021-12-12,13.52,-0.13,-0.95238
2021-12-09,13.65,0.02,0.14674
2021-12-08,13.63,-0.09,-0.65598
2021-12-07,13.72,-0.04,-0.2907
2021-12-06,13.76,0.18,1.32548
2021-12-05,13.58,0.2,1.49477
2021-12-02,13.38,-0.04,-0.29806
2021-12-01,13.42,0.19,1.43613
2021-11-30,13.23,0.04,0.30326
2021-11-29,13.19,-0.16,-1.1985
2021-11-28,13.35,0.05,0.37594
2021-11-25,13.3,-0.58,-4.17867
2021-11-24,13.88,0.04,0.28902
2021-11-23,13.84,-0.03,-0.21629
2021-11-22,13.87,0.05,0.36179
2021-11-21,13.82,0.02,0.14493
2021-11-18,13.8,-0.2,-1.42857
2021-11-17,14.0,-0.01,-0.07138
2021-11-16,14.01,0.0,0.0
2021-11-15,14.01,-0.03,-0.21368
2021-11-14,14.04,0.09,0.64516
2021-11-11,13.95,0.03,0.21552
2021-11-10,13.92,0.06,0.4329
2021-11-09,13.86,-0.01,-0.0721
2021-11-08,13.87,-0.02,-0.14399
2021-11-07,13.89,-0.02,-0.14378
2021-11-04,13.91,0.09,0.65123
2021-11-03,13.82,-0.06,-0.43228
2021-11-02,13.88,0.06,0.43415
2021-11-01,13.82,-0.01,-0.07231
2021-10-31,13.83,0.1,0.72833
2021-10-28,13.73,-0.05,-0.36284
2021-10-27,13.78,0.09,0.65741
2021-10-26,13.69,-0.05,-0.3639
2021-10-25,13.74,0.08,0.58565
2021-10-24,13.66,0.03,0.2201
2021-10-21,13.63,0.0,0.0
2021-10-20,13.63,-0.05,-0.3655
2021-10-19,13.68,0.03,0.21978
2021-10-18,13.65,-0.01,-0.07321
2021-10-17,13.66,-0.1,-0.72674
2021-10-14,13.76,0.09,0.65838
2021-10-13,13.67,0.11,0.81121
2021-10-12,13.56,0.05,0.3701
2021-10-11,13.51,0.05,0.37147
2021-10-10,13.46,-0.04,-0.2963
2021-10-07,13.5,0.02,0.14837
2021-10-06,13.48,0.07,0.522
2021-10-05,13.41,-0.08,-0.59303
2021-10-04,13.49,0.07,0.52161
2021-10-03,13.42,-0.08,-0.59259
2021-09-30,13.5,0.03,0.22272
2021-09-29,13.47,-0.06,-0.44346
2021-09-28,13.53,0.11,0.81967
2021-09-27,13.42,-0.21,-1.54072
2021-09-26,13.63,0.15,1.11276
2021-09-23,13.48,-0.06,-0.44313
2021-09-22,13.54,0.12,0.89419
2021-09-21,13.42,0.16,1.20664
2021-09-20,13.26,0.11,0.8365
2021-09-19,13.15,-0.3,-2.23048
2021-09-16,13.45,-0.09,-0.6647
2021-09-15,13.54,0.04,0.2963
2021-09-14,13.5,-0.03,-0.22173
2021-09-13,13.53,-0.09,-0.66079
2021-09-12,13.62,0.11,0.81421
