tradeDate,nav,change,changePercent
2022-09-01,8.196,0.04,0.49044
2022-08-31,8.156,-0.117,-1.41424
2022-08-30,8.273,-0.015,-0.18098
2022-08-29,8.288,-0.015,-0.18066
2022-08-28,8.303,-0.046,-0.55096
2022-08-25,8.349,0.005,0.05992
2022-08-24,8.344,0.048,0.57859
2022-08-23,8.296,-0.011,-0.13242
2022-08-22,8.307,0.003,0.03613
2022-08-21,8.304,-0.033,-0.39583
2022-08-18,8.337,-0.03,-0.35855
2022-08-17,8.367,0.005,0.05979
2022-08-16,8.362,-0.037,-0.44053
2022-08-15,8.399,0.002,0.02382
2022-08-14,8.397,0.007,0.08343
2022-08-11,8.39,-0.015,-0.17847
2022-08-10,8.405,0.024,0.28636
2022-08-09,8.381,0.018,0.21523
2022-08-08,8.363,-0.001,-0.01196
2022-08-07,8.364,0.029,0.34793
2022-08-04,8.335,-0.017,-0.20354
2022-08-03,8.352,0.028,0.33638
2022-08-02,8.324,-0.017,-0.20381
2022-08-01,8.341,-0.012,-0.14366
2022-07-31,8.353,-0.037,-0.441
2022-07-28,8.39,0.037,0.44295
2022-07-27,8.353,0.046,0.55375
2022-07-26,8.307,0.008,0.0964
2022-07-25,8.299,0.009,0.10856
2022-07-24,8.29,0.019,0.22972
2022-07-21,8.271,0.049,0.59596
2022-07-20,8.222,0.008,0.09739
2022-07-19,8.214,0.011,0.1341
2022-07-18,8.203,0.017,0.20767
2022-07-17,8.186,0.024,0.29405
2022-07-14,8.162,,
2022-07-13,8.134,-0.046,-0.56235
2022-07-12,8.18,-0.047,-0.57129
2022-07-11,8.227,-0.012,-0.14565
2022-07-10,8.239,-0.02,-0.24216
2022-07-07,8.259,-0.011,-0.13301
2022-07-06,8.27,0.027,0.32755
2022-07-05,8.243,-0.003,-0.03638
2022-07-04,8.246,-0.064,-0.77016
2022-07-03,8.31,0.016,0.19291
2022-06-30,8.294,-0.026,-0.3125
2022-06-29,8.32,-0.044,-0.52606
2022-06-28,8.364,-0.039,-0.46412
2022-06-27,8.403,-0.001,-0.0119
2022-06-26,8.404,0.003,0.03571
2022-06-23,8.401,0.056,0.67106
2022-06-22,8.345,,
2022-06-21,8.366,-0.024,-0.28605
2022-06-20,8.39,-0.006,-0.07146
2022-06-19,8.396,0.011,0.13119
2022-06-16,8.385,-0.026,-0.30912
2022-06-15,8.411,-0.069,-0.81368
2022-06-14,8.48,0.01,0.11806
2022-06-13,8.47,-0.039,-0.45834
2022-06-12,8.509,-0.13,-1.5048
2022-06-09,8.639,-0.099,-1.13298
2022-06-08,8.738,-0.039,-0.44434
2022-06-07,8.777,0.0,0.0
2022-06-06,8.777,-0.016,-0.18196
2022-06-05,8.793,0.008,0.09106
2022-06-02,8.785,-0.016,-0.1818
2022-06-01,8.801,0.019,0.21635
2022-05-31,8.782,-0.084,-0.94744
2022-05-30,8.866,-0.029,-0.32603
2022-05-29,8.895,0.015,0.16892
2022-05-26,8.88,0.031,0.35032
2022-05-25,8.849,0.048,0.54539
2022-05-24,8.801,0.023,0.26202
2022-05-23,8.778,-0.026,-0.29532
2022-05-22,8.804,0.042,0.47934
2022-05-19,8.762,0.022,0.25172
2022-05-18,8.74,-0.041,-0.46692
2022-05-17,8.781,-0.015,-0.17053
2022-05-16,8.796,0.007,0.07965
2022-05-15,8.789,0.01,0.11391
2022-05-12,8.779,0.034,0.38879
2022-05-11,8.745,-0.043,-0.4893
2022-05-10,8.788,0.022,0.25097
2022-05-09,8.766,0.01,0.11421
2022-05-08,8.756,-0.067,-0.75938
2022-05-05,8.823,-0.048,-0.54109
2022-05-04,8.871,-0.024,-0.26981
2022-05-03,8.895,-0.01,-0.1123
2022-05-02,8.905,0.027,0.30412
2022-05-01,8.878,-0.102,-1.13586
2022-04-28,8.98,0.034,0.38006
2022-04-27,8.946,0.004,0.04473
2022-04-26,8.942,-0.025,-0.2788
2022-04-25,8.967,0.009,0.10047
2022-04-24,8.958,-0.062,-0.68736
2022-04-21,9.02,-0.039,-0.43051
2022-04-20,9.059,-0.021,-0.23128
2022-04-19,9.08,0.019,0.20969
2022-04-18,9.061,-0.041,-0.45045
2022-04-17,9.102,-0.009,-0.09878
2022-04-14,9.111,-0.008,-0.08773
2022-04-13,9.119,0.009,0.09879
2022-04-12,9.11,-0.004,-0.04389
2022-04-11,9.114,-0.02,-0.21896
2022-04-10,9.134,-0.063,-0.68501
2022-04-07,9.197,0.011,0.11975
2022-04-06,9.186,-0.015,-0.16303
2022-04-05,9.201,-0.011,-0.11941
2022-04-04,9.212,-0.012,-0.1301
2022-04-03,9.224,0.037,0.40274
2022-03-31,9.187,-0.037,-0.40113
2022-03-30,9.224,0.009,0.09767
2022-03-29,9.215,0.063,0.68837
2022-03-28,9.152,0.065,0.71531
2022-03-27,9.087,0.005,0.05505
2022-03-24,9.082,-0.005,-0.05502
2022-03-23,9.087,-0.011,-0.12091
2022-03-22,9.098,0.014,0.15412
2022-03-21,9.084,0.002,0.02202
2022-03-20,9.082,0.007,0.07713
2022-03-17,9.075,0.021,0.23194
2022-03-16,9.054,0.068,0.75673
2022-03-15,8.986,0.053,0.59331
2022-03-14,8.933,-0.045,-0.50123
2022-03-13,8.978,-0.042,-0.46563
2022-03-10,9.02,-0.016,-0.17707
2022-03-09,9.036,-0.01,-0.11055
2022-03-08,9.046,0.038,0.42185
2022-03-07,9.008,-0.048,-0.53004
2022-03-06,9.056,-0.077,-0.8431
2022-03-03,9.133,-0.076,-0.82528
2022-03-02,9.209,-0.068,-0.733
2022-03-01,9.277,-0.01,-0.10768
2022-02-28,9.287,-0.119,-1.26515
2022-02-27,9.406,-0.027,-0.28623
2022-02-24,9.433,0.092,0.98491
2022-02-23,9.341,-0.159,-1.67368
2022-02-22,9.5,-0.019,-0.1996
2022-02-21,9.519,-0.017,-0.17827
2022-02-20,9.536,-0.03,-0.31361
2022-02-17,9.566,-0.033,-0.34379
2022-02-16,9.599,-0.009,-0.09367
2022-02-15,9.608,0.013,0.13549
2022-02-14,9.595,0.03,0.31364
2022-02-13,9.565,-0.095,-0.98344
2022-02-10,9.66,-0.033,-0.34045
2022-02-09,9.693,-0.01,-0.10306
2022-02-08,9.703,0.054,0.55964
2022-02-07,9.649,-0.006,-0.06214
2022-02-06,9.655,-0.008,-0.08279
2022-02-03,9.663,-0.046,-0.47379
2022-02-02,9.709,-0.03,-0.30804
2022-02-01,9.739,0.038,0.39171
2022-01-31,9.701,-0.015,-0.15438
