tradeDate,nav,change,changePercent
2022-09-01,10.06,-0.0116,-0.11518
2022-08-31,10.0716,-0.1187,-1.16483
2022-08-30,10.1903,,
2022-08-29,10.2721,-0.0493,-0.47765
2022-08-25,10.3214,0.0291,0.28274
2022-08-24,10.2923,-0.0115,-0.11161
2022-08-23,10.3038,-0.0238,-0.23045
2022-08-22,10.3276,-0.0323,-0.31178
2022-08-21,10.3599,-0.0682,-0.654
2022-08-18,10.4281,-0.0409,-0.39068
2022-08-17,10.469,-0.0358,-0.3408
2022-08-16,10.5048,-0.0594,-0.56228
2022-08-15,10.5642,0.0798,0.76113
2022-08-11,10.4844,-0.0118,-0.11242
2022-08-10,10.4962,0.0593,0.56818
2022-08-09,10.4369,-0.0219,-0.20939
2022-08-08,10.4588,-0.0255,-0.24322
2022-08-07,10.4843,-0.0056,-0.05338
2022-08-04,10.4899,-0.0013,-0.01239
2022-08-03,10.4912,0.0787,0.75582
2022-08-02,10.4125,-0.0665,-0.6346
2022-08-01,10.479,0.0325,0.31111
2022-07-31,10.4465,0.0455,0.43746
2022-07-28,10.401,0.0811,0.78586
2022-07-27,10.3199,0.0267,0.25939
2022-07-26,10.2932,0.0071,0.06903
2022-07-25,10.2861,0.0239,0.23289
2022-07-24,10.2622,-0.0071,-0.06914
2022-07-21,10.2693,0.0962,0.94563
2022-07-20,10.1731,-0.0147,-0.14429
2022-07-19,10.1878,0.0998,0.98929
2022-07-18,10.088,-0.0444,-0.4382
2022-07-17,10.1324,0.1068,1.06527
2022-07-14,10.0256,0.0105,0.10484
2022-07-13,10.0151,,
2022-07-12,10.0632,-0.0124,-0.12307
2022-07-11,10.0756,-0.0059,-0.05852
2022-07-10,10.0815,-0.0319,-0.31542
2022-07-07,10.1134,0.0483,0.47988
2022-07-06,10.0651,-0.0012,-0.01192
2022-07-05,10.0663,0.0237,0.23599
2022-07-04,10.0426,-0.0043,-0.0428
2022-07-03,10.0469,0.0384,0.38367
2022-06-30,10.0085,0.0003,0.003
2022-06-29,10.0082,-0.0139,-0.13869
2022-06-28,10.0221,-0.0576,-0.57145
2022-06-27,10.0797,-0.0125,-0.12386
2022-06-26,10.0922,0.0455,0.45289
2022-06-23,10.0467,0.0944,0.94852
2022-06-21,9.9523,-0.0329,-0.32949
2022-06-20,9.9852,0.0388,0.39009
2022-06-19,9.9464,-0.0384,-0.38458
2022-06-16,9.9848,0.0468,0.47092
2022-06-15,9.938,-0.0511,-0.51156
2022-06-14,9.9891,-0.0356,-0.35512
2022-06-13,10.0247,-0.062,-0.61467
2022-06-12,10.0867,-0.2366,-2.2919
2022-06-09,10.3233,-0.0955,-0.91661
2022-06-08,10.4188,-0.018,-0.17247
2022-06-07,10.4368,0.0047,0.04505
2022-06-06,10.4321,-0.0956,-0.90808
2022-05-31,10.5277,-0.0189,-0.1792
2022-05-30,10.5466,-0.0358,-0.3383
2022-05-29,10.5824,0.0588,0.55874
2022-05-26,10.5236,0.1257,1.2089
2022-05-24,10.3979,0.0533,0.51524
2022-05-23,10.3446,-0.0085,-0.0821
2022-05-22,10.3531,0.0072,0.06959
2022-05-19,10.3459,0.0728,0.70865
